element,wavelength,intensity,acc,state,source,reference,unit
Er,2165.94,0,,3,nist,L1925,A
Er,2191.45,0,,3,nist,L1925,A
Er,2198.84,0,,3,nist,L1925,A
Er,2224.67,0,,3,nist,L1925,A
Er,2233.04,0,,3,nist,L1925,A
Er,2235.97,0,,3,nist,L1925,A
Er,2246.30,0,,3,nist,L1925,A
Er,2256.65,0,,3,nist,L1925,A
Er,2270.06,0,,3,nist,L1925,A
Er,2278.35,600,,3,nist,L1925,A
Er,2309.90,100,,3,nist,L1925,A
Er,2359.41,0,,3,nist,L1925,A
Er,2359.51,0,,3,nist,L1925,A
Er,2360.05,0,,3,nist,L1925,A
Er,2368.36,200,,3,nist,L1925,A
Er,2376.23,0,,3,nist,L1925,A
Er,2377.80,0,,3,nist,L1925,A
Er,2381.98,0,,3,nist,L1925,A
Er,2382.13,0,,3,nist,L1925,A
Er,2382.48,0,,3,nist,L1925,A
Er,2392.69,0,,3,nist,L1925,A
Er,2393.81,0,,3,nist,L1925,A
Er,2394.33,0,,3,nist,L1925,A
Er,2397.13,250,,3,nist,L1925,A
Er,2399.64,0,,3,nist,L1925,A
Er,2403.48,0,,3,nist,L1925,A
Er,2405.31,0,,3,nist,L1925,A
Er,2411.20,100,,3,nist,L1925,A
Er,2420.55,200,,3,nist,L1925,A
Er,2423.21,200,,3,nist,L1925,A
Er,2432.25,0,,3,nist,L1925,A
Er,2465.35,0,,3,nist,L1925,A
Er,2492.79,0,,3,nist,L1925,A
Er,2509.35,100,,3,nist,L1925,A
Er,2531.79,0,,3,nist,L1925,A
Er,2533.12,100,,3,nist,L1925,A
Er,2537.52,0,,3,nist,L1925,A
Er,2541.67,0,,3,nist,L1925,A
Er,2544.07,0,,3,nist,L1925,A
Er,2546.71,0,,3,nist,L1925,A
Er,2557.99,0,,3,nist,L1925,A
Er,2571.51,0,,3,nist,L1925,A
Er,2580.79,0,,3,nist,L1925,A
Er,2590.32,0,,3,nist,L1925,A
Er,2591.49,0,,3,nist,L1925,A
Er,2592.34,0,,3,nist,L1925,A
Er,2592.61,200,,3,nist,L1925,A
Er,2599.17,0,,3,nist,L1925,A
Er,2599.96,0,,3,nist,L1925,A
Er,2604.40,100,,3,nist,L1925,A
Er,2605.69,0,,3,nist,L1925,A
Er,2615.31,0,,3,nist,L1925,A
Er,2618.42,0,,3,nist,L1925,A
Er,2619.18,0,,3,nist,L1925,A
Er,2619.72,0,,3,nist,L1925,A
Er,2625.97,0,,3,nist,L1925,A
Er,2627.15,0,,3,nist,L1925,A
Er,2638.31,0,,3,nist,L1925,A
Er,2638.56,200,,3,nist,L1925,A
Er,2652.28,0,,3,nist,L1925,A
Er,2683.90,0,,3,nist,L1925,A
Er,2724.10,400,,3,nist,L1925,A
Er,2739.34,100,,3,nist,L1925,A
Er,2740.08,500,,3,nist,L1925,A
Er,2742.22,0,,3,nist,L1925,A
Er,2746.84,0,,3,nist,L1925,A
Er,2753.01,0,,3,nist,L1925,A
Er,2757.01,0,,3,nist,L1925,A
Er,2760.05,400,,3,nist,L1925,A
Er,2762.74,150,,3,nist,L1925,A
Er,2763.48,0,,3,nist,L1925,A
Er,2767.93,0,,3,nist,L1925,A
Er,2769.54,100,,3,nist,L1925,A
Er,2772.89,0,,3,nist,L1925,A
Er,2775.62,0,,3,nist,L1925,A
Er,2776.37,0,,3,nist,L1925,A
Er,2781.42,0,,3,nist,L1925,A
Er,2783.93,0,,3,nist,L1925,A
Er,2793.36,500,,3,nist,L1925,A
Er,2804.93,0,,3,nist,L1925,A
Er,2806.70,100,,3,nist,L1925,A
Er,2809.27,0,,3,nist,L1925,A
Er,2825.58,0,,3,nist,L1925,A
Er,2831.17,150,,3,nist,L1925,A
Er,2832.78,0,,3,nist,L1925,A
Er,2833.86,0,,3,nist,L1925,A
Er,2846.13,0,,3,nist,L1925,A
Er,2846.92,0,,3,nist,L1925,A
Er,2850.47,0,,3,nist,L1925,A
Er,2870.36,0,,3,nist,L1925,A
Er,2879.08,0,,3,nist,L1925,A
Er,2956.79,0,,3,nist,L1925,A
Er,2959.49,0,,3,nist,L1925,A
Er,3055.99,1000,,3,nist,L1925,A
Er,3071.29,1000,,3,nist,L1925,A
Er,3101.30,500,,3,nist,L1925,A
Er,3167.17,1500,,3,nist,L1925,A
Er,3173.39,0,,3,nist,L1925,A
Er,3174.37,0,,3,nist,L1925,A
Er,3176.66,0,,3,nist,L1925,A
Er,3215.88,400,,3,nist,L1925,A
Er,3302.18,2000,,3,nist,L1925,A
Er,3341.96,0,,3,nist,L1925,A
Er,3481.54,200,,3,nist,L1925,A
Er,3593.99,0,,3,nist,L1925,A
Er,3716.73,600,,3,nist,L1925,A
Er,3740.49,200,,3,nist,L1925,A
Er,3817.86,4000,,3,nist,L1925,A
Er,3963.99,600,,3,nist,L1925,A
Er,4010.83,0,,3,nist,L1925,A
Er,4089.73,0,,3,nist,L1925,A
Er,4289.39,1000,,3,nist,L1925,A
Er,4291.27,40000,,3,nist,L1925,A
Er,4339.46,300,,3,nist,L1925,A
Er,4388.09,20000,,3,nist,L1925,A
Er,4614.22,0,,3,nist,L1925,A
Er,4736.88,15000,,3,nist,L1925,A
Er,4784.46,2000,,3,nist,L1925,A
Er,4877.43,0,,3,nist,L1925,A
Er,5904.94,8000,,3,nist,L1925,A
