element,wavelength,intensity,acc,state,source,reference,unit
Es,2695.12,300,,2,nist,L2225,A
Es,2709.46,10000,,2,nist,L2225,A
Es,2716.82,100,,2,nist,L2225,A
Es,2725.38,1000,,2,nist,L2225,A
Es,2787.92,3000,,2,nist,L2225,A
Es,2796.93,1000,,2,nist,L2225,A
Es,2886.69,100,,2,nist,L2225,A
Es,3136.16,3000,,1,nist,L2225,A
Es,3155.18,1000,,2,nist,L2225,A
Es,3424.10,300,,1,nist,L2225,A
Es,3429.46,10000,,1,nist,L2225,A
Es,3485.59,3000,,1,nist,L2225,A
Es,3499.11,10000,,1,nist,L2225,A
Es,3515.34,10000,,1,nist,L2225,A
Es,3524.50,10000,,1,nist,L2225,A
Es,3548.76,10000,,2,nist,L2225,A
Es,3556.36,10000,,1,nist,L2225,A
Es,3603.46,10000,,2,nist,L2225,A
Es,3671.06,10000,,2,nist,L2225,A
Es,3729.61,10000,,2,nist,L2225,A
Es,5163.18,10000,,1,nist,L2225,A
Es,5205.85,10000,,1,nist,L2225,A
Es,5617.07,3000,,1,nist,L2225,A
