element,wavelength,intensity,acc,state,source,reference,unit
Eu,2074.06,0,,3,nist,L2539,A
Eu,2094.17,0,,3,nist,L2539,A
Eu,2125.36,0,,3,nist,L2539,A
Eu,2167.80,0,,3,nist,L2539,A
Eu,2174.27,0,,3,nist,L2539,A
Eu,2185.36,0,,3,nist,L2539,A
Eu,2191.27,0,,3,nist,L2539,A
Eu,2195.50,0,,3,nist,L2539,A
Eu,2212.54,0,,3,nist,L2539,A
Eu,2213.32,0,,3,nist,L2539,A
Eu,2215.35,0,,3,nist,L2539,A
Eu,2216.03,0,,3,nist,L2539,A
Eu,2217.92,0,,3,nist,L2539,A
Eu,2220.02,0,,3,nist,L2539,A
Eu,2220.11,0,,3,nist,L2539,A
Eu,2223.82,0,,3,nist,L2539,A
Eu,2235.86,0,,3,nist,L2539,A
Eu,2240.84,0,,3,nist,L2539,A
Eu,2262.58,0,,3,nist,L2539,A
Eu,2266.44,0,,3,nist,L2539,A
Eu,2270.09,0,,3,nist,L2539,A
Eu,2277.55,0,,3,nist,L2539,A
Eu,2292.33,0,,3,nist,L2539,A
Eu,2305.08,0,,3,nist,L2539,A
Eu,2312.63,0,,3,nist,L2539,A
Eu,2328.40,0,,3,nist,L2539,A
Eu,2335.28,0,,3,nist,L2539,A
Eu,2337.68,0,,3,nist,L2539,A
Eu,2340.56,0,,3,nist,L2539,A
Eu,2343.82,0,,3,nist,L2539,A
Eu,2347.55,0,,3,nist,L2539,A
Eu,2348.36,0,,3,nist,L2539,A
Eu,2351.10,0,,3,nist,L2539,A
Eu,2351.23,200,,3,nist,L2539,A
Eu,2353.00,0,,3,nist,L2539,A
Eu,2358.59,0,,3,nist,L2539,A
Eu,2359.80,0,,3,nist,L2539,A
Eu,2361.37,0,,3,nist,L2539,A
Eu,2364.48,0,,3,nist,L2539,A
Eu,2368.76,0,,3,nist,L2539,A
Eu,2374.80,0,,3,nist,L2539,A
Eu,2375.93,0,,3,nist,L2539,A
