element,wavelength,intensity,acc,state,source,reference,unit
F,10089.90,0,C+,1,nist,L7481,A
F,10188.94,0,C+,1,nist,L7481,A
F,10212.37,0,C,1,nist,L7481,A
F,10288.27,0,D+,1,nist,L7481,A
F,10295.83,0,C+,1,nist,L7481,A
F,10383.68,0,C+,1,nist,L7481,A
F,10429.15,0,C+,1,nist,L7481,A
F,10865.29,0,C,1,nist,L7481,A
F,247438.4,0,A+,1,nist,L5746,A
F,3595.129,0,,1,nist,L7481,A
F,3669.219,0,,1,nist,L7481,A
F,3899.582,0,,1,nist,L7481,A
F,3931.802,0,,1,nist,L7481,A
F,3935.376,0,,1,nist,L7481,A
F,3949.681,0,,1,nist,L7481,A
F,4962.03,0,,1,nist,L7481,A
F,5231.87,0,,1,nist,L7481,A
F,5280.48,0,,1,nist,L7481,A
F,5542.06,0,,1,nist,L7481,A
F,5553.97,0,,1,nist,L7481,A
F,5578.88,0,,1,nist,L7481,A
F,5625.62,0,,1,nist,L7481,A
F,5628.49,0,,1,nist,L7481,A
F,5660.72,0,,1,nist,L7481,A
F,5669.105,0,,1,nist,L7481,A
F,5673.242,0,,1,nist,L7481,A
F,5690.72,0,,1,nist,L7481,A
F,5702.40,0,,1,nist,L7481,A
F,5708.89,0,,1,nist,L7481,A
F,5951.795,0,,1,nist,L7481,A
F,5960.838,0,,1,nist,L7481,A
F,5966.93,0,,1,nist,L7481,A
F,5996.085,0,,1,nist,L7481,A
F,6017.494,150,,1,nist,L7481,A
F,6039.71,0,,1,nist,L7481,A
F,6049.21,900,C,1,nist,L7481,A
F,6081.796,100,,1,nist,L7481,A
F,6151.46,800,C,1,nist,L7481,A
F,6212.59,400,C,1,nist,L7481,A
F,6241.377,13000,C+,1,nist,L7481,A
F,6350.263,10000,C+,1,nist,L7481,A
F,6415.424,8000,C+,1,nist,L7481,A
F,6465.29,700,C,1,nist,L7481,A
F,6571.509,450,C+,1,nist,L7481,A
F,6582.207,300,C+,1,nist,L7481,A
F,6652.241,400,C+,1,nist,L7481,A
F,6692.328,1800,C,1,nist,L7481,A
F,6710.134,400,C+,1,nist,L7481,A
F,6775.854,7000,C+,1,nist,L7481,A
F,6797.403,1500,C+,1,nist,L7481,A
F,6836.150,9000,C+,1,nist,L7481,A
F,6857.922,50000,C+,1,nist,L7481,A
F,6872.111,8000,C+,1,nist,L7481,A
F,6904.379,15000,C+,1,nist,L7481,A
F,6911.722,6000,C+,1,nist,L7481,A
F,6968.270,4000,C,1,nist,L7481,A
F,7039.410,45000,C,1,nist,L7481,A
F,7129.855,30000,C+,1,nist,L7481,A
F,7204.345,15000,C+,1,nist,L7481,A
F,7300.99,1500,C,1,nist,L7481,A
F,7311.047,1000,C+,1,nist,L7481,A
F,7313.033,15000,C+,1,nist,L7481,A
F,7316.318,700,C+,1,nist,L7481,A
F,7333.977,5000,C,1,nist,L7481,A
F,7400.726,10000,C,1,nist,L7481,A
F,7427.690,4000,C,1,nist,L7481,A
F,7478.60,700,C,1,nist,L7481,A
F,7484.784,2200,C+,1,nist,L7481,A
F,7491.217,2500,C+,1,nist,L7481,A
F,7516.988,900,C,1,nist,L7481,A
F,7554.314,5000,C+,1,nist,L7481,A
F,7575.469,5000,C,1,nist,L7481,A
F,7609.264,7000,C+,1,nist,L7481,A
F,7756.830,18000,C+,1,nist,L7481,A
F,780.390,0,,1,nist,L7481,A
F,780.519,0,,1,nist,L7481,A
F,780.519,0,,1,nist,L7481,A
F,780.519,0,,1,nist,L7481,A
F,7802.36631,15000,C+,1,nist,"L9692,L7481",A
F,782.378,0,,1,nist,L7481,A
F,7824.74,800,C+,1,nist,L7481,A
F,7881.35,300,C+,1,nist,L7481,A
F,7900.761,500,C,1,nist,L7481,A
F,791.875,0,,1,nist,L7481,A
F,792.536,0,,1,nist,L7481,A
F,7933.11,2200,C+,1,nist,L7481,A
F,7938.497,350,C+,1,nist,L7481,A
F,794.417,0,,1,nist,L7481,A
F,794.417,0,,1,nist,L7481,A
F,7956.28,600,C+,1,nist,L7481,A
