element,wavelength,intensity,acc,state,source,reference,unit
Fe,1.8453,0,,24,nist,L4361,A
Fe,1.8464,0,,24,nist,L4361,A
Fe,1.85273,0,,24,nist,L6541,A
Fe,1.85349,0,,24,nist,L6541,A
Fe,1.8540,0,,24,nist,L4361,A
Fe,1.85592,0,,24,nist,L6541,A
Fe,1.85691,0,C,24,nist,L6541,A
Fe,1.85704,0,C,24,nist,L6657,A
Fe,1.8580,0,,24,nist,L4361,A
Fe,1.8588,0,,23,nist,L4361,A
Fe,1.86108,0,D,24,nist,L6657,A
Fe,1.86224,0,C,24,nist,L6657,A
Fe,1.86328,0,C,24,nist,L6657,A
Fe,1.86345,0,C,24,nist,L6541,A
Fe,1.86598,0,C,24,nist,L6657,A
Fe,1.8692,0,,23,nist,L4361,A
Fe,1.87051,0,,23,nist,L6657,A
Fe,1.8708,0,,23,nist,L4361,A
Fe,1.8714,0,,23,nist,L4361,A
Fe,1.87242,0,,23,nist,L6657,A
Fe,1.87363,0,,23,nist,L6657,A
Fe,1.87466,0,D+,24,nist,L6541,A
Fe,1.8752,0,,23,nist,L4361,A
Fe,1.8752,0,,23,nist,L4361,A
Fe,1.87568,0,,23,nist,L6657,A
Fe,1.87814,0,,23,nist,L6657,A
Fe,1.8794,0,,22,nist,L5300,A
Fe,1.87973,0,,23,nist,L6657,A
Fe,1.8824,0,,22,nist,L5300,A
Fe,1.8824,0,,22,nist,L5300,A
Fe,1.88259,0,,22,nist,L6657,A
Fe,1.88534,0,,22,nist,L6657,A
Fe,1.8867,0,,22,nist,L5300,A
Fe,1.88706,0,,23,nist,L6657,A
Fe,1.8916,0,,21,nist,L5300,A
Fe,1.89244,0,D+,24,nist,L6657,A
Fe,1.89359,0,,21,nist,L6657,A
Fe,1.8942,0,,21,nist,L5300,A
Fe,1.8942,0,,21,nist,L5300,A
Fe,1.89474,0,,21,nist,L6657,A
Fe,1.8966,0,,21,nist,L5300,A
Fe,1.89692,0,,21,nist,L6657,A
Fe,1.89692,0,D+,24,nist,L6657,A
Fe,1.9051,0,,20,nist,L5300,A
Fe,1.9051,0,,20,nist,L5300,A
Fe,1.9051,0,,20,nist,L5300,A
Fe,1.90568,0,,20,nist,L6657,A
Fe,1.9075,0,,20,nist,L5300,A
Fe,1.9075,0,,20,nist,L5300,A
Fe,1.90845,0,,20,nist,L6657,A
Fe,1.91765,0,,19,nist,L6657,A
Fe,1.92164,0,,18,nist,L6657,A
Fe,10.008,0,,20,nist,L19066,A
Fe,10.008,0,,20,nist,L19066,A
Fe,10.03,0,,18,nist,L4409,A
Fe,10.034,0,,20,nist,L19066,A
Fe,10.034,0,,20,nist,L19066,A
Fe,10.034,0,,20,nist,L19066,A
Fe,10.058,0,,20,nist,L19066,A
Fe,10.121,0,,20,nist,L19066,A
Fe,10.121,0,,20,nist,L19066,A
Fe,10.123,0,,17,nist,L4008,A
Fe,10.123,0,,17,nist,L4008,A
Fe,10.159,0,,20,nist,L19066,A
Fe,10.159,0,,20,nist,L19066,A
Fe,10.177,0,,20,nist,L19066,A
Fe,10.177,0,,20,nist,L19066,A
Fe,10.177,0,,20,nist,L19066,A
Fe,10.221,0,,17,nist,L4008,A
Fe,10.222,0,,20,nist,L19066,A
Fe,10.320,0,,17,nist,L4008,A
Fe,10.33,0,,18,nist,L4409,A
Fe,10.33,0,,18,nist,L4409,A
Fe,10.386,0,,17,nist,L4008,A
Fe,10.41,0,,18,nist,L4409,A
Fe,10.44,0,,18,nist,L4409,A
Fe,10.44,0,,18,nist,L4409,A
Fe,10.48,0,,18,nist,L4409,A
Fe,10.500,0,,17,nist,L4008,A
Fe,10.51,0,,18,nist,L4409,A
Fe,10.550,0,,17,nist,L4008,A
Fe,10.564,0,,19,nist,L5090,A
Fe,10.617,0,,19,nist,L5090,A
Fe,10.619,0,B+,24,nist,L11369,A
Fe,10.635,0,,19,nist,L5090,A
Fe,10.635,0,,19,nist,L5090,A
Fe,10.644,0,,19,nist,L5090,A
Fe,10.658,0,,17,nist,L5090,A
Fe,10.658,0,,19,nist,L5090,A
Fe,10.658,0,,19,nist,L5090,A
Fe,10.663,0,B+,24,nist,L11369,A
Fe,10.685,0,,19,nist,L5090,A
Fe,10.736,0,,19,nist,L5090,A
Fe,10.770,0,,17,nist,L5090,A
Fe,10.770,0,,19,nist,L5090,A
Fe,10.813,0,,19,nist,L5090,A
Fe,10.813,0,,19,nist,L5090,A
Fe,10.813,0,,19,nist,L5090,A
Fe,10.813,0,,19,nist,L5090,A
Fe,10.813,0,,19,nist,L5090,A
Fe,10.851,0,,17,nist,L4008,A
Fe,10.903,0,C,23,nist,L4776,A
Fe,10.907,0,,19,nist,L5090,A
Fe,10.927,0,C,23,nist,L4776,A
Fe,10.933,0,,19,nist,L5090,A
Fe,10.935,0,C,23,nist,L4776,A
Fe,10.980,0,C,23,nist,L4776,A
Fe,100.026,0,D,10,nist,L1669,A
Fe,100.773,0,C,22,nist,L11504,A
Fe,1000.140,1600,C+,5,nist,L11803,A
Fe,1000.312,670,,5,nist,L11803,A
Fe,1000.521,2900,,3,nist,L11223,A
Fe,1000.769,810,D+,5,nist,L11803,A
Fe,1000.996,9500,,3,nist,L11223,A
Fe,10000.3389,400,,2,nist,L18349c148,A
Fe,10000.3389,400,D+,2,nist,L18349c148,A
Fe,10000.3390,3090,,1,nist,L11631,A
Fe,10001.371,0,,2,nist,L18349c139,A
Fe,10001.604,0.7,E,2,nist,L18349c139,A
Fe,10001.8580,0,,2,nist,L18349c139,A
Fe,10004.768,0,,2,nist,L18349c139,A
Fe,10005.1100,0,,2,nist,L18349c139,A
Fe,10007.8341,0,,2,nist,L18349c139,A
Fe,10007.9462,0,,2,nist,L18349c139,A
Fe,10008.905,2.4,,2,nist,L18349c139,A
Fe,10009.601,0,,1,nist,L11631,A
Fe,1001.181,810,D,5,nist,L11803,A
Fe,1001.353,610,D,5,nist,L11803,A
Fe,1001.353,610,D,5,nist,L11803,A
Fe,1001.451,1300,C+,5,nist,L11803,A
Fe,1001.558,670,D,5,nist,L11803,A
Fe,1001.679,400,D,5,nist,L11803,A
Fe,1001.7,120,C,7,nist,L9815,A
Fe,1001.992,570,D,5,nist,L11803,A
Fe,10015.2185,0,,2,nist,L18349c139,A
Fe,1002.111,900,D+,5,nist,L11803,A
Fe,1002.170,900,D,5,nist,L11803,A
Fe,1002.296,530,D,5,nist,L11803,A
Fe,1002.382,2100,,3,nist,L11223,A
Fe,1002.550,340,D+,5,nist,L11803,A
Fe,1002.647,610,D,5,nist,L11803,A
Fe,1002.798,670,D+,5,nist,L11803,A
Fe,1002.871,1200,C+,5,nist,L11803,A
Fe,10022.539,0,,1,nist,L11631,A
Fe,10022.7592,0,,2,nist,L18349c139,A
Fe,10022.8776,0,,2,nist,L18349c139,A
Fe,10024.8942,0,,2,nist,L18349c139,A
Fe,10025.035,0,,1,nist,L11631,A
