element,wavelength,intensity,acc,state,source,reference,unit
Fe,10000.3390,3090,,1,nist,L11631,A
Fe,10009.601,0,,1,nist,L11631,A
Fe,10022.539,0,,1,nist,L11631,A
Fe,10025.035,0,,1,nist,L11631,A
Fe,10028.830,0,,1,nist,L11631,A
Fe,10035.608,0,,1,nist,L11631,A
Fe,10044.224,0,,1,nist,L11631,A
Fe,10051.337,0,,1,nist,L11631,A
Fe,10060.400,129,,1,nist,L11631,A
Fe,10061.006,0,,1,nist,L11631,A
Fe,10067.804,3470,,1,nist,L11631,A
Fe,10073.280,0,,1,nist,L11631,A
Fe,10074.5806,680,,1,nist,L11631,A
Fe,10078.4007,288,,1,nist,L11631,A
Fe,10079.945,0,,1,nist,L11631,A
Fe,10084.158,0,,1,nist,L11631,A
Fe,10087.201,0,,1,nist,L11631,A
Fe,10087.841,0,,1,nist,L11631,A
Fe,10089.006,0,,1,nist,L11631,A
Fe,10092.541,0,,1,nist,L11631,A
Fe,10106.965,0,,1,nist,L11631,A
Fe,10108.287,0,,1,nist,L11631,A
Fe,10116.788,240,,1,nist,L11631,A
Fe,10122.354,0,,1,nist,L11631,A
Fe,10135.417,0,,1,nist,L11631,A
Fe,10139.880,0,,1,nist,L11631,A
Fe,10145.623,110,,1,nist,L11631,A
Fe,10148.344,4790,,1,nist,L11631,A
Fe,10151.860,0,,1,nist,L11631,A
Fe,10156.088,100,,1,nist,L11631,A
Fe,10157.949,107,,1,nist,L11631,A
Fe,10159.290,0,,1,nist,L11631,A
Fe,10159.398,0,,1,nist,L11631,A
Fe,10170.256,138,,1,nist,L11631,A
Fe,10176.192,0,,1,nist,L11631,A
Fe,10178.289,0,,1,nist,L11631,A
Fe,10197.901,347,,1,nist,L11631,A
Fe,10219.113,7600,,1,nist,L11631,A
Fe,10221.211,650,,1,nist,L11631,A
Fe,10221.777,0,,1,nist,L11631,A
Fe,10233.591,0,,1,nist,L11631,A
Fe,10235.607,0,,1,nist,L11631,A
Fe,10251.983,0,,1,nist,L11631,A
Fe,10255.364,0,,1,nist,L11631,A
Fe,10261.410,0,,1,nist,L11631,A
Fe,10265.276,0,,1,nist,L11631,A
Fe,10268.033,0,,1,nist,L11631,A
Fe,10286.596,0,,1,nist,L11631,A
Fe,10310.279,0,,1,nist,L11631,A
Fe,10330.143,0,,1,nist,L11631,A
Fe,10335.161,0,,1,nist,L11631,A
Fe,10336.014,0,,1,nist,L11631,A
Fe,10339.175,0,,1,nist,L11631,A
Fe,10343.720,468,,1,nist,L11631,A
Fe,10348.019,0,,1,nist,L11631,A
Fe,10350.802,347,,1,nist,L11631,A
Fe,10356.643,182,,1,nist,L11631,A
Fe,10363.419,0,,1,nist,L11631,A
Fe,10365.543,0,,1,nist,L11631,A
Fe,10366.901,123,,1,nist,L11631,A
Fe,10368.010,0,,1,nist,L11631,A
Fe,10373.719,0,,1,nist,L11631,A
Fe,10374.529,0,,1,nist,L11631,A
Fe,10381.845,126,,1,nist,L11631,A
Fe,10390.330,0,,1,nist,L11631,A
Fe,10391.591,0,,1,nist,L11631,A
Fe,10398.646,890,,1,nist,L11631,A
Fe,10403.629,0,,1,nist,L11631,A
Fe,10404.565,0,,1,nist,L11631,A
Fe,10406.050,0,,1,nist,L11631,A
Fe,10425.886,347,,1,nist,L11631,A
Fe,10426.601,407,,1,nist,L11631,A
Fe,10438.216,0,,1,nist,L11631,A
Fe,10455.6151,2090,,1,nist,L11631,A
Fe,10456.017,0,,1,nist,L11631,A
Fe,10459.806,0,,1,nist,L11631,A
Fe,10472.523,6800,,1,nist,L11631,A
Fe,10529.911,126,,1,nist,L11631,A
Fe,10535.122,3020,,1,nist,L11631,A
Fe,10555.901,0,,1,nist,L11631,A
Fe,10558.543,0,,1,nist,L11631,A
Fe,10560.418,0,,1,nist,L11631,A
Fe,10580.038,0,,1,nist,L11631,A
Fe,10619.632,0,,1,nist,L11631,A
Fe,10620.986,0,,1,nist,L11631,A
Fe,10635.128,0,,1,nist,L11631,A
Fe,10635.413,0,,1,nist,L11631,A
Fe,10645.579,0,,1,nist,L11631,A
Fe,10661.402,0,,1,nist,L11631,A
Fe,10685.320,0,,1,nist,L11631,A
Fe,10690.723,0,,1,nist,L11631,A
Fe,10705.976,0,,1,nist,L11631,A
Fe,10720.745,0,,1,nist,L11631,A
Fe,10724.593,0,,1,nist,L11631,A
Fe,10728.123,0,,1,nist,L11631,A
Fe,10728.123,0,,1,nist,L11631,A
Fe,10734.888,0,,1,nist,L11631,A
Fe,10747.490,0,,1,nist,L11631,A
Fe,10755.953,690,,1,nist,L11631,A
Fe,10757.229,0,,1,nist,L11631,A
Fe,10757.702,0,,1,nist,L11631,A
Fe,10774.182,0,,1,nist,L11631,A
Fe,10783.647,158,,1,nist,L11631,A
Fe,10786.005,468,,1,nist,L11631,A
Fe,10788.340,0,,1,nist,L11631,A
Fe,10821.239,600,,1,nist,L11631,A
Fe,10836.933,0,,1,nist,L11631,A
Fe,10837.210,0,,1,nist,L11631,A
Fe,10848.749,0,,1,nist,L11631,A
Fe,10852.439,209,,1,nist,L11631,A
Fe,10866.496,680,,1,nist,L11631,A
Fe,10873.369,0,,1,nist,L11631,A
Fe,10884.741,269,,1,nist,L11631,A
Fe,10887.245,790,,1,nist,L11631,A
Fe,10899.287,269,,1,nist,L11631,A
Fe,10916.025,0,,1,nist,L11631,A
Fe,10917.058,0,,1,nist,L11631,A
Fe,10943.236,0,,1,nist,L11631,A
Fe,10949.758,0,,1,nist,L11631,A
Fe,10951.993,0,,1,nist,L11631,A
Fe,10973.021,0,,1,nist,L11631,A
Fe,10974.2295,141,,1,nist,L11631,A
Fe,10979.669,0,,1,nist,L11631,A
Fe,10990.218,0,,1,nist,L11631,A
Fe,10996.273,0,,1,nist,L11631,A
Fe,11016.253,195,,1,nist,L11631,A
Fe,11023.706,0,,1,nist,L11631,A
Fe,11029.810,234,,1,nist,L11631,A
Fe,11035.6347,229,,1,nist,L11631,A
Fe,11041.690,0,,1,nist,L11631,A
Fe,11048.627,112,,1,nist,L11631,A
Fe,11056.542,0,,1,nist,L11631,A
Fe,11060.802,0,,1,nist,L11631,A
Fe,11084.629,0,,1,nist,L11631,A
Fe,11090.774,0,,1,nist,L11631,A
Fe,11100.122,0,,1,nist,L11631,A
Fe,11101.174,0,,1,nist,L11631,A
Fe,11122.842,3020,C+,1,nist,L11631,A
Fe,11125.383,0,,1,nist,L11631,A
Fe,11130.810,0,,1,nist,L11631,A
Fe,11130.881,0,,1,nist,L11631,A
Fe,11134.375,0,,1,nist,L11631,A
Fe,11139.012,0,,1,nist,L11631,A
Fe,11141.4816,209,,1,nist,L11631,A
Fe,11152.317,810,,1,nist,L11631,A
Fe,11158.948,151,,1,nist,L11631,A
Fe,11164.204,0,,1,nist,L11631,A
Fe,11164.204,0,,1,nist,L11631,A
Fe,11166.750,0,,1,nist,L11631,A
Fe,11189.208,0,,1,nist,L11631,A
Fe,11191.523,112,,1,nist,L11631,A
Fe,11193.085,0,,1,nist,L11631,A
Fe,11193.939,282,,1,nist,L11631,A
Fe,11195.168,0,,1,nist,L11631,A
Fe,11199.551,0,,1,nist,L11631,A
Fe,11203.902,0,,1,nist,L11631,A
Fe,11221.504,0,,1,nist,L11631,A
Fe,11223.969,0,,1,nist,L11631,A
Fe,11228.029,0,,1,nist,L11631,A
Fe,11240.179,0,,1,nist,L11631,A
Fe,11254.196,4900,B,1,nist,L11631,A
Fe,11280.572,0,,1,nist,L11631,A
Fe,11291.820,0,,1,nist,L11631,A
Fe,11297.0328,182,,1,nist,L11631,A
Fe,11297.279,0,,1,nist,L11631,A
Fe,11298.8847,107,,1,nist,L11631,A
Fe,11301.955,2510,B,1,nist,L11631,A
Fe,11306.9801,870,,1,nist,L11631,A
Fe,11324.779,0,,1,nist,L11631,A
Fe,11337.247,0,,1,nist,L11631,A
Fe,11340.911,0,,1,nist,L11631,A
Fe,11354.4360,234,,1,nist,L11631,A
Fe,11359.063,240,,1,nist,L11631,A
Fe,11360.845,0,,1,nist,L11631,A
Fe,11362.645,0,,1,nist,L11631,A
Fe,11368.9091,1200,,1,nist,L11631,A
Fe,11370.2196,590,,1,nist,L11631,A
Fe,11377.195,1290,C+,1,nist,L11631,A
Fe,11388.7813,870,,1,nist,L11631,A
Fe,11389.065,0,,1,nist,L11631,A
Fe,11391.658,234,,1,nist,L11631,A
Fe,11394.046,102,,1,nist,L11631,A
Fe,11398.689,0,,1,nist,L11631,A
Fe,11405.84,158,,1,nist,L11631,A
Fe,11405.84,158,,1,nist,L11631,A
Fe,11413.044,155,,1,nist,L11631,A
Fe,11413.941,0,,1,nist,L11631,A
Fe,11415.119,0,,1,nist,L11631,A
Fe,11425.45,4570,C+,1,nist,L11631,A
Fe,11427.196,0,,1,nist,L11631,A
Fe,11430.490,0,,1,nist,L11631,A
Fe,11435.982,0,,1,nist,L11631,A
Fe,11442.258,18200,B,1,nist,L11631,A
Fe,11445.023,0,,1,nist,L11631,A
Fe,11474.119,0,,1,nist,L11631,A
Fe,11477.460,0,,1,nist,L11631,A
Fe,11478.909,178,,1,nist,L11631,A
Fe,11492.699,145,,1,nist,L11631,A
Fe,11531.019,0,,1,nist,L11631,A
Fe,11532.908,0,,1,nist,L11631,A
Fe,11549.54,0,,1,nist,L11631,A
Fe,11558.250,0,,1,nist,L11631,A
Fe,11571.505,0,,1,nist,L11631,A
Fe,11575.685,363,,1,nist,L11631,A
Fe,11588.389,200,,1,nist,L11631,A
Fe,11592.876,0,,1,nist,L11631,A
Fe,11593.095,0,,1,nist,L11631,A
Fe,11596.765,8900,C+,1,nist,L11631,A
Fe,11597.724,510,,1,nist,L11631,A
Fe,11606.09,0,,1,nist,L11631,A
Fe,11610.752,25100,C+,1,nist,L11631,A
Fe,11612.801,0,,1,nist,L11631,A
Fe,11620.192,0,,1,nist,L11631,A
Fe,11628.259,0,,1,nist,L11631,A
Fe,11641.450,16600,B,1,nist,L11631,A
Fe,11644.988,0,,1,nist,L11631,A
Fe,11656.174,0,,1,nist,L11631,A
Fe,11659.482,204,,1,nist,L11631,A
Fe,11672.83,174,,1,nist,L11631,A
Fe,11672.83,174,,1,nist,L11631,A
Fe,11677.55,0,,1,nist,L11631,A
Fe,11679.491,0,,1,nist,L11631,A
Fe,11681.196,0,,1,nist,L11631,A
Fe,11684.794,0,,1,nist,L11631,A
Fe,11685.453,0,,1,nist,L11631,A
Fe,11685.8433,1910,,1,nist,L11631,A
Fe,11691.867,0,,1,nist,L11631,A
Fe,11693.176,22900,C+,1,nist,L11631,A
Fe,11696.407,0,,1,nist,L11631,A
Fe,11697.15,1380,,1,nist,L11631,A
Fe,11703.148,0,,1,nist,L11631,A
Fe,11705.423,0,,1,nist,L11631,A
Fe,11709.1898,182,,1,nist,L11631,A
Fe,11718.692,214,,1,nist,L11631,A
Fe,11727.696,0,,1,nist,L11631,A
Fe,11728.774,0,,1,nist,L11631,A
Fe,11731.773,112,,1,nist,L11631,A
Fe,11742.437,0,,1,nist,L11631,A
Fe,11759.212,0,,1,nist,L11631,A
Fe,11776.775,105,,1,nist,L11631,A
Fe,11781.926,0,,1,nist,L11631,A
Fe,11786.492,36300,B,1,nist,L11631,A
Fe,11803.887,0,,1,nist,L11631,A
Fe,11810.2411,1260,,1,nist,L11631,A
Fe,11812.10,0,,1,nist,L11631,A
Fe,11812.10,0,,1,nist,L11631,A
Fe,11817.066,0,,1,nist,L11631,A
Fe,11830.382,740,,1,nist,L11631,A
Fe,11833.089,0,,1,nist,L11631,A
Fe,11838.74,0,,1,nist,L11631,A
Fe,11857.487,0,,1,nist,L11631,A
Fe,11864.5143,830,,1,nist,L11631,A
Fe,11886.098,24500,B,1,nist,L11631,A
Fe,11887.338,21900,C+,1,nist,L11631,A
Fe,11893.743,630,,1,nist,L11631,A
Fe,11894.297,0,,1,nist,L11631,A
Fe,11899.283,0,,1,nist,L11631,A
Fe,11905.162,0,,1,nist,L11631,A
Fe,11920.137,0,,1,nist,L11631,A
Fe,11926.3587,0,,1,nist,L11631,A
Fe,11926.4554,1660,,1,nist,L11631,A
Fe,11929.663,0,,1,nist,L11631,A
Fe,11933.7636,110,,1,nist,L11631,A
Fe,11942.2040,1910,,1,nist,L11631,A
Fe,11946.659,0,,1,nist,L11631,A
Fe,11973.776,126,,1,nist,L11631,A
Fe,11976.327,24000,B,1,nist,L11631,A
Fe,11992.828,0,,1,nist,L11631,A
Fe,11993.668,0,,1,nist,L11631,A
Fe,12008.685,479,,1,nist,L11631,A
Fe,12008.834,282,,1,nist,L11631,A
Fe,12013.874,0,,1,nist,L11631,A
Fe,12028.448,0,,1,nist,L11631,A
Fe,12039.140,0,,1,nist,L11631,A
Fe,12047.423,0,,1,nist,L11631,A
Fe,12056.382,560,D+,1,nist,L11631,A
Fe,12064.006,0,,1,nist,L11631,A
Fe,12082.215,0,,1,nist,L11631,A
Fe,12084.228,0,,1,nist,L11631,A
Fe,12090.367,0,,1,nist,L11631,A
Fe,12093.080,0,,1,nist,L11631,A
Fe,12095.548,0,,1,nist,L11631,A
Fe,12119.076,0,,1,nist,L11631,A
Fe,12120.071,0,,1,nist,L11631,A
Fe,12122.81,930,,1,nist,L11631,A
Fe,12134.495,0,,1,nist,L11631,A
Fe,12135.558,0,,1,nist,L11631,A
Fe,12138.9483,126,,1,nist,L11631,A
Fe,12142.112,0,,1,nist,L11631,A
Fe,12145.812,0,,1,nist,L11631,A
Fe,12177.06,0,,1,nist,L11631,A
Fe,12191.728,0,,1,nist,L11631,A
Fe,12193.435,288,D+,1,nist,L11631,A
Fe,12193.929,0,,1,nist,L11631,A
Fe,12196.839,0,,1,nist,L11631,A
Fe,12216.675,195,,1,nist,L11631,A
Fe,12229.308,0,,1,nist,L11631,A
Fe,12230.458,630,,1,nist,L11631,A
Fe,12235.878,158,,1,nist,L11631,A
Fe,12248.273,0,,1,nist,L11631,A
Fe,12271.248,0,,1,nist,L11631,A
Fe,12275.18,0,,1,nist,L11631,A
Fe,12276.382,0,,1,nist,L11631,A
Fe,12277.773,0,,1,nist,L11631,A
Fe,12286.657,0,,1,nist,L11631,A
Fe,12286.88,0,,1,nist,L11631,A
Fe,12291.602,0,,1,nist,L11631,A
Fe,12293.93,0,,1,nist,L11631,A
Fe,12293.93,0,,1,nist,L11631,A
Fe,12296.886,0,,1,nist,L11631,A
Fe,12300.522,0,,1,nist,L11631,A
Fe,12303.087,0,,1,nist,L11631,A
Fe,12304.433,0,,1,nist,L11631,A
Fe,12315.522,0,,1,nist,L11631,A
Fe,12323.636,0,,1,nist,L11631,A
Fe,12333.879,0,,1,nist,L11631,A
Fe,12343.864,0,,1,nist,L11631,A
Fe,12346.291,468,,1,nist,L11631,A
Fe,12396.1429,447,,1,nist,L11631,A
Fe,12400.473,0,,1,nist,L11631,A
Fe,12413.986,0,,1,nist,L11631,A
Fe,12417.484,0,,1,nist,L11631,A
Fe,12436.213,0,,1,nist,L11631,A
Fe,12449.854,0,,1,nist,L11631,A
Fe,12452.194,0,,1,nist,L11631,A
Fe,12463.174,0,,1,nist,L11631,A
Fe,12479.240,0,,1,nist,L11631,A
Fe,12513.941,158,,1,nist,L11631,A
Fe,12515.670,0,,1,nist,L11631,A
Fe,12558.899,0,,1,nist,L11631,A
Fe,12559.397,0,,1,nist,L11631,A
Fe,12560.433,324,C+,1,nist,L11631,A
Fe,12583.643,0,,1,nist,L11631,A
Fe,12584.575,0,,1,nist,L11631,A
Fe,12609.925,0,,1,nist,L11631,A
Fe,12612.108,0,,1,nist,L11631,A
Fe,12613.653,0,,1,nist,L11631,A
Fe,12619.376,407,,1,nist,L11631,A
Fe,12634.923,0,,1,nist,L11631,A
Fe,12635.399,0,,1,nist,L11631,A
Fe,12642.164,2880,,1,nist,L11631,A
Fe,12652.202,1230,C+,1,nist,L11631,A
Fe,12666.74,295,,1,nist,L11631,A
Fe,12670.580,0,,1,nist,L11631,A
Fe,12673.64,0,,1,nist,L11631,A
Fe,12684.170,0,,1,nist,L11631,A
Fe,12701.6879,0,,1,nist,L11631,A
Fe,12733.441,0,,1,nist,L11631,A
Fe,12742.281,0,,1,nist,L11631,A
Fe,12742.689,0,,1,nist,L11631,A
Fe,12786.95,0,,1,nist,L11631,A
Fe,12792.949,123,,1,nist,L11631,A
Fe,12810.652,355,,1,nist,L11631,A
Fe,12811.748,204,,1,nist,L11631,A
Fe,12823.419,0,,1,nist,L11631,A
Fe,12824.142,0,,1,nist,L11631,A
Fe,12828.368,407,,1,nist,L11631,A
Fe,12830.094,0,,1,nist,L11631,A
Fe,12844.085,229,,1,nist,L11631,A
Fe,12868.5769,580,,1,nist,L11631,A
Fe,12883.292,910,C+,1,nist,L11631,A
Fe,12888.161,0,,1,nist,L11631,A
Fe,12894.219,0,,1,nist,L11631,A
Fe,12899.647,269,,1,nist,L11631,A
Fe,12900.750,0,,1,nist,L11631,A
Fe,12916.7411,123,,1,nist,L11631,A
Fe,12919.8512,630,,1,nist,L11631,A
Fe,12936.543,110,,1,nist,L11631,A
Fe,12938.205,204,,1,nist,L11631,A
Fe,12950.081,0,,1,nist,L11631,A
Fe,12962.0377,251,,1,nist,L11631,A
Fe,12965.770,0,,1,nist,L11631,A
Fe,12967.968,0,,1,nist,L11631,A
Fe,12980.906,0,,1,nist,L11631,A
Fe,12999.222,0,,1,nist,L11631,A
Fe,13004.387,0,,1,nist,L11631,A
Fe,13010.245,520,,1,nist,L11631,A
Fe,13018.402,0,,1,nist,L11631,A
Fe,13030.378,0,,1,nist,L11631,A
Fe,13043.219,112,,1,nist,L11631,A
