element,wavelength,intensity,acc,state,source,reference,unit
Fe,1425.73,0,,4,nist,L4346,A
Fe,1431.43,0,,4,nist,L4346,A
Fe,1473.20,0,,4,nist,L4346,A
Fe,1489.53,0,,4,nist,L4346,A
Fe,1495.18,0,,4,nist,L4346,A
Fe,1526.60,0,,4,nist,L4346,A
Fe,1530.26,0,,4,nist,L4346,A
Fe,1532.63,0,,4,nist,L4346,A
Fe,1532.91,0,,4,nist,L4346,A
Fe,1533.86,0,,4,nist,L4346,A
Fe,1533.95,0,,4,nist,L4346,A
Fe,1536.58,0,,4,nist,L4346,A
Fe,1538.29,0,,4,nist,L4346,A
Fe,1542.16,0,,4,nist,L4346,A
Fe,1542.70,0,,4,nist,L4346,A
Fe,1546.40,0,,4,nist,L4346,A
Fe,1552.35,0,,4,nist,L4346,A
Fe,1552.71,0,,4,nist,L4346,A
Fe,1562.46,0,,4,nist,L4346,A
Fe,1566.26,0,,4,nist,L4346,A
Fe,1568.27,0,,4,nist,L4346,A
Fe,1570.18,0,,4,nist,L4346,A
Fe,1570.42,0,,4,nist,L4346,A
Fe,1571.24,0,,4,nist,L4346,A
Fe,1577.20,0,,4,nist,L4346,A
Fe,1577.76,0,,4,nist,L4346,A
Fe,1590.62,0,,4,nist,L4346,A
Fe,1591.51,0,,4,nist,L4346,A
Fe,1592.05,0,,4,nist,L4346,A
Fe,1596.67,0,,4,nist,L4346,A
Fe,1598.01,0,,4,nist,L4346,A
Fe,1600.50,0,,4,nist,L4346,A
Fe,1600.58,0,,4,nist,L4346,A
Fe,1601.67,0,,4,nist,L4346,A
Fe,1602.08,0,,4,nist,L4346,A
Fe,1603.18,0,,4,nist,L4346,A
Fe,1603.73,0,,4,nist,L4346,A
Fe,1604.88,0,,4,nist,L4346,A
Fe,1605.68,0,,4,nist,L4346,A
Fe,1605.97,0,,4,nist,L4346,A
Fe,1606.98,0,,4,nist,L4346,A
Fe,1609.10,0,,4,nist,L4346,A
Fe,1609.83,0,,4,nist,L4346,A
Fe,1610.47,0,,4,nist,L4346,A
Fe,1611.20,0,,4,nist,L4346,A
Fe,1613.64,0,,4,nist,L4346,A
Fe,1614.02,0,,4,nist,L4346,A
Fe,1614.64,0,,4,nist,L4346,A
Fe,1615.00,0,,4,nist,L4346,A
Fe,1615.61,0,,4,nist,L4346,A
Fe,1616.68,0,,4,nist,L4346,A
Fe,1617.68,0,,4,nist,L4346,A
Fe,1619.02,0,,4,nist,L4346,A
Fe,1620.91,0,,4,nist,L4346,A
Fe,1621.16,0,,4,nist,L4346,A
Fe,1621.57,0,,4,nist,L4346,A
Fe,1623.38,0,,4,nist,L4346,A
Fe,1623.53,0,,4,nist,L4346,A
Fe,1626.47,0,,4,nist,L4346,A
Fe,1626.90,0,,4,nist,L4346,A
Fe,1628.54,0,,4,nist,L4346,A
Fe,1630.18,0,,4,nist,L4346,A
Fe,1631.08,0,,4,nist,L4346,A
Fe,1632.08,0,,4,nist,L4346,A
Fe,1632.40,0,,4,nist,L4346,A
Fe,1634.01,0,,4,nist,L4346,A
Fe,1638.07,0,,4,nist,L4346,A
Fe,1638.30,0,,4,nist,L4346,A
