element,wavelength,intensity,acc,state,source,reference,unit
Ga,1044.8,0,,1,nist,L12180,A
Ga,1045.7,0,,1,nist,L12180,A
Ga,1045.7,0,,1,nist,L12180,A
Ga,1046.8,0,,1,nist,L12180,A
Ga,1046.8,0,,1,nist,L12180,A
Ga,1047.97,0,,1,nist,L12180,A
Ga,1047.97,0,,1,nist,L12180,A
Ga,1048.59,0,,1,nist,L12180,A
Ga,1049.9,0,,1,nist,L12180,A
Ga,1049.9,0,,1,nist,L12180,A
Ga,1049.93,0,,1,nist,L12180,A
Ga,1049.93,0,,1,nist,L12180,A
Ga,1050.7,0,,1,nist,L12180,A
Ga,1050.7,0,,1,nist,L12180,A
Ga,1051.69,0,,1,nist,L12180,A
Ga,1051.69,0,,1,nist,L12180,A
Ga,1051.69,0,,1,nist,L12180,A
Ga,1051.69,0,,1,nist,L12180,A
Ga,1053.87,0,,1,nist,L12180,A
Ga,1053.87,0,,1,nist,L12180,A
Ga,1053.87,0,,1,nist,L12180,A
Ga,1057.14,0,,1,nist,L12180,A
Ga,1057.14,0,,1,nist,L12180,A
Ga,1058.68,0,,1,nist,L12180,A
Ga,1059.54,0,,1,nist,L12180,A
Ga,1059.54,0,,1,nist,L12180,A
Ga,1059.54,0,,1,nist,L12180,A
Ga,1059.54,0,,1,nist,L12180,A
Ga,1064.35,0,,1,nist,L12180,A
Ga,1064.35,0,,1,nist,L12180,A
Ga,1064.35,0,,1,nist,L12180,A
Ga,1064.35,0,,1,nist,L12180,A
Ga,1065.57,0,,1,nist,L12180,A
Ga,1065.57,0,,1,nist,L12180,A
Ga,1066.12,0,,1,nist,L12180,A
Ga,1067.05,0,,1,nist,L12180,A
Ga,1071.57,0,,1,nist,L12180,A
Ga,1071.57,0,,1,nist,L12180,A
Ga,1074.84,0,,1,nist,L12180,A
Ga,1075.51,0,,1,nist,L12180,A
Ga,1076.50,0,,1,nist,L12180,A
Ga,1077.77,0,,1,nist,L12180,A
Ga,1082.44,0,,1,nist,L12180,A
Ga,1083.49,0,,1,nist,L12180,A
Ga,1083.49,0,,1,nist,L12180,A
Ga,1085.98,0,,1,nist,L12180,A
Ga,1087.35,0,,1,nist,L12180,A
Ga,10901.09,0,,1,nist,L12180,A
Ga,10908.46,0,,1,nist,L12180,A
Ga,1093.20,0,,1,nist,L12180,A
Ga,1094.74,0,,1,nist,L12180,A
Ga,1095.44,0,,1,nist,L12180,A
Ga,1097.46,0,,1,nist,L12180,A
Ga,10971.27,0,,1,nist,L12180,A
Ga,1101.72,0,,1,nist,L12180,A
Ga,1107.42,0,,1,nist,L12180,A
Ga,11106.55,0,,1,nist,L12180,A
Ga,1122.51,0,,1,nist,L12180,A
Ga,1124.53,0,,1,nist,L12180,A
Ga,1128.98,0,,1,nist,L12180,A
Ga,1131.38,0,,1,nist,L12180,A
Ga,1132.76,0,,1,nist,L12180,A
Ga,1134.23,0,,1,nist,L12180,A
Ga,1136.93,0,,1,nist,L12180,A
Ga,1141.99,0,,1,nist,L12180,A
Ga,1148.16,0,,1,nist,L12180,A
Ga,1191.68,0,,1,nist,L12180,A
Ga,1191.68,0,,1,nist,L12180,A
Ga,11952.39,0,,1,nist,L12180,A
Ga,1203.55,0,,1,nist,L12180,A
Ga,1203.55,0,,1,nist,L12180,A
Ga,12113.09,0,,1,nist,L12180,A
