element,wavelength,intensity,acc,state,source,reference,unit
Ga,1064.811,0,,3,nist,L12180,A
Ga,1090.514,0,,3,nist,L12180,A
Ga,1106.106,0,,3,nist,L12180,A
Ga,1110.590,0,,3,nist,L12180,A
Ga,1118.079,0,,3,nist,L12180,A
Ga,1133.878,0,,3,nist,L12180,A
Ga,1144.219,0,,3,nist,L12180,A
Ga,1145.687,0,,3,nist,L12180,A
Ga,1149.987,0,,3,nist,L12180,A
Ga,1155.600,0,,3,nist,L12180,A
Ga,1163.701,0,,3,nist,L12180,A
Ga,1192.068,0,,3,nist,L12180,A
Ga,1199.552,0,,3,nist,L12180,A
Ga,1246.535,0,,3,nist,L12180,A
Ga,1267.151,0,,3,nist,L12180,A
Ga,1290.110,0,,3,nist,L12180,A
Ga,1293.446,0,,3,nist,L12180,A
Ga,1295.357,0,,3,nist,L12180,A
Ga,1297.944,0,,3,nist,L12180,A
Ga,1323.147,0,,3,nist,L12180,A
Ga,1353.928,0,,3,nist,L12180,A
Ga,1454.914,0,,3,nist,L12180,A
Ga,1492.220,0,,3,nist,L12180,A
Ga,1495.045,0,,3,nist,L12180,A
Ga,1501.641,260,,3,nist,L12180,A
Ga,1520.262,0,,3,nist,L12180,A
Ga,1534.462,0,,3,nist,L12180,A
Ga,1565.482,190,,3,nist,L12180,A
Ga,1566.611,0,,3,nist,L12180,A
Ga,1569.650,0,,3,nist,L12180,A
Ga,1574.611,0,,3,nist,L12180,A
Ga,1584.164,0,,3,nist,L12180,A
Ga,1635.293,130,,3,nist,L12180,A
Ga,1775.304,0,,3,nist,L12180,A
Ga,1804.179,100,,3,nist,L12180,A
Ga,1816.753,0,,3,nist,L12180,A
Ga,1888.912,140,,3,nist,L12180,A
Ga,1914.311,160,,3,nist,L12180,A
Ga,1919.840,0,,3,nist,L12180,A
Ga,1924.058,240,,3,nist,L12180,A
Ga,1940.596,0,,3,nist,L12180,A
Ga,2030.266,0,,3,nist,L12180,A
Ga,2051.313,0,,3,nist,L12180,A
Ga,2052.727,0,,3,nist,L12180,A
Ga,2066.862,0,,3,nist,L12180,A
Ga,2090.146,0,,3,nist,L12180,A
Ga,2369.38,0,,3,nist,L12180,A
Ga,2369.80,0,,3,nist,L12180,A
Ga,2418.607,0,,3,nist,L12180,A
Ga,2424.899,0,,3,nist,L12180,A
Ga,2425.276,0,,3,nist,L12180,A
Ga,2864.175,0,,3,nist,L12180,A
Ga,2864.701,0,,3,nist,L12180,A
Ga,3518.380,0,,3,nist,L12180,A
Ga,3578.304,0,,3,nist,L12180,A
Ga,3586.377,0,,3,nist,L12180,A
Ga,3731.219,0,,3,nist,L12180,A
Ga,3807.759,0,,3,nist,L12180,A
Ga,434.06,0,,3,nist,L12180,A
Ga,434.313,0,,3,nist,L12180,A
Ga,4381.85,0,,3,nist,L12180,A
Ga,4383.07,0,,3,nist,L12180,A
Ga,445.816,0,,3,nist,L12180,A
Ga,452.772,0,,3,nist,L12180,A
Ga,459.159,0,,3,nist,L12180,A
Ga,461.937,0,,3,nist,L12180,A
Ga,463.115,0,,3,nist,L12180,A
Ga,465.634,0,,3,nist,L12180,A
Ga,466.686,0,,3,nist,L12180,A
Ga,466.830,0,,3,nist,L12180,A
Ga,467.817,0,,3,nist,L12180,A
Ga,467.867,0,,3,nist,L12180,A
Ga,469.510,0,,3,nist,L12180,A
Ga,470.451,0,,3,nist,L12180,A
Ga,471.47,0,,3,nist,L12180,A
Ga,472.16,0,,3,nist,L12180,A
Ga,472.16,0,,3,nist,L12180,A
Ga,473.328,0,,3,nist,L12180,A
Ga,478.084,0,,3,nist,L12180,A
Ga,486.894,0,,3,nist,L12180,A
Ga,4864.39,0,,3,nist,L12180,A
Ga,489.200,0,,3,nist,L12180,A
Ga,492.367,0,,3,nist,L12180,A
Ga,493.355,0,,3,nist,L12180,A
Ga,495.819,0,,3,nist,L12180,A
Ga,498.400,0,,3,nist,L12180,A
Ga,4995.32,0,,3,nist,L12180,A
Ga,500.079,0,,3,nist,L12180,A
Ga,502.712,0,,3,nist,L12180,A
Ga,505.610,0,,3,nist,L12180,A
Ga,507.553,0,,3,nist,L12180,A
Ga,509.364,0,,3,nist,L12180,A
Ga,511.132,170,,3,nist,L12180,A
Ga,512.671,0,,3,nist,L12180,A
Ga,531.087,0,,3,nist,L12180,A
Ga,5338.70,0,,3,nist,L12180,A
Ga,535.890,0,,3,nist,L12180,A
Ga,5356.69,0,,3,nist,L12180,A
Ga,5359.65,0,,3,nist,L12180,A
Ga,5807.88,0,,3,nist,L12180,A
Ga,5846.55,0,,3,nist,L12180,A
Ga,5995.53,0,,3,nist,L12180,A
Ga,619.940,0,,3,nist,L12180,A
Ga,622.024,0,,3,nist,L12180,A
Ga,690.372,0,,3,nist,L12180,A
Ga,694.548,0,,3,nist,L12180,A
Ga,698.485,0,,3,nist,L12180,A
Ga,806.328,0,,3,nist,L12180,A
Ga,817.018,0,,3,nist,L12180,A
Ga,817.239,0,,3,nist,L12180,A
Ga,817.659,0,,3,nist,L12180,A
Ga,828.651,0,,3,nist,L12180,A
