element,wavelength,intensity,acc,state,source,reference,unit
Gd,2468.97,100,,2,nist,L3475,A
Gd,2472.33,0,,2,nist,L3475,A
Gd,2486.42,0,,2,nist,L3475,A
Gd,2488.21,0,,2,nist,L3475,A
Gd,2489.47,110,,2,nist,L3475,A
Gd,2494.04,0,,2,nist,L3475,A
Gd,2497.10,0,,2,nist,L3475,A
Gd,2499.79,0,,2,nist,L3475,A
Gd,2544.44,0,,2,nist,L3475,A
Gd,2586.90,0,,2,nist,L3475,A
Gd,2662.29,0,,2,nist,L3475,A
Gd,2721.31,0,,2,nist,L3475,A
Gd,2751.03,430,,2,nist,L3475,A
Gd,2764.90,460,,2,nist,L3475,A
Gd,2769.33,0,,2,nist,L3475,A
Gd,2770.63,320,,2,nist,L3475,A
Gd,2770.99,230,,2,nist,L3475,A
Gd,2771.80,0,,2,nist,L3475,A
Gd,2779.96,0,,2,nist,L3475,A
Gd,2782.22,440,,2,nist,L3475,A
Gd,2792.78,390,,2,nist,L3475,A
Gd,2795.48,100,,2,nist,L3475,A
Gd,2797.75,930,,2,nist,L3475,A
Gd,2809.21,0,,2,nist,L3475,A
Gd,2810.55,750,,2,nist,L3475,A
Gd,2811.76,160,,2,nist,L3475,A
Gd,2814.84,0,,2,nist,L3475,A
Gd,2834.58,300,,2,nist,L3475,A
Gd,2837.52,0,,2,nist,L3475,A
Gd,2837.83,0,,2,nist,L3475,A
Gd,2841.07,560,,2,nist,L3475,A
Gd,2842.17,140,,2,nist,L3475,A
Gd,2854.75,0,,2,nist,L3475,A
Gd,2857.36,0,,2,nist,L3475,A
Gd,2860.62,0,,2,nist,L3475,A
Gd,2863.32,120,,2,nist,L3475,A
Gd,2865.90,0,,2,nist,L3475,A
Gd,2867.17,0,,2,nist,L3475,A
Gd,2872.59,0,,2,nist,L3475,A
Gd,2882.18,460,,2,nist,L3475,A
Gd,2882.98,0,,2,nist,L3475,A
Gd,2886.45,130,,2,nist,L3475,A
Gd,2908.29,0,,2,nist,L3475,A
Gd,2911.38,170,,2,nist,L3475,A
Gd,2913.93,0,,2,nist,L3475,A
Gd,2919.37,0,,2,nist,L3475,A
Gd,2924.18,0,,2,nist,L3475,A
Gd,2925.11,0,,2,nist,L3475,A
Gd,2929.20,0,,2,nist,L3475,A
Gd,2948.66,0,,2,nist,L3475,A
Gd,2948.87,0,,2,nist,L3475,A
Gd,2956.46,0,,2,nist,L3475,A
Gd,2961.79,0,,2,nist,L3475,A
Gd,2964.47,130,,2,nist,L3475,A
Gd,2966.30,0,,2,nist,L3475,A
Gd,2973.61,0,,2,nist,L3475,A
Gd,2981.02,560,,2,nist,L3475,A
Gd,2984.61,0,,2,nist,L3475,A
Gd,2992.39,0,,2,nist,L3475,A
Gd,2993.91,0,,2,nist,L3475,A
Gd,2999.91,1200,,2,nist,L3475,A
Gd,3003.74,370,,2,nist,L3475,A
Gd,3005.97,100,,2,nist,L3475,A
Gd,3011.01,2100,,2,nist,L3475,A
Gd,3013.07,130,,2,nist,L3475,A
Gd,3028.48,1900,,2,nist,L3475,A
Gd,3029.86,120,,2,nist,L3475,A
Gd,3033.72,2100,,2,nist,L3475,A
Gd,3034.93,1600,,2,nist,L3475,A
Gd,3054.46,280,,2,nist,L3475,A
Gd,3069.53,1000,,2,nist,L3475,A
Gd,3073.45,560,,2,nist,L3475,A
Gd,3077.81,640,,2,nist,L3475,A
Gd,3077.97,150,,2,nist,L3475,A
Gd,3082.89,2100,,2,nist,L3475,A
Gd,3084.91,140,,2,nist,L3475,A
Gd,3090.85,280,,2,nist,L3475,A
Gd,3092.96,140,,2,nist,L3475,A
Gd,3099.54,460,,2,nist,L3475,A
Gd,3099.80,190,,2,nist,L3475,A
Gd,3101.40,3500,,2,nist,L3475,A
Gd,3102.08,120,,2,nist,L3475,A
Gd,3102.81,230,,2,nist,L3475,A
Gd,3103.45,580,,2,nist,L3475,A
Gd,3109.26,130,,2,nist,L3475,A
Gd,3114.07,160,,2,nist,L3475,A
Gd,3119.50,120,,2,nist,L3475,A
Gd,3120.84,510,,2,nist,L3475,A
Gd,3121.08,100,,2,nist,L3475,A
Gd,3124.90,370,,2,nist,L3475,A
Gd,3125.16,120,,2,nist,L3475,A
Gd,3129.47,130,,2,nist,L3475,A
Gd,3131.72,130,,2,nist,L3475,A
Gd,3134.00,100,,2,nist,L3475,A
Gd,3134.76,460,,2,nist,L3475,A
Gd,3135.94,210,,2,nist,L3475,A
Gd,3144.04,230,,2,nist,L3475,A
Gd,3145.91,930,,2,nist,L3475,A
Gd,3146.43,370,,2,nist,L3475,A
Gd,3147.79,230,,2,nist,L3475,A
Gd,3157.44,980,,2,nist,L3475,A
Gd,3161.60,140,,2,nist,L3475,A
Gd,3162.29,980,,2,nist,L3475,A
Gd,3224.67,690,,2,nist,L3475,A
Gd,3226.39,110,,2,nist,L3475,A
Gd,3227.25,160,,2,nist,L3475,A
Gd,3251.13,100,,2,nist,L3475,A
Gd,3260.19,110,,2,nist,L3475,A
Gd,3269.28,140,,2,nist,L3475,A
Gd,3275.12,110,,2,nist,L3475,A
Gd,3280.48,110,,2,nist,L3475,A
Gd,3282.56,100,,2,nist,L3475,A
Gd,3283.25,0,,2,nist,L3475,A
Gd,3293.16,370,,2,nist,L3475,A
Gd,3314.68,330,,2,nist,L3475,A
Gd,3316.54,200,,2,nist,L3475,A
Gd,3331.30,430,,2,nist,L3475,A
Gd,3332.34,1400,,2,nist,L3475,A
Gd,3333.09,830,,2,nist,L3475,A
Gd,3337.14,1100,,2,nist,L3475,A
Gd,3346.94,590,,2,nist,L3475,A
Gd,3351.06,200,,2,nist,L3475,A
Gd,3351.43,5400,,2,nist,L3475,A
Gd,3359.40,270,,2,nist,L3475,A
Gd,3359.59,4300,,2,nist,L3475,A
Gd,3361.68,780,,2,nist,L3475,A
Gd,3363.20,5400,,2,nist,L3475,A
Gd,3365.21,270,,2,nist,L3475,A
Gd,3366.56,200,,2,nist,L3475,A
Gd,3375.66,220,,2,nist,L3475,A
Gd,3380.73,220,,2,nist,L3475,A
Gd,3381.49,220,,2,nist,L3475,A
Gd,3393.50,1100,,2,nist,L3475,A
Gd,3396.09,540,,2,nist,L3475,A
Gd,3400.39,200,,2,nist,L3475,A
Gd,3400.97,540,,2,nist,L3475,A
Gd,3403.05,540,,2,nist,L3475,A
Gd,3408.54,1100,,2,nist,L3475,A
Gd,3408.59,0,,2,nist,L3475,A
Gd,3410.28,250,,2,nist,L3475,A
Gd,3414.25,220,,2,nist,L3475,A
Gd,3417.93,1400,,2,nist,L3475,A
Gd,3419.71,1400,,2,nist,L3475,A
Gd,3423.45,6900,,2,nist,L3475,A
Gd,3423.73,390,,2,nist,L3475,A
Gd,3424.90,0,,2,nist,L3475,A
Gd,3425.57,830,,2,nist,L3475,A
Gd,3426.91,390,,2,nist,L3475,A
Gd,3429.45,220,,2,nist,L3475,A
Gd,3433.97,690,,2,nist,L3475,A
Gd,3440.20,1700,,2,nist,L3475,A
Gd,3440.77,830,,2,nist,L3475,A
