element,wavelength,intensity,acc,state,source,reference,unit
Gd,14336.80,5000,,3,nist,L2283,A
Gd,17479.55,2000,,3,nist,L2283,A
Gd,1813.47,600,,3,nist,u5,A
Gd,1946.26,900,,3,nist,u5,A
Gd,1974.34,1100,,3,nist,u5,A
Gd,1975.24,2200,,3,nist,u5,A
Gd,20001.80,800,,3,nist,L2283,A
Gd,2009.44,900,,3,nist,u5,A
Gd,2018.72,3400,,3,nist,u5,A
Gd,2028.47,1800,,3,nist,u5,A
Gd,2046.68,800,,3,nist,u5,A
Gd,2058.45,500,,3,nist,u5,A
Gd,2080.74,1500,,3,nist,u5,A
Gd,2098.87,1800,,3,nist,u5,A
Gd,2126.35,1300,,3,nist,u5,A
Gd,21265.24,800,,3,nist,L2283,A
Gd,2148.71,1400,,3,nist,u5,A
Gd,2177.52,1700,,3,nist,u5,A
Gd,2224.64,1700,,3,nist,u5,A
Gd,2237.42,1700,,3,nist,u5,A
Gd,2240.54,1200,,3,nist,u5,A
Gd,2244.45,1500,,3,nist,u5,A
Gd,22499.47,600,,3,nist,L2283,A
Gd,2250.88,1700,,3,nist,u5,A
Gd,2257.75,1300,,3,nist,u5,A
Gd,2293.22,1300,,3,nist,u5,A
Gd,2301.09,1000,,3,nist,u5,A
Gd,2304.43,1200,,3,nist,u5,A
Gd,2307.74,1500,,3,nist,u5,A
Gd,2314.21,1100,,3,nist,u5,A
Gd,2314.27,1700,,3,nist,u5,A
Gd,2315.80,1000,,3,nist,u5,A
Gd,2323.83,1400,,3,nist,u5,A
Gd,2323.89,1700,,3,nist,u5,A
Gd,2324.49,2200,,3,nist,u5,A
Gd,2330.06,1900,,3,nist,u5,A
Gd,2335.73,2100,,3,nist,u5,A
Gd,2336.74,1600,,3,nist,u5,A
Gd,2339.69,1900,,3,nist,u5,A
Gd,2340.60,1600,,3,nist,u5,A
Gd,2343.46,2100,,3,nist,u5,A
Gd,2347.24,2500,,3,nist,u5,A
Gd,2360.03,2800,,3,nist,u5,A
Gd,2361.59,1900,,3,nist,u5,A
Gd,2362.63,2300,,3,nist,u5,A
Gd,2363.10,1400,,3,nist,u5,A
Gd,2363.98,2100,,3,nist,u5,A
Gd,2365.94,1600,,3,nist,u5,A
Gd,2374.10,2000,,3,nist,u5,A
Gd,2375.01,1300,,3,nist,u5,A
Gd,2382.11,1300,,3,nist,u5,A
Gd,2388.55,1600,,3,nist,u5,A
Gd,2389.50,2000,,3,nist,u5,A
Gd,2394.59,1200,,3,nist,u5,A
Gd,2398.07,1200,,3,nist,u5,A
Gd,2405.76,1200,,3,nist,u5,A
Gd,2409.14,1300,,3,nist,u5,A
Gd,2410.08,1200,,3,nist,u5,A
Gd,2467.59,1500,,3,nist,u5,A
Gd,2469.89,1100,,3,nist,u5,A
Gd,2500.28,1300,,3,nist,u5,A
Gd,2521.14,1600,,3,nist,u5,A
Gd,2534.87,1600,,3,nist,u5,A
Gd,2536.86,1300,,3,nist,u5,A
