element,wavelength,intensity,acc,state,source,reference,unit
Ge,1073.44,0,,4,nist,L3302,A
Ge,1188.99,0,,4,nist,L3302,A
Ge,1229.81,0,,4,nist,L3302,A
Ge,1494.89,0,,4,nist,L3302,A
Ge,1500.61,0,,4,nist,L3302,A
Ge,1648.14,0,,4,nist,L3302,A
Ge,2293.7,0,,4,nist,L3302,A
Ge,2344.09,0,,4,nist,L3302,A
Ge,2446.12,0,,4,nist,L3302,A
Ge,2446.45,0,,4,nist,L3302,A
Ge,2489.00,0,,4,nist,L3302,A
Ge,2543.20,0,,4,nist,L3302,A
Ge,2632.56,0,,4,nist,L3302,A
Ge,2698.88,0,,4,nist,L3302,A
Ge,2718.25,0,,4,nist,L3302,A
Ge,2736.90,0,,4,nist,L3302,A
Ge,2789.43,0,,4,nist,L3302,A
Ge,3072.73,0,,4,nist,L3302,A
Ge,3555.21,0,,4,nist,L3302,A
Ge,3677.70,0,,4,nist,L3302,A
Ge,440.11,0,,4,nist,L3302,A
Ge,441.95,0,,4,nist,L3302,A
Ge,847.80,0,,4,nist,L3302,A
Ge,868.30,0,,4,nist,L3302,A
Ge,915.00,0,,4,nist,L3302,A
Ge,936.70,0,,4,nist,L3302,A
Ge,938.90,0,,4,nist,L3302,A
