element,wavelength,intensity,acc,state,source,reference,unit
Hf,1078.42,100,,5,nist,L2538,A
Hf,1079.92,100,,5,nist,L2538,A
Hf,1092.76,160,,5,nist,L2538,A
Hf,1097.28,135,,5,nist,L2538,A
Hf,1137.49,135,,5,nist,L2538,A
Hf,1201.76,160,,5,nist,L2538,A
Hf,1208.88,135,,5,nist,L2538,A
Hf,1224.62,135,,5,nist,L2538,A
Hf,1227.98,135,,5,nist,L2538,A
Hf,1230.21,135,,5,nist,L2538,A
Hf,1232.03,270,,5,nist,L2538,A
Hf,1233.59,200,,5,nist,L2538,A
Hf,1237.42,160,,5,nist,L2538,A
Hf,1238.85,100,,5,nist,L2538,A
Hf,1239.53,160,,5,nist,L2538,A
Hf,1244.46,160,,5,nist,L2538,A
Hf,1259.25,100,,5,nist,L2538,A
Hf,1396.66,440,,5,nist,L2538,A
Hf,1400.09,270,,5,nist,L2538,A
Hf,1401.70,160,,5,nist,L2538,A
Hf,1405.77,135,,5,nist,L2538,A
Hf,1407.17,370,,5,nist,L2538,A
Hf,1408.38,370,,5,nist,L2538,A
Hf,1412.28,270,,5,nist,L2538,A
Hf,1413.51,270,,5,nist,L2538,A
Hf,1421.96,160,,5,nist,L2538,A
Hf,1422.53,220,,5,nist,L2538,A
Hf,1433.43,370,,5,nist,L2538,A
Hf,1437.27,370,,5,nist,L2538,A
Hf,1437.73,500,,5,nist,L2538,A
Hf,1445.40,370,,5,nist,L2538,A
Hf,1457.91,270,,5,nist,L2538,A
Hf,1719.32,270,,5,nist,L2538,A
Hf,1729.08,550,,5,nist,L2538,A
Hf,1731.83,750,,5,nist,L2538,A
Hf,1733.96,750,,5,nist,L2538,A
Hf,1741.74,440,,5,nist,L2538,A
Hf,1749.11,1000,,5,nist,L2538,A
Hf,1750.19,1000,,5,nist,L2538,A
Hf,1760.89,500,,5,nist,L2538,A
Hf,1765.62,370,,5,nist,L2538,A
Hf,1774.02,270,,5,nist,L2538,A
Hf,1792.39,135,,5,nist,L2538,A
Hf,545.41,220,,5,nist,L2538,A
Hf,600.00,180,,5,nist,L2538,A
Hf,816.81,100,,5,nist,L2538,A
Hf,830.69,100,,5,nist,L2538,A
Hf,836.74,100,,5,nist,L2538,A
Hf,846.87,100,,5,nist,L2538,A
Hf,856.32,100,,5,nist,L2538,A
Hf,861.80,100,,5,nist,L2538,A
Hf,865.16,135,,5,nist,L2538,A
Hf,867.25,270,,5,nist,L2538,A
Hf,875.88,180,,5,nist,L2538,A
Hf,877.87,135,,5,nist,L2538,A
Hf,880.37,135,,5,nist,L2538,A
Hf,880.85,100,,5,nist,L2538,A
Hf,885.58,180,,5,nist,L2538,A
Hf,885.80,135,,5,nist,L2538,A
Hf,894.24,135,,5,nist,L2538,A
Hf,894.41,100,,5,nist,L2538,A
Hf,896.14,180,,5,nist,L2538,A
Hf,896.47,100,,5,nist,L2538,A
Hf,899.70,135,,5,nist,L2538,A
Hf,901.54,180,,5,nist,L2538,A
Hf,901.92,135,,5,nist,L2538,A
Hf,904.95,135,,5,nist,L2538,A
Hf,909.70,135,,5,nist,L2538,A
Hf,913.68,135,,5,nist,L2538,A
Hf,918.48,135,,5,nist,L2538,A
Hf,919.10,180,,5,nist,L2538,A
Hf,921.67,270,,5,nist,L2538,A
Hf,928.01,135,,5,nist,L2538,A
Hf,931.50,135,,5,nist,L2538,A
Hf,947.12,135,,5,nist,L2538,A
Hf,951.62,245,,5,nist,L2538,A
Hf,960.12,180,,5,nist,L2538,A
Hf,964.74,180,,5,nist,L2538,A
Hf,971.51,160,,5,nist,L2538,A
Hf,974.62,135,,5,nist,L2538,A
Hf,984.64,120,,5,nist,L2538,A
Hf,991.50,135,,5,nist,L2538,A
