element,wavelength,intensity,acc,state,source,reference,unit
Hg,1022.965,0,,2,nist,L11760,A
Hg,1027.570,100,,2,nist,L11760,A
Hg,1029.908,6000,,2,nist,L11760,A
Hg,1033.737,0,,2,nist,L11760,A
Hg,1034.691,0,,2,nist,L11760,A
Hg,1039.631,200000,,2,nist,L11760,A
Hg,1052.960,150,,2,nist,L11760,A
Hg,1062.780,200000,,2,nist,L11760,A
Hg,1070.369,120,,2,nist,L11760,A
Hg,1073.337,0,,2,nist,L11760,A
Hg,1074.416,0,,2,nist,L11760,A
Hg,1083.646,500,,2,nist,L11760,A
Hg,1096.804,0,,2,nist,L11760,A
Hg,1105.878,0,,2,nist,L11760,A
Hg,1122.335,0,,2,nist,L11760,A
Hg,1128.046,0,,2,nist,L11760,A
Hg,1137.700,0,,2,nist,L11760,A
Hg,1141.042,0,,2,nist,L11760,A
Hg,1156.795,0,,2,nist,L11760,A
Hg,1160.382,900,,2,nist,L11760,A
Hg,1162.197,0,,2,nist,L11760,A
Hg,1203.706,0,,2,nist,L11760,A
Hg,1233.433,0,,2,nist,L11760,A
Hg,1257.404,0,,2,nist,L11760,A
Hg,1264.541,0,,2,nist,L11760,A
Hg,1268.828,0,,2,nist,L11760,A
Hg,1276.793,0,,2,nist,L11760,A
Hg,1278.444,0,,2,nist,L11760,A
Hg,1284.912,0,,2,nist,L11760,A
Hg,1294.665,0,,2,nist,L11760,A
Hg,1300.374,0,,2,nist,L11760,A
Hg,1304.429,0,,2,nist,L11760,A
Hg,1307.928,1200,,2,nist,L11760,A
Hg,1308.153,150,,2,nist,L11760,A
Hg,1309.135,130,,2,nist,L11760,A
Hg,1313.964,0,,2,nist,L11760,A
Hg,1321.713,2000,,2,nist,L11760,A
Hg,1323.042,0,,2,nist,L11760,A
Hg,1331.737,2000,,2,nist,L11760,A
Hg,1347.240,100,,2,nist,L11760,A
Hg,1347.775,120,,2,nist,L11760,A
Hg,1349.689,0,,2,nist,L11760,A
Hg,1350.268,4000,,2,nist,L11760,A
Hg,1352.186,0,,2,nist,L11760,A
Hg,1352.496,0,,2,nist,L11760,A
Hg,1354.289,400,,2,nist,L11760,A
Hg,1356.982,0,,2,nist,L11760,A
Hg,1357.276,120,,2,nist,L11760,A
Hg,1359.203,0,,2,nist,L11760,A
Hg,1359.932,0,,2,nist,L11760,A
Hg,1361.263,6000,,2,nist,L11760,A
Hg,1368.194,0,,2,nist,L11760,A
Hg,1372.573,1200,,2,nist,L11760,A
Hg,1379.543,0,,2,nist,L11760,A
Hg,1382.203,300,,2,nist,L11760,A
Hg,1389.812,0,,2,nist,L11760,A
Hg,1393.791,0,,2,nist,L11760,A
Hg,1400.461,2000,,2,nist,L11760,A
Hg,1404.534,800,,2,nist,L11760,A
Hg,1406.940,0,,2,nist,L11760,A
Hg,1414.420,45000,,2,nist,L11760,A
Hg,1417.005,15000,,2,nist,L11760,A
Hg,1419.393,150,,2,nist,L11760,A
Hg,1429.992,150,,2,nist,L11760,A
Hg,1446.961,0,,2,nist,L11760,A
Hg,1459.482,0,,2,nist,L11760,A
Hg,1474.029,0,,2,nist,L11760,A
Hg,1477.776,3500,,2,nist,L11760,A
Hg,1486.563,0,,2,nist,L11760,A
Hg,1491.545,0,,2,nist,L11760,A
