element,wavelength,intensity,acc,state,source,reference,unit
I,1000.572,1200,,2,nist,L7360,A
I,1003.350,1000,,2,nist,L7360,A
I,1018.583,4000,,2,nist,L7360,A
I,1034.655,10000,,2,nist,L7360,A
I,10408.34,0,,2,nist,L7360,A
I,1054.742,1500,,2,nist,L7360,A
I,1067.341,2000,,2,nist,L7360,A
I,1075.210,3000,,2,nist,L7360,A
I,1105.000,5000,,2,nist,L7360,A
I,11087.72,0,,2,nist,L7360,A
I,1111.165,2500,,2,nist,L7360,A
I,1117.219,1500,,2,nist,L7360,A
I,1125.251,3500,,2,nist,L7360,A
I,1131.504,2000,,2,nist,L7360,A
I,1139.752,1200,,2,nist,L7360,A
I,1139.805,10000,,2,nist,L7360,A
I,1154.668,1500,,2,nist,L7360,A
I,1159.871,1000,,2,nist,L7360,A
I,1160.562,10000,,2,nist,L7360,A
I,1166.482,20000,,2,nist,L7360,A
I,1167.054,1500,,2,nist,L7360,A
I,1175.841,5000,,2,nist,L7360,A
I,1178.650,10000,,2,nist,L7360,A
I,1187.338,15000,,2,nist,L7360,A
I,1190.853,10000,,2,nist,L7360,A
I,1198.884,5000,,2,nist,L7360,A
I,1200.223,7000,,2,nist,L7360,A
I,1220.887,20000,,2,nist,L7360,A
I,1234.063,20000,,2,nist,L7360,A
I,1336.517,20000,,2,nist,L7360,A
I,2408.740,100,,2,nist,L7360,A
I,2419.911,100,,2,nist,L7360,A
I,2495.490,100,,2,nist,L7360,A
I,2534.366,100,,2,nist,L7360,A
I,2535.034,200,,2,nist,L7360,A
I,2567.011,1000,,2,nist,L7360,A
I,2583.567,2000,,2,nist,L7360,A
I,2594.234,300,,2,nist,L7360,A
I,2689.779,200,,2,nist,L7360,A
I,2730.932,500,,2,nist,L7360,A
I,2765.966,0,,2,nist,L7360,A
I,2809.421,200,,2,nist,L7360,A
I,2879.477,1500,,2,nist,L7360,A
I,2994.739,1000,,2,nist,L7360,A
I,3079.648,5000,,2,nist,L7360,A
I,3161.942,200,,2,nist,L7360,A
I,3175.985,1000,,2,nist,L7360,A
I,3356.495,300,,2,nist,L7360,A
I,3425.975,250,,2,nist,L7360,A
I,3498.407,300,,2,nist,L7360,A
I,3527.912,500,,2,nist,L7360,A
I,3743.202,200,,2,nist,L7360,A
I,4454.108,300,,2,nist,L7360,A
I,4601.058,200,,2,nist,L7360,A
I,4633.743,300,,2,nist,L7360,A
I,4667.790,500,,2,nist,L7360,A
I,4676.839,1000,,2,nist,L7360,A
I,4988.313,1000,,2,nist,L7360,A
I,5066.78,400,,2,nist,L7360,A
I,5151.16,200,,2,nist,L7360,A
I,5162.64,3000,,2,nist,L7360,A
I,5177.63,300,,2,nist,L7360,A
I,5217.72,600,,2,nist,L7360,A
I,5230.43,500,,2,nist,L7360,A
I,5247.17,3000,,2,nist,L7360,A
I,5270.83,500,,2,nist,L7360,A
I,5301.25,400,,2,nist,L7360,A
I,5324.28,400,,2,nist,L7360,A
I,5339.70,10000,,2,nist,L7360,A
I,5346.64,5000,,2,nist,L7360,A
I,5371.35,1000,,2,nist,L7360,A
I,5406.92,800,,2,nist,L7360,A
I,5408.86,800,,2,nist,L7360,A
I,5437.34,3000,,2,nist,L7360,A
I,5439.51,1000,,2,nist,L7360,A
I,5466.14,2000,,2,nist,L7360,A
I,5493.03,800,,2,nist,L7360,A
I,5498.47,1000,,2,nist,L7360,A
I,5506.25,1000,,2,nist,L7360,A
I,5523.59,600,,2,nist,L7360,A
I,5600.07,600,,2,nist,L7360,A
I,5601.87,1000,,2,nist,L7360,A
I,5614.45,1500,,2,nist,L7360,A
I,5627.25,10000,,2,nist,L7360,A
I,5679.66,1000,,2,nist,L7360,A
I,5692.49,2000,,2,nist,L7360,A
I,5703.63,500,,2,nist,L7360,A
I,5703.63,500,,2,nist,L7360,A
I,5712.11,4000,,2,nist,L7360,A
I,5739.86,1000,,2,nist,L7360,A
I,5762.32,1000,,2,nist,L7360,A
I,5776.43,500,,2,nist,L7360,A
I,5788.62,500,,2,nist,L7360,A
I,5951.90,5000,,2,nist,L7360,A
I,6070.61,500,,2,nist,L7360,A
I,6076.66,2000,,2,nist,L7360,A
I,6129.19,2000,,2,nist,L7360,A
I,6206.58,1000,,2,nist,L7360,A
I,6259.22,900,,2,nist,L7360,A
I,655.804,0,,2,nist,L7360,A
I,659.004,0,,2,nist,L7360,A
I,663.977,0,,2,nist,L7360,A
I,664.520,0,,2,nist,L7360,A
I,665.055,0,,2,nist,L7360,A
I,665.699,150,,2,nist,L7360,A
I,6667.80,600,,2,nist,L7360,A
I,6720.68,300,,2,nist,L7360,A
I,6814.45,4000,,2,nist,L7360,A
I,6960.70,1000,,2,nist,L7360,A
I,7087.16,200,,2,nist,L7360,A
I,719.546,1000,,2,nist,L7360,A
I,722.980,1000,,2,nist,L7360,A
I,7353.38,500,,2,nist,L7360,A
I,7801.13,500,,2,nist,L7360,A
I,798.158,1000,,2,nist,L7360,A
I,834.095,1200,,2,nist,L7360,A
I,8416.91,150,,2,nist,L7360,A
I,847.796,600,,2,nist,L7360,A
I,873.489,1500,,2,nist,L7360,A
I,875.941,1000,,2,nist,L7360,A
I,879.844,2000,,2,nist,L7360,A
I,881.881,1500,,2,nist,L7360,A
I,890.995,1000,,2,nist,L7360,A
I,893.167,1000,,2,nist,L7360,A
I,9198.39,0,,2,nist,L7360,A
I,9482.93,0,,2,nist,L7360,A
