element,wavelength,intensity,acc,state,source,reference,unit
I,1078.58,0,,3,nist,L7301,A
I,1094.20,0,,3,nist,L7301,A
I,1244.66,0,,3,nist,L7301,A
I,1252.35,0,,3,nist,L7301,A
I,1306.93,0,,3,nist,L7301,A
I,2225.12,0,,3,nist,L7299,A
I,2238.81,0,,3,nist,L7299,A
I,2250.01,0,,3,nist,L7299,A
I,2310.09,0,,3,nist,L7299,A
I,2341.57,0,,3,nist,L7299,A
I,2351.15,0,,3,nist,L7299,A
I,2354.18,0,,3,nist,L7299,A
I,2368.46,0,,3,nist,L7299,A
I,2372.17,0,,3,nist,L7299,A
I,2373.17,0,,3,nist,L7299,A
I,2377.20,0,,3,nist,L7299,A
I,2387.85,0,,3,nist,L7299,A
I,2392.74,0,,3,nist,L7299,A
I,2403.79,0,,3,nist,L7299,A
I,2404.36,0,,3,nist,L7299,A
I,2415.58,0,,3,nist,L7299,A
I,2419.22,0,,3,nist,L7299,A
I,2419.58,0,,3,nist,L7299,A
I,2424.65,0,,3,nist,L7299,A
I,2426.86,0,,3,nist,L7299,A
I,2435.62,0,,3,nist,L7299,A
I,2463.24,0,,3,nist,L7299,A
I,2467.44,0,,3,nist,L7299,A
I,2467.74,0,,3,nist,L7299,A
I,2476.11,0,,3,nist,L7299,A
I,2490.02,0,,3,nist,L7299,A
I,2493.96,0,,3,nist,L7299,A
I,2495.02,0,,3,nist,L7299,A
I,2495.91,0,,3,nist,L7299,A
I,2496.82,0,,3,nist,L7299,A
I,2502.16,0,,3,nist,L7299,A
I,2517.58,0,,3,nist,L7299,A
I,2520.51,0,,3,nist,L7299,A
I,2522.48,0,,3,nist,L7299,A
I,2532.75,0,,3,nist,L7299,A
I,2538.32,0,,3,nist,L7299,A
I,2546.47,0,,3,nist,L7299,A
I,2641.56,0,,3,nist,L7299,A
I,2642.90,0,,3,nist,L7299,A
I,2653.04,0,,3,nist,L7299,A
I,2819.31,0,,3,nist,L7299,A
I,2840.27,0,,3,nist,L7299,A
I,2865.51,0,,3,nist,L7299,A
I,2886.00,0,,3,nist,L7299,A
I,2911.83,0,,3,nist,L7299,A
I,2918.20,0,,3,nist,L7299,A
I,2931.97,0,,3,nist,L7299,A
I,3006.56,0,,3,nist,L7299,A
I,3070.12,0,,3,nist,L7299,A
I,3154.79,0,,3,nist,L7299,A
I,3171.06,0,,3,nist,L7299,A
I,3182.58,0,,3,nist,L7299,A
I,3211.07,0,,3,nist,L7299,A
I,3214.42,0,,3,nist,L7299,A
I,3225.86,0,,3,nist,L7299,A
I,3301.42,0,,3,nist,L7299,A
I,3480.53,0,,3,nist,L7299,A
I,3547.93,0,,3,nist,L7299,A
I,3614.84,0,,3,nist,L7299,A
I,3755.47,0,,3,nist,L7299,A
I,3755.62,0,,3,nist,L7299,A
I,3964.28,0,,3,nist,L7299,A
I,4078.29,0,,3,nist,L7299,A
I,666.81,0,,3,nist,L7298,A
I,705.11,0,,3,nist,L7298,A
I,784.64,0,,3,nist,L7298,A
I,784.80,0,,3,nist,L7298,A
I,795.52,0,,3,nist,L7298,A
I,865.97,0,,3,nist,L7298,A
I,920.38,0,,3,nist,L7298,A
I,961.17,0,,3,nist,L7298,A
