element,wavelength,intensity,acc,state,source,reference,unit
In,1403.08,0,,3,nist,u12,A
In,1434.85,0,,3,nist,u12,A
In,1487.70,0,,3,nist,u12,A
In,1494.14,0,,3,nist,u12,A
In,1524.78,0,,3,nist,u12,A
In,1530.21,0,,3,nist,u12,A
In,1532.95,0,,3,nist,u12,A
In,1625.42,100,,3,nist,u12,A
In,1642.28,0,,3,nist,u12,A
In,1702.53,0,,3,nist,u12,A
In,1748.83,100,,3,nist,u12,A
In,1767.88,0,,3,nist,u12,A
In,1810.71,0,,3,nist,u12,A
In,1842.41,0,,3,nist,u12,A
In,1850.30,0,,3,nist,u12,A
In,1862.98,0,,3,nist,u12,A
In,2154.76,0,,3,nist,u12,A
In,2155.10,0,,3,nist,u12,A
In,2200.21,0,,3,nist,u12,A
In,2232.87,0,,3,nist,u12,A
In,2261.96,0,,3,nist,u12,A
In,2266.96,0,,3,nist,u12,A
In,2273.11,0,,3,nist,u12,A
In,2273.54,0,,3,nist,u12,A
In,2301.61,0,,3,nist,u12,A
In,2528.17,100,,3,nist,u12,A
In,2726.33,0,,3,nist,u12,A
In,2726.96,0,,3,nist,u12,A
In,2983.67,100,,3,nist,u12,A
In,3008.96,100,,3,nist,u12,A
In,3009.70,0,,3,nist,u12,A
In,3294.50,0,,3,nist,u12,A
In,3351.87,0,,3,nist,u12,A
In,3563.34,0,,3,nist,u12,A
In,3853.91,100,,3,nist,u12,A
In,4024.91,100,,3,nist,u12,A
In,4033.46,150,,3,nist,L3475,A
In,4063.45,0,,3,nist,u12,A
In,4072.72,100,,3,nist,L3475,A
In,4074.08,100,,3,nist,L3475,A
In,4253.88,100,,3,nist,u12,A
In,4510.84,0,,3,nist,u12,A
In,5250.23,200,,3,nist,u12,A
In,5646.72,100,,3,nist,u12,A
In,5724.76,0,,3,nist,u12,A
In,5821.11,100,,3,nist,u12,A
In,6199.43,200,,3,nist,u12,A
In,685.31,0,,3,nist,u12,A
In,691.62,0,,3,nist,u12,A
In,782.17,0,,3,nist,u12,A
In,882.24,0,,3,nist,u12,A
In,890.84,0,,3,nist,u12,A
In,915.87,0,,3,nist,L3475,A
In,917.45,0,,3,nist,u12,A
In,926.83,0,,3,nist,u12,A
