element,wavelength,intensity,acc,state,source,reference,unit
Ir,1581.805,2900,,2,nist,L4457,A
Ir,1594.026,2000,,2,nist,L4457,A
Ir,1594.512,2000,,2,nist,L4457,A
Ir,1602.785,610,,2,nist,L4457,A
Ir,1609.763,2500,,2,nist,L4457,A
Ir,1613.672,2400,,2,nist,L4457,A
Ir,1636.149,1400,,2,nist,L4457,A
Ir,1647.613,1700,,2,nist,L4457,A
Ir,1648.128,2100,,2,nist,L4457,A
Ir,1653.686,1600,,2,nist,L4457,A
Ir,1674.838,1400,,2,nist,L4457,A
Ir,1688.421,470,,2,nist,L4457,A
Ir,1726.095,240,,2,nist,L4457,A
Ir,1735.557,1500,,2,nist,L4457,A
Ir,1747.537,560,,2,nist,L4457,A
Ir,1748.786,1500,,2,nist,L4457,A
Ir,1762.335,1400,,2,nist,L4457,A
Ir,1769.692,730,,2,nist,L4457,A
Ir,1774.519,550,,2,nist,L4457,A
Ir,1778.290,1200,E,2,nist,L4457,A
Ir,1784.347,260,,2,nist,L4457,A
Ir,1788.902,770,,2,nist,L4457,A
Ir,1816.005,740,,2,nist,L4457,A
Ir,1831.073,790,,2,nist,L4457,A
Ir,1834.927,550,,2,nist,L4457,A
Ir,1842.274,0,,2,nist,L4457,A
Ir,1852.192,420,,2,nist,L4457,A
Ir,1852.843,1700,E,2,nist,"L4457,L21129",A
Ir,1857.093,970,,2,nist,L4457,A
Ir,1857.446,940,,2,nist,L4457,A
Ir,1857.647,580,,2,nist,L4457,A
Ir,1862.488,5300,D+,2,nist,"L4457,L21129",A
Ir,1868.278,690,E,2,nist,L4457,A
Ir,1870.93,2700,,2,nist,"L4457,L21129",A
Ir,1876.079,4600,,2,nist,"L4457,L21129",A
Ir,1878.138,1300,,2,nist,"L4457,L21129",A
Ir,1878.527,410,,2,nist,L4457,A
Ir,1883.571,0,,2,nist,L4457,A
Ir,1890.292,0,,2,nist,L4457,A
Ir,1906.271,200,,2,nist,L4457,A
Ir,1948.072,2000,B+,2,nist,"L8724,L21129",A
Ir,1958.851,1100,,2,nist,"L4457,L21129",A
Ir,1976.714,300,,2,nist,"L4457,L21129",A
Ir,1978.924,810,,2,nist,"L4457,L21129",A
Ir,1987.989,3900,B+,2,nist,"L8724,L4457,L21129",A
Ir,1990.007,730,,2,nist,L4457,A
Ir,1993.343,2300,,2,nist,"L4457,L21129",A
Ir,1993.710,1100,E,2,nist,"L4457,L21129",A
Ir,1994.860,890,,2,nist,"L4457,L21129",A
Ir,1995.777,910,,2,nist,"L4457,L21129",A
Ir,1997.179,2400,E,2,nist,"L4457,L21129",A
Ir,2003.406,1700,,2,nist,"L4457,L21129",A
Ir,2007.829,2000,,2,nist,"L4457,L7593",A
Ir,2009.208,690,,2,nist,"L4457,L21129",A
Ir,2012.122,890,,2,nist,"L4457,L21129",A
Ir,2017.134,0,,2,nist,L4457,A
Ir,2019.134,1200,,2,nist,L4457,A
Ir,2020.363,2000,,2,nist,"L4457,L7593,L21129",A
Ir,2023.483,2300,B+,2,nist,"L8724,L4457,L7593,L21129",A
Ir,2023.892,0,,2,nist,"L4457,L7593",A
Ir,2024.979,470,,2,nist,L4457,A
Ir,2027.913,590,,2,nist,"L4457,L7593,L21129",A
Ir,2028.109,0,,2,nist,L4457,A
Ir,2029.303,2100,E,2,nist,"L4457,L7593,L21129",A
Ir,2032.318,280,E,2,nist,L4457,A
Ir,2034.139,460,,2,nist,"L4457,L21129",A
Ir,2034.480,650,,2,nist,"L4457,L21129",A
Ir,2037.903,270,,2,nist,L4457,A
Ir,2038.036,0,,2,nist,L4457,A
Ir,2044.846,3900,D+,2,nist,"L4457,L7593,L21129",A
Ir,2045.486,2500,E,2,nist,"L4457,L7593,L21129",A
Ir,2050.217,2400,,2,nist,"L4457,L7593,L21129",A
Ir,2050.877,1600,,2,nist,"L4457,L7593,L21129",A
Ir,2051.817,4200,D+,2,nist,"L4457,L7593,L21129",A
Ir,2057.846,2300,,2,nist,"L4457,L21129",A
Ir,2059.589,2300,,2,nist,"L4457,L7593",A
Ir,2063.689,2800,,2,nist,"L4457,L7593,L21129",A
Ir,2065.430,820,,2,nist,"L4457,L7593,L21129",A
Ir,2065.750,940,,2,nist,"L4457,L7593,L21129",A
Ir,2066.450,3900,,2,nist,"L4457,L7593",A
Ir,2070.141,740,,2,nist,"L4457,L7593,L21129",A
Ir,2071.171,2600,E,2,nist,"L4457,L7593,L21129",A
