element,wavelength,intensity,acc,state,source,reference,unit
Ir,1008.355,655,,4,nist,L19451,A
Ir,1014.334,122,,4,nist,L19451,A
Ir,1027.910,107,,4,nist,L19451,A
Ir,1038.788,422,,4,nist,L19451,A
Ir,1055.419,215,,4,nist,L19451,A
Ir,1058.734,342,,4,nist,L19451,A
Ir,1059.339,295,,4,nist,L19451,A
Ir,1061.205,170,,4,nist,L19451,A
Ir,1064.275,427,,4,nist,L19451,A
Ir,1071.239,507,,4,nist,L19451,A
Ir,1072.406,105,,4,nist,L19451,A
Ir,1079.644,247,,4,nist,L19451,A
Ir,1079.703,260,,4,nist,L19451,A
Ir,1081.062,122,,4,nist,L19451,A
Ir,1086.109,0,,4,nist,L19451,A
Ir,1089.437,0,,4,nist,L19451,A
Ir,1093.223,0,,4,nist,L19451,A
Ir,1096.388,175,,4,nist,L19451,A
Ir,1099.200,0,,4,nist,L19451,A
Ir,1099.848,0,,4,nist,L19451,A
Ir,1104.486,0,,4,nist,L19451,A
Ir,1110.184,210,,4,nist,L19451,A
Ir,1110.605,160,,4,nist,L19451,A
Ir,1112.023,1180,,4,nist,L19451,A
Ir,1120.555,0,,4,nist,L19451,A
Ir,1121.848,0,,4,nist,L19451,A
Ir,1124.659,275,,4,nist,L19451,A
Ir,1125.097,0,,4,nist,L19451,A
Ir,1127.724,0,,4,nist,L19451,A
Ir,1131.204,122,,4,nist,L19451,A
Ir,1131.337,0,,4,nist,L19451,A
Ir,1132.205,0,,4,nist,L19451,A
Ir,1133.625,0,,4,nist,L19451,A
Ir,1134.506,0,,4,nist,L19451,A
Ir,1134.939,297,,4,nist,L19451,A
Ir,1136.801,412,,4,nist,L19451,A
Ir,1139.460,0,,4,nist,L19451,A
Ir,1139.795,0,,4,nist,L19451,A
Ir,1143.080,345,,4,nist,L19451,A
Ir,1145.448,0,,4,nist,L19451,A
Ir,1147.572,237,,4,nist,L19451,A
Ir,1148.261,0,,4,nist,L19451,A
Ir,1149.092,112,,4,nist,L19451,A
Ir,1149.708,0,,4,nist,L19451,A
Ir,1149.930,0,,4,nist,L19451,A
Ir,1150.045,0,,4,nist,L19451,A
Ir,1150.155,0,,4,nist,L19451,A
Ir,1150.479,0,,4,nist,L19451,A
Ir,1152.275,695,,4,nist,L19451,A
Ir,1153.077,0,,4,nist,L19451,A
Ir,1153.713,0,,4,nist,L19451,A
Ir,1154.784,0,,4,nist,L19451,A
