element,wavelength,intensity,acc,state,source,reference,unit
K,10482.50,0,A,1,nist,L6096,A
K,10485.02,0,A+,1,nist,L6096,A
K,10489.98,0,A+,1,nist,L6096,A
K,11022.89,0,AA,1,nist,L6096,A
K,11022.89,0,AA,1,nist,L6096,A
K,11025.69,0,AA,1,nist,L6096,A
K,11693.419,0,AA,1,nist,L1792,A
K,11772.859,0,AA,1,nist,L1792,A
K,11776.060,0,AA,1,nist,L1792,A
K,12435.676,0,AA,1,nist,L1792,A
K,12525.567,0,AA,1,nist,L1792,A
K,13381.52,0,A+,1,nist,L6096,A
K,13400.75,0,A+,1,nist,L6096,A
K,15167.22,0,A,1,nist,L6096,A
K,15167.22,0,A,1,nist,L6096,A
K,15172.55,0,B+,1,nist,L6096,A
K,27073.97,0,AA,1,nist,L1792,A
K,27212.16,0,AA,1,nist,L1792,A
K,2992.981,0,C+,1,nist,L3287,A
K,2993.088,0,C+,1,nist,L3287,A
K,3035.634,0,B,1,nist,L3287,A
K,3035.794,0,C+,1,nist,L3287,A
K,3102.691,0,B+,1,nist,L3287,A
K,3102.951,0,C+,1,nist,L3287,A
K,31392.63,0,A,1,nist,L1792,A
K,31415.39,0,B+,1,nist,L1792,A
K,31601.61,0,A,1,nist,L1792,A
K,3218.080,0,B+,1,nist,L3287,A
K,3218.544,0,C+,1,nist,L3287,A
K,3447.364,0,B+,1,nist,L3287,A
K,3448.364,0,C+,1,nist,L3287,A
K,36372.78,0,AA,1,nist,L1792,A
K,3649.881,0,,1,nist,L6096,A
K,3650.021,0,,1,nist,L6096,A
K,36622.60,0,AAA,1,nist,L1792,A
K,37081.47,0,AA,1,nist,L1792,A
K,37341.19,0,AA,1,nist,L1792,A
K,37356.11,0,AA,1,nist,L1792,A
K,40169.32,0,,1,nist,L873,A
K,40169.32,0,,1,nist,L873,A
K,4045.279,0,A,1,nist,L3287,A
K,4048.351,0,B+,1,nist,L3287,A
K,405.774,0,,1,nist,L6851,A
K,406.170,0,,1,nist,L6851,A
K,406.764,0,,1,nist,L6851,A
K,409.259,0,,1,nist,L6851,A
K,409.760,0,,1,nist,L6851,A
K,411.016,0,,1,nist,L6851,A
K,422.514,0,,1,nist,L6851,A
K,422.567,0,,1,nist,L6851,A
K,422.634,0,,1,nist,L6851,A
K,422.710,0,,1,nist,L6851,A
K,422.803,0,,1,nist,L6851,A
K,422.909,0,,1,nist,L6851,A
K,423.042,0,,1,nist,L6851,A
K,423.191,0,,1,nist,L6851,A
K,423.374,0,,1,nist,L6851,A
K,423.603,0,,1,nist,L6851,A
K,423.862,0,,1,nist,L6851,A
K,424.227,0,,1,nist,L6851,A
K,424.715,0,,1,nist,L6851,A
K,436.251,0,,1,nist,L6851,A
K,436.424,0,,1,nist,L6851,A
K,436.626,0,,1,nist,L6851,A
K,436.901,0,,1,nist,L6851,A
K,437.230,0,,1,nist,L6851,A
K,437.645,0,,1,nist,L6851,A
K,437.880,0,,1,nist,L6851,A
K,448.920,0,,1,nist,L6851,A
K,450.074,0,,1,nist,L6851,A
K,451.493,0,,1,nist,L6851,A
K,451.798,0,,1,nist,L6851,A
K,452.631,0,,1,nist,L6851,A
K,453.085,0,,1,nist,L6851,A
K,453.208,0,,1,nist,L6851,A
K,453.311,0,,1,nist,L6851,A
K,453.467,0,,1,nist,L6851,A
K,453.667,0,,1,nist,L6851,A
K,454.033,0,,1,nist,L6851,A
K,454.518,0,,1,nist,L6851,A
K,454.548,0,,1,nist,L6851,A
K,455.097,0,,1,nist,L6851,A
K,455.503,0,,1,nist,L6851,A
K,455.629,0,,1,nist,L6851,A
K,458.586,0,,1,nist,L6851,A
K,458.613,0,,1,nist,L6851,A
K,458.646,0,,1,nist,L6851,A
K,458.683,0,,1,nist,L6851,A
K,458.719,0,,1,nist,L6851,A
K,458.766,0,,1,nist,L6851,A
K,458.816,0,,1,nist,L6851,A
K,458.875,0,,1,nist,L6851,A
K,458.945,0,,1,nist,L6851,A
K,459.029,0,,1,nist,L6851,A
K,459.128,0,,1,nist,L6851,A
K,459.251,0,,1,nist,L6851,A
K,459.401,0,,1,nist,L6851,A
K,459.581,0,,1,nist,L6851,A
K,459.800,0,,1,nist,L6851,A
K,460.079,0,,1,nist,L6851,A
K,460.365,0,,1,nist,L6851,A
K,460.568,0,,1,nist,L6851,A
K,461.030,0,,1,nist,L6851,A
K,461.765,0,,1,nist,L6851,A
K,462.763,0,,1,nist,L6851,A
K,464.441,0,,1,nist,L6851,A
K,4643.176,0,AAA,1,nist,L6096,A
K,4643.673,0,AAA,1,nist,L6096,A
K,466.246,0,,1,nist,L6851,A
K,466.695,0,,1,nist,L6851,A
K,467.160,0,,1,nist,L6851,A
K,467.416,0,,1,nist,L6851,A
K,468.420,0,,1,nist,L6851,A
K,468.666,0,,1,nist,L6851,A
K,468.729,0,,1,nist,L6851,A
K,469.028,0,,1,nist,L6851,A
K,469.875,0,,1,nist,L6851,A
K,469.988,0,,1,nist,L6851,A
K,470.244,0,,1,nist,L6851,A
K,470.590,0,,1,nist,L6851,A
K,471.105,0,,1,nist,L6851,A
K,471.669,0,,1,nist,L6851,A
K,472.145,0,,1,nist,L6851,A
K,472.271,0,,1,nist,L6851,A
K,472.955,0,,1,nist,L6851,A
K,473.533,0,,1,nist,L6851,A
K,474.460,0,,1,nist,L6851,A
K,4742.240,0,E,1,nist,L6096,A
K,4745.672,0,C,1,nist,L6096,A
K,475.540,0,,1,nist,L6851,A
K,475.988,0,,1,nist,L6851,A
K,4755.263,0,D+,1,nist,L6096,A
K,4758.719,0,C,1,nist,L6096,A
K,476.603,0,,1,nist,L6851,A
K,4787.829,0,C,1,nist,L6096,A
K,4792.388,0,C,1,nist,L6096,A
K,4801.096,0,C,1,nist,L6096,A
K,4805.691,0,C,1,nist,L6096,A
K,483.941,0,,1,nist,L6851,A
K,4851.220,0,A+,1,nist,L6096,A
K,4857.447,0,A,1,nist,L6096,A
K,4864.842,0,AA,1,nist,L6096,A
K,4871.117,0,A,1,nist,L6096,A
K,488.166,0,,1,nist,L6851,A
K,488.209,0,,1,nist,L6851,A
K,488.255,0,,1,nist,L6851,A
K,488.312,0,,1,nist,L6851,A
K,488.335,0,,1,nist,L6851,A
K,488.378,0,,1,nist,L6851,A
K,488.451,0,,1,nist,L6851,A
K,488.574,0,,1,nist,L6851,A
K,488.677,0,,1,nist,L6851,A
K,488.819,0,,1,nist,L6851,A
K,489.208,0,,1,nist,L6851,A
K,489.433,0,,1,nist,L6851,A
K,492.303,0,,1,nist,L6851,A
K,493.166,0,,1,nist,L6851,A
K,4943.381,0,AA,1,nist,L1792,A
K,4952.197,0,B+,1,nist,L6096,A
K,4957.5292,0,AA,1,nist,L1792,A
K,496.632,0,,1,nist,L6851,A
K,496.632,0,,1,nist,L6851,A
K,496.659,0,,1,nist,L6851,A
K,496.659,0,,1,nist,L6851,A
K,496.682,0,,1,nist,L6851,A
K,496.682,0,,1,nist,L6851,A
K,496.712,0,,1,nist,L6851,A
K,496.712,0,,1,nist,L6851,A
K,496.738,0,,1,nist,L6851,A
K,496.738,0,,1,nist,L6851,A
K,496.768,0,,1,nist,L6851,A
K,496.805,0,,1,nist,L6851,A
K,496.805,0,,1,nist,L6851,A
K,496.845,0,,1,nist,L6851,A
K,496.845,0,,1,nist,L6851,A
K,496.888,0,,1,nist,L6851,A
K,496.888,0,,1,nist,L6851,A
K,496.941,0,,1,nist,L6851,A
K,496.941,0,,1,nist,L6851,A
K,496.997,0,,1,nist,L6851,A
K,496.997,0,,1,nist,L6851,A
K,4966.416,0,A,1,nist,L6096,A
K,497.067,0,,1,nist,L6851,A
K,497.067,0,,1,nist,L6851,A
K,497.143,0,,1,nist,L6851,A
K,497.143,0,,1,nist,L6851,A
K,497.236,0,,1,nist,L6851,A
K,497.236,0,,1,nist,L6851,A
K,497.345,0,,1,nist,L6851,A
K,497.345,0,,1,nist,L6851,A
K,497.478,0,,1,nist,L6851,A
K,497.478,0,,1,nist,L6851,A
K,497.630,0,,1,nist,L6851,A
K,497.630,0,,1,nist,L6851,A
K,497.823,0,,1,nist,L6851,A
K,497.823,0,,1,nist,L6851,A
K,498.068,0,,1,nist,L6851,A
K,498.075,0,,1,nist,L6851,A
K,498.075,0,,1,nist,L6851,A
K,498.088,0,,1,nist,L6851,A
K,498.36,0,,1,nist,L6851,A
K,498.36,0,,1,nist,L6851,A
K,498.373,0,,1,nist,L6851,A
K,498.403,0,,1,nist,L6851,A
K,498.77,0,,1,nist,L6851,A
K,498.77,0,,1,nist,L6851,A
K,498.778,0,,1,nist,L6851,A
K,499.309,0,,1,nist,L6851,A
K,499.33,0,,1,nist,L6851,A
K,499.33,0,,1,nist,L6851,A
K,499.362,0,,1,nist,L6851,A
K,499.915,0,,1,nist,L6851,A
K,499.945,0,,1,nist,L6851,A
K,499.968,0,,1,nist,L6851,A
K,499.995,0,,1,nist,L6851,A
K,500.05,0,,1,nist,L6851,A
K,500.05,0,,1,nist,L6851,A
K,500.091,0,,1,nist,L6851,A
K,500.134,0,,1,nist,L6851,A
K,500.177,0,,1,nist,L6851,A
K,500.224,0,,1,nist,L6851,A
K,500.287,0,,1,nist,L6851,A
K,500.356,0,,1,nist,L6851,A
K,500.519,0,,1,nist,L6851,A
K,500.628,0,,1,nist,L6851,A
K,500.747,0,,1,nist,L6851,A
K,500.844,0,,1,nist,L6851,A
K,500.867,0,,1,nist,L6851,A
K,500.903,0,,1,nist,L6851,A
K,500.936,0,,1,nist,L6851,A
K,501.033,0,,1,nist,L6851,A
K,501.086,0,,1,nist,L6851,A
K,501.13,0,,1,nist,L6851,A
K,501.248,0,,1,nist,L6851,A
K,501.324,0,,1,nist,L6851,A
K,501.387,0,,1,nist,L6851,A
K,501.487,0,,1,nist,L6851,A
K,501.606,0,,1,nist,L6851,A
K,501.629,0,,1,nist,L6851,A
K,501.663,0,,1,nist,L6851,A
K,501.696,0,,1,nist,L6851,A
K,501.729,0,,1,nist,L6851,A
K,501.769,0,,1,nist,L6851,A
K,501.838,0,,1,nist,L6851,A
K,501.908,0,,1,nist,L6851,A
K,501.968,0,,1,nist,L6851,A
K,502.034,0,,1,nist,L6851,A
K,502.170,0,,1,nist,L6851,A
K,502.236,0,,1,nist,L6851,A
K,502.382,0,,1,nist,L6851,A
K,502.409,0,,1,nist,L6851,A
K,502.435,0,,1,nist,L6851,A
K,502.534,0,,1,nist,L6851,A
K,502.611,0,,1,nist,L6851,A
K,502.660,0,,1,nist,L6851,A
K,502.7,0,,1,nist,L6851,A
K,502.7,0,,1,nist,L6851,A
K,502.849,0,,1,nist,L6851,A
K,502.946,0,,1,nist,L6851,A
K,503.028,0,,1,nist,L6851,A
K,503.121,0,,1,nist,L6851,A
K,503.304,0,,1,nist,L6851,A
K,503.725,0,,1,nist,L6851,A
K,504.116,0,,1,nist,L6851,A
K,504.288,0,,1,nist,L6851,A
K,504.311,0,,1,nist,L6851,A
K,504.341,0,,1,nist,L6851,A
K,504.374,0,,1,nist,L6851,A
K,504.414,0,,1,nist,L6851,A
K,504.444,0,,1,nist,L6851,A
K,504.500,0,,1,nist,L6851,A
K,504.557,0,,1,nist,L6851,A
K,504.646,0,,1,nist,L6851,A
K,504.686,0,,1,nist,L6851,A
K,504.819,0,,1,nist,L6851,A
K,504.845,0,,1,nist,L6851,A
K,504.885,0,,1,nist,L6851,A
K,504.921,0,,1,nist,L6851,A
K,504.961,0,,1,nist,L6851,A
K,505.004,0,,1,nist,L6851,A
K,505.054,0,,1,nist,L6851,A
K,505.110,0,,1,nist,L6851,A
K,505.173,0,,1,nist,L6851,A
K,505.233,0,,1,nist,L6851,A
K,505.336,0,,1,nist,L6851,A
K,505.425,0,,1,nist,L6851,A
K,505.485,0,,1,nist,L6851,A
K,505.548,0,,1,nist,L6851,A
K,505.680,0,,1,nist,L6851,A
K,505.763,0,,1,nist,L6851,A
K,505.846,0,,1,nist,L6851,A
K,505.906,0,,1,nist,L6851,A
K,505.962,0,,1,nist,L6851,A
K,506.025,0,,1,nist,L6851,A
K,506.161,0,,1,nist,L6851,A
K,506.360,0,,1,nist,L6851,A
K,506.429,0,,1,nist,L6851,A
K,506.489,0,,1,nist,L6851,A
K,506.737,0,,1,nist,L6851,A
K,506.883,0,,1,nist,L6851,A
K,507.059,0,,1,nist,L6851,A
K,507.231,0,,1,nist,L6851,A
K,507.321,0,,1,nist,L6851,A
K,507.347,0,,1,nist,L6851,A
K,507.470,0,,1,nist,L6851,A
K,507.566,0,,1,nist,L6851,A
K,507.619,0,,1,nist,L6851,A
K,507.682,0,,1,nist,L6851,A
K,507.824,0,,1,nist,L6851,A
K,507.854,0,,1,nist,L6851,A
K,508.000,0,,1,nist,L6851,A
K,508.050,0,,1,nist,L6851,A
K,508.139,0,,1,nist,L6851,A
K,508.219,0,,1,nist,L6851,A
K,508.318,0,,1,nist,L6851,A
K,508.457,0,,1,nist,L6851,A
K,508.507,0,,1,nist,L6851,A
K,508.557,0,,1,nist,L6851,A
K,508.623,0,,1,nist,L6851,A
K,508.669,0,,1,nist,L6851,A
K,508.762,0,,1,nist,L6851,A
K,508.825,0,,1,nist,L6851,A
K,508.908,0,,1,nist,L6851,A
K,508.954,0,,1,nist,L6851,A
K,5085.643,0,AA,1,nist,L6096,A
K,509.017,0,,1,nist,L6851,A
K,509.087,0,,1,nist,L6851,A
K,509.163,0,,1,nist,L6851,A
K,509.266,0,,1,nist,L6851,A
K,509.316,0,,1,nist,L6851,A
K,509.379,0,,1,nist,L6851,A
K,509.514,0,,1,nist,L6851,A
K,509.564,0,,1,nist,L6851,A
K,509.720,0,,1,nist,L6851,A
K,509.793,0,,1,nist,L6851,A
K,509.859,0,,1,nist,L6851,A
K,509.892,0,,1,nist,L6851,A
K,5098.592,0,B+,1,nist,L6096,A
K,510.025,0,,1,nist,L6851,A
K,510.055,0,,1,nist,L6851,A
K,510.151,0,,1,nist,L6851,A
K,510.233,0,,1,nist,L6851,A
K,510.429,0,,1,nist,L6851,A
K,510.598,0,,1,nist,L6851,A
K,510.671,0,,1,nist,L6851,A
K,510.810,0,,1,nist,L6851,A
K,510.913,0,,1,nist,L6851,A
K,5100.621,0,A+,1,nist,L6096,A
K,511.118,0,,1,nist,L6851,A
K,511.184,0,,1,nist,L6851,A
K,511.509,0,,1,nist,L6851,A
K,511.837,0,,1,nist,L6851,A
K,511.874,0,,1,nist,L6851,A
K,511.933,0,,1,nist,L6851,A
K,511.999,0,,1,nist,L6851,A
K,5113.674,0,B+,1,nist,L6096,A
K,512.125,0,,1,nist,L6851,A
K,512.205,0,,1,nist,L6851,A
K,512.410,0,,1,nist,L6851,A
K,512.715,0,,1,nist,L6851,A
K,512.874,0,,1,nist,L6851,A
K,513.050,0,,1,nist,L6851,A
K,513.099,0,,1,nist,L6851,A
K,513.401,0,,1,nist,L6851,A
K,513.503,0,,1,nist,L6851,A
K,513.580,0,,1,nist,L6851,A
K,513.695,0,,1,nist,L6851,A
K,513.911,0,,1,nist,L6851,A
K,514.013,0,,1,nist,L6851,A
K,514.100,0,,1,nist,L6851,A
K,514.242,0,,1,nist,L6851,A
K,514.706,0,,1,nist,L6851,A
K,514.898,0,,1,nist,L6851,A
K,515.054,0,,1,nist,L6851,A
K,515.213,0,,1,nist,L6851,A
K,515.266,0,,1,nist,L6851,A
K,515.607,0,,1,nist,L6851,A
K,515.819,0,,1,nist,L6851,A
K,516.114,0,,1,nist,L6851,A
K,516.322,0,,1,nist,L6851,A
K,516.395,0,,1,nist,L6851,A
K,516.630,0,,1,nist,L6851,A
K,516.776,0,,1,nist,L6851,A
K,517.203,0,,1,nist,L6851,A
K,517.266,0,,1,nist,L6851,A
K,517.388,0,,1,nist,L6851,A
K,517.445,0,,1,nist,L6851,A
K,517.491,0,,1,nist,L6851,A
K,517.750,0,,1,nist,L6851,A
K,517.796,0,,1,nist,L6851,A
K,517.942,0,,1,nist,L6851,A
K,518.548,0,,1,nist,L6851,A
K,518.620,0,,1,nist,L6851,A
K,519.514,0,,1,nist,L6851,A
K,519.826,0,,1,nist,L6851,A
K,520.094,0,,1,nist,L6851,A
K,520.398,0,,1,nist,L6851,A
K,521.031,0,,1,nist,L6851,A
K,521.100,0,,1,nist,L6851,A
K,521.478,0,,1,nist,L6851,A
K,521.773,0,,1,nist,L6851,A
