element,wavelength,intensity,acc,state,source,reference,unit
K,2550.79,0,,3,nist,L3491,A
K,2635.90,0,,3,nist,L3491,A
K,2690.70,0,,3,nist,L3491,A
K,2737.77,0,,3,nist,L3398,A
K,2801.23,0,,3,nist,L3491,A
K,2878.19,0,,3,nist,L3491,A
K,2899.75,0,,3,nist,L3398,A
K,2904.21,0,,3,nist,L3491,A
K,2939.31,0,,3,nist,L3491,A
K,2949.80,0,,3,nist,L3398,A
K,2955.19,0,,3,nist,L3491,A
K,2987.07,0,,3,nist,L3491,A
K,2993.29,0,,3,nist,L3491,A
K,3024.31,0,,3,nist,L3491,A
K,3052.96,0,,3,nist,L3491,A
K,3057.73,0,,3,nist,L3491,A
K,3062.14,0,,3,nist,L3491,A
K,3202.88,0,,3,nist,L3491,A
K,3210.27,0,,3,nist,L3491,A
K,325.28,0,,3,nist,L3496,A
K,3254.92,0,,3,nist,L3491,A
K,327.60,0,,3,nist,L3496,A
K,3279.73,0,,3,nist,L3491,A
K,329.05,0,,3,nist,L3496,A
K,3290.01,0,,3,nist,L3398,A
K,330.68,0,,3,nist,L3496,A
K,331.42,0,,3,nist,L3496,A
K,3323.36,0,,3,nist,L3491,A
K,3359.40,0,,3,nist,L3491,A
K,3365.19,0,,3,nist,L3491,A
K,341.92,0,,3,nist,L3496,A
K,3421.80,0,,3,nist,L3491,A
K,3422.81,0,,3,nist,L3491,A
K,3449.00,0,,3,nist,L3491,A
K,345.40,0,,3,nist,L3496,A
K,3469.31,0,,3,nist,L3491,A
K,348.00,0,,3,nist,L3496,A
K,3482.11,0,,3,nist,L3398,A
K,3514.88,0,,3,nist,L3491,A
K,379.12,0,,3,nist,L3496,A
K,380.48,0,,3,nist,L3496,A
K,382.23,0,,3,nist,L3496,A
K,3886.60,0,,3,nist,L3398,A
K,398.63,0,,3,nist,L3496,A
K,402.10,0,,3,nist,L3496,A
K,406.48,0,,3,nist,L3496,A
K,408.96,0,,3,nist,L3496,A
K,410.10,0,,3,nist,L3496,A
K,412.29,0,,3,nist,L3496,A
K,413.79,0,,3,nist,L3496,A
K,414.87,0,,3,nist,L3496,A
K,416.00,0,,3,nist,L3496,A
K,417.54,0,,3,nist,L3496,A
K,418.62,0,,3,nist,L3496,A
K,434.72,0,,3,nist,L3496,A
K,435.68,0,,3,nist,L3496,A
K,444.34,0,,3,nist,L3496,A
K,448.60,0,,3,nist,L3496,A
K,46180,0,A,3,nist,L7248,A
K,466.79,0,,3,nist,L3496,A
K,470.09,100,,3,nist,L3496,A
K,471.57,0,,3,nist,L3496,A
K,474.92,0,,3,nist,L3496,A
K,479.18,0,,3,nist,L3496,A
K,482.11,0,,3,nist,L3496,A
K,482.41,0,,3,nist,L3496,A
K,484.20,0,,3,nist,L3496,A
K,497.10,0,,3,nist,L3496,A
K,514.94,0,,3,nist,L3496,A
K,520.61,0,,3,nist,L3496,A
K,523.79,0,,3,nist,L3496,A
K,529.80,0,,3,nist,L3496,A
K,539.73,0,,3,nist,L3496,A
K,546.12,0,,3,nist,L3496,A
K,550.32,0,,3,nist,L3496,A
K,708.84,0,,3,nist,L3496,A
K,765.31,0,,3,nist,L3496,A
K,765.64,0,,3,nist,L3496,A
K,778.53,0,,3,nist,L3496,A
K,872.31,0,,3,nist,L3496,A
K,873.86,0,,3,nist,L3496,A
K,874.04,0,,3,nist,L3496,A
