element,wavelength,intensity,acc,state,source,reference,unit
K,271.82,150,,4,nist,L497,A
K,273.06,100,,4,nist,"L3496,L497",A
K,273.55,0,,4,nist,L497,A
K,340.46,300,,4,nist,L3496,A
K,340.74,150,,4,nist,L3496,A
K,342.41,150,,4,nist,L3496,A
K,342.80,100,,4,nist,L3496,A
K,354.14,300,,4,nist,L497,A
K,354.93,300,,4,nist,L497,A
K,356.26,150,,4,nist,L497,A
K,359.73,300,,4,nist,L3496,A
K,359.91,200,,4,nist,L3496,A
K,360.57,0,,4,nist,L497,A
K,362.08,250,,4,nist,L3496,A
K,362.15,150,,4,nist,L3496,A
K,363.02,150,,4,nist,L3496,A
K,368.03,200,,4,nist,L64,A
K,375.96,300,,4,nist,L497,A
K,379.28,100,,4,nist,L64,A
K,379.88,300,,4,nist,L64,A
K,380.48,250,,4,nist,L64,A
K,381.70,200,,4,nist,L64,A
K,382.23,300,,4,nist,L64,A
K,382.49,150,,4,nist,L497,A
K,382.65,200,,4,nist,L64,A
K,382.91,300,,4,nist,L64,A
K,384.10,250,,4,nist,L3496,A
K,388.92,250,,4,nist,L64,A
K,389.07,250,,4,nist,L64,A
K,390.42,250,,4,nist,L64,A
K,390.57,300,,4,nist,L64,A
K,391.46,200,,4,nist,L64,A
K,392.27,100,,4,nist,L3496,A
K,392.47,200,,4,nist,L64,A
K,393.14,500,,4,nist,L64,A
K,400.21,400,,4,nist,L64,A
K,402.91,300,,4,nist,L64,A
K,403.97,250,,4,nist,L64,A
K,404.41,150,,4,nist,L64,A
K,405.77,100,,4,nist,L64,A
K,408.08,250,,4,nist,L3496,A
K,408.96,400,,4,nist,L64,A
K,417.28,150,,4,nist,L64,A
K,442.30,200,,4,nist,L64,A
K,442.52,100,,4,nist,L3496,A
K,443.57,300,,4,nist,L3496,A
K,445.61,200,,4,nist,L3496,A
K,446.83,250,,4,nist,L3496,A
K,446.92,100,,4,nist,L3496,A
K,448.60,750,,4,nist,L3496,A
K,449.71,200,,4,nist,L64,A
K,4512.20,0,,4,nist,L3453,A
K,456.33,400,,4,nist,L3496,A
K,473.21,100,,4,nist,L3496,A
K,499.99,100,,4,nist,L64,A
K,523.00,250,,4,nist,L3496,A
K,526.45,200,,4,nist,L3496,A
K,527.06,100,,4,nist,L3496,A
K,527.62,150,,4,nist,L3496,A
K,528.88,0,,4,nist,L3496,A
K,584.314,0,,4,nist,L3633,A
K,59820,0,B,4,nist,L7248,A
K,6103.52,0,,4,nist,L3452,A
K,646.181,0,,4,nist,L3633,A
K,737.146,0,,4,nist,L3633,A
K,741.941,0,,4,nist,L3633,A
K,745.258,0,,4,nist,L3633,A
K,746.342,0,,4,nist,L3633,A
K,749.979,0,,4,nist,L3633,A
K,754.187,0,,4,nist,L3633,A
K,754.658,0,,4,nist,L3633,A
