element,wavelength,intensity,acc,state,source,reference,unit
Kr,0.945400,0,,35,nist,L21941,A
Kr,0.94708,0,,35,nist,L9556,A
Kr,0.951810,0,,35,nist,L21941,A
Kr,0.95522,0,,35,nist,L9556,A
Kr,100.075,4000,,10,nist,L6283,A
Kr,100.111,125,,10,nist,L6283,A
Kr,100.254,0,,20,nist,L10225,A
Kr,100.261,150,,10,nist,L6283,A
Kr,100.297,100,,10,nist,L6283,A
Kr,100.653,150,,10,nist,L6283,A
Kr,100.662,100,,10,nist,L6283,A
Kr,100.876,100,,10,nist,L6283,A
Kr,1000.33,0,,4,nist,L7257,A
Kr,1001.060639,0,C,1,nist,L11903,A
Kr,1002.74,0,,5,nist,L9919,A
Kr,1002.746,0,,6,nist,L7277,A
Kr,1003.37,0,,5,nist,L9919,A
Kr,1003.550,0,C,1,nist,L4676,A
Kr,10041.40,0,,1,nist,L6099,A
Kr,1005.50,0,,7,nist,L11805,A
Kr,10057.62,0,,1,nist,L6099,A
Kr,10068.72,0,D+,1,nist,L6099,A
Kr,1007.17,0,,4,nist,L7257,A
Kr,10080.42,0,,1,nist,L6099,A
Kr,1009.43,0,,7,nist,L11805,A
Kr,101.065,0,,10,nist,L6283,A
Kr,101.162,1500,,10,nist,L6283,A
Kr,101.181,0,,10,nist,L6283,A
Kr,101.224,100,,10,nist,L6283,A
Kr,101.367,10000,,10,nist,L6283,A
Kr,101.668,200,,10,nist,L6283,A
Kr,101.691,300,,10,nist,L6283,A
Kr,101.719,250,,10,nist,L6283,A
Kr,101.985,5000,,10,nist,L6283,A
Kr,1011.14,0,,6,nist,L7277,A
Kr,10123.73,0,D+,1,nist,L6099,A
Kr,1013.24,0,,4,nist,L7257,A
Kr,1015.77,0,,6,nist,L7277,A
Kr,10150.46,0,,1,nist,L6099,A
Kr,1016.22,0,,5,nist,L9919,A
Kr,10170.40,0,,2,nist,L7386,A
Kr,1018.44,0,,5,nist,L9919,A
Kr,10180.20,0,,2,nist,L7386,A
Kr,1019.09,0,,4,nist,L7257,A
Kr,102.001,0,,18,nist,L10266,A
Kr,102.151,1500,,10,nist,L6283,A
Kr,102.260,1500,,10,nist,L6283,A
Kr,102.299,1500,,10,nist,L6283,A
Kr,102.687,10000,,10,nist,L6283,A
Kr,102.750,200,,10,nist,L6283,A
Kr,102.837,8000,,10,nist,L6283,A
Kr,102.914,300,,10,nist,L6283,A
Kr,1022.28,0,,4,nist,L7257,A
Kr,10224.32,1000,,2,nist,L8549,A
Kr,10276.4,0,,1,nist,L6099,A
Kr,1028.24,0,,4,nist,L7257,A
Kr,1029.58,0,,3,nist,L7284,A
Kr,10299.75,0,,1,nist,L6099,A
Kr,103.021,0,,20,nist,L10225,A
Kr,103.251,20000,,10,nist,L6283,A
Kr,103.268,100,,21,nist,L10543,A
Kr,103.493,100,,10,nist,L6283,A
Kr,103.572,10000,,10,nist,L6283,A
Kr,103.684,0,,21,nist,L10543,A
Kr,103.796,0,,10,nist,L6283,A
Kr,1030.022,0,C+,1,nist,L4676,A
Kr,1030.40,0,,5,nist,L9919,A
Kr,10325.71,0,,1,nist,L6099,A
Kr,10363.21,100,,1,nist,L6099,A
Kr,10363.99,100,,2,nist,L7386,A
Kr,10377.28,0,,1,nist,L6099,A
Kr,10392.13,0,,2,nist,L8549,A
Kr,104.023,1000,,10,nist,L6283,A
Kr,104.028,0,,21,nist,L10543,A
Kr,104.369,0,,10,nist,L6283,A
Kr,104.618,0,,10,nist,L6283,A
Kr,10431.35,0,,2,nist,L8549,A
Kr,1045.23,0,,6,nist,L7277,A
Kr,10461.43,0,,1,nist,L7293,A
Kr,10489.16,0,,1,nist,L7293,A
Kr,10489.16,0,,1,nist,L7293,A
Kr,1049.12,0,,4,nist,L7257,A
Kr,105.246,0,,21,nist,L18747,A
Kr,1052.95,0,,6,nist,L7277,A
Kr,1053.62,0,,4,nist,L7257,A
Kr,10552.53,0,,1,nist,L7293,A
Kr,10565.73,0,,2,nist,L7386,A
Kr,1057.47,0,,7,nist,L11805,A
Kr,10578.40,0,,1,nist,L7293,A
Kr,10578.40,0,,1,nist,L7293,A
Kr,1059.41,0,,8,nist,L10440,A
Kr,10595.94,0,,1,nist,L125,A
Kr,1061.069,0,,6,nist,L7277,A
Kr,10611.37,0,,1,nist,L125,A
Kr,10629.61,0,,1,nist,L7293,A
Kr,10642.46,0,,2,nist,L8549,A
Kr,10647.64,0,,1,nist,L7293,A
Kr,10662.4,0,,2,nist,L7386,A
Kr,1067.50,0,,3,nist,L7284,A
Kr,107.173,0,,21,nist,L10543,A
Kr,107.231,0,,23,nist,L10216,A
Kr,107.709,0,,21,nist,L10543,A
Kr,1070.69,0,,5,nist,L9919,A
Kr,10702.26,0,,1,nist,L7293,A
Kr,1071.20,0,,3,nist,L7284,A
Kr,1072.04,0,,5,nist,L9919,A
Kr,10732.37,0,,1,nist,L7293,A
Kr,1074.640,0,,4,nist,L6153,A
Kr,1076.60,0,,3,nist,L7284,A
Kr,108.362,300,,22,nist,L10627,A
Kr,108.854,0,,21,nist,L10543,A
Kr,108.977,0,,22,nist,L10627,A
Kr,1080.18,0,,3,nist,L7284,A
Kr,10804.3,0,,1,nist,L7293,A
Kr,10877.88,150,,1,nist,L125,A
Kr,109.334,0,,22,nist,L18747,A
Kr,109.648,0,,22,nist,L10627,A
Kr,1092.95,0,,4,nist,L7257,A
Kr,1096.77,0,,8,nist,L10440,A
Kr,110.063,0,,22,nist,L10627,A
Kr,110.242,0,,25,nist,L6464,A
Kr,110.62,0,,30,nist,L10338,A
Kr,1102.19,0,,5,nist,L9919,A
Kr,1102.485,0,,4,nist,L6153,A
Kr,1106.12,0,,3,nist,L7284,A
Kr,11082.23,0,,2,nist,L8549,A
Kr,111.051,0,,23,nist,L10880,A
Kr,111.11,0,,35,nist,L10642,A
Kr,111.65,0,,33,nist,L10642,A
Kr,111.669,100,,22,nist,L10627,A
Kr,1117.09,0,,5,nist,L9919,A
Kr,11190.17,0,,1,nist,L125,A
Kr,112.586,0,,23,nist,L10216,A
Kr,112.586,0,,23,nist,L10216,A
Kr,1120.72,0,,3,nist,L7284,A
Kr,1120.98,0,,4,nist,L7257,A
Kr,11217.65,0,,1,nist,L7293,A
Kr,1122.90,0,,4,nist,L7257,A
Kr,1123.328,0,,4,nist,L6153,A
Kr,11260.787,130,,1,nist,L9760,A
Kr,11262.24,0,,1,nist,L7293,A
Kr,11265.79,0,,1,nist,L7293,A
Kr,1128.04,0,,5,nist,L9919,A
Kr,11289.672,0,,1,nist,L9760,A
Kr,11306.9,0,,1,nist,L7293,A
Kr,11319.2,0,,1,nist,L7293,A
Kr,11331.61,0,,1,nist,L7293,A
Kr,11336.54,0,,1,nist,L7293,A
Kr,114.005,0,,22,nist,L10627,A
Kr,114.005,0,,23,nist,L10216,A
Kr,114.390,0,,23,nist,L10880,A
Kr,114.742,0,,8,nist,L10636,A
Kr,114.921,0,,23,nist,L10216,A
Kr,114.948,11000,,9,nist,L10636,A
Kr,11427.96,0,,2,nist,L8549,A
Kr,11460.614,220,B,1,nist,L9760,A
Kr,1148.55,0,,3,nist,L7284,A
Kr,115.248,0,,8,nist,L10636,A
Kr,115.738,28000,,9,nist,L10636,A
Kr,11517.52,0,,2,nist,L8549,A
Kr,1153.02,0,,4,nist,L7257,A
Kr,1157.60,0,,8,nist,L10440,A
Kr,1157.60,0,,8,nist,L10440,A
Kr,1157.60,0,,8,nist,L10440,A
Kr,1158.737,0,,3,nist,L353,A
Kr,116.047,0,,8,nist,L10636,A
Kr,116.797,0,,23,nist,L10216,A
Kr,11614.8,0,,1,nist,L7293,A
Kr,11614.8,0,,1,nist,L7293,A
Kr,1164.867,0,A+,1,nist,L4676,A
Kr,11659.0,0,,1,nist,L7293,A
Kr,1166.03,0,,4,nist,L7257,A
Kr,1166.93,0,,7,nist,L11805,A
Kr,1169.54,0,,7,nist,L11805,A
Kr,117.355,0,,8,nist,L10636,A
Kr,117.709,770,,9,nist,L10636,A
Kr,117.74,0,,33,nist,L10642,A
Kr,1171.568,0,,4,nist,L6153,A
Kr,1172.8,0,,7,nist,L10632,A
Kr,11785.33,0,,2,nist,L8549,A
Kr,11795.64,140,C+,1,nist,L125,A
Kr,118.178,350,,8,nist,L10636,A
Kr,118.468,0,,23,nist,L10216,A
Kr,118.626,0,,24,nist,L10163,A
Kr,118.667,0,,19,nist,L6974,A
Kr,118.850,0,,23,nist,L10216,A
Kr,1180.15,0,,4,nist,L7257,A
Kr,11822.6136,1800,B,1,nist,L4205c2,A
Kr,1184.18,0,,4,nist,L7257,A
Kr,1186.95,0,,4,nist,L7257,A
Kr,119.447,600,,8,nist,L10636,A
Kr,119.538,0,,8,nist,L10636,A
Kr,119.603,0,,8,nist,L10636,A
Kr,119.880,0,,8,nist,L10636,A
Kr,1190.29,0,,4,nist,L7257,A
Kr,1191.59,0,,8,nist,L10440,A
Kr,1197.16,0,,7,nist,L11805,A
Kr,11970.457,0,,1,nist,L9760,A
Kr,1199.22,0,,8,nist,L10440,A
Kr,11999.28,0,,1,nist,L125,A
Kr,120.906,100,,8,nist,L10636,A
Kr,120.958,100,,8,nist,L10636,A
Kr,12000.385,350,,1,nist,L9760,A
Kr,1202.39,0,,4,nist,L7257,A
Kr,1202.74,0,,7,nist,L11805,A
Kr,1206.346,0,,3,nist,L3262,A
Kr,12080.52,160,,1,nist,L125,A
Kr,12082.156,0,,1,nist,L9760,A
Kr,1209.63,0,,5,nist,L9919,A
Kr,121.303,0,,8,nist,L10636,A
Kr,121.493,0,,8,nist,L10636,A
Kr,121.577,0,,8,nist,L10636,A
Kr,121.595,250,,8,nist,L10636,A
Kr,121.890,0,,8,nist,L10636,A
Kr,12121.11,150,,1,nist,L125,A
Kr,12126.87,0,B,1,nist,L125,A
Kr,1214.07,0,,5,nist,L9919,A
Kr,1216.896,0,,3,nist,L3262,A
Kr,12160.17,0,,1,nist,L125,A
Kr,122.914,0,,8,nist,L10636,A
Kr,12207.8754,840,,1,nist,L4205c2,A
Kr,12232.75,0,,1,nist,L125,A
Kr,12243.91,0,,1,nist,L125,A
Kr,12285.45,0,,2,nist,L8549,A
Kr,123.076,0,,8,nist,L10636,A
Kr,123.10,0,,33,nist,L10642,A
Kr,123.495,0,,8,nist,L10636,A
Kr,123.570,0,,8,nist,L10636,A
Kr,123.776,0,,8,nist,L10636,A
Kr,123.891,120,,8,nist,L10636,A
Kr,12324.45,0,,1,nist,L125,A
Kr,1234.24,0,,4,nist,L7257,A
Kr,1235.838,100,A+,1,nist,L4676,A
Kr,124.322,0,,23,nist,L10216,A
Kr,124.481,0,,8,nist,L10636,A
Kr,124.520,0,,23,nist,L10880,A
Kr,124.759,450,,8,nist,L10636,A
Kr,124.823,550,,8,nist,L10636,A
Kr,12418.485,0,,1,nist,L9760,A
Kr,1242.98,0,,4,nist,L7257,A
Kr,1248.10,0,,4,nist,L7257,A
Kr,125.014,0,,8,nist,L10636,A
Kr,125.301,0,,8,nist,L10636,A
Kr,125.437,450,,8,nist,L10636,A
Kr,1253.12,0,,5,nist,L9919,A
Kr,1253.54,0,,5,nist,L9919,A
Kr,1254.32,0,,5,nist,L9919,A
Kr,1255.78,0,,4,nist,L7257,A
Kr,1257.30,0,,4,nist,L7257,A
Kr,1258.745,0,,3,nist,L3262,A
Kr,1259.309,0,,3,nist,L3262,A
Kr,126.692,0,,8,nist,L10636,A
Kr,126.813,0,,8,nist,L10636,A
Kr,126.886,0,,25,nist,L10226,A
Kr,12601.33,0,,1,nist,L125,A
Kr,1261.33,0,,4,nist,L7257,A
Kr,1263.79,0,,4,nist,L7257,A
Kr,1265.315,0,,3,nist,L3262,A
Kr,1267.68,0,,8,nist,L10440,A
Kr,127.288,0,,23,nist,L10880,A
Kr,127.653,0,,23,nist,L10216,A
Kr,127.738,0,,8,nist,L10636,A
Kr,1270.204,0,,3,nist,L3262,A
Kr,1271.1,0,,21,nist,L10543,A
Kr,1271.28,0,,5,nist,L9919,A
Kr,12735.77,0,,2,nist,L8549,A
Kr,12736.342,0,,1,nist,L9760,A
Kr,1276.21,0,,4,nist,L7257,A
Kr,1276.94,0,,8,nist,L10440,A
Kr,1277.1,0,,25,nist,L6950,A
Kr,1278.20,0,,3,nist,L7284,A
Kr,1278.943,0,,3,nist,L3262,A
Kr,12786.02,100,,1,nist,L125,A
Kr,12786.02,100,,1,nist,L125,A
