element,wavelength,intensity,acc,state,source,reference,unit
Kr,1001.060639,0,C,1,nist,L11903,A
Kr,1003.550,0,C,1,nist,L4676,A
Kr,10041.40,0,,1,nist,L6099,A
Kr,10057.62,0,,1,nist,L6099,A
Kr,10068.72,0,D+,1,nist,L6099,A
Kr,10080.42,0,,1,nist,L6099,A
Kr,10123.73,0,D+,1,nist,L6099,A
Kr,10150.46,0,,1,nist,L6099,A
Kr,10276.4,0,,1,nist,L6099,A
Kr,10299.75,0,,1,nist,L6099,A
Kr,1030.022,0,C+,1,nist,L4676,A
Kr,10325.71,0,,1,nist,L6099,A
Kr,10363.21,100,,1,nist,L6099,A
Kr,10377.28,0,,1,nist,L6099,A
Kr,10461.43,0,,1,nist,L7293,A
Kr,10489.16,0,,1,nist,L7293,A
Kr,10489.16,0,,1,nist,L7293,A
Kr,10552.53,0,,1,nist,L7293,A
Kr,10578.40,0,,1,nist,L7293,A
Kr,10578.40,0,,1,nist,L7293,A
Kr,10595.94,0,,1,nist,L125,A
Kr,10611.37,0,,1,nist,L125,A
Kr,10629.61,0,,1,nist,L7293,A
Kr,10647.64,0,,1,nist,L7293,A
Kr,10702.26,0,,1,nist,L7293,A
Kr,10732.37,0,,1,nist,L7293,A
Kr,10804.3,0,,1,nist,L7293,A
Kr,10877.88,150,,1,nist,L125,A
Kr,11190.17,0,,1,nist,L125,A
Kr,11217.65,0,,1,nist,L7293,A
Kr,11260.787,130,,1,nist,L9760,A
Kr,11262.24,0,,1,nist,L7293,A
Kr,11265.79,0,,1,nist,L7293,A
Kr,11289.672,0,,1,nist,L9760,A
Kr,11306.9,0,,1,nist,L7293,A
Kr,11319.2,0,,1,nist,L7293,A
Kr,11331.61,0,,1,nist,L7293,A
Kr,11336.54,0,,1,nist,L7293,A
Kr,11460.614,220,B,1,nist,L9760,A
Kr,11614.8,0,,1,nist,L7293,A
Kr,11614.8,0,,1,nist,L7293,A
Kr,1164.867,0,A+,1,nist,L4676,A
Kr,11659.0,0,,1,nist,L7293,A
Kr,11795.64,140,C+,1,nist,L125,A
Kr,11822.6136,1800,B,1,nist,L4205c2,A
Kr,11970.457,0,,1,nist,L9760,A
Kr,11999.28,0,,1,nist,L125,A
Kr,12000.385,350,,1,nist,L9760,A
Kr,12080.52,160,,1,nist,L125,A
Kr,12082.156,0,,1,nist,L9760,A
Kr,12121.11,150,,1,nist,L125,A
Kr,12126.87,0,B,1,nist,L125,A
Kr,12160.17,0,,1,nist,L125,A
Kr,12207.8754,840,,1,nist,L4205c2,A
Kr,12232.75,0,,1,nist,L125,A
Kr,12243.91,0,,1,nist,L125,A
Kr,12324.45,0,,1,nist,L125,A
Kr,1235.838,100,A+,1,nist,L4676,A
Kr,12418.485,0,,1,nist,L9760,A
Kr,12601.33,0,,1,nist,L125,A
Kr,12736.342,0,,1,nist,L9760,A
Kr,12786.02,100,,1,nist,L125,A
Kr,12786.02,100,,1,nist,L125,A
Kr,12828.59,0,,1,nist,L7384,A
Kr,12828.59,0,,1,nist,L7384,A
Kr,12865.41,0,B+,1,nist,L125,A
Kr,12879.690,0,,1,nist,L9760,A
Kr,12882.26,470,,1,nist,L125,A
Kr,12918.1,0,,1,nist,L4085,A
Kr,12938.02,0,,1,nist,L7384,A
Kr,12981.53,0,,1,nist,L7384,A
Kr,12988.87,0,,1,nist,L125,A
Kr,13025.97,0,,1,nist,L125,A
Kr,131.09,0,,1,nist,L3379,A
Kr,131.43,0,,1,nist,L3379,A
Kr,13123.705,0,,1,nist,L9760,A
Kr,13181.0149,310,B,1,nist,L4205c2,A
Kr,13193.726,0,,1,nist,L9760,A
Kr,132.12,0,,1,nist,L3379,A
Kr,132.82,0,,1,nist,L3379,A
Kr,13214.28,0,,1,nist,L125,A
Kr,13244.31,0,C+,1,nist,L125,A
Kr,133.17,0,,1,nist,L3379,A
Kr,133.90,0,,1,nist,L3379,A
Kr,13307.94,0,,1,nist,L7384,A
Kr,13308.672,0,,1,nist,L9760,A
Kr,13341.53,0,C+,1,nist,L125,A
Kr,134.09,0,,1,nist,L3379,A
Kr,135.88,0,,1,nist,L3379,A
Kr,13626.1413,130,C+,1,nist,L4205c2,A
Kr,13637.9487,250,B,1,nist,L4205c2,A
Kr,13662.12,0,B,1,nist,L125,A
Kr,13714.77,0,,1,nist,L125,A
Kr,13742.6120,0,B+,1,nist,L4205c2,A
Kr,13767.48,0,,1,nist,L7384,A
Kr,13803.80,0,,1,nist,L7384,A
Kr,13836.66,0,C+,1,nist,L125,A
Kr,13886.65,0,C+,1,nist,L125,A
Kr,13927.85,0,,1,nist,L125,A
Kr,13942.81,0,C+,1,nist,L125,A
Kr,13977.88,0,,1,nist,L125,A
Kr,14108.15,0,,1,nist,L125,A
Kr,14160.49,0,,1,nist,L7384,A
Kr,14345.17,0,,1,nist,L7384,A
Kr,14351.40,0,,1,nist,L125,A
Kr,14406.22,0,,1,nist,L125,A
Kr,14430.7362,350,B,1,nist,L4205c2,A
Kr,14472.81,0,,1,nist,L125,A
Kr,14521.6,0,,1,nist,L4085,A
Kr,14719.57,0,,1,nist,L7384,A
Kr,14738.4687,100,B,1,nist,L4205c2,A
Kr,14766.72,0,B,1,nist,L125,A
Kr,14769.52,0,B+,1,nist,L125,A
Kr,14965.980,290,C+,1,nist,L9760,A
Kr,14977.83,0,,1,nist,L7384,A
Kr,15009.44,0,D+,1,nist,L125,A
Kr,15213.70,0,C+,1,nist,L125,A
Kr,15243.7868,160,C+,1,nist,L4205c2,A
Kr,15270.1,0,,1,nist,L4085,A
Kr,15330.67,0,C,1,nist,L125,A
Kr,15339.1576,200,,1,nist,L4205c2,A
Kr,15376.242,725,B,1,nist,L9760,A
Kr,15399.179,0,,1,nist,L9760,A
Kr,15437.85,0,,1,nist,L7384,A
Kr,15475.236,0,,1,nist,L9760,A
Kr,15475.236,0,,1,nist,L9760,A
Kr,15478.261,150,B+,1,nist,L9760,A
Kr,15639.25,0,,1,nist,L7384,A
Kr,15685.28,0,,1,nist,L125,A
Kr,15691.07,0,,1,nist,L9760,A
Kr,15775.75,0,,1,nist,L7384,A
Kr,15824.412,105,,1,nist,L9760,A
Kr,15827.18,0,,1,nist,L125,A
Kr,15827.18,0,,1,nist,L125,A
Kr,15895.02,0,,1,nist,L125,A
Kr,15930.13,0,,1,nist,L125,A
Kr,16056.70,0,,1,nist,L7384,A
Kr,16090.50,0,,1,nist,L9760,A
Kr,16113.73,0,,1,nist,L125,A
Kr,16248.74,0,,1,nist,L9760,A
Kr,16319.715,0,,1,nist,L9760,A
Kr,16351.39,0,,1,nist,L125,A
Kr,16470.37,0,,1,nist,L125,A
Kr,16567.40,0,,1,nist,L9760,A
Kr,16577.58,0,,1,nist,L125,A
Kr,16731.10,0,B+,1,nist,L125,A
Kr,16789.7178,320,B,1,nist,L4205c2,A
Kr,16858.1016,170,C+,1,nist,L4205c2,A
Kr,16895.0674,340,C+,1,nist,L4205c2,A
Kr,16901.3800,400,,1,nist,L4205c2,A
Kr,16923.4,0,,1,nist,L4085,A
Kr,16923.4,0,,1,nist,L4085,A
Kr,16940.4393,280,C+,1,nist,L4205c2,A
Kr,16999.13,0,,1,nist,L125,A
Kr,17074.69,0,,1,nist,L125,A
Kr,17103.4495,0,,1,nist,L4205c2,A
Kr,17235.43,0,,1,nist,L125,A
Kr,17372.3574,110,,1,nist,L4205c2,A
Kr,17409.19,0,,1,nist,L125,A
Kr,17621.65,0,,1,nist,L125,A
Kr,17635.36,0,,1,nist,L125,A
Kr,17775.57,0,,1,nist,L125,A
Kr,17847.617,950,,1,nist,L9760,A
Kr,18007.1461,1200,,1,nist,L4205c2,A
Kr,18104.38,0,,1,nist,L125,A
Kr,18172.2883,940,,1,nist,L4205c2,A
Kr,18190.04,180,,1,nist,L125,A
Kr,18389.86,0,,1,nist,L9760,A
Kr,18423.85,0,,1,nist,L7384,A
Kr,18585.96,270,,1,nist,L125,A
Kr,18701.411,380,,1,nist,L9760,A
Kr,18790.61,180,B+,1,nist,L125,A
Kr,18792.86,0,,1,nist,L7384,A
Kr,18802.84,360,,1,nist,L125,A
Kr,20215.41,0,,1,nist,L125,A
Kr,20424.6,0,,1,nist,L4085,A
Kr,20429.57,0,,1,nist,L125,A
Kr,20930.15,0,,1,nist,L125,A
Kr,21171.30,0,,1,nist,L125,A
Kr,21908.5101,1300,,1,nist,L4205c2,A
Kr,22491.90,0,,1,nist,L125,A
Kr,23346.79,120,,1,nist,L125,A
Kr,23508.90,0,,1,nist,L125,A
Kr,24267.18,0,,1,nist,L125,A
Kr,24298.90,110,,1,nist,L125,A
Kr,24775.39,0,,1,nist,L125,A
Kr,25240.75,150,,1,nist,L125,A
Kr,25855.94,0,,1,nist,L125,A
Kr,26260,0,,1,nist,L4227,A
Kr,28621.2,0,,1,nist,L4321,A
Kr,28650,0,,1,nist,L4227,A
Kr,29850,0,,1,nist,L4227,A
Kr,30500,0,,1,nist,L4227,A
Kr,30673,0,,1,nist,L4227,A
Kr,31510,0,,1,nist,L4227,A
Kr,3183.87,0,,1,nist,L3988,A
Kr,3185.45,0,,1,nist,L7408,A
Kr,3186.93,0,,1,nist,L7408,A
Kr,3186.93,0,,1,nist,L7408,A
Kr,3231.61,0,,1,nist,L7408,A
Kr,3233.73,0,,1,nist,L7408,A
Kr,3233.73,0,,1,nist,L7408,A
Kr,3258.04,0,,1,nist,L7408,A
Kr,3258.04,0,,1,nist,L7408,A
Kr,3258.94,0,,1,nist,L7408,A
Kr,3258.94,0,,1,nist,L7408,A
Kr,3281.54,0,,1,nist,L7408,A
Kr,3303.49,0,,1,nist,L7408,A
Kr,3304.26,0,,1,nist,L3988,A
Kr,3307.12,0,,1,nist,L7408,A
Kr,3307.12,0,,1,nist,L7408,A
Kr,3328.96,0,,1,nist,L7408,A
Kr,3333.43,0,,1,nist,L7408,A
Kr,3333.94,0,,1,nist,L3988,A
Kr,3338.13,0,,1,nist,L7408,A
Kr,33410,0,,1,nist,L4227,A
Kr,33410,0,,1,nist,L4227,A
Kr,3346.69,0,,1,nist,L7408,A
Kr,3346.69,0,,1,nist,L7408,A
Kr,3348.46,0,,1,nist,L7408,A
Kr,3348.46,0,,1,nist,L7408,A
Kr,3362.71,0,,1,nist,L7408,A
Kr,3362.71,0,,1,nist,L7408,A
Kr,3402.38,0,,1,nist,L7408,A
Kr,3409.95,0,,1,nist,L7408,A
Kr,3410.87,0,,1,nist,L7408,A
Kr,3413.78,0,,1,nist,L7408,A
Kr,3425.9254,0,,1,nist,L7350,A
Kr,3427.25,0,,1,nist,L7408,A
Kr,3432.43,0,,1,nist,L7408,A
Kr,3432.7055,0,,1,nist,L7350,A
Kr,3435.1268,0,,1,nist,L7350,A
Kr,3455.89,0,,1,nist,L7408,A
Kr,3457.86,0,,1,nist,L7408,A
Kr,3457.86,0,,1,nist,L7408,A
Kr,34660,0,,1,nist,L4227,A
Kr,34880,0,,1,nist,L4227,A
Kr,34880,0,,1,nist,L4227,A
Kr,34880,0,,1,nist,L4227,A
Kr,3496.9900,0,C,1,nist,L4054,A
Kr,3503.5557,0,D+,1,nist,L7350,A
Kr,3504.9004,0,,1,nist,L7350,A
Kr,3507.66,0,,1,nist,L7408,A
Kr,3508.84,0,,1,nist,L7408,A
Kr,3512.9007,0,C,1,nist,L7350,A
Kr,3523.6819,0,,1,nist,L7350,A
Kr,3540.5531,0,,1,nist,L7350,A
Kr,3541.9657,0,,1,nist,L7350,A
Kr,3547.47,0,,1,nist,L7408,A
