element,wavelength,intensity,acc,state,source,reference,unit
Kr,10170.40,0,,2,nist,L7386,A
Kr,10180.20,0,,2,nist,L7386,A
Kr,10224.32,1000,,2,nist,L8549,A
Kr,10363.99,100,,2,nist,L7386,A
Kr,10392.13,0,,2,nist,L8549,A
Kr,10431.35,0,,2,nist,L8549,A
Kr,10565.73,0,,2,nist,L7386,A
Kr,10642.46,0,,2,nist,L8549,A
Kr,10662.4,0,,2,nist,L7386,A
Kr,11082.23,0,,2,nist,L8549,A
Kr,11427.96,0,,2,nist,L8549,A
Kr,11517.52,0,,2,nist,L8549,A
Kr,11785.33,0,,2,nist,L8549,A
Kr,12285.45,0,,2,nist,L8549,A
Kr,12735.77,0,,2,nist,L8549,A
Kr,12919.17,0,,2,nist,L8549,A
Kr,1330.948,0,,2,nist,L353,A
Kr,1331.402,0,,2,nist,L353,A
Kr,13978.18,0,,2,nist,L8549,A
Kr,1413.894,0,,2,nist,L353,A
Kr,1422.512,0,,2,nist,L353,A
Kr,1435.085,0,,2,nist,L353,A
Kr,1435.676,0,,2,nist,L353,A
Kr,1444.343,0,,2,nist,L353,A
Kr,1464.072,0,,2,nist,L353,A
Kr,1466.460,0,,2,nist,L353,A
Kr,1468.021,0,,2,nist,L353,A
Kr,1490.928,0,,2,nist,L353,A
Kr,1491.104,0,,2,nist,L353,A
Kr,1495.769,0,,2,nist,L353,A
Kr,1514.585,0,,2,nist,L353,A
Kr,1525.486,0,,2,nist,L353,A
Kr,1539.075,0,,2,nist,L353,A
Kr,1568.050,0,,2,nist,L353,A
Kr,1569.135,0,,2,nist,L353,A
Kr,1571.876,0,,2,nist,L353,A
Kr,1572.340,0,,2,nist,L353,A
Kr,1573.404,0,,2,nist,L353,A
Kr,1574.103,0,,2,nist,L353,A
Kr,1574.340,0,,2,nist,L353,A
Kr,1574.733,0,,2,nist,L353,A
Kr,1575.375,0,,2,nist,L353,A
Kr,1576.155,0,,2,nist,L353,A
Kr,1579.513,0,,2,nist,L353,A
Kr,1579.731,0,,2,nist,L353,A
Kr,1584.563,0,,2,nist,L353,A
Kr,1586.093,0,,2,nist,L353,A
Kr,1586.170,0,,2,nist,L353,A
Kr,1586.621,0,,2,nist,L353,A
Kr,1589.384,0,,2,nist,L353,A
Kr,1592.565,0,,2,nist,L353,A
Kr,1593.946,0,,2,nist,L353,A
Kr,1593.946,0,,2,nist,L353,A
Kr,1594.895,0,,2,nist,L353,A
Kr,1598.082,0,,2,nist,L353,A
Kr,1599.492,0,,2,nist,L353,A
Kr,1603.721,0,,2,nist,L353,A
Kr,1606.026,0,,2,nist,L353,A
Kr,1608.902,0,,2,nist,L353,A
Kr,1613.853,0,,2,nist,L353,A
Kr,1613.898,0,,2,nist,L353,A
Kr,1614.274,0,,2,nist,L353,A
Kr,1623.948,0,,2,nist,L353,A
Kr,1629.867,0,,2,nist,L353,A
Kr,1632.037,0,,2,nist,L353,A
Kr,1634.396,0,,2,nist,L353,A
Kr,1637.981,0,,2,nist,L353,A
Kr,1638.807,0,,2,nist,L353,A
Kr,1650.630,0,,2,nist,L353,A
Kr,1658.358,0,,2,nist,L353,A
Kr,1668.416,0,,2,nist,L353,A
Kr,1674.577,0,,2,nist,L353,A
Kr,1677.058,0,,2,nist,L353,A
Kr,1682.622,0,,2,nist,L353,A
Kr,1684.845,0,,2,nist,L353,A
Kr,1687.456,0,,2,nist,L353,A
Kr,1697.189,0,,2,nist,L353,A
Kr,1699.297,0,,2,nist,L353,A
Kr,1713.509,0,,2,nist,L353,A
Kr,1716.582,0,,2,nist,L353,A
Kr,1716.657,0,,2,nist,L353,A
Kr,1718.431,0,,2,nist,L353,A
Kr,1719.638,0,,2,nist,L353,A
Kr,1719.908,0,,2,nist,L353,A
Kr,1720.208,0,,2,nist,L353,A
Kr,1721.632,0,,2,nist,L353,A
Kr,1722.701,0,,2,nist,L353,A
Kr,1722.936,0,,2,nist,L353,A
Kr,1724.864,0,,2,nist,L353,A
Kr,1725.982,0,,2,nist,L353,A
Kr,1726.078,0,,2,nist,L353,A
Kr,1727.854,0,,2,nist,L353,A
Kr,1733.649,0,,2,nist,L353,A
Kr,1733.681,0,,2,nist,L353,A
Kr,1734.507,0,,2,nist,L353,A
Kr,1734.54,0,,2,nist,L10563,A
Kr,1738.804,0,,2,nist,L353,A
Kr,1738.861,0,,2,nist,L353,A
Kr,1742.093,0,,2,nist,L353,A
Kr,1749.687,0,,2,nist,L353,A
Kr,1754.821,0,,2,nist,L353,A
Kr,1757.384,0,,2,nist,L353,A
Kr,1758.077,0,,2,nist,L353,A
Kr,1758.265,0,,2,nist,L353,A
Kr,1762.686,0,,2,nist,L353,A
Kr,1769.546,0,,2,nist,L353,A
Kr,1781.888,0,,2,nist,L353,A
Kr,1782.594,0,,2,nist,L353,A
Kr,1783.997,0,,2,nist,L353,A
Kr,1785.419,0,,2,nist,L353,A
Kr,1794.421,0,,2,nist,L353,A
Kr,1796.84,0,,2,nist,L10563,A
Kr,1797.020,0,,2,nist,L353,A
Kr,1797.515,0,,2,nist,L353,A
Kr,1804.070,0,,2,nist,L353,A
Kr,1808.713,0,,2,nist,L353,A
Kr,1809.454,0,,2,nist,L353,A
Kr,1811.674,0,,2,nist,L353,A
Kr,1817.602,0,,2,nist,L353,A
Kr,1830.842,0,,2,nist,L353,A
Kr,1833.847,0,,2,nist,L353,A
Kr,1842.091,0,,2,nist,L353,A
Kr,1850.093,0,,2,nist,L353,A
Kr,1850.773,0,,2,nist,L353,A
Kr,1852.603,0,,2,nist,L353,A
Kr,1867.889,0,,2,nist,L353,A
Kr,1868.662,0,,2,nist,L353,A
Kr,1870.645,0,,2,nist,L353,A
Kr,1871.619,0,,2,nist,L353,A
Kr,1873.761,0,,2,nist,L353,A
Kr,1875.296,0,,2,nist,L353,A
Kr,1875.999,0,,2,nist,L353,A
Kr,1876.491,0,,2,nist,L353,A
Kr,1877.613,0,,2,nist,L353,A
Kr,1878.041,0,,2,nist,L353,A
Kr,1878.256,0,,2,nist,L353,A
Kr,1878.830,0,,2,nist,L353,A
Kr,1879.141,0,,2,nist,L353,A
Kr,1881.418,0,,2,nist,L353,A
Kr,1888.783,0,,2,nist,L353,A
Kr,1889.679,0,,2,nist,L353,A
Kr,1895.408,0,,2,nist,L353,A
Kr,1897.457,0,,2,nist,L353,A
Kr,1898.048,0,,2,nist,L353,A
Kr,1898.631,0,,2,nist,L353,A
Kr,1899.501,0,,2,nist,L353,A
Kr,1899.629,0,,2,nist,L353,A
Kr,1901.490,0,,2,nist,L353,A
Kr,1902.778,0,,2,nist,L353,A
Kr,1903.193,0,,2,nist,L353,A
Kr,1906.543,0,,2,nist,L353,A
Kr,1907.356,0,,2,nist,L353,A
Kr,1907.760,0,,2,nist,L353,A
Kr,1909.788,0,,2,nist,L353,A
Kr,1909.840,0,,2,nist,L353,A
Kr,1910.421,0,,2,nist,L353,A
Kr,1910.539,0,,2,nist,L353,A
Kr,1911.797,0,,2,nist,L353,A
Kr,1914.673,0,,2,nist,L353,A
Kr,1917.387,0,,2,nist,L353,A
Kr,1918.567,0,,2,nist,L353,A
Kr,1919.199,0,,2,nist,L353,A
Kr,1919.522,0,,2,nist,L353,A
Kr,1920.467,0,,2,nist,L353,A
Kr,1931.276,0,,2,nist,L353,A
Kr,1931.565,0,,2,nist,L353,A
Kr,1933.784,0,,2,nist,L353,A
Kr,1933.852,0,,2,nist,L353,A
Kr,1938.427,0,,2,nist,L353,A
Kr,1939.037,0,,2,nist,L353,A
Kr,1940.112,0,,2,nist,L353,A
Kr,1941.944,0,,2,nist,L353,A
Kr,1943.765,0,,2,nist,L353,A
Kr,1946.677,0,,2,nist,L353,A
Kr,1948.752,0,,2,nist,L353,A
Kr,1956.412,0,,2,nist,L353,A
Kr,1957.542,0,,2,nist,L353,A
Kr,1958.427,0,,2,nist,L353,A
Kr,1958.427,0,,2,nist,L353,A
Kr,1961.863,0,,2,nist,L353,A
Kr,1963.361,0,,2,nist,L353,A
Kr,1969.278,0,,2,nist,L353,A
Kr,1970.125,0,,2,nist,L353,A
Kr,1974.015,0,,2,nist,L353,A
Kr,1975.251,0,,2,nist,L353,A
Kr,1976.252,0,,2,nist,L353,A
Kr,1978.904,0,,2,nist,L353,A
Kr,1981.264,0,,2,nist,L353,A
Kr,1981.653,0,,2,nist,L353,A
Kr,1982.866,0,,2,nist,L353,A
Kr,1983.634,0,,2,nist,L353,A
Kr,1990.341,0,,2,nist,L353,A
Kr,1992.464,0,,2,nist,L353,A
Kr,1993.763,0,,2,nist,L353,A
Kr,2000.065,0,,2,nist,L353,A
Kr,2000.929,0,,2,nist,L353,A
Kr,2003.656,0,,2,nist,L353,A
Kr,2011.792,0,,2,nist,L353,A
Kr,2017.436,0,,2,nist,L353,A
Kr,2019.70,0,,2,nist,L10563,A
Kr,2023.630,0,,2,nist,L353,A
Kr,2033.752,0,,2,nist,L353,A
Kr,2033.870,0,,2,nist,L353,A
Kr,2034.110,0,,2,nist,L353,A
Kr,2035.075,0,,2,nist,L353,A
Kr,2035.996,0,,2,nist,L353,A
Kr,2040.981,0,,2,nist,L353,A
Kr,2046.164,0,,2,nist,L353,A
Kr,2048.661,0,,2,nist,L353,A
Kr,2050.637,0,,2,nist,L353,A
Kr,2053.175,0,,2,nist,L353,A
Kr,2054.899,0,,2,nist,L353,A
Kr,2059.305,0,,2,nist,L353,A
Kr,2060.454,0,,2,nist,L353,A
Kr,2061.407,0,,2,nist,L353,A
Kr,2064.624,0,,2,nist,L353,A
Kr,2066.957,0,,2,nist,L353,A
Kr,2069.274,0,,2,nist,L353,A
Kr,2072.500,0,,2,nist,L353,A
Kr,2080.885,0,,2,nist,L353,A
Kr,2081.215,0,,2,nist,L353,A
Kr,2081.87,0,,2,nist,L10563,A
Kr,2083.415,0,,2,nist,L353,A
Kr,2084.565,0,,2,nist,L353,A
Kr,2085.223,0,,2,nist,L353,A
Kr,2086.065,0,,2,nist,L353,A
Kr,2087.391,0,,2,nist,L353,A
Kr,2088.142,0,,2,nist,L353,A
Kr,2088.815,0,,2,nist,L353,A
Kr,2090.669,0,,2,nist,L353,A
Kr,2092.533,0,,2,nist,L353,A
Kr,2093.786,0,,2,nist,L353,A
Kr,2094.036,0,,2,nist,L353,A
Kr,2095.699,0,,2,nist,L353,A
Kr,2095.780,0,,2,nist,L353,A
Kr,2096.893,0,,2,nist,L353,A
Kr,2097.31,0,,2,nist,L10563,A
Kr,2099.599,0,,2,nist,L353,A
Kr,2099.678,0,,2,nist,L353,A
Kr,2100.068,0,,2,nist,L353,A
Kr,2107.025,0,,2,nist,L353,A
Kr,2110.456,0,,2,nist,L353,A
Kr,2110.549,0,,2,nist,L353,A
Kr,2113.850,0,,2,nist,L353,A
Kr,2115.18,0,,2,nist,L10563,A
Kr,2115.245,0,,2,nist,L353,A
Kr,2115.922,0,,2,nist,L353,A
Kr,2115.996,0,,2,nist,L353,A
Kr,2118.908,0,,2,nist,L353,A
Kr,2119.484,0,,2,nist,L353,A
Kr,2120.528,0,,2,nist,L353,A
Kr,2121.536,0,,2,nist,L353,A
Kr,2125.714,0,,2,nist,L353,A
Kr,2126.441,0,,2,nist,L353,A
Kr,2130.492,0,,2,nist,L353,A
Kr,2130.492,0,,2,nist,L353,A
Kr,2130.93,0,,2,nist,L7386,A
Kr,2131.105,0,,2,nist,L353,A
Kr,2131.610,0,,2,nist,L353,A
Kr,2132.871,0,,2,nist,L353,A
Kr,2134.516,0,,2,nist,L353,A
Kr,2135.366,0,,2,nist,L353,A
Kr,2140.864,0,,2,nist,L353,A
Kr,2144.520,0,,2,nist,L353,A
Kr,2145.739,0,,2,nist,L353,A
