element,wavelength,intensity,acc,state,source,reference,unit
Kr,1002.74,0,,5,nist,L9919,A
Kr,1003.37,0,,5,nist,L9919,A
Kr,1016.22,0,,5,nist,L9919,A
Kr,1018.44,0,,5,nist,L9919,A
Kr,1030.40,0,,5,nist,L9919,A
Kr,1070.69,0,,5,nist,L9919,A
Kr,1072.04,0,,5,nist,L9919,A
Kr,1102.19,0,,5,nist,L9919,A
Kr,1117.09,0,,5,nist,L9919,A
Kr,1128.04,0,,5,nist,L9919,A
Kr,1209.63,0,,5,nist,L9919,A
Kr,1214.07,0,,5,nist,L9919,A
Kr,1253.12,0,,5,nist,L9919,A
Kr,1253.54,0,,5,nist,L9919,A
Kr,1254.32,0,,5,nist,L9919,A
Kr,1271.28,0,,5,nist,L9919,A
Kr,1284.47,0,,5,nist,L9919,A
Kr,1292.87,0,,5,nist,L9919,A
Kr,1295.08,0,,5,nist,L9919,A
Kr,1301.58,0,,5,nist,L9919,A
Kr,1302.43,0,,5,nist,L9919,A
Kr,1334.08,0,,5,nist,L9919,A
Kr,1337.77,0,,5,nist,L9919,A
Kr,1367.56,0,,5,nist,L9919,A
Kr,1382.35,0,,5,nist,L9919,A
Kr,1383.86,0,,5,nist,L9919,A
Kr,1384.59,0,,5,nist,L9919,A
Kr,1392.63,0,,5,nist,L9919,A
Kr,1393.61,0,,5,nist,L9919,A
Kr,1402.20,0,,5,nist,L9919,A
Kr,1416.14,0,,5,nist,L9919,A
Kr,1424.97,0,,5,nist,L9919,A
Kr,1429.84,0,,5,nist,L9919,A
Kr,1429.84,0,,5,nist,L9919,A
Kr,1433.78,0,,5,nist,L9919,A
Kr,1436.20,0,,5,nist,L9919,A
Kr,1452.26,0,,5,nist,L9919,A
Kr,1498.28,0,,5,nist,L9919,A
Kr,1499.64,0,,5,nist,L9919,A
Kr,1538.55,0,,5,nist,L9919,A
Kr,1540.07,0,,5,nist,L9919,A
Kr,1542.91,0,,5,nist,L9919,A
Kr,1555.39,0,,5,nist,L9919,A
Kr,1566.03,0,,5,nist,L9919,A
Kr,1568.91,0,,5,nist,L9919,A
Kr,1599.82,0,,5,nist,L9919,A
Kr,1611.49,0,,5,nist,L9919,A
Kr,1661.72,0,,5,nist,L9919,A
Kr,1698.42,0,,5,nist,L9919,A
Kr,1764.47,0,,5,nist,L9919,A
Kr,1789.65,0,,5,nist,L9919,A
Kr,1796.21,0,,5,nist,L9919,A
Kr,1894.70,0,,5,nist,L9919,A
Kr,1991.63,0,,5,nist,L9919,A
Kr,2007.96,0,,5,nist,L9919,A
Kr,2131.83,0,,5,nist,L9919,A
Kr,2176.02,0,,5,nist,L9919,A
Kr,2181.60,0,,5,nist,L9919,A
Kr,2192.60,100,,5,nist,L9919,A
Kr,2255.34,100,,5,nist,L9919,A
Kr,2314.79,100,,5,nist,L9919,A
Kr,2339.19,0,,5,nist,L9919,A
Kr,2341.13,0,,5,nist,L9919,A
Kr,2387.50,0,,5,nist,L9919,A
Kr,2426.80,0,,5,nist,L9919,A
Kr,2490.95,0,,5,nist,L9919,A
Kr,404.45,0,,5,nist,L9919,A
Kr,410.87,0,,5,nist,L9919,A
Kr,411.45,0,,5,nist,L9919,A
Kr,415.08,0,,5,nist,L9919,A
Kr,418.08,0,,5,nist,L9919,A
Kr,421.63,0,,5,nist,L9919,A
Kr,428.56,0,,5,nist,L9919,A
Kr,432.41,0,,5,nist,L9919,A
Kr,434.55,0,,5,nist,L10324,A
Kr,440.37,0,,5,nist,L9919,A
Kr,441.44,0,,5,nist,L10324,A
Kr,452.08,0,,5,nist,L9919,A
Kr,457.15,0,,5,nist,L10324,A
Kr,462.77,0,,5,nist,L10324,A
Kr,465.11,0,,5,nist,L10324,A
Kr,466.43,0,,5,nist,L10324,A
Kr,467.45,0,,5,nist,L10324,A
Kr,469.20,0,,5,nist,L10324,A
Kr,470.20,0,,5,nist,L10324,A
Kr,471.21,0,,5,nist,L10324,A
Kr,472.19,0,,5,nist,L10324,A
Kr,472.19,0,,5,nist,L10324,A
Kr,473.59,0,,5,nist,L10324,A
Kr,475.75,0,,5,nist,L10324,A
Kr,477.82,0,,5,nist,L10324,A
Kr,480.13,0,,5,nist,L7272,A
Kr,481.72,0,,5,nist,L10324,A
Kr,484.64,0,,5,nist,L10324,A
Kr,490.81,0,,5,nist,L10324,A
Kr,495.72,0,,5,nist,L9919,A
Kr,499.75,0,,5,nist,L10324,A
Kr,500.84,0,,5,nist,L10324,A
Kr,502.45,0,,5,nist,L10324,A
Kr,503.73,0,,5,nist,L10324,A
Kr,507.23,0,,5,nist,L10324,A
Kr,515.35,0,,5,nist,L10324,A
Kr,521.87,0,,5,nist,L10324,A
Kr,525.49,0,,5,nist,L10324,A
Kr,526.57,0,,5,nist,L7272,A
Kr,530.04,0,,5,nist,L7272,A
Kr,536.08,0,,5,nist,L9919,A
Kr,536.34,0,,5,nist,L10324,A
Kr,539.50,0,,5,nist,L9919,A
Kr,540.35,0,,5,nist,L10324,A
Kr,547.38,0,,5,nist,L9919,A
Kr,547.69,0,,5,nist,L7272,A
Kr,548.08,0,,5,nist,L7272,A
Kr,551.51,0,,5,nist,L10324,A
Kr,563.49,0,,5,nist,L10324,A
Kr,573.67,0,,5,nist,L10324,A
Kr,577.28,0,,5,nist,L9919,A
Kr,586.31,0,,5,nist,L9919,A
Kr,587.73,0,,5,nist,L7272,A
Kr,595.72,0,,5,nist,L7272,A
Kr,603.91,0,,5,nist,L9919,A
Kr,605.37,0,,5,nist,L7272,A
Kr,606.74,0,,5,nist,L7272,A
Kr,615.27,0,,5,nist,L7272,A
Kr,619.31,0,,5,nist,L9919,A
Kr,619.73,0,,5,nist,L9919,A
Kr,624.13,0,,5,nist,L9919,A
Kr,624.53,0,,5,nist,L9919,A
Kr,627.40,0,,5,nist,L9919,A
Kr,628.83,0,,5,nist,L9919,A
Kr,629.00,0,,5,nist,L9919,A
Kr,641.88,0,,5,nist,L10324,A
Kr,644.95,0,,5,nist,L7272,A
Kr,645.85,0,,5,nist,L10324,A
Kr,649.78,0,,5,nist,L9919,A
Kr,649.78,0,,5,nist,L9919,A
Kr,650.27,0,,5,nist,L9919,A
Kr,655.05,0,,5,nist,L9919,A
Kr,674.24,0,,5,nist,L9919,A
Kr,674.36,0,,5,nist,L10324,A
Kr,676.00,0,,5,nist,L9919,A
Kr,685.98,0,,5,nist,L9919,A
Kr,687.66,0,,5,nist,L9919,A
Kr,689.47,0,,5,nist,L9919,A
Kr,690.01,0,,5,nist,L10324,A
Kr,691.84,0,,5,nist,L10324,A
Kr,693.57,0,,5,nist,L10324,A
Kr,696.07,0,,5,nist,L10324,A
Kr,701.9,0,,5,nist,L9919,A
Kr,707.56,0,,5,nist,L9919,A
Kr,708.85,0,,5,nist,L10324,A
Kr,710.77,0,,5,nist,L10324,A
Kr,728.80,0,,5,nist,L7272,A
Kr,749.76,0,,5,nist,L7272,A
Kr,750.67,0,,5,nist,L9919,A
Kr,763.35,0,,5,nist,L9919,A
Kr,767.35,0,,5,nist,L9919,A
Kr,767.69,0,,5,nist,L9919,A
Kr,771.25,0,,5,nist,L10324,A
Kr,775.53,0,,5,nist,L10324,A
Kr,777.82,0,,5,nist,L10324,A
Kr,793.43,0,,5,nist,L10324,A
Kr,794.19,0,,5,nist,L10324,A
Kr,810.23,0,,5,nist,L10324,A
Kr,815.62,0,,5,nist,L9919,A
Kr,818.43,0,,5,nist,L10324,A
Kr,819.25,0,,5,nist,L10324,A
Kr,880.08,0,,5,nist,L9919,A
Kr,898.53,0,,5,nist,L10324,A
Kr,908.63,0,,5,nist,L10324,A
Kr,909.63,0,,5,nist,L10324,A
Kr,940.55,0,,5,nist,L9919,A
Kr,964.77,0,,5,nist,L9919,A
Kr,965.09,0,,5,nist,L9919,A
