element,wavelength,intensity,acc,state,source,reference,unit
La,10287.61,140,,3,nist,L245,A
La,10373.18,0,,3,nist,L245,A
La,1039.30,0,,4,nist,L4562,A
La,1058.63,200,,3,nist,L3517,A
La,1062.09,0,,4,nist,L4562,A
La,1072.59,1000,,3,nist,L3517,A
La,1076.91,5000,,3,nist,L3517,A
La,1081.61,50000,,3,nist,L3517,A
La,10940.90,0,,3,nist,L245,A
La,1099.73,95000,,3,nist,L3517,A
La,1100.70,5000,,3,nist,L3517,A
La,1158.35,0,,4,nist,L4562,A
La,1164.29,0,,4,nist,L4562,A
La,1208.80,0,,3,nist,L3517,A
La,1212.29,0,,3,nist,L3517,A
La,1230.90,400,,4,nist,L4562,A
La,1236.54,200,,3,nist,L3517,A
La,1253.99,100,,3,nist,L3517,A
La,1255.63,2000,,3,nist,L3517,A
La,1259.55,100,,3,nist,L3517,A
La,1260.79,0,,4,nist,L4562,A
La,1261.12,300,,4,nist,L4562,A
La,1283.19,150,,4,nist,L4562,A
La,1302.31,2000,,4,nist,L4562,A
La,1322.42,100,,3,nist,L3517,A
La,1330.04,5000,,3,nist,L3517,A
La,1333.53,1200,,4,nist,L4562,A
La,1334.96,3500,,4,nist,L4562,A
La,1349.18,10000,,3,nist,L3517,A
La,1352.76,1000,,4,nist,L4562,A
La,1368.04,25000,,4,nist,L4562,A
La,1377.49,8000,,4,nist,L4562,A
La,13898.27,0,,3,nist,L1338,A
La,1394.32,3000,,4,nist,L4562,A
La,14100.03,0,,3,nist,L1338,A
La,1414.58,5000,,4,nist,L4562,A
La,1432.55,7000,,4,nist,L4562,A
La,1441.63,7000,,4,nist,L4562,A
La,1459.49,5000,,3,nist,L3517,A
La,1462.15,7500,,4,nist,L4562,A
La,1463.47,20000,,4,nist,L4562,A
La,1466.44,2000,,3,nist,L3517,A
La,1467.54,7500,,4,nist,L4562,A
La,1507.87,15000,,4,nist,L4562,A
La,1523.79,10000,,3,nist,L3517,A
La,1527.19,5000,,4,nist,L4562,A
La,1528.55,500,,3,nist,L3517,A
La,1536.17,5000,,3,nist,L3517,A
La,1575.92,2500,,4,nist,L4562,A
La,1583.61,1500,,4,nist,L4562,A
La,1585.11,750,,4,nist,L4562,A
La,1637.42,750,,4,nist,L4562,A
La,1645.21,750,,4,nist,L4562,A
La,1664.84,1000,,4,nist,L4562,A
La,1684.17,750,,4,nist,L4562,A
La,1767.65,2000,,4,nist,L4562,A
La,17882.97,0,,3,nist,L1338,A
La,1808.66,4000,,4,nist,L4562,A
La,1851.81,1000,,4,nist,L4562,A
La,1852.77,1500,,4,nist,L4562,A
La,1879.79,750,,4,nist,L4562,A
La,1881.57,1000,,4,nist,L4562,A
La,1889.22,800,,4,nist,L4562,A
La,1891.47,1000,,4,nist,L4562,A
La,1902.97,5000,,4,nist,L4562,A
La,1907.44,800,,4,nist,L4562,A
