element,wavelength,intensity,acc,state,source,reference,unit
La,2726.39,0,,1,nist,L3475,A
La,3216.74,0,C+,1,nist,L3475,A
La,3343.19,0,B,1,nist,L3475,A
La,3462.17,0,C+,1,nist,L3475,A
La,3515.07,0,C+,1,nist,L3475,A
La,3575.45,200,B+,1,nist,L3475,A
La,3614.11,0,B,1,nist,L3475,A
La,3637.71,0,B,1,nist,L3475,A
La,3642.57,170,B+,1,nist,L3475,A
La,3650.57,0,B,1,nist,L3475,A
La,3673.07,0,C+,1,nist,L3475,A
La,3705.59,120,B,1,nist,L3475,A
La,3899.70,0,B,1,nist,L3475,A
La,3903.69,0,B,1,nist,L3475,A
La,3928.67,160,B+,1,nist,L3475,A
La,3954.80,0,C+,1,nist,L3475,A
La,4016.52,180,B+,1,nist,L3475,A
La,4038.35,140,B+,1,nist,L3475,A
La,4061.48,220,B+,1,nist,L3475,A
La,4065.94,160,B+,1,nist,L3475,A
La,4066.73,0,B+,1,nist,L3475,A
La,4080.33,120,B+,1,nist,L3475,A
La,4090.76,180,B+,1,nist,L3475,A
La,4106.03,110,B+,1,nist,L3475,A
La,4138.21,110,B+,1,nist,L3475,A
La,4158.69,0,C+,1,nist,L3475,A
La,4161.43,100,B,1,nist,L3475,A
La,4173.50,0,B+,1,nist,L3475,A
La,4178.66,0,B+,1,nist,L3475,A
La,4188.50,280,B+,1,nist,L3475,A
La,4263.54,0,B+,1,nist,L3475,A
La,4281.47,300,B+,1,nist,L3475,A
La,4341.95,0,,1,nist,L3475,A
La,4356.02,0,B+,1,nist,L3475,A
La,4391.10,0,,1,nist,L3475,A
La,4403.89,0,,1,nist,L3475,A
La,4425.14,160,B+,1,nist,L3475,A
La,4453.40,100,,1,nist,L3475,A
La,4453.40,100,,1,nist,L3475,A
La,4470.22,0,C+,1,nist,L3475,A
La,4487.32,0,B+,1,nist,L3475,A
La,4494.37,0,C+,1,nist,L3475,A
La,4495.97,0,B+,1,nist,L3475,A
La,4501.48,0,B+,1,nist,L3475,A
La,4543.06,0,B,1,nist,L3475,A
La,4550.78,0,B+,1,nist,L3475,A
La,4569.19,160,B+,1,nist,L3475,A
La,4571.30,200,B+,1,nist,L3475,A
La,4603.34,0,B+,1,nist,L3475,A
La,4616.36,0,,1,nist,L3475,A
La,4647.64,0,,1,nist,L3475,A
La,4649.95,0,B+,1,nist,L3475,A
La,4651.63,0,B+,1,nist,L3475,A
La,4653.38,0,B+,1,nist,L3475,A
La,4662.00,0,B,1,nist,L3475,A
La,4701.58,0,,1,nist,L3475,A
La,4703.96,0,B,1,nist,L3475,A
La,4709.51,0,B+,1,nist,L3475,A
La,4751.74,0,B,1,nist,L3475,A
La,4768.22,160,B+,1,nist,L3475,A
La,4771.76,0,B,1,nist,L3475,A
La,4801.34,0,,1,nist,L3475,A
La,4801.59,0,B,1,nist,L3475,A
La,4818.52,0,B,1,nist,L3475,A
La,4840.87,0,B+,1,nist,L3475,A
La,4852.18,0,B,1,nist,L3475,A
La,4856.31,0,B+,1,nist,L3475,A
La,4871.92,0,,1,nist,L3475,A
La,4880.22,0,B+,1,nist,L3475,A
La,4888.97,0,B,1,nist,L3475,A
La,4903.24,0,B,1,nist,L3475,A
La,4906.50,0,B,1,nist,L3475,A
La,4947.23,0,B+,1,nist,L3475,A
La,4951.15,370,B+,1,nist,L3475,A
La,4979.34,0,B+,1,nist,L3475,A
La,4995.27,0,B+,1,nist,L3475,A
La,5003.19,0,B+,1,nist,L3475,A
La,5048.29,140,B+,1,nist,L3475,A
La,5051.98,210,B+,1,nist,L3475,A
La,5057.87,170,B+,1,nist,L3475,A
La,5069.31,0,B,1,nist,L3475,A
La,5080.34,0,,1,nist,L3475,A
La,5104.55,0,,1,nist,L3475,A
La,5107.65,200,B+,1,nist,L3475,A
La,5122.31,0,C+,1,nist,L3475,A
La,5136.87,0,,1,nist,L3475,A
La,5140.59,0,,1,nist,L3475,A
La,5146.85,450,B+,1,nist,L3475,A
La,5160.13,290,B+,1,nist,L3475,A
La,5169.23,0,B,1,nist,L3475,A
La,5178.75,580,B+,1,nist,L3475,A
La,5180.56,0,,1,nist,L3475,A
La,5185.36,0,B+,1,nist,L3475,A
La,5213.31,720,B+,1,nist,L3475,A
La,5235.73,520,B+,1,nist,L3475,A
La,5241.01,0,B,1,nist,L3475,A
La,5242.29,0,,1,nist,L3475,A
La,5254.92,340,B+,1,nist,L3475,A
La,5259.31,0,,1,nist,L3475,A
La,5272.66,370,B+,1,nist,L3475,A
La,5277.89,0,C+,1,nist,L3475,A
La,5305.50,0,B+,1,nist,L3475,A
La,5309.01,0,,1,nist,L3475,A
La,5321.64,0,B,1,nist,L3475,A
La,5325.05,0,B,1,nist,L3475,A
La,5359.35,110,B+,1,nist,L3475,A
La,5359.35,110,,1,nist,L3475,A
La,5367.38,0,B,1,nist,L3475,A
La,5381.51,0,B+,1,nist,L3475,A
La,5417.19,0,C+,1,nist,L3475,A
La,5431.37,0,B,1,nist,L3475,A
La,5439.05,0,C+,1,nist,L3475,A
La,5456.67,500,B+,1,nist,L3475,A
La,5468.44,0,B,1,nist,L3475,A
La,5492.60,0,B,1,nist,L3475,A
La,5502.87,470,B+,1,nist,L3475,A
La,5503.78,0,C+,1,nist,L3475,A
La,5504.20,0,C+,1,nist,L3475,A
La,5505.34,0,B+,1,nist,L3475,A
La,5507.53,0,B+,1,nist,L3475,A
La,5516.81,0,B+,1,nist,L3475,A
La,5518.87,0,B+,1,nist,L3475,A
La,5531.41,0,C+,1,nist,L3475,A
La,5533.60,0,C,1,nist,L3475,A
La,5542.80,0,B+,1,nist,L3475,A
La,5546.45,0,,1,nist,L3475,A
La,5566.99,0,C+,1,nist,L3475,A
La,5567.27,0,C+,1,nist,L3475,A
La,5570.01,0,B,1,nist,L3475,A
La,5571.93,0,C+,1,nist,L3475,A
La,5589.89,0,B+,1,nist,L3475,A
La,5632.78,160,B+,1,nist,L3475,A
La,5633.59,0,B,1,nist,L3475,A
La,5640.88,0,B,1,nist,L3475,A
La,5649.82,240,B+,1,nist,L3475,A
La,5656.39,0,B,1,nist,L3475,A
La,5658.11,0,C+,1,nist,L3475,A
La,5659.29,130,B+,1,nist,L3475,A
La,5697.77,0,B+,1,nist,L3475,A
La,5700.97,0,C+,1,nist,L3475,A
La,5712.43,0,,1,nist,L3475,A
La,5715.61,0,B,1,nist,L3475,A
La,5716.14,0,,1,nist,L3475,A
La,5721.61,0,B,1,nist,L3475,A
La,5736.54,0,C+,1,nist,L3475,A
La,5742.25,180,B+,1,nist,L3475,A
La,5744.53,0,B,1,nist,L3475,A
La,5746.00,160,B+,1,nist,L3475,A
La,5763.44,160,B+,1,nist,L3475,A
La,5770.94,370,,1,nist,L3475,A
La,5770.94,370,B+,1,nist,L3475,A
La,5771.59,0,C+,1,nist,L3475,A
La,5790.85,320,B+,1,nist,L3475,A
La,5792.95,450,B+,1,nist,L3475,A
La,5809.67,0,,1,nist,L3475,A
La,5823.60,140,B+,1,nist,L3475,A
La,5825.44,0,B,1,nist,L3475,A
La,5829.18,0,B,1,nist,L3475,A
La,5831.34,0,B+,1,nist,L3475,A
La,5841.41,0,C+,1,nist,L3475,A
La,5846.65,0,C+,1,nist,L3475,A
La,5850.00,0,,1,nist,L3475,A
La,5853.89,0,C+,1,nist,L3475,A
La,5857.20,0,B,1,nist,L3475,A
La,5871.58,0,C+,1,nist,L3475,A
La,5876.36,0,C+,1,nist,L3475,A
La,5879.26,0,C+,1,nist,L3475,A
La,5879.62,0,C+,1,nist,L3475,A
La,5896.48,0,B+,1,nist,L3475,A
La,5902.39,0,,1,nist,L3475,A
La,5905.94,0,C+,1,nist,L3475,A
La,5919.27,0,B+,1,nist,L3475,A
La,5930.13,0,,1,nist,L3475,A
La,5932.26,320,B+,1,nist,L3475,A
La,5932.32,320,B+,1,nist,L3475,A
La,5936.88,0,B+,1,nist,L3475,A
La,5942.48,0,C+,1,nist,L3475,A
La,5962.24,0,B,1,nist,L3475,A
La,5964.25,0,,1,nist,L3475,A
La,5977.41,0,B,1,nist,L3475,A
La,5984.01,0,C+,1,nist,L3475,A
La,5994.02,0,C,1,nist,L3475,A
La,6009.02,0,B,1,nist,L3475,A
La,6018.83,0,,1,nist,L3475,A
La,6040.26,0,B,1,nist,L3475,A
La,6043.22,0,,1,nist,L3475,A
La,6070.36,0,B,1,nist,L3475,A
La,6073.73,0,,1,nist,L3475,A
La,6086.57,0,,1,nist,L3475,A
La,6108.96,0,C+,1,nist,L3475,A
La,6110.17,0,B+,1,nist,L3475,A
La,6113.41,0,C+,1,nist,L3475,A
La,6128.75,0,C+,1,nist,L3475,A
La,6136.09,0,B+,1,nist,L3475,A
La,6147.00,0,,1,nist,L3475,A
La,6167.41,0,B,1,nist,L3475,A
La,6219.92,0,,1,nist,L3475,A
La,6235.23,0,C+,1,nist,L3475,A
La,6236.58,0,,1,nist,L3475,A
