element,wavelength,intensity,acc,state,source,reference,unit
La,2188.55,240,,2,nist,L3475,A
La,2257.46,770,,2,nist,L3475,A
La,2318.53,0,,2,nist,L3475,A
La,2320.15,200,,2,nist,L3475,A
La,2329.46,0,,2,nist,L3475,A
La,2438.75,0,,2,nist,L3475,A
La,2472.65,0,,2,nist,L3475,A
La,2473.19,0,,2,nist,L3475,A
La,2480.60,0,,2,nist,L3475,A
La,2488.34,0,,2,nist,L3475,A
La,2533.90,0,,2,nist,L3475,A
La,2561.14,0,,2,nist,L3475,A
La,2581.59,0,,2,nist,L3475,A
La,2583.33,0,,2,nist,L3475,A
La,2596.87,0,,2,nist,L3475,A
La,2611.12,400,,2,nist,L3475,A
La,2673.70,0,,2,nist,L3475,A
La,2696.27,0,,2,nist,L3475,A
La,2792.33,0,,2,nist,L3475,A
La,2799.38,0,,2,nist,L3475,A
La,2809.22,420,,2,nist,L3475,A
La,2839.28,0,,2,nist,L3475,A
La,2841.35,0,,2,nist,L3475,A
La,2856.74,0,,2,nist,L3475,A
La,2863.82,0,,2,nist,L3475,A
La,2881.50,0,,2,nist,L3475,A
La,2885.99,130,,2,nist,L3475,A
La,2893.92,160,,2,nist,L3475,A
La,2951.36,110,,2,nist,L3475,A
La,3105.49,180,,2,nist,L3475,A
La,3109.36,0,,2,nist,L3475,A
La,3143.67,130,,2,nist,L3475,A
La,3193.94,0,,2,nist,L3475,A
La,3246.07,510,,2,nist,L3475,A
La,3250.29,260,,2,nist,L3475,A
La,3266.61,550,,2,nist,L3475,A
La,3304.06,800,,2,nist,L3475,A
La,3338.45,1500,,2,nist,L3475,A
La,3345.52,870,,2,nist,L3475,A
La,3377.30,200,,2,nist,L3475,A
La,3381.88,1500,,2,nist,L3475,A
La,3453.17,130,,2,nist,L3475,A
La,3454.16,180,,2,nist,L3475,A
La,3511.00,0,,2,nist,L3475,A
La,3513.93,0,,2,nist,L3475,A
La,3551.83,0,,2,nist,L3475,A
La,3558.28,0,,2,nist,L3475,A
La,3602.09,0,,2,nist,L3475,A
La,3613.37,0,,2,nist,L3475,A
La,3629.86,320,C+,2,nist,L3475,A
La,3638.19,120,,2,nist,L3475,A
La,3642.70,170,,2,nist,L3475,A
La,3646.46,1000,B,2,nist,L3475,A
La,3651.22,390,,2,nist,L3475,A
La,3663.12,170,C,2,nist,L3475,A
La,3702.86,0,,2,nist,L3475,A
La,3706.87,320,,2,nist,L3475,A
La,3714.60,550,C+,2,nist,L3475,A
La,3715.93,140,,2,nist,L3475,A
La,3716.59,270,,2,nist,L3475,A
La,3726.11,0,,2,nist,L3475,A
La,3736.91,0,,2,nist,L3475,A
La,3760.15,2400,B,2,nist,L3475,A
La,3774.19,0,,2,nist,L3475,A
La,3781.74,120,,2,nist,L3475,A
La,3785.88,0,,2,nist,L3475,A
La,3791.91,3700,B+,2,nist,L3475,A
La,3795.86,3900,B,2,nist,L3475,A
La,3809.87,0,,2,nist,L3475,A
La,3836.17,190,,2,nist,L3475,A
La,3841.81,600,B,2,nist,L3475,A
La,3847.09,120,,2,nist,L3475,A
La,3850.11,1600,B+,2,nist,L3475,A
La,3856.00,130,,2,nist,L3475,A
La,3865.59,0,,2,nist,L3475,A
La,3872.74,3400,B+,2,nist,L3475,A
La,3887.47,1700,C+,2,nist,L3475,A
La,3911.92,0,,2,nist,L3475,A
La,3917.16,1300,B,2,nist,L3475,A
La,3922.65,1100,C+,2,nist,L3475,A
La,3930.33,2200,B+,2,nist,L3475,A
La,3937.33,180,C+,2,nist,L3475,A
La,3950.22,9000,B+,2,nist,L3475,A
La,3989.65,4400,B,2,nist,L3475,A
La,3996.88,3600,B+,2,nist,L3475,A
La,4024.73,0,,2,nist,L3475,A
La,4027.02,250,C,2,nist,L3475,A
La,4032.83,2800,B,2,nist,L3475,A
La,4037.73,0,,2,nist,L3475,A
La,4044.05,3000,,2,nist,L3475,A
La,4051.22,320,,2,nist,L3475,A
La,4068.54,850,B,2,nist,L3475,A
La,4077.86,110,C+,2,nist,L3475,A
La,4078.50,2800,B+,2,nist,L3475,A
La,4087.87,5500,B+,2,nist,L3475,A
La,4100.70,280,,2,nist,L3475,A
La,4124.39,4400,B+,2,nist,L3475,A
La,4142.91,550,B,2,nist,L3475,A
La,4153.14,1100,B+,2,nist,L3475,A
La,4153.95,220,,2,nist,L3475,A
La,4193.54,280,,2,nist,L3475,A
La,4197.73,1500,B+,2,nist,L3475,A
La,4205.22,240,,2,nist,L3475,A
La,4218.75,300,,2,nist,L3475,A
La,4232.14,200,,2,nist,L3475,A
La,4239.57,1600,B+,2,nist,L3475,A
La,4251.19,140,,2,nist,L3475,A
La,4264.79,320,,2,nist,L3475,A
La,4270.70,480,,2,nist,L3475,A
La,4276.84,240,B,2,nist,L3475,A
La,4288.18,600,,2,nist,L3475,A
La,4297.26,600,,2,nist,L3475,A
La,4301.65,120,B,2,nist,L3475,A
La,4317.11,0,,2,nist,L3475,A
La,4323.73,440,B+,2,nist,L3475,A
La,4334.96,4600,B+,2,nist,L3475,A
La,4336.18,0,,2,nist,L3475,A
La,4355.62,550,,2,nist,L3475,A
La,4365.90,110,,2,nist,L3475,A
La,4379.33,110,,2,nist,L3475,A
La,4384.67,280,,2,nist,L3475,A
La,4386.43,100,,2,nist,L3475,A
La,4412.45,0,,2,nist,L3475,A
La,4420.40,0,,2,nist,L3475,A
La,4428.79,260,,2,nist,L3475,A
La,4431.14,2000,B+,2,nist,L3475,A
La,4434.22,160,C+,2,nist,L3475,A
La,4437.10,0,C,2,nist,L3475,A
La,4457.05,100,,2,nist,L3475,A
La,4523.64,850,,2,nist,L3475,A
La,4526.58,170,,2,nist,L3475,A
La,4527.39,420,C,2,nist,L3475,A
La,4559.74,400,B+,2,nist,L3475,A
La,4560.57,110,,2,nist,L3475,A
La,4576.16,400,B+,2,nist,L3475,A
La,4581.34,200,B+,2,nist,L3475,A
La,4607.07,160,B,2,nist,L3475,A
La,4614.68,410,B,2,nist,L3475,A
La,4621.17,410,,2,nist,L3475,A
La,4637.73,0,,2,nist,L3475,A
La,4646.58,110,B+,2,nist,L3475,A
La,4648.81,0,,2,nist,L3475,A
La,4656.80,540,,2,nist,L3475,A
La,4663.82,360,B+,2,nist,L3475,A
La,4665.07,230,,2,nist,L3475,A
La,4670.22,200,,2,nist,L3475,A
La,4673.14,160,,2,nist,L3475,A
La,4692.49,0,B,2,nist,L3475,A
La,4693.81,230,,2,nist,L3475,A
La,4700.95,0,C,2,nist,L3475,A
La,4704.60,140,,2,nist,L3475,A
La,4714.25,0,,2,nist,L3475,A
La,4717.76,170,B,2,nist,L3475,A
La,4718.91,0,,2,nist,L3475,A
La,4721.26,140,,2,nist,L3475,A
La,4725.75,0,,2,nist,L3475,A
La,4729.74,230,B+,2,nist,L3475,A
La,4741.61,500,B+,2,nist,L3475,A
La,4744.42,390,,2,nist,L3475,A
La,4750.06,320,B+,2,nist,L3475,A
La,4798.03,0,C+,2,nist,L3475,A
La,4805.38,160,B+,2,nist,L3475,A
La,4810.35,160,B+,2,nist,L3475,A
La,4825.41,200,B,2,nist,L3475,A
La,4828.23,0,,2,nist,L3475,A
La,4841.36,0,C+,2,nist,L3475,A
La,4851.94,0,,2,nist,L3475,A
La,4862.27,320,B+,2,nist,L3475,A
La,4901.29,850,B+,2,nist,L3475,A
La,4922.35,1000,B+,2,nist,L3475,A
La,4923.16,1000,B+,2,nist,L3475,A
La,4936.21,140,,2,nist,L3475,A
La,4937.00,0,,2,nist,L3475,A
La,4947.85,110,B,2,nist,L3475,A
La,4953.45,0,,2,nist,L3475,A
La,4971.78,340,B+,2,nist,L3475,A
La,4988.22,370,B+,2,nist,L3475,A
La,4992.67,140,C+,2,nist,L3475,A
La,4998.21,0,,2,nist,L3475,A
La,5000.86,720,B+,2,nist,L3475,A
La,5003.53,0,,2,nist,L3475,A
La,5049.45,0,,2,nist,L3475,A
La,5064.33,0,,2,nist,L3475,A
La,5081.63,0,,2,nist,L3475,A
La,5115.99,470,B+,2,nist,L3475,A
La,5124.42,470,B+,2,nist,L3475,A
La,5158.18,180,B,2,nist,L3475,A
La,5158.87,180,,2,nist,L3475,A
La,5165.06,120,B,2,nist,L3475,A
La,5174.35,0,,2,nist,L3475,A
La,5175.28,0,,2,nist,L3475,A
La,5184.86,850,B+,2,nist,L3475,A
La,5189.66,260,,2,nist,L3475,A
La,5205.60,170,,2,nist,L3475,A
La,5227.66,0,,2,nist,L3475,A
La,5260.85,110,C+,2,nist,L3475,A
La,5280.60,0,,2,nist,L3475,A
La,5292.31,140,C+,2,nist,L3475,A
La,5303.46,370,B+,2,nist,L3475,A
La,5304.10,140,,2,nist,L3475,A
La,5305.03,180,B,2,nist,L3475,A
La,5342.16,110,,2,nist,L3475,A
La,5378.59,130,,2,nist,L3475,A
La,5382.49,140,C+,2,nist,L3475,A
La,5383.42,0,,2,nist,L3475,A
La,5460.21,0,,2,nist,L3475,A
La,5465.90,0,,2,nist,L3475,A
La,5482.25,0,,2,nist,L3475,A
La,5483.79,0,C+,2,nist,L3475,A
La,5494.98,0,C+,2,nist,L3475,A
La,5537.21,0,,2,nist,L3475,A
La,5568.49,0,,2,nist,L3475,A
La,5673.12,0,,2,nist,L3475,A
La,5704.91,0,C,2,nist,L3475,A
La,5713.98,0,,2,nist,L3475,A
La,5728.88,0,,2,nist,L3475,A
La,5770.67,160,C+,2,nist,L3475,A
La,5799.19,220,C+,2,nist,L3475,A
La,5807.39,160,B,2,nist,L3475,A
La,5809.93,0,,2,nist,L3475,A
La,5850.57,0,,2,nist,L3475,A
La,5865.34,0,C+,2,nist,L3475,A
La,5875.63,0,,2,nist,L3475,A
La,5882.27,0,C,2,nist,L3475,A
La,5903.60,0,,2,nist,L3475,A
La,5929.35,0,,2,nist,L3475,A
La,5937.86,0,,2,nist,L3475,A
La,5949.95,0,,2,nist,L3475,A
La,5972.74,0,,2,nist,L3475,A
La,5975.18,0,,2,nist,L3475,A
La,6068.82,0,,2,nist,L3475,A
La,6102.07,0,,2,nist,L3475,A
La,6127.79,0,,2,nist,L3475,A
La,6131.26,0,,2,nist,L3475,A
La,6148.23,0,,2,nist,L3475,A
La,6174.44,0,,2,nist,L3475,A
La,6189.80,0,,2,nist,L3475,A
La,6205.23,0,,2,nist,L3475,A
La,6264.03,260,B,2,nist,L3475,A
La,6275.50,0,,2,nist,L3475,A
La,6297.83,180,,2,nist,L3475,A
La,6307.20,0,,2,nist,L3475,A
La,6312.67,0,,2,nist,L3475,A
La,6322.14,160,,2,nist,L3475,A
La,6359.89,0,,2,nist,L3475,A
La,6392.25,170,B,2,nist,L3475,A
La,6400.82,0,,2,nist,L3475,A
La,6448.39,0,,2,nist,L3475,A
La,6499.99,0,,2,nist,L3475,A
La,6528.79,110,,2,nist,L3475,A
La,6531.53,0,,2,nist,L3475,A
La,6572.78,0,,2,nist,L3475,A
La,6638.36,0,,2,nist,L3475,A
La,6644.62,0,,2,nist,L3475,A
La,6673.24,0,,2,nist,L3475,A
La,6715.94,0,,2,nist,L3475,A
La,6720.53,0,,2,nist,L3475,A
La,6734.64,0,,2,nist,L3475,A
La,6776.13,120,,2,nist,L3475,A
La,6810.74,0,,2,nist,L3475,A
La,6815.54,0,,2,nist,L3475,A
La,6835.94,0,,2,nist,L3475,A
La,6839.79,0,,2,nist,L3475,A
La,6860.92,0,,2,nist,L3475,A
La,6954.43,0,,2,nist,L3475,A
La,6956.44,0,,2,nist,L3475,A
La,6960.02,0,,2,nist,L3475,A
La,7068.18,160,,2,nist,L3475,A
La,7118.8,0,,2,nist,L3475,A
La,7284.35,110,,2,nist,L3475,A
La,7485.56,0,,2,nist,L3475,A
La,7615.04,0,,2,nist,L3475,A
La,8516.99,0,,2,nist,L3475,A
