element,wavelength,intensity,acc,state,source,reference,unit
La,1039.30,0,,4,nist,L4562,A
La,1062.09,0,,4,nist,L4562,A
La,1158.35,0,,4,nist,L4562,A
La,1164.29,0,,4,nist,L4562,A
La,1230.90,400,,4,nist,L4562,A
La,1260.79,0,,4,nist,L4562,A
La,1261.12,300,,4,nist,L4562,A
La,1283.19,150,,4,nist,L4562,A
La,1302.31,2000,,4,nist,L4562,A
La,1333.53,1200,,4,nist,L4562,A
La,1334.96,3500,,4,nist,L4562,A
La,1352.76,1000,,4,nist,L4562,A
La,1368.04,25000,,4,nist,L4562,A
La,1377.49,8000,,4,nist,L4562,A
La,1394.32,3000,,4,nist,L4562,A
La,1414.58,5000,,4,nist,L4562,A
La,1432.55,7000,,4,nist,L4562,A
La,1441.63,7000,,4,nist,L4562,A
La,1462.15,7500,,4,nist,L4562,A
La,1463.47,20000,,4,nist,L4562,A
La,1467.54,7500,,4,nist,L4562,A
La,1507.87,15000,,4,nist,L4562,A
La,1527.19,5000,,4,nist,L4562,A
La,1575.92,2500,,4,nist,L4562,A
La,1583.61,1500,,4,nist,L4562,A
La,1585.11,750,,4,nist,L4562,A
La,1637.42,750,,4,nist,L4562,A
La,1645.21,750,,4,nist,L4562,A
La,1664.84,1000,,4,nist,L4562,A
La,1684.17,750,,4,nist,L4562,A
La,1767.65,2000,,4,nist,L4562,A
La,1808.66,4000,,4,nist,L4562,A
La,1851.81,1000,,4,nist,L4562,A
La,1852.77,1500,,4,nist,L4562,A
La,1879.79,750,,4,nist,L4562,A
La,1881.57,1000,,4,nist,L4562,A
La,1889.22,800,,4,nist,L4562,A
La,1891.47,1000,,4,nist,L4562,A
La,1902.97,5000,,4,nist,L4562,A
La,1907.44,800,,4,nist,L4562,A
La,1950.80,1500,,4,nist,L4562,A
La,1957.57,1200,,4,nist,L4562,A
La,2013.07,3000,,4,nist,L4562,A
La,2038.08,750,,4,nist,L4562,A
La,2067.16,2000,,4,nist,L4562,A
La,2073.84,3000,,4,nist,L4562,A
La,2143.91,1500,,4,nist,L4562,A
La,2198.14,4000,,4,nist,L4562,A
La,2221.81,1000,,4,nist,L4562,A
La,2228.03,900,,4,nist,L4562,A
La,2245.65,3000,,4,nist,L4562,A
La,2266.61,7500,,4,nist,L4562,A
La,2316.60,2000,,4,nist,L4562,A
La,2349.08,750,,4,nist,L4562,A
La,2356.03,750,,4,nist,L4562,A
La,2407.83,2000,,4,nist,L4562,A
La,2418.31,25000,,4,nist,L4562,A
La,2444.66,1200,,4,nist,L4562,A
La,2503.56,18000,,4,nist,L4562,A
La,2515.78,15000,,4,nist,L4562,A
La,2533.51,50000,,4,nist,L4562,A
La,2536.52,900,,4,nist,L4562,A
La,2582.82,45000,,4,nist,L4562,A
La,2592.08,18000,,4,nist,L4562,A
La,2598.28,95000,,4,nist,L4562,A
La,2608.79,5000,,4,nist,L4562,A
La,2663.54,70000,,4,nist,L4562,A
La,2849.14,50000,,4,nist,L4562,A
La,2864.14,12000,,4,nist,L4562,A
La,2963.45,30000,,4,nist,L4562,A
La,3010.39,70000,,4,nist,L4562,A
La,3057.57,90000,,4,nist,L4562,A
La,344.12,100,,4,nist,L4562,A
La,3523.29,3500,,4,nist,L4562,A
La,3651.44,2000,,4,nist,L4562,A
La,4271.96,2000,,4,nist,L4562,A
La,453.50,7000,,4,nist,L4562,A
La,4551.08,1500,,4,nist,L4562,A
La,463.14,10000,,4,nist,L4562,A
La,4838.24,500,,4,nist,L4562,A
La,499.54,15000,,4,nist,L4562,A
La,552.02,40000,,4,nist,L4562,A
La,631.26,30000,,4,nist,L4562,A
La,724.92,0,,4,nist,L4562,A
La,733.29,0,,4,nist,L4562,A
La,797.03,0,,4,nist,L4562,A
La,980.03,0,,4,nist,L4562,A
