element,wavelength,intensity,acc,state,source,reference,unit
La,389.03,0,,5,nist,L3749,A
La,390.72,400,,5,nist,L3749,A
La,398.53,0,,5,nist,L3749,A
La,399.34,0,,5,nist,L3749,A
La,405.10,350,,5,nist,L3749,A
La,416.13,0,,5,nist,L3749,A
La,421.55,0,,5,nist,L3749,A
La,423.07,0,,5,nist,L3749,A
La,424.78,400,,5,nist,L3749,A
La,432.11,1000,,5,nist,L3749,A
La,435.28,2500,,5,nist,L3749,A
La,436.14,700,,5,nist,L3749,A
La,436.84,700,,5,nist,L3749,A
La,437.11,300,,5,nist,L3749,A
La,437.55,700,,5,nist,L3749,A
La,444.01,0,,5,nist,L3749,A
La,444.07,0,,5,nist,L3749,A
La,450.40,1250,,5,nist,L3749,A
La,457.30,600,,5,nist,L3749,A
La,463.85,1000,,5,nist,L3749,A
La,476.67,150,,5,nist,L3749,A
La,482.16,5000,,5,nist,L3749,A
La,482.43,200,,5,nist,L3749,A
La,483.30,2000,,5,nist,L3749,A
La,498.08,7000,,5,nist,L3749,A
La,499.03,4000,,5,nist,L3749,A
La,503.58,10000,,5,nist,L3749,A
La,508.15,0,,5,nist,L3749,A
La,525.71,1500,,5,nist,L3749,A
La,526.76,12000,,5,nist,L3749,A
La,531.07,10000,,5,nist,L3749,A
La,533.23,15000,,5,nist,L3749,A
La,540.20,4000,,5,nist,L3749,A
La,544.80,6000,,5,nist,L3749,A
La,547.44,8000,,5,nist,L3749,A
La,570.90,3000,,5,nist,L3749,A
La,593.18,2500,,5,nist,L3749,A
La,597.70,750,,5,nist,L3749,A
La,600.01,2000,,5,nist,L3749,A
La,600.24,5000,,5,nist,L3749,A
La,611.70,700,,5,nist,L3749,A
La,617.60,500,,5,nist,L3749,A
