element,wavelength,intensity,acc,state,source,reference,unit
Li,12235,0,A,1,nist,L7397,A
Li,12235,0,A,1,nist,L7397,A
Li,12235,0,A,1,nist,L7397,A
Li,12785,0,AA,1,nist,L7397,A
Li,12785,0,AA,1,nist,L7397,A
Li,12785,0,AA,1,nist,L7397,A
Li,13570,0,A,1,nist,L7397,A
Li,13570,0,A,1,nist,L7397,A
Li,17557,0,AA,1,nist,L7397,A
Li,17557,0,AA,1,nist,L7397,A
Li,17557,0,AA,1,nist,L7397,A
Li,18702,0,AA,1,nist,L7397,A
Li,18702,0,AA,1,nist,L7397,A
Li,18702,0,AA,1,nist,L7397,A
Li,19300,0,AA,1,nist,L7397,A
Li,19300,0,AA,1,nist,L7397,A
Li,19300,0,AA,1,nist,L7397,A
Li,2040,0,,1,nist,L1614,A
Li,2174.1,0,,1,nist,L1560,A
Li,2174.1,0,,1,nist,L1560,A
Li,2174.1,0,,1,nist,L1560,A
Li,2305.30,0,,1,nist,L7397,A
Li,2305.30,0,,1,nist,L7397,A
Li,2305.63,0,,1,nist,L7397,A
Li,2305.63,0,,1,nist,L7397,A
Li,2306.07,0,,1,nist,L7397,A
Li,2306.07,0,,1,nist,L7397,A
Li,2306.54,0,,1,nist,L7397,A
Li,2306.54,0,,1,nist,L7397,A
Li,2307.00,0,,1,nist,L7397,A
Li,2307.00,0,,1,nist,L7397,A
Li,2307.53,0,,1,nist,L7397,A
Li,2307.53,0,,1,nist,L7397,A
Li,2308.15,0,,1,nist,L7397,A
Li,2308.15,0,,1,nist,L7397,A
Li,2309.68,0,,1,nist,L7397,A
Li,2309.68,0,,1,nist,L7397,A
Li,2310.59,0,,1,nist,L7397,A
Li,2310.59,0,,1,nist,L7397,A
Li,2311.65,0,,1,nist,L7397,A
Li,2311.65,0,,1,nist,L7397,A
Li,2312.82,0,,1,nist,L7397,A
Li,2312.82,0,,1,nist,L7397,A
Li,2314.20,0,,1,nist,L7397,A
Li,2314.20,0,,1,nist,L7397,A
Li,2315.79,0,,1,nist,L7397,A
Li,2315.79,0,,1,nist,L7397,A
Li,2317.66,0,,1,nist,L7397,A
Li,2317.66,0,,1,nist,L7397,A
Li,2319.89,0,,1,nist,L7397,A
Li,2319.89,0,,1,nist,L7397,A
Li,2322.59,0,,1,nist,L7397,A
Li,2322.59,0,,1,nist,L7397,A
Li,2325.82,0,,1,nist,L7397,A
Li,2325.82,0,,1,nist,L7397,A
Li,2329.73,0,,1,nist,L7397,A
Li,2329.73,0,,1,nist,L7397,A
Li,2334.66,0,B',1,nist,L7397,A
Li,2334.66,0,B',1,nist,L7397,A
Li,2340.87,0,B',1,nist,L7397,A
Li,2340.87,0,B',1,nist,L7397,A
Li,2348.94,0,B',1,nist,L7397,A
Li,2348.94,0,B',1,nist,L7397,A
Li,2359.65,0,B',1,nist,L7397,A
Li,2359.65,0,B',1,nist,L7397,A
Li,2374.26,0,AA,1,nist,L7397,A
Li,2374.26,0,AA,1,nist,L7397,A
Li,2395.12,0,AA,1,nist,L7397,A
Li,2395.12,0,AA,1,nist,L7397,A
Li,2426.17,0,AA,1,nist,L7397,A
Li,2426.17,0,AA,1,nist,L7397,A
Li,24473.7,0,AA,1,nist,L7397,A
