element,wavelength,intensity,acc,state,source,reference,unit
Li,102.9,0,AA,3,nist,L7397,A
Li,102.9,0,AA,3,nist,L7397,A
Li,103.4,0,AA,3,nist,L7397,A
Li,103.4,0,AA,3,nist,L7397,A
Li,104.1,0,AA,3,nist,L7397,A
Li,104.1,0,AA,3,nist,L7397,A
Li,105.5,0,AA,3,nist,L7397,A
Li,105.5,0,AA,3,nist,L7397,A
Li,108.0,0,AA,3,nist,L7397,A
Li,108.0,0,AA,3,nist,L7397,A
Li,113.9,0,AA,3,nist,L7397,A
Li,113.9,0,AA,3,nist,L7397,A
Li,1215,0,AA,3,nist,L3698,A
Li,1215,0,AA,3,nist,L3698,A
Li,1215,0,AA,3,nist,L3698,A
Li,1215,0,AA,3,nist,L3698,A
Li,1215,0,AA,3,nist,L3698,A
Li,1215,0,AA,3,nist,L3698,A
Li,1215,0,AA,3,nist,L3698,A
Li,1215,0,AA,3,nist,L3698,A
Li,1215,0,AA,3,nist,L3698,A
Li,1215,0,AA,3,nist,L3698,A
Li,1215,0,AA,3,nist,L3698,A
Li,1215,0,AA,3,nist,L3698,A
Li,1215,0,AA,3,nist,L3698,A
Li,135.0,0,AA,3,nist,L7397,A
Li,135.0,0,AA,3,nist,L7397,A
Li,1424,0,AA,3,nist,L3698,A
Li,1424,0,AA,3,nist,L3698,A
Li,1424,0,AA,3,nist,L3698,A
Li,1424,0,AA,3,nist,L3698,A
Li,1424,0,AA,3,nist,L3698,A
Li,1424,0,AA,3,nist,L3698,A
Li,1424,0,AA,3,nist,L3698,A
Li,1424,0,AA,3,nist,L3698,A
Li,1424,0,AA,3,nist,L3698,A
Li,1424,0,AA,3,nist,L3698,A
Li,1424,0,AA,3,nist,L3698,A
Li,1424,0,AA,3,nist,L3698,A
Li,1424,0,AA,3,nist,L3698,A
Li,456,0,AA,3,nist,L3698,A
Li,456,0,AA,3,nist,L3698,A
Li,456,0,AA,3,nist,L3698,A
Li,456,0,AA,3,nist,L3698,A
Li,456,0,AA,3,nist,L3698,A
Li,456,0,AA,3,nist,L3698,A
Li,456,0,AA,3,nist,L3698,A
Li,483,0,AA,3,nist,L3698,A
Li,483,0,AA,3,nist,L3698,A
Li,483,0,AA,3,nist,L3698,A
Li,483,0,AA,3,nist,L3698,A
Li,483,0,AA,3,nist,L3698,A
Li,483,0,AA,3,nist,L3698,A
Li,483,0,AA,3,nist,L3698,A
Li,540.0,0,AA,3,nist,L7397,A
Li,540.0,0,AA,3,nist,L7397,A
Li,540.0,0,AA,3,nist,L7397,A
Li,540.0,0,AA,3,nist,L7397,A
Li,540.0,0,AA,3,nist,L7397,A
Li,540.0,0,AA,3,nist,L7397,A
Li,540.0,0,AA,3,nist,L7397,A
Li,729.1,0,AA,3,nist,L7397,A
Li,729.1,0,AA,3,nist,L7397,A
Li,729.1,0,AA,3,nist,L7397,A
Li,729.1,0,AA,3,nist,L7397,A
Li,729.1,0,AA,3,nist,L7397,A
Li,729.1,0,AA,3,nist,L7397,A
Li,729.1,0,AA,3,nist,L7397,A
