element,wavelength,intensity,acc,state,source,reference,unit
Lu,1001.18,400,,3,nist,L1402,A
Lu,1015.18,300,,4,nist,L1553,A
Lu,1022.40,0,,3,nist,L1402,A
Lu,1029.83,100,,3,nist,L1402,A
Lu,1030.33,200,,3,nist,L1402,A
Lu,1031.54,100,,3,nist,L1402,A
Lu,1056.53,0,,3,nist,L1402,A
Lu,1061.99,0,,3,nist,L1402,A
Lu,1092.84,0,,3,nist,L1402,A
Lu,1136.17,0,,4,nist,L1553,A
Lu,1187.34,200,,3,nist,L1402,A
Lu,1189.27,0,,4,nist,L1553,A
Lu,1194.59,0,,4,nist,L1553,A
Lu,1213.08,0,,4,nist,L1553,A
Lu,1220.74,0,,4,nist,L1553,A
Lu,1223.75,0,,4,nist,L1553,A
Lu,1228.7,0,,3,nist,L1402,A
Lu,1240.07,0,,4,nist,L1553,A
Lu,1248.10,0,,4,nist,L1553,A
Lu,1266.27,0,,4,nist,L1553,A
Lu,1272.42,100,,4,nist,L1553,A
Lu,1273.02,0,,4,nist,L1553,A
Lu,1274.77,0,,4,nist,L1553,A
Lu,1276.54,0,,4,nist,L1553,A
Lu,1277.53,200,,3,nist,L1402,A
Lu,1283.41,0,,3,nist,L1402,A
Lu,1289.38,0,,4,nist,L1553,A
Lu,1310.08,0,,4,nist,L1553,A
Lu,1323.02,0,,4,nist,L1553,A
Lu,1331.04,0,,4,nist,L1553,A
Lu,1331.93,100,,3,nist,L1402,A
Lu,1333.79,800,,4,nist,L1553,A
Lu,1334.94,300,,4,nist,L1553,A
Lu,1338.20,0,,4,nist,L1553,A
Lu,1339.49,100,,4,nist,L1553,A
Lu,1342.58,300,,4,nist,L1553,A
Lu,1351.68,200,,4,nist,L1553,A
Lu,1353.74,300,,4,nist,L1553,A
Lu,1355.85,200,,4,nist,L1553,A
Lu,1359.67,0,,4,nist,L1553,A
Lu,1363.24,100,,4,nist,L1553,A
Lu,1363.37,0,,4,nist,L1553,A
Lu,1367.34,0,,4,nist,L1553,A
Lu,1373.54,0,,4,nist,L1553,A
Lu,1375.36,0,,4,nist,L1553,A
Lu,1376.02,100,,4,nist,L1553,A
Lu,1379.56,0,,4,nist,L1553,A
Lu,1383.18,0,,4,nist,L1553,A
Lu,1389.85,0,,4,nist,L1553,A
Lu,1390.07,0,,4,nist,L1553,A
Lu,1390.30,200,,4,nist,L1553,A
Lu,1390.69,0,,4,nist,L1553,A
Lu,1392.38,0,,4,nist,L1553,A
Lu,1397.18,0,,4,nist,L1553,A
Lu,1401.32,0,,4,nist,L1553,A
Lu,1401.46,100,,4,nist,L1553,A
Lu,1406.64,200,,4,nist,L1553,A
Lu,1407.00,100,,4,nist,L1553,A
Lu,1407.04,250,,4,nist,L1553,A
Lu,1420.02,0,,5,nist,L4435,A
Lu,1420.32,0,,4,nist,L1553,A
Lu,1421.59,100,,4,nist,L1553,A
Lu,1429.08,200,,4,nist,L1553,A
Lu,1429.38,400,,4,nist,L1553,A
Lu,1430.80,0,,4,nist,L1553,A
Lu,1432.50,0,,5,nist,L4435,A
Lu,1432.77,100,,5,nist,L4435,A
Lu,1440.62,100,,4,nist,L1553,A
Lu,1441.76,200,,5,nist,L4435,A
Lu,1443.64,0,,5,nist,L4435,A
Lu,1448.14,100,,5,nist,L4435,A
Lu,1448.14,100,,4,nist,L1553,A
Lu,1449.32,0,,5,nist,L4435,A
Lu,1450.36,100,,5,nist,L4435,A
Lu,1450.69,100,,5,nist,L4435,A
Lu,1452.33,200,,4,nist,L1553,A
Lu,1452.64,100,,5,nist,L4435,A
Lu,1453.35,200,,5,nist,L4435,A
Lu,1454.38,100,,5,nist,L4435,A
Lu,1455.21,100,,5,nist,L4435,A
Lu,1460.11,100,,5,nist,L4435,A
Lu,1462.65,0,,4,nist,L1553,A
Lu,1467.81,0,,5,nist,L4435,A
Lu,1468.99,200,,5,nist,L4435,A
Lu,1469.45,0,,5,nist,L4435,A
Lu,1471.20,100,,5,nist,L4435,A
Lu,1472.12,400,,5,nist,L4435,A
Lu,1473.71,200,,5,nist,L4435,A
Lu,1475.77,0,,5,nist,L4435,A
Lu,1483.79,100,,4,nist,L1553,A
Lu,1485.58,200,,5,nist,L4435,A
Lu,1493.24,200,,4,nist,L1553,A
Lu,1511.26,400,,4,nist,L1553,A
Lu,1521.06,200,,4,nist,L1553,A
Lu,1522.21,100,,4,nist,L1553,A
Lu,1537.77,100,,4,nist,L1553,A
Lu,1549.35,0,,4,nist,L1553,A
Lu,1551.59,0,,4,nist,L1553,A
Lu,1562.06,0,,4,nist,L1553,A
Lu,1592.55,0,,4,nist,L1553,A
Lu,1594.92,0,,4,nist,L1553,A
Lu,1607.72,100,,4,nist,L1553,A
Lu,1631.65,0,,4,nist,L1553,A
Lu,1684.50,0,,4,nist,L1553,A
Lu,1693.67,0,,4,nist,L1553,A
Lu,1709.02,0,,5,nist,L4435,A
Lu,1721.42,400,,4,nist,L1553,A
Lu,1725.14,100,,4,nist,L1553,A
Lu,1728.90,0,,5,nist,L4435,A
Lu,1735.79,100,,4,nist,L1553,A
Lu,1736.78,100,,4,nist,L1553,A
Lu,1741.74,100,,4,nist,L1553,A
Lu,1743.84,0,,4,nist,L1553,A
Lu,1752.60,0,,4,nist,L1553,A
Lu,1759.61,200,,4,nist,L1553,A
Lu,1772.08,300,,4,nist,L1553,A
Lu,1772.57,600,,4,nist,L1553,A
Lu,1775.92,0,,5,nist,L4435,A
Lu,1777.68,0,,5,nist,L4435,A
Lu,1782.45,200,,4,nist,L1553,A
Lu,1784.71,0,,5,nist,L4435,A
Lu,1786.25,100,,5,nist,L4435,A
Lu,1787.58,0,,5,nist,L4435,A
Lu,1793.85,0,,5,nist,L4435,A
Lu,1797.52,100,,4,nist,L1553,A
Lu,1809.73,0,,5,nist,L4435,A
Lu,1814.24,0,,5,nist,L4435,A
Lu,1854.57,1000,,3,nist,L1402,A
Lu,1901.63,0,,4,nist,L1553,A
Lu,1983.92,100,,4,nist,L1553,A
Lu,1990.52,0,,4,nist,L1553,A
Lu,1996.18,0,,4,nist,L1553,A
Lu,2003.83,100,,4,nist,L1553,A
Lu,2021.59,100,,4,nist,L1553,A
Lu,2051.38,0,,3,nist,L1402,A
Lu,2066.01,1500,,3,nist,L1402,A
Lu,2071.22,1500,,3,nist,L1402,A
Lu,2071.76,0,,4,nist,L1553,A
Lu,2081.75,100,,4,nist,L1553,A
Lu,2084.00,100,,3,nist,L1402,A
Lu,2086.36,400,,4,nist,L1553,A
Lu,2087.13,600,,4,nist,L1553,A
Lu,2092.83,400,,4,nist,L1553,A
Lu,2100.11,200,,3,nist,L1402,A
Lu,2104.30,100,,4,nist,L1553,A
Lu,2105.08,1000,,4,nist,L1553,A
Lu,2108.52,200,,4,nist,L1553,A
Lu,2108.98,1000,,4,nist,L1553,A
Lu,2128.10,100,,4,nist,L1553,A
Lu,2196.23,1700,,2,nist,L3475,A
Lu,2236.83,1000,,3,nist,L1402,A
Lu,2236.91,2000,,3,nist,L1402,A
Lu,2277.64,0,,2,nist,L3475,A
Lu,2298.12,190,,2,nist,L3475,A
Lu,2382.32,500,,3,nist,L1402,A
Lu,2392.92,1300,,2,nist,L3475,A
Lu,2399.87,120,,2,nist,L3475,A
