element,wavelength,intensity,acc,state,source,reference,unit
Lu,2550.21,0,,1,nist,L3475,A
Lu,2550.49,0,,1,nist,L3475,A
Lu,2678.05,0,,1,nist,L3475,A
Lu,2685.88,570,,1,nist,L3475,A
Lu,2685.88,570,,1,nist,L3475,A
Lu,2686.34,0,,1,nist,L3475,A
Lu,2716.71,0,,1,nist,L3475,A
Lu,2719.90,180,,1,nist,L3475,A
Lu,2729.76,480,B,1,nist,L3475,A
Lu,2766.56,750,,1,nist,L3475,A
Lu,2845.97,330,,1,nist,L3475,A
Lu,2885.99,570,B,1,nist,L3475,A
Lu,2903.90,300,B+,1,nist,L3475,A
Lu,2950.59,270,,1,nist,L3475,A
Lu,2950.59,270,,1,nist,L3475,A
Lu,2990.14,1800,B+,1,nist,L3475,A
Lu,3081.00,390,B,1,nist,L3475,A
Lu,3082.36,5100,B+,1,nist,L3475,A
Lu,3119.33,3000,B+,1,nist,L3475,A
Lu,3172.28,2400,B+,1,nist,L3475,A
Lu,3279.91,3800,B+,1,nist,L3475,A
Lu,3282.69,7600,B+,1,nist,L3475,A
Lu,3313.06,6200,B+,1,nist,L3475,A
Lu,3360.53,7600,B+,1,nist,L3475,A
Lu,3377.47,6200,B+,1,nist,L3475,A
Lu,3386.47,950,B+,1,nist,L3475,A
Lu,3392.52,160,,1,nist,L3475,A
Lu,3397.79,1400,B+,1,nist,L3475,A
Lu,3509.42,1600,B+,1,nist,L3475,A
Lu,3568.86,4800,B+,1,nist,L3475,A
Lu,3597.37,340,,1,nist,L3475,A
Lu,3621.34,170,D,1,nist,L7597,A
Lu,3637.29,680,B+,1,nist,L3475,A
Lu,3648.81,2600,B+,1,nist,L3475,A
Lu,3685.37,0,,1,nist,L3475,A
Lu,3712.01,0,,1,nist,L3475,A
Lu,3757.77,110,,1,nist,L3475,A
Lu,3757.86,110,,1,nist,L3475,A
Lu,3787.26,0,,1,nist,L3475,A
Lu,3801.75,150,,1,nist,L3475,A
Lu,3830.16,0,,1,nist,L3475,A
Lu,3842.27,2700,B+,1,nist,L3475,A
Lu,3844.70,0,,1,nist,L3475,A
Lu,3854.38,0,,1,nist,L3475,A
Lu,3875.71,0,,1,nist,L3475,A
Lu,3912.88,0,,1,nist,L3475,A
Lu,3919.97,0,,1,nist,L3475,A
Lu,3927.73,0,,1,nist,L3475,A
Lu,3969.58,480,B+,1,nist,L3475,A
Lu,3992.51,0,,1,nist,L3475,A
Lu,4055.60,670,B+,1,nist,L3475,A
Lu,4108.60,0,,1,nist,L3475,A
Lu,4113.83,0,C+,1,nist,L3475,A
Lu,4123.65,310,,1,nist,L3475,A
Lu,4125.89,3100,C+,1,nist,L3475,A
Lu,4132.96,150,,1,nist,L3475,A
Lu,4155.25,460,B+,1,nist,L3475,A
Lu,4160.15,0,,1,nist,L3475,A
Lu,4278.70,150,,1,nist,L3475,A
Lu,4282.23,250,,1,nist,L3475,A
Lu,4297.18,330,,1,nist,L3475,A
Lu,4297.30,330,,1,nist,L3475,A
Lu,4310.78,150,B+,1,nist,L3475,A
Lu,4333.94,0,,1,nist,L3475,A
Lu,4422.20,0,,1,nist,L3475,A
Lu,4431.72,190,,1,nist,L3475,A
Lu,4440.04,0,,1,nist,L3475,A
Lu,4452.06,190,,1,nist,L3475,A
Lu,4472.80,0,,1,nist,L3475,A
Lu,4481.41,0,C+,1,nist,L16197,A
Lu,4500.11,0,B+,1,nist,L3475,A
Lu,4519.84,3300,B+,1,nist,L3475,A
Lu,4606.68,0,,1,nist,L3475,A
Lu,4646.77,0,,1,nist,L3475,A
Lu,4649.51,100,,1,nist,L3475,A
Lu,4650.15,0,,1,nist,L3475,A
Lu,4659.32,1000,B+,1,nist,L3475,A
Lu,4660.33,0,,1,nist,L3475,A
Lu,4691.08,0,C+,1,nist,L16197,A
Lu,4718.02,0,C+,1,nist,L3475,A
Lu,4727.52,0,,1,nist,L3475,A
Lu,4816.40,0,B+,1,nist,L3475,A
Lu,4906.25,460,,1,nist,L3475,A
Lu,4943.72,180,B+,1,nist,L3475,A
Lu,4967.52,0,C+,1,nist,L18169,A
Lu,5002.54,800,B+,1,nist,L3475,A
Lu,5059.01,0,,1,nist,L3475,A
Lu,5135.48,140,,1,nist,L3475,A
Lu,5136.52,2700,B+,1,nist,L3475,A
Lu,5198.06,170,,1,nist,L3475,A
Lu,5207.92,0,C+,1,nist,L3475,A
Lu,5305.88,0,,1,nist,L3475,A
Lu,5350.61,0,,1,nist,L3475,A
Lu,5404.07,500,B+,1,nist,L3475,A
Lu,5423.41,140,,1,nist,L3475,A
Lu,5439.39,100,,1,nist,L3475,A
Lu,5455.09,0,,1,nist,L3475,A
Lu,5738.14,550,B+,1,nist,L3475,A
Lu,5777.00,0,,1,nist,L3475,A
Lu,5802.20,0,,1,nist,L3475,A
Lu,5862.41,0,,1,nist,L3475,A
Lu,5867.93,0,,1,nist,L3475,A
Lu,5998.79,140,,1,nist,L3475,A
Lu,6006.18,1400,B+,1,nist,L3475,A
Lu,6043.33,0,,1,nist,L3475,A
Lu,6056.71,440,B+,1,nist,L3475,A
Lu,6142.41,0,,1,nist,L3475,A
Lu,6250.53,0,,1,nist,L3475,A
Lu,6347.10,0,,1,nist,L3475,A
Lu,6356.61,0,,1,nist,L3475,A
Lu,6367.55,0,,1,nist,L3475,A
Lu,6367.76,0,,1,nist,L3475,A
Lu,6442.92,0,,1,nist,L3475,A
Lu,6479.46,0,B,1,nist,L3475,A
Lu,6524.98,0,,1,nist,L3475,A
Lu,6678.98,0,,1,nist,L3475,A
Lu,6737.62,0,,1,nist,L3475,A
Lu,6795.64,0,,1,nist,L3475,A
Lu,6919.22,0,,1,nist,L3475,A
Lu,7033.18,0,,1,nist,L3475,A
Lu,7098.30,0,,1,nist,L3475,A
Lu,7144.76,0,,1,nist,L3475,A
Lu,7145.07,0,,1,nist,L3475,A
Lu,7239.97,0,,1,nist,L3475,A
Lu,7443.57,0,,1,nist,L3475,A
Lu,7642.18,0,,1,nist,L3475,A
Lu,7760.43,0,,1,nist,L3475,A
Lu,7818.1,0,,1,nist,L3475,A
Lu,8180.41,0,,1,nist,L3475,A
Lu,8384.38,0,,1,nist,L3475,A
Lu,8480.83,0,,1,nist,L3475,A
Lu,8510.42,0,,1,nist,L3475,A
Lu,8613.35,0,,1,nist,L3475,A
