element,wavelength,intensity,acc,state,source,reference,unit
Lu,2196.23,1700,,2,nist,L3475,A
Lu,2277.64,0,,2,nist,L3475,A
Lu,2298.12,190,,2,nist,L3475,A
Lu,2392.92,1300,,2,nist,L3475,A
Lu,2399.87,120,,2,nist,L3475,A
Lu,2419.95,0,,2,nist,L3475,A
Lu,2431.00,0,,2,nist,L3475,A
Lu,2460.38,130,,2,nist,L3475,A
Lu,2470.02,0,,2,nist,L3475,A
Lu,2482.47,0,,2,nist,L3475,A
Lu,2537.71,370,,2,nist,L3475,A
Lu,2547.63,0,,2,nist,L3475,A
Lu,2562.57,0,,2,nist,L3475,A
Lu,2572.00,930,,2,nist,L3475,A
Lu,2579.56,1700,,2,nist,L3475,A
Lu,2582.90,0,,2,nist,L3475,A
Lu,2614.18,1800,,2,nist,L3475,A
Lu,2616.20,18000,,2,nist,L3475,A
Lu,2620.04,1800,,2,nist,L3475,A
Lu,2658.59,2700,,2,nist,L3475,A
Lu,2702.51,4200,,2,nist,L3475,A
Lu,2738.98,0,,2,nist,L3475,A
Lu,2754.98,3600,,2,nist,L3475,A
Lu,2797.45,2700,,2,nist,L3475,A
Lu,2822.06,0,,2,nist,L3475,A
Lu,2835.18,270,,2,nist,L3475,A
Lu,2848.35,3000,,2,nist,L3475,A
Lu,2895.69,6300,,2,nist,L3475,A
Lu,2901.15,4500,,2,nist,L3475,A
Lu,2912.24,9000,,2,nist,L3475,A
Lu,2952.55,1200,,2,nist,L3475,A
Lu,2956.64,0,,2,nist,L3475,A
Lu,2964.19,4200,,2,nist,L3475,A
Lu,2970.69,2400,,2,nist,L3475,A
Lu,3021.42,3000,,2,nist,L3475,A
Lu,3028.17,120,,2,nist,L3475,A
Lu,3057.61,2100,,2,nist,L3475,A
Lu,3078.49,7500,,2,nist,L3475,A
Lu,3184.65,100,,2,nist,L3475,A
Lu,3192.72,260,,2,nist,L3475,A
Lu,3199.04,1400,,2,nist,L3475,A
Lu,3255.25,4800,,2,nist,L3475,A
Lu,3398.04,4100,,2,nist,L3475,A
Lu,3473.47,4800,,2,nist,L3475,A
Lu,3508.39,8300,,2,nist,L3475,A
Lu,3555.45,4800,,2,nist,L3475,A
Lu,3625.02,800,,2,nist,L3475,A
Lu,3877.75,530,,2,nist,L3475,A
Lu,4185.43,1600,,2,nist,L3475,A
Lu,4343.20,0,,2,nist,L3475,A
Lu,4786.76,150,,2,nist,L3475,A
Lu,4840.97,0,,2,nist,L3475,A
Lu,4866.72,0,,2,nist,L3475,A
Lu,4995.52,800,,2,nist,L3475,A
Lu,5478.21,2100,,2,nist,L3475,A
Lu,5666.46,0,,2,nist,L3475,A
Lu,5715.08,0,,2,nist,L3475,A
Lu,5985.6,690,,2,nist,L3475,A
Lu,6161.64,150,,2,nist,L3475,A
Lu,6201.38,160,,2,nist,L3475,A
Lu,6223.59,2100,,2,nist,L3475,A
Lu,6229.86,0,,2,nist,L3475,A
Lu,6237.08,0,,2,nist,L3475,A
Lu,6244.07,160,,2,nist,L3475,A
Lu,6446.67,0,,2,nist,L3475,A
Lu,6464.91,1100,,2,nist,L3475,A
Lu,6613.11,0,,2,nist,L3475,A
Lu,6613.41,0,,2,nist,L3475,A
Lu,6613.63,0,,2,nist,L3475,A
Lu,6613.78,0,,2,nist,L3475,A
Lu,6613.87,0,,2,nist,L3475,A
Lu,6620.98,0,,2,nist,L3475,A
Lu,6828.47,0,,2,nist,L3475,A
Lu,6945.88,0,,2,nist,L3475,A
Lu,7127.80,0,,2,nist,L3475,A
Lu,7167.92,0,,2,nist,L3475,A
Lu,7411.74,0,,2,nist,L3475,A
Lu,7459.01,0,,2,nist,L3475,A
Lu,8461.51,0,,2,nist,L3475,A
