element,wavelength,intensity,acc,state,source,reference,unit
Lu,1001.18,400,,3,nist,L1402,A
Lu,1022.40,0,,3,nist,L1402,A
Lu,1029.83,100,,3,nist,L1402,A
Lu,1030.33,200,,3,nist,L1402,A
Lu,1031.54,100,,3,nist,L1402,A
Lu,1056.53,0,,3,nist,L1402,A
Lu,1061.99,0,,3,nist,L1402,A
Lu,1092.84,0,,3,nist,L1402,A
Lu,1187.34,200,,3,nist,L1402,A
Lu,1228.7,0,,3,nist,L1402,A
Lu,1277.53,200,,3,nist,L1402,A
Lu,1283.41,0,,3,nist,L1402,A
Lu,1331.93,100,,3,nist,L1402,A
Lu,1854.57,1000,,3,nist,L1402,A
Lu,2051.38,0,,3,nist,L1402,A
Lu,2066.01,1500,,3,nist,L1402,A
Lu,2071.22,1500,,3,nist,L1402,A
Lu,2084.00,100,,3,nist,L1402,A
Lu,2100.11,200,,3,nist,L1402,A
Lu,2236.83,1000,,3,nist,L1402,A
Lu,2236.91,2000,,3,nist,L1402,A
Lu,2382.32,500,,3,nist,L1402,A
Lu,2564.28,300,,3,nist,L1402,A
Lu,2604.13,4500,,3,nist,L1402,A
Lu,2722.46,200,,3,nist,L1402,A
Lu,2773.37,2000,,3,nist,L1402,A
Lu,2781.98,0,,3,nist,L1402,A
Lu,2789.19,0,,3,nist,L1402,A
Lu,2801.73,500,,3,nist,L1402,A
Lu,2994.08,0,,3,nist,L1402,A
Lu,3058.75,1000,,3,nist,L1402,A
Lu,4252.64,200,,3,nist,L1402,A
Lu,4273.11,300,,3,nist,L1402,A
Lu,4491.26,200,,3,nist,L1402,A
Lu,4957.81,400,,3,nist,L1402,A
Lu,5047.53,0,,3,nist,L1402,A
Lu,5147.29,150,,3,nist,L1402,A
Lu,5420.93,0,,3,nist,L1402,A
Lu,5521.41,0,,3,nist,L1402,A
Lu,5528.34,0,,3,nist,L1402,A
Lu,5750.30,0,,3,nist,L1402,A
Lu,5788.06,0,,3,nist,L1402,A
Lu,5871.34,0,,3,nist,L1402,A
Lu,5891.39,0,,3,nist,L1402,A
Lu,6199.67,300,,3,nist,L1402,A
Lu,6199.84,600,,3,nist,L1402,A
Lu,677.34,0,,3,nist,L1402,A
Lu,691.05,0,,3,nist,L1402,A
Lu,700.25,0,,3,nist,L1402,A
Lu,714.89,0,,3,nist,L1402,A
Lu,7311.96,100,,3,nist,L1402,A
Lu,7312.26,200,,3,nist,L1402,A
Lu,738.76,100,,3,nist,L1402,A
Lu,7536.34,0,,3,nist,L1402,A
Lu,755.03,200,,3,nist,L1402,A
Lu,755.16,0,,3,nist,L1402,A
Lu,7938.63,0,,3,nist,L1402,A
Lu,8010.79,0,,3,nist,L1402,A
Lu,810.73,500,,3,nist,L1402,A
Lu,830.53,100,,3,nist,L1402,A
Lu,832.28,2000,,3,nist,L1402,A
Lu,972.66,0,,3,nist,L1402,A
Lu,991.26,0,,3,nist,L1402,A
Lu,996.44,100,,3,nist,L1402,A
