element,wavelength,intensity,acc,state,source,reference,unit
Mg,100.374,100,,7,nist,L7482,A
Mg,100.374,100,,7,nist,L7482,A
Mg,100.702,500,C+,6,nist,L7482,A
Mg,100.904,400,C+,6,nist,L7482,A
Mg,1000.09,0,,4,nist,L2720,A
Mg,1001.020,0,,4,nist,L2720,A
Mg,1001.177,0,,4,nist,L2720,A
Mg,1001.688,0,,4,nist,L2720,A
Mg,1001.952,0,,4,nist,L2720,A
Mg,1004.152,0,,4,nist,L2720,A
Mg,1004.422,0,,4,nist,L2720,A
Mg,1008.763,0,C+,4,nist,L1965,A
Mg,10094.926,0,,2,nist,L7414,A
Mg,10094.926,0,,2,nist,L7414,A
Mg,101.508,200,D+,6,nist,L7482,A
Mg,101.556,300,D+,6,nist,L7482,A
Mg,101.670,300,C+,5,nist,L5142,A
Mg,101.781,300,C,5,nist,L5142,A
Mg,101.956,200,D,7,nist,L7482,A
Mg,102.053,0,,7,nist,L7482,A
Mg,102.074,200,D+,5,nist,L5142,A
Mg,102.138,100,D,7,nist,L7482,A
Mg,102.189,500,C+,6,nist,L7482,A
Mg,102.239,500,C+,6,nist,L7482,A
Mg,102.471,300,A,7,nist,L7482,A
Mg,102.906,300,,7,nist,L7482,A
Mg,1023.189,0,,4,nist,L1965,A
Mg,1023.189,0,,4,nist,L1965,A
Mg,1025.962,0,B,2,nist,L535,A
Mg,1026.108,0,B,2,nist,L535,A
Mg,1026.406,0,C,4,nist,L1965,A
Mg,1029.30,0,,4,nist,L2720,A
Mg,103.743,0,E,7,nist,L7482,A
Mg,103.859,0,E,7,nist,L7482,A
Mg,103.902,400,C,5,nist,L5142,A
Mg,103.942,300,C,5,nist,L5142,A
Mg,10302.11,0,C,1,nist,L4832,A
Mg,10315.357,0,C+,1,nist,L4832,A
Mg,1032.448,0,,4,nist,L2720,A
Mg,1034.31,0,A,11,nist,L6360,A
Mg,1036.96,0,,1,nist,L4462,A
Mg,1037.18,0,,4,nist,L2720,A
Mg,1037.395,0,B,4,nist,L1965,A
Mg,1037.92,0,,1,nist,L4462,A
Mg,1039.50,0,,1,nist,L4462,A
Mg,10394.609,0,A,2,nist,L7414,A
Mg,10395.079,0,A,2,nist,L7414,A
Mg,104.099,200,C,5,nist,L5142,A
Mg,104.132,150,C,5,nist,L5142,A
Mg,104.179,100,D+,5,nist,L5142,A
