element,wavelength,intensity,acc,state,source,reference,unit
Mg,10302.11,0,C,1,nist,L4832,A
Mg,10315.357,0,C+,1,nist,L4832,A
Mg,1036.96,0,,1,nist,L4462,A
Mg,1037.92,0,,1,nist,L4462,A
Mg,1039.50,0,,1,nist,L4462,A
Mg,1040.70,0,,1,nist,L4462,A
Mg,1042.81,0,,1,nist,L4462,A
Mg,104391.40,0,B,1,nist,L10570,A
Mg,104396.71,0,B,1,nist,L10570,A
Mg,104399.07,0,B,1,nist,L10570,A
Mg,1044.54,0,,1,nist,L4462,A
Mg,1047.77,0,,1,nist,L4462,A
Mg,1048.74,0,,1,nist,L4462,A
Mg,1050.17,0,,1,nist,L4462,A
Mg,1055.18,0,,1,nist,L4462,A
Mg,1056.53,0,,1,nist,L4462,A
Mg,1059.10,0,,1,nist,L4462,A
Mg,1067.44,0,,1,nist,L4462,A
Mg,1069.11,0,,1,nist,L4462,A
Mg,1073.51,0,,1,nist,L4462,A
Mg,10814.045,0,B,1,nist,L6095,A
Mg,1088.90,0,,1,nist,L4462,A
Mg,1091.51,0,,1,nist,L4462,A
Mg,10956.320,0,C+,1,nist,L6095,A
Mg,10960.305,0,B,1,nist,L6095,A
Mg,10968.453,0,B,1,nist,L6095,A
Mg,109700.80,0,,1,nist,L10570,A
Mg,109704.68,0,,1,nist,L10570,A
Mg,1101.60,0,,1,nist,L4462,A
Mg,110299.49,0,B+,1,nist,L10570,A
Mg,11035.124,0,C,1,nist,L6095,A
Mg,11036.684,0,D+,1,nist,L6095,A
Mg,11037.53,0,D,1,nist,L4832,A
Mg,111622.7,0,,1,nist,L10070,A
Mg,111622.7,0,,1,nist,L10070,A
Mg,111637.63,0,B+,1,nist,L10570,A
Mg,112755.88,0,,1,nist,L10570,A
Mg,112926.82,0,,1,nist,L10570,A
Mg,1135.58,0,,1,nist,L4462,A
Mg,1141.85,0,,1,nist,L4462,A
Mg,11525.394,0,B,1,nist,L6692,A
Mg,11543.831,0,C+,1,nist,L6692,A
Mg,1163.80,0,,1,nist,L4462,A
Mg,117914.82,0,B,1,nist,L10570,A
Mg,117916.05,0,B,1,nist,L10570,A
Mg,117921.18,0,B,1,nist,L10570,A
Mg,117921.18,0,B,1,nist,L10570,A
Mg,117921.18,0,,1,nist,L10570,A
Mg,117923.01,0,B,1,nist,L10570,A
Mg,117923.01,0,D+,1,nist,L10570,A
Mg,117923.01,0,B,1,nist,L10570,A
Mg,117923.01,0,,1,nist,L10570,A
Mg,11831.408,2650,A,1,nist,L6692,A
Mg,118795.2,0,B,1,nist,"L10570,L6002",A
Mg,118903.1,0,C,1,nist,"L6002,L6969",A
Mg,118903.1,0,B,1,nist,"L6002,L6969",A
Mg,118903.1,0,B,1,nist,"L6002,L6969",A
Mg,119312,0,B,1,nist,L10070,A
Mg,119402.93,0,B,1,nist,L10570,A
Mg,119590.69,0,B,1,nist,L10570,A
Mg,12043.117,120,B,1,nist,L6692,A
Mg,12086.580,0,,1,nist,L6692,A
Mg,12086.956,5750,A,1,nist,L6692,A
Mg,122084.40,0,B+,1,nist,L10570,A
Mg,123217.2,0,,1,nist,"L6002,L7003",A
Mg,12421.335,0,C,1,nist,L6692,A
Mg,12426.428,0,C,1,nist,L6692,A
Mg,12436.854,0,C+,1,nist,L6692,A
Mg,125884.3,0,B,1,nist,"L6002,L6969",A
Mg,1271.34,0,,1,nist,L4462,A
Mg,1299.75,0,,1,nist,L4462,A
Mg,134531.80,0,B,1,nist,L10570,A
Mg,134540.65,0,B,1,nist,L10570,A
Mg,134545.28,0,B,1,nist,L10570,A
Mg,13953.59,0,D+,1,nist,L6692,A
Mg,14364.447,0,B,1,nist,L6692,A
Mg,14619.614,290,B+,1,nist,L6692,A
Mg,14704.287,0,B,1,nist,L6692,A
Mg,14881.595,10500,B+,1,nist,L6692,A
Mg,14881.674,7250,B+,1,nist,L6692,A
Mg,14881.847,4250,B+,1,nist,L6692,A
Mg,14882.243,520,,1,nist,L6692,A
Mg,15029.103,38900,A,1,nist,L6692,A
Mg,15044.356,22400,A,1,nist,L6692,A
Mg,15051.826,7250,B+,1,nist,L6692,A
Mg,15139.442,0,D,1,nist,L6692,A
Mg,15141.164,0,D,1,nist,L6692,A
Mg,15141.987,0,E,1,nist,L6692,A
Mg,15697.599,0,C,1,nist,L4832,A
Mg,15745.007,12900,B,1,nist,L6692,A
Mg,15753.291,3250,B+,1,nist,L6692,A
Mg,15770.147,5750,B+,1,nist,L6692,A
Mg,15883.903,140,C+,1,nist,L6692,A
Mg,15890.528,0,C,1,nist,L6692,A
Mg,15893.862,0,C,1,nist,L6692,A
Mg,15917.178,0,D+,1,nist,L4832,A
Mg,15952.736,0,C+,1,nist,L6692,A
Mg,15958.81,0,B,1,nist,L6692,A
Mg,1622.363,0,,1,nist,L2195,A
Mg,1622.395,0,,1,nist,L2195,A
Mg,1622.423,0,,1,nist,L2195,A
Mg,1622.458,0,,1,nist,L2195,A
Mg,1622.496,0,,1,nist,L2195,A
Mg,1622.534,0,,1,nist,L2195,A
Mg,1622.571,0,,1,nist,L2195,A
Mg,1622.614,0,,1,nist,L2195,A
Mg,1622.661,0,,1,nist,L2195,A
Mg,1622.706,0,,1,nist,L2195,A
Mg,1622.758,0,,1,nist,L2195,A
Mg,1622.812,0,,1,nist,L2195,A
Mg,1622.870,0,,1,nist,L2195,A
Mg,1622.932,0,,1,nist,L2195,A
Mg,1622.997,0,,1,nist,L2195,A
Mg,1623.069,0,,1,nist,L2195,A
Mg,1623.143,0,,1,nist,L2195,A
Mg,1623.225,0,,1,nist,L2195,A
Mg,1623.312,0,,1,nist,L2195,A
Mg,1623.406,0,,1,nist,L2195,A
Mg,1623.508,0,,1,nist,L2195,A
Mg,1623.619,0,,1,nist,L2195,A
Mg,1623.737,0,,1,nist,L2195,A
Mg,1623.868,0,,1,nist,L2195,A
Mg,1624.010,0,,1,nist,L2195,A
Mg,1624.165,0,,1,nist,L2195,A
Mg,1624.334,0,,1,nist,L2195,A
Mg,1624.520,0,,1,nist,L2195,A
Mg,1624.727,0,,1,nist,L2195,A
Mg,1624.953,0,,1,nist,L2195,A
Mg,1625.204,0,,1,nist,L2195,A
Mg,1625.485,0,,1,nist,L2195,A
Mg,1625.798,0,,1,nist,L2195,A
Mg,1626.151,0,,1,nist,L2195,A
Mg,1626.36,0,,1,nist,L3454,A
Mg,1626.549,0,,1,nist,L2195,A
Mg,1626.79,0,,1,nist,L3454,A
Mg,1627.000,0,,1,nist,L2195,A
Mg,1627.27,0,,1,nist,L3454,A
Mg,1627.514,0,,1,nist,L2195,A
Mg,1627.82,0,,1,nist,L3454,A
Mg,1628.104,0,,1,nist,L2195,A
Mg,1628.46,0,,1,nist,L3454,A
Mg,1628.786,0,,1,nist,L2195,A
Mg,1629.21,0,,1,nist,L3454,A
Mg,1629.579,0,,1,nist,L2195,A
Mg,1630.509,0,,1,nist,L2195,A
Mg,1631.609,0,,1,nist,L2195,A
Mg,1632.924,0,,1,nist,L2195,A
Mg,1634.515,0,,1,nist,L2195,A
Mg,1636.465,0,,1,nist,L2195,A
Mg,1638.890,0,,1,nist,L2195,A
Mg,1641.957,0,,1,nist,L2195,A
Mg,1645.924,0,,1,nist,"L2195,L535",A
Mg,1651.164,0,,1,nist,"L2195,L535",A
Mg,1658.312,0,,1,nist,"L2195,L535",A
Mg,16600.116,0,C,1,nist,L6692,A
Mg,16625.731,0,D,1,nist,L4832,A
Mg,16629.422,0,D+,1,nist,L4832,A
Mg,16636.773,0,D+,1,nist,L4832,A
Mg,1668.429,0,,1,nist,"L2195,L535",A
Mg,1683.412,0,D+,1,nist,"L2195,L535",A
Mg,1707.061,0,D+,1,nist,"L2195,L3454",A
Mg,17113.304,100000,A,1,nist,L6692,A
Mg,17412.290,0,C,1,nist,L6692,A
Mg,17412.290,0,C,1,nist,L6692,A
Mg,17412.290,0,C,1,nist,L6692,A
Mg,1747.794,0,C+,1,nist,"L2195,L535",A
Mg,17758.58,0,D+,1,nist,L6692,A
Mg,17766.91,0,C,1,nist,L6692,A
Mg,181.0,0,,1,nist,L4561,A
Mg,182.06,0,,1,nist,L4561,A
Mg,182.7,0,,1,nist,L4561,A
Mg,1827.934,0,B,1,nist,L535,A
Mg,183.03,0,,1,nist,L4561,A
Mg,183.15,0,,1,nist,L4561,A
Mg,183.53,0,,1,nist,L4561,A
Mg,18363.38,0,C+,1,nist,L6692,A
Mg,18379.37,0,,1,nist,L6692,A
Mg,18379.37,0,,1,nist,L6692,A
Mg,18379.55,0,B+,1,nist,L6692,A
Mg,185.95,0,,1,nist,L4561,A
Mg,187.4,0,,1,nist,L4561,A
Mg,187.68,0,,1,nist,L4561,A
Mg,188.75,0,,1,nist,L4561,A
Mg,189.93,0,,1,nist,L4561,A
Mg,18959.4,0,C,1,nist,L6692,A
Mg,18960.4,0,C,1,nist,L6692,A
Mg,19199.36,0,C+,1,nist,L6692,A
Mg,19199.60,0,C,1,nist,L6692,A
Mg,19199.72,0,C,1,nist,L6692,A
Mg,194.07,0,,1,nist,L4561,A
Mg,194.66,0,,1,nist,L4561,A
Mg,19430.56,0,C+,1,nist,L6692,A
Mg,19435.53,0,C+,1,nist,L6692,A
Mg,19437.96,0,C,1,nist,L6692,A
Mg,196.8,0,,1,nist,L4561,A
Mg,19723.87,0,D+,1,nist,L6692,A
Mg,19728.92,0,C,1,nist,L6692,A
Mg,19739.26,0,C,1,nist,L6692,A
Mg,198.05,0,,1,nist,L4561,A
Mg,198.26,0,,1,nist,L4561,A
Mg,198.63,0,,1,nist,L4561,A
Mg,199.26,0,,1,nist,L4561,A
Mg,200.43,0,,1,nist,L4561,A
Mg,201.88,0,,1,nist,L4561,A
Mg,202.42,0,,1,nist,L4561,A
Mg,202.75,0,,1,nist,L4561,A
Mg,2026.477,0,B+,1,nist,L6095,A
Mg,203.29,0,,1,nist,L4561,A
Mg,204.34,0,,1,nist,L4561,A
Mg,210.00,0,,1,nist,L4561,A
Mg,21065.51,0,C+,1,nist,L6692,A
Mg,21066.5,0,C+,1,nist,L6692,A
Mg,21066.64,0,C+,1,nist,L6692,A
Mg,21066.84,0,C+,1,nist,L6692,A
Mg,21213.93,0,D,1,nist,L4832,A
Mg,21219.52,0,D+,1,nist,L6692,A
Mg,21231.41,0,D+,1,nist,L6692,A
Mg,213.52,0,,1,nist,L4561,A
Mg,21464.72,0,B+,1,nist,L6692,A
Mg,215.311,0,,1,nist,L1184,A
Mg,215.447,0,,1,nist,L1184,A
Mg,216.202,0,,1,nist,L1184,A
Mg,216.357,0,,1,nist,L1184,A
Mg,216.688,0,,1,nist,L1184,A
Mg,217.208,0,,1,nist,L1184,A
Mg,217.208,0,,1,nist,L1184,A
Mg,217.37,0,,1,nist,L2781,A
Mg,218.222,0,,1,nist,L1184,A
Mg,218.222,0,,1,nist,L1184,A
Mg,218.37,0,,1,nist,L4561,A
Mg,219.041,0,,1,nist,L1184,A
Mg,219.266,0,,1,nist,L1184,A
Mg,220.056,0,,1,nist,L1184,A
Mg,220.298,0,,1,nist,L1184,A
Mg,222.044,0,,1,nist,L1184,A
Mg,222.685,0,,1,nist,L1184,A
Mg,223.429,0,,1,nist,L1184,A
Mg,223.429,0,,1,nist,L1184,A
Mg,225.162,0,,1,nist,L1184,A
Mg,225.589,0,,1,nist,L1184,A
Mg,226.246,0,,1,nist,L1184,A
Mg,22813.97,0,B+,1,nist,L6692,A
Mg,22814.25,0,B+,1,nist,L6692,A
Mg,22814.25,0,,1,nist,L6692,A
Mg,22814.49,0,B,1,nist,L6692,A
Mg,22814.49,0,,1,nist,L6692,A
Mg,22911.70,0,D+,1,nist,L6692,A
Mg,23004.61,0,C+,1,nist,L6692,A
Mg,23334.46,0,D+,1,nist,L6692,A
Mg,23843.18,0,B,1,nist,L6692,A
Mg,23850.7,0,B,1,nist,L6692,A
Mg,23865.73,0,B+,1,nist,L6692,A
Mg,24507.56,0,B+,1,nist,L6692,A
Mg,24572.26,0,,1,nist,L6692,A
Mg,24573.00,150,A,1,nist,L6692,A
Mg,24805.36,450,B,1,nist,L6692,A
Mg,24825.69,1380,B+,1,nist,L6692,A
Mg,24867.33,2250,B+,1,nist,L6692,A
Mg,25417.09,0,B+,1,nist,L6692,A
Mg,25418.47,0,B+,1,nist,L6692,A
Mg,25418.72,0,B+,1,nist,L6692,A
Mg,25419.08,0,B+,1,nist,L6692,A
Mg,2554.02,0,,1,nist,L4832,A
Mg,2555.35,0,,1,nist,L4832,A
Mg,2557.993,0,,1,nist,L6095,A
Mg,2561.709,0,,1,nist,L6095,A
Mg,2563.027,0,,1,nist,L6095,A
Mg,2565.706,0,,1,nist,L6095,A
Mg,2571.678,0,,1,nist,L6095,A
Mg,2573.019,0,,1,nist,L6095,A
Mg,2575.716,0,,1,nist,L6095,A
Mg,2578.660,0,,1,nist,L6095,A
Mg,2581.360,0,,1,nist,L6095,A
Mg,2584.989,0,,1,nist,L6095,A
Mg,2586.332,0,,1,nist,L6095,A
Mg,2589.059,0,,1,nist,L6095,A
Mg,2592.666,0,,1,nist,L6095,A
Mg,2594.006,0,,1,nist,L6095,A
Mg,2596.749,0,,1,nist,L6095,A
Mg,2603.273,0,,1,nist,L6095,A
Mg,2604.632,0,,1,nist,L6095,A
Mg,2607.400,0,,1,nist,L6095,A
Mg,2614.137,0,,1,nist,L6095,A
Mg,2615.507,0,,1,nist,L6095,A
Mg,2618.294,0,,1,nist,L6095,A
Mg,2629.448,0,,1,nist,L6095,A
Mg,2630.837,0,,1,nist,L6095,A
Mg,2633.658,0,,1,nist,L6095,A
Mg,26400.01,8300,A,1,nist,L6692,A
Mg,2645.589,0,,1,nist,L6095,A
Mg,2646.994,0,,1,nist,L6095,A
Mg,2649.851,0,,1,nist,L6095,A
Mg,26552.84,0,C+,1,nist,L6692,A
Mg,2668.917,0,,1,nist,L6095,A
Mg,2670.347,0,,1,nist,L6095,A
Mg,2673.254,0,,1,nist,L6095,A
Mg,2694.523,0,,1,nist,L6095,A
Mg,2695.981,0,,1,nist,L6095,A
Mg,2698.946,0,,1,nist,L6095,A
Mg,2732.802,0,D+,1,nist,L6095,A
Mg,2734.302,0,D+,1,nist,L6095,A
Mg,2737.352,0,C,1,nist,L6095,A
Mg,2766.039,0,,1,nist,L6095,A
Mg,2769.157,0,,1,nist,L6095,A
Mg,27728.5,0,D+,1,nist,L6692,A
Mg,27738.4,0,C,1,nist,L6692,A
Mg,27758.76,0,C,1,nist,L6692,A
Mg,2777.510,0,B+,1,nist,L6095,A
Mg,2779.090,0,C+,1,nist,L6095,A
Mg,2780.651,0,C+,1,nist,L6095,A
Mg,2780.651,0,B,1,nist,L6095,A
Mg,2782.109,0,,1,nist,L6095,A
Mg,2782.237,0,C+,1,nist,L6095,A
