element,wavelength,intensity,acc,state,source,reference,unit
Mg,10094.926,0,,2,nist,L7414,A
Mg,10094.926,0,,2,nist,L7414,A
Mg,1025.962,0,B,2,nist,L535,A
Mg,1026.108,0,B,2,nist,L535,A
Mg,10394.609,0,A,2,nist,L7414,A
Mg,10395.079,0,A,2,nist,L7414,A
Mg,10917.220,0,A,2,nist,L7414,A
Mg,10918.260,0,A,2,nist,L7414,A
Mg,10954.779,0,A,2,nist,L7414,A
Mg,11258.989,0,A,2,nist,L6692,A
Mg,11259.396,0,A,2,nist,L6692,A
Mg,11480.501,0,B+,2,nist,L6692,A
Mg,11490.342,0,B+,2,nist,L6692,A
Mg,11537.954,0,B+,2,nist,L6692,A
Mg,11547.781,0,B+,2,nist,L6692,A
Mg,11603.751,300,,2,nist,L6692,A
Mg,11603.751,300,,2,nist,L6692,A
Mg,11623.321,420,,2,nist,L6692,A
Mg,11633.594,0,,2,nist,L6692,A
Mg,11754.563,0,B+,2,nist,L6692,A
Mg,11754.807,0,B+,2,nist,L6692,A
Mg,1239.936,0,C,2,nist,L535,A
Mg,1240.399,0,C,2,nist,L535,A
Mg,1248.511,0,B,2,nist,L535,A
Mg,1249.932,0,B,2,nist,L535,A
Mg,12538.843,0,,2,nist,L6692,A
Mg,12539.104,0,,2,nist,L6692,A
Mg,1271.243,0,C,2,nist,L535,A
Mg,1271.943,0,C+,2,nist,L535,A
Mg,1272.725,0,C+,2,nist,L535,A
Mg,1273.427,0,C+,2,nist,L535,A
Mg,12795.74,0,,2,nist,L6692,A
Mg,12795.74,0,,2,nist,L6692,A
Mg,12810.74,0,,2,nist,L6692,A
Mg,12813.67,0,,2,nist,L6692,A
Mg,1306.711,0,C+,2,nist,L535,A
Mg,1307.877,0,C+,2,nist,L535,A
Mg,1308.282,0,C+,2,nist,L535,A
Mg,1309.439,0,C+,2,nist,L535,A
Mg,1365.545,0,B+,2,nist,L535,A
Mg,1367.260,0,B+,2,nist,L535,A
Mg,1367.704,0,C+,2,nist,L535,A
Mg,1369.425,0,B,2,nist,L535,A
Mg,14262.825,0,B+,2,nist,L6692,A
Mg,14271.779,0,B,2,nist,L6692,A
Mg,14399.737,0,A,2,nist,L6692,A
Mg,14400.133,0,B+,2,nist,L6692,A
Mg,14731.242,350,B+,2,nist,L6692,A
Mg,14731.897,0,B,2,nist,L6692,A
Mg,14737.690,0,,2,nist,L6692,A
Mg,14737.690,0,,2,nist,L6692,A
Mg,14741.448,170,B+,2,nist,L6692,A
Mg,14757.440,0,,2,nist,L6692,A
Mg,1476.004,0,B,2,nist,L535,A
Mg,14761.154,0,,2,nist,L6692,A
Mg,1478.013,0,B,2,nist,L535,A
Mg,1480.890,0,B+,2,nist,L535,A
Mg,1482.902,0,B+,2,nist,L535,A
Mg,14854.178,0,B+,2,nist,L6692,A
Mg,14854.372,0,B+,2,nist,L6692,A
Mg,15071.817,0,D,2,nist,L6692,A
Mg,15081.915,0,D,2,nist,L6692,A
Mg,15209.514,260,B+,2,nist,L6692,A
Mg,15226.601,0,B+,2,nist,L6692,A
Mg,15226.874,470,A,2,nist,L6692,A
Mg,15368.388,310,B+,2,nist,L6692,A
Mg,15385.834,650,B+,2,nist,L6692,A
Mg,1653.43,0,,2,nist,L10581,A
Mg,16670.298,0,B+,2,nist,L6692,A
Mg,16676.164,0,B+,2,nist,L6692,A
