element,wavelength,intensity,acc,state,source,reference,unit
Mg,101.670,300,C+,5,nist,L5142,A
Mg,101.781,300,C,5,nist,L5142,A
Mg,102.074,200,D+,5,nist,L5142,A
Mg,103.902,400,C,5,nist,L5142,A
Mg,103.942,300,C,5,nist,L5142,A
Mg,104.099,200,C,5,nist,L5142,A
Mg,104.132,150,C,5,nist,L5142,A
Mg,104.179,100,D+,5,nist,L5142,A
Mg,104.211,0,D+,5,nist,L5142,A
Mg,104.447,0,D,5,nist,L5142,A
Mg,107.653,100,D+,5,nist,L5142,A
Mg,109.162,0,D,5,nist,L5142,A
Mg,109.800,200,D,5,nist,L5142,A
Mg,110.016,0,E,5,nist,L5142,A
Mg,110.103,0,E,5,nist,L5142,A
Mg,110.810,200,C,5,nist,L5142,A
Mg,110.846,400,C+,5,nist,L5142,A
Mg,111.021,300,C+,5,nist,L5142,A
Mg,111.081,200,C+,5,nist,L5142,A
Mg,111.149,250,C,5,nist,L5142,A
Mg,111.189,300,C+,5,nist,L5142,A
Mg,111.239,250,C+,5,nist,L5142,A
Mg,111.410,200,C+,5,nist,L5142,A
Mg,111.461,200,C+,5,nist,L5142,A
Mg,111.486,200,C+,5,nist,L5142,A
Mg,111.547,300,C+,5,nist,L5142,A
Mg,113.209,100,D,5,nist,L5142,A
Mg,113.209,100,C,5,nist,L5142,A
Mg,113.276,0,D,5,nist,L5142,A
Mg,113.409,0,C,5,nist,L5142,A
Mg,113.515,0,D+,5,nist,L5142,A
Mg,113.699,400,B,5,nist,L5142,A
Mg,113.819,100,C,5,nist,L5142,A
Mg,113.819,100,,5,nist,L5142,A
Mg,113.930,300,B,5,nist,L5142,A
Mg,113.988,300,B,5,nist,L5142,A
Mg,114.026,100,B,5,nist,L5142,A
Mg,114.026,100,,5,nist,L5142,A
Mg,114.052,400,B,5,nist,L5142,A
Mg,114.197,200,C+,5,nist,L5142,A
Mg,114.220,150,C+,5,nist,L5142,A
Mg,114.284,200,C+,5,nist,L5142,A
Mg,114.317,100,C+,5,nist,L5142,A
Mg,114.488,0,D,5,nist,L5142,A
Mg,114.721,0,D,5,nist,L5142,A
Mg,114.764,200,C+,5,nist,L5142,A
Mg,114.782,600,B,5,nist,L5142,A
Mg,115.000,300,C+,5,nist,L5142,A
Mg,115.016,300,B,5,nist,L5142,A
Mg,115.092,400,C+,5,nist,L5142,A
Mg,115.398,400,E,5,nist,L5142,A
Mg,115.536,400,C+,5,nist,L5142,A
Mg,118.084,700,B,5,nist,L5142,A
Mg,118.809,500,B,5,nist,L5142,A
Mg,118.857,0,D,5,nist,L5142,A
Mg,118.925,0,D,5,nist,L5142,A
Mg,119.400,400,C+,5,nist,L5142,A
Mg,119.445,400,B,5,nist,L5142,A
Mg,119.697,0,E,5,nist,L5142,A
Mg,121.644,1000,B,5,nist,L5142,A
Mg,121.655,100,C+,5,nist,L5142,A
Mg,121.922,500,C+,5,nist,L5142,A
Mg,122.033,400,C+,5,nist,L5142,A
Mg,125.601,400,C+,5,nist,L5142,A
Mg,126.280,400,B,5,nist,L5142,A
Mg,126.294,100,C,5,nist,L5142,A
Mg,126.546,200,C+,5,nist,L5142,A
Mg,126.678,0,C,5,nist,L5142,A
Mg,127.206,0,C,5,nist,L5142,A
Mg,132.163,500,C+,5,nist,L5142,A
Mg,132.175,300,C,5,nist,L5142,A
Mg,132.476,200,C,5,nist,L5142,A
Mg,132.492,300,C,5,nist,L5142,A
Mg,132.620,300,C,5,nist,L5142,A
Mg,1324.445,0,B,5,nist,"L4779,L4474",A
Mg,135.628,200,C,5,nist,L5142,A
Mg,135.644,0,D,5,nist,L5142,A
Mg,135.947,100,D+,5,nist,L5142,A
Mg,135.961,0,D,5,nist,L5142,A
Mg,136.121,0,D,5,nist,L5142,A
Mg,137.229,600,C+,5,nist,L5142,A
Mg,137.412,800,C+,5,nist,L5142,A
Mg,137.745,700,C+,5,nist,L5142,A
Mg,137.882,600,C,5,nist,L5142,A
Mg,138.751,100,D,5,nist,L5142,A
Mg,142.935,1000,C+,5,nist,L5142,A
Mg,144.547,0,C,5,nist,L5142,A
Mg,145.488,800,C+,5,nist,L5142,A
Mg,146.084,900,C+,5,nist,L5142,A
Mg,146.465,500,C+,5,nist,L5142,A
Mg,146.623,400,C,5,nist,L5142,A
Mg,151.807,150,D+,5,nist,L5142,A
Mg,152.021,100,D+,5,nist,L5142,A
Mg,152.153,300,C,5,nist,L5142,A
Mg,152.181,0,D+,5,nist,L5142,A
Mg,152.386,100,D+,5,nist,L5142,A
Mg,152.526,100,D+,5,nist,L5142,A
Mg,251.584,400,C,5,nist,"L1965,L5142",A
Mg,252.709,0,D,5,nist,L5142,A
Mg,253.187,0,D+,5,nist,L5142,A
Mg,276.582,1000,B+,5,nist,"L1965,L5142",A
Mg,312.302,300,B+,5,nist,"L1965,L5142",A
Mg,351.0887,600,B+,5,nist,"L1965,L5142",A
Mg,352.2009,500,B+,5,nist,"L1965,L5142",A
Mg,353.0919,900,B+,5,nist,"L1965,L5142",A
Mg,353.3004,400,B+,5,nist,"L1965,L5142",A
Mg,354.2249,500,B+,5,nist,"L1965,L5142",A
Mg,355.3291,600,B+,5,nist,"L1965,L5142",A
Mg,376.663,100,B+,5,nist,L5142,A
Mg,55990,0,A,5,nist,L3929,A
Mg,95.896,100,D,5,nist,L5142,A
Mg,95.914,0,E,5,nist,L5142,A
Mg,95.963,100,D+,5,nist,L5142,A
Mg,96.029,0,D,5,nist,L5142,A
Mg,96.083,100,E,5,nist,L5142,A
Mg,96.150,0,E,5,nist,L5142,A
Mg,97.391,100,D+,5,nist,L5142,A
Mg,97.440,200,,5,nist,L5142,A
Mg,97.562,150,D+,5,nist,L5142,A
Mg,97.633,0,D,5,nist,L5142,A
Mg,98.231,100,D,5,nist,L5142,A
Mg,98.270,200,D+,5,nist,L5142,A
Mg,98.405,100,E,5,nist,L5142,A
Mg,98.440,150,D,5,nist,L5142,A
Mg,98.476,0,E,5,nist,L5142,A
Mg,98.635,200,D+,5,nist,L5142,A
Mg,98.803,100,D,5,nist,L5142,A
Mg,98.872,0,E,5,nist,L5142,A
Mg,99.066,200,C,5,nist,L5142,A
Mg,99.611,200,,5,nist,L5142,A
Mg,99.787,100,,5,nist,L5142,A
