element,wavelength,intensity,acc,state,source,reference,unit
Mn,1000.96,0,,2,nist,L562,A
Mn,1003.00,0,E,2,nist,L562,A
Mn,1005.02,0,,2,nist,L562,A
Mn,1005.70,0,,2,nist,L562,A
Mn,1006.72,0,,2,nist,L562,A
Mn,1007.53,0,,2,nist,L562,A
Mn,1007.61,0,,2,nist,L562,A
Mn,1008.85,0,,2,nist,L562,A
Mn,1009.45,0,,2,nist,L562,A
Mn,1009.56,0,,2,nist,L562,A
Mn,1011.51,0,,2,nist,L562,A
Mn,1012.71,0,,2,nist,L562,A
Mn,1013.35,0,,2,nist,L562,A
Mn,1023.55,0,E,2,nist,L562,A
Mn,1027.99,0,E,2,nist,L562,A
Mn,1030.87,0,,2,nist,L562,A
Mn,1032.69,0,,2,nist,L562,A
Mn,1040.54,0,,2,nist,L562,A
Mn,1042.98,0,,2,nist,L562,A
Mn,1043.46,0,,2,nist,L562,A
Mn,1045.89,0,,2,nist,L562,A
Mn,1047.40,0,,2,nist,L562,A
Mn,1047.95,0,,2,nist,L562,A
Mn,1050.78,0,,2,nist,L562,A
Mn,1052.04,0,,2,nist,L562,A
Mn,1052.60,0,,2,nist,L562,A
Mn,1056.80,0,,2,nist,L562,A
Mn,1059.53,0,,2,nist,L562,A
Mn,1059.98,0,,2,nist,L562,A
Mn,1061.64,0,,2,nist,L562,A
Mn,1062.51,0,E,2,nist,L562,A
Mn,1063.43,0,,2,nist,L562,A
Mn,1065.56,0,E,2,nist,L562,A
Mn,1067.73,0,,2,nist,L562,A
Mn,1069.11,0,,2,nist,L562,A
Mn,1069.77,0,,2,nist,L562,A
Mn,1077.02,0,,2,nist,L562,A
Mn,1080.29,0,,2,nist,L562,A
Mn,1085.62,0,,2,nist,L562,A
Mn,1089.98,0,,2,nist,L562,A
Mn,1093.22,0,,2,nist,L562,A
Mn,1111.90,0,,2,nist,L562,A
Mn,1112.19,0,,2,nist,L562,A
Mn,1113.23,0,,2,nist,L562,A
Mn,1113.39,0,,2,nist,L562,A
Mn,1114.44,0,,2,nist,L562,A
Mn,1114.50,0,,2,nist,L562,A
Mn,1115.53,0,,2,nist,L562,A
Mn,1116.37,0,,2,nist,L562,A
Mn,1156.34,0,,2,nist,L562,A
Mn,1156.66,0,,2,nist,L562,A
Mn,1156.83,0,,2,nist,L562,A
Mn,1156.92,0,,2,nist,L562,A
Mn,1161.29,0,,2,nist,L562,A
Mn,1161.61,0,,2,nist,L562,A
Mn,1161.76,0,,2,nist,L562,A
Mn,1162.02,0,,2,nist,L562,A
Mn,1162.02,0,C,2,nist,L562,A
Mn,1163.32,0,C,2,nist,L562,A
Mn,1164.21,0,C,2,nist,L562,A
Mn,1165.82,0,,2,nist,L562,A
Mn,1166.16,0,,2,nist,L562,A
Mn,1166.81,0,,2,nist,L562,A
Mn,1167.13,0,,2,nist,L562,A
Mn,1167.31,0,,2,nist,L562,A
Mn,1168.07,0,,2,nist,L562,A
Mn,1168.25,0,,2,nist,L562,A
Mn,1169.28,0,,2,nist,L562,A
Mn,1169.53,0,,2,nist,L562,A
Mn,1177.52,0,,2,nist,L562,A
Mn,1177.89,0,,2,nist,L562,A
Mn,1178.14,0,,2,nist,L562,A
Mn,1178.34,0,,2,nist,L562,A
Mn,1178.76,0,,2,nist,L562,A
Mn,1180.69,0,,2,nist,L562,A
Mn,1188.502,0,D,2,nist,L562,A
Mn,1192.313,0,D,2,nist,L562,A
Mn,1195.00,0,E,2,nist,L562,A
Mn,1195.97,0,E,2,nist,L562,A
Mn,1196.33,0,,2,nist,L562,A
Mn,1196.33,0,,2,nist,L562,A
Mn,1196.52,0,,2,nist,L562,A
Mn,1196.724,0,,2,nist,L562,A
Mn,1197.17,0,,2,nist,L562,A
Mn,1197.17,0,C+,2,nist,L562,A
Mn,1197.57,0,,2,nist,L562,A
Mn,1198.00,0,,2,nist,L562,A
Mn,1198.63,0,,2,nist,L562,A
Mn,1199.34,0,E,2,nist,L562,A
Mn,1199.38,0,C+,2,nist,L562,A
Mn,1201.124,0,C+,2,nist,L562,A
Mn,1201.23,0,,2,nist,L562,A
Mn,1201.57,0,E,2,nist,L562,A
Mn,1203.07,0,,2,nist,L562,A
Mn,1203.25,0,,2,nist,L562,A
Mn,1204.62,0,,2,nist,L562,A
Mn,1204.95,0,,2,nist,L562,A
Mn,1205.42,0,,2,nist,L562,A
Mn,1206.55,0,,2,nist,L562,A
Mn,1206.87,0,,2,nist,L562,A
Mn,1207.05,0,,2,nist,L562,A
Mn,1207.12,0,,2,nist,L562,A
Mn,1208.83,0,,2,nist,L562,A
Mn,1210.33,0,,2,nist,L562,A
Mn,1212.40,0,,2,nist,L562,A
Mn,1213.50,0,,2,nist,L562,A
Mn,1218.94,0,,2,nist,L562,A
Mn,1219.50,0,,2,nist,L562,A
Mn,1221.11,0,,2,nist,L562,A
Mn,1222.785,0,D,2,nist,L562,A
Mn,1223.15,0,,2,nist,L562,A
Mn,1224.733,0,D,2,nist,L562,A
Mn,1224.928,0,,2,nist,L562,A
Mn,1226.40,0,E,2,nist,L562,A
Mn,1227.638,0,E,2,nist,L562,A
Mn,1228.423,0,E,2,nist,L562,A
Mn,1229.65,0,,2,nist,L562,A
Mn,1230.11,0,,2,nist,L562,A
Mn,1230.15,0,,2,nist,L562,A
Mn,1230.46,0,,2,nist,L562,A
Mn,1230.62,0,,2,nist,L562,A
Mn,1230.87,0,,2,nist,L562,A
Mn,1231.10,0,,2,nist,L562,A
Mn,1231.35,0,,2,nist,L562,A
Mn,1233.952,0,D,2,nist,L562,A
Mn,1234.30,0,,2,nist,L562,A
Mn,1234.51,0,,2,nist,L562,A
Mn,1234.871,0,D,2,nist,L562,A
Mn,1235.06,0,,2,nist,L562,A
Mn,1235.27,0,E,2,nist,L562,A
Mn,1235.46,0,,2,nist,L562,A
Mn,1235.46,0,D,2,nist,L562,A
Mn,1235.79,0,E,2,nist,L562,A
Mn,1235.87,0,D,2,nist,L562,A
Mn,1236.15,0,D,2,nist,L562,A
Mn,1236.15,0,,2,nist,L562,A
Mn,1236.54,0,,2,nist,L562,A
Mn,1236.54,0,,2,nist,L562,A
Mn,1236.77,0,,2,nist,L562,A
Mn,1236.87,0,,2,nist,L562,A
Mn,1236.87,0,,2,nist,L562,A
Mn,1237.59,0,,2,nist,L562,A
Mn,1237.78,0,,2,nist,L562,A
Mn,1237.95,0,,2,nist,L562,A
Mn,1238.35,0,,2,nist,L562,A
Mn,1238.84,0,,2,nist,L562,A
Mn,1239.51,0,,2,nist,L562,A
Mn,1240.04,0,,2,nist,L562,A
Mn,1241.63,0,,2,nist,L562,A
Mn,1244.10,0,,2,nist,L562,A
Mn,1244.28,0,,2,nist,L562,A
Mn,1245.14,0,,2,nist,L562,A
Mn,1245.55,0,,2,nist,L562,A
Mn,1246.24,0,,2,nist,L562,A
Mn,1247.66,0,,2,nist,L562,A
Mn,1248.15,0,,2,nist,L562,A
Mn,1248.83,0,,2,nist,L562,A
Mn,1249.31,0,,2,nist,L562,A
Mn,1250.22,0,,2,nist,L562,A
Mn,1250.681,0,E,2,nist,L562,A
Mn,1252.90,0,,2,nist,L562,A
Mn,1253.37,0,E,2,nist,L562,A
Mn,1253.880,0,,2,nist,L562,A
Mn,1254.20,0,,2,nist,L562,A
Mn,1254.410,0,D,2,nist,L562,A
Mn,1255.01,0,,2,nist,L562,A
Mn,1256.18,0,,2,nist,L562,A
Mn,1256.47,0,,2,nist,L562,A
Mn,1256.96,0,E,2,nist,L562,A
Mn,1258.028,0,,2,nist,L562,A
Mn,1258.51,0,,2,nist,L562,A
Mn,1259.05,0,,2,nist,L562,A
Mn,1259.05,0,,2,nist,L562,A
Mn,1259.56,0,E,2,nist,L562,A
Mn,1259.97,0,,2,nist,L562,A
Mn,1260.52,0,,2,nist,L562,A
Mn,1260.77,0,,2,nist,L562,A
Mn,1261.28,0,,2,nist,L562,A
Mn,1261.28,0,,2,nist,L562,A
Mn,1262.35,0,,2,nist,L562,A
Mn,1262.57,0,,2,nist,L562,A
Mn,1263.79,0,,2,nist,L562,A
Mn,1264.45,0,E,2,nist,L562,A
Mn,1265.39,0,,2,nist,L562,A
Mn,1265.57,0,,2,nist,L562,A
Mn,1266.13,0,,2,nist,L562,A
Mn,1268.90,0,,2,nist,L562,A
Mn,1269.42,0,,2,nist,L562,A
Mn,1269.54,0,,2,nist,L562,A
Mn,1271.22,0,,2,nist,L562,A
Mn,1272.18,0,,2,nist,L562,A
Mn,1274.08,0,,2,nist,L562,A
Mn,1274.84,0,,2,nist,L562,A
Mn,1275.10,0,,2,nist,L562,A
Mn,1275.97,0,D,2,nist,L562,A
Mn,1275.97,0,E,2,nist,L562,A
Mn,1276.24,0,,2,nist,L562,A
Mn,1276.24,0,,2,nist,L562,A
Mn,1276.45,0,,2,nist,L562,A
Mn,1276.45,0,,2,nist,L562,A
Mn,1276.77,0,,2,nist,L562,A
Mn,1276.77,0,,2,nist,L562,A
Mn,1277.12,0,,2,nist,L562,A
Mn,1277.12,0,E,2,nist,L562,A
Mn,1277.82,0,E,2,nist,L562,A
Mn,1277.82,0,E,2,nist,L562,A
Mn,1278.369,0,,2,nist,L562,A
Mn,1278.75,0,,2,nist,L562,A
Mn,1278.90,0,,2,nist,L562,A
Mn,1279.09,0,,2,nist,L562,A
Mn,1279.44,0,,2,nist,L562,A
Mn,1280.11,0,,2,nist,L562,A
Mn,1284.76,0,,2,nist,L562,A
Mn,1285.95,0,,2,nist,L562,A
Mn,1287.978,0,,2,nist,L562,A
Mn,1289.13,0,,2,nist,L562,A
Mn,1289.35,0,,2,nist,L562,A
Mn,1290.52,0,,2,nist,L562,A
Mn,1290.93,0,,2,nist,L562,A
Mn,1291.58,0,,2,nist,L562,A
Mn,1291.70,0,,2,nist,L562,A
Mn,1292.57,0,,2,nist,L562,A
Mn,1292.87,0,,2,nist,L562,A
Mn,1292.87,0,,2,nist,L562,A
Mn,1293.91,0,,2,nist,L562,A
Mn,1294.437,0,,2,nist,L562,A
Mn,1294.803,0,,2,nist,L562,A
Mn,1295.15,0,,2,nist,L562,A
Mn,1295.15,0,,2,nist,L562,A
Mn,1295.74,0,,2,nist,L562,A
Mn,1296.03,0,,2,nist,L562,A
Mn,1296.43,0,,2,nist,L562,A
Mn,1296.67,0,,2,nist,L562,A
Mn,1298.800,0,,2,nist,L562,A
Mn,1299.09,0,,2,nist,L562,A
Mn,1299.66,0,,2,nist,L562,A
Mn,1300.52,0,,2,nist,L562,A
Mn,1301.06,0,,2,nist,L562,A
Mn,1301.31,0,,2,nist,L562,A
Mn,1301.31,0,,2,nist,L562,A
Mn,1302.12,0,,2,nist,L562,A
Mn,1302.61,0,,2,nist,L562,A
Mn,1303.12,0,,2,nist,L562,A
Mn,1303.52,0,,2,nist,L562,A
Mn,1305.136,0,,2,nist,L562,A
Mn,1305.63,0,E,2,nist,L562,A
Mn,1305.87,0,,2,nist,L562,A
Mn,1306.17,0,,2,nist,L562,A
Mn,1306.81,0,,2,nist,L562,A
Mn,1307.41,0,,2,nist,L562,A
Mn,1308.16,0,,2,nist,L562,A
Mn,1309.29,0,,2,nist,L562,A
Mn,1309.72,0,,2,nist,L562,A
Mn,1312.80,0,,2,nist,L562,A
Mn,1313.41,0,,2,nist,L562,A
Mn,1313.77,0,,2,nist,L562,A
Mn,1313.77,0,,2,nist,L562,A
Mn,1316.16,0,,2,nist,L562,A
Mn,1316.16,0,,2,nist,L562,A
Mn,1317.39,0,,2,nist,L562,A
Mn,1317.70,0,,2,nist,L562,A
Mn,1318.09,0,,2,nist,L562,A
Mn,1319.21,0,,2,nist,L562,A
Mn,1319.21,0,,2,nist,L562,A
Mn,1319.21,0,,2,nist,L562,A
Mn,1323.77,0,,2,nist,L562,A
Mn,1323.77,0,,2,nist,L562,A
Mn,1323.77,0,,2,nist,L562,A
Mn,1326.63,0,,2,nist,L562,A
Mn,1327.48,0,,2,nist,L562,A
Mn,1329.25,0,,2,nist,L562,A
Mn,1330.61,0,,2,nist,L562,A
Mn,1331.42,0,,2,nist,L562,A
Mn,1335.27,0,,2,nist,L562,A
Mn,1344.14,0,,2,nist,L562,A
Mn,1344.35,0,,2,nist,L562,A
Mn,1345.62,0,,2,nist,L562,A
Mn,1345.77,0,,2,nist,L562,A
Mn,1346.94,0,,2,nist,L562,A
Mn,1349.41,0,,2,nist,L562,A
Mn,1352.17,0,,2,nist,L562,A
Mn,1352.83,0,,2,nist,L562,A
Mn,1353.33,0,,2,nist,L562,A
Mn,1353.33,0,,2,nist,L562,A
Mn,1353.90,0,,2,nist,L562,A
Mn,1354.08,0,,2,nist,L562,A
Mn,1355.90,0,,2,nist,L562,A
Mn,1356.74,0,,2,nist,L562,A
Mn,1357.45,0,,2,nist,L562,A
Mn,1357.45,0,,2,nist,L562,A
Mn,1357.91,0,,2,nist,L562,A
Mn,1358.32,0,,2,nist,L562,A
Mn,1359.86,0,,2,nist,L562,A
Mn,1360.24,0,,2,nist,L562,A
Mn,1361.60,0,,2,nist,L562,A
Mn,1368.53,0,,2,nist,L562,A
Mn,1371.73,0,,2,nist,L562,A
Mn,1372.48,0,,2,nist,L562,A
Mn,1372.48,0,,2,nist,L562,A
Mn,1373.17,0,,2,nist,L562,A
Mn,1374.81,0,,2,nist,L562,A
Mn,1375.11,0,,2,nist,L562,A
Mn,1377.94,0,,2,nist,L562,A
Mn,1380.32,0,,2,nist,L562,A
Mn,1382.30,0,,2,nist,L562,A
Mn,1383.05,0,,2,nist,L562,A
Mn,1385.43,0,,2,nist,L562,A
Mn,1385.89,0,,2,nist,L562,A
Mn,1387.75,0,,2,nist,L562,A
Mn,1388.21,0,,2,nist,L562,A
Mn,1388.87,0,,2,nist,L562,A
Mn,1397.17,0,,2,nist,L562,A
Mn,1397.39,0,,2,nist,L562,A
Mn,1399.15,0,,2,nist,L562,A
Mn,1399.24,0,,2,nist,L562,A
Mn,1399.39,0,,2,nist,L562,A
Mn,1400.54,0,,2,nist,L562,A
Mn,1400.57,0,,2,nist,L562,A
Mn,1400.66,0,,2,nist,L562,A
Mn,1409.51,0,D,2,nist,L562,A
Mn,1409.69,0,,2,nist,L562,A
Mn,1410.913,0,,2,nist,L562,A
Mn,1410.913,0,,2,nist,L562,A
Mn,1410.913,0,,2,nist,L562,A
Mn,1411.28,0,,2,nist,L562,A
Mn,1411.55,0,,2,nist,L562,A
Mn,1414.18,0,,2,nist,L562,A
Mn,1414.18,0,,2,nist,L562,A
Mn,1414.40,0,,2,nist,L562,A
Mn,1414.40,0,,2,nist,L562,A
Mn,1414.40,0,,2,nist,L562,A
Mn,1414.73,0,,2,nist,L562,A
Mn,1414.73,0,,2,nist,L562,A
Mn,1414.73,0,,2,nist,L562,A
Mn,1415.15,0,D,2,nist,L562,A
Mn,1415.43,0,,2,nist,L562,A
Mn,1415.75,0,D,2,nist,L562,A
Mn,1415.75,0,,2,nist,L562,A
Mn,1415.75,0,,2,nist,L562,A
Mn,1415.75,0,,2,nist,L562,A
Mn,1417.95,0,,2,nist,L562,A
Mn,1418.13,0,D,2,nist,L562,A
Mn,1418.48,0,,2,nist,L562,A
Mn,1418.48,0,,2,nist,L562,A
Mn,1418.63,0,,2,nist,L562,A
Mn,1418.63,0,,2,nist,L562,A
Mn,1418.63,0,,2,nist,L562,A
Mn,1419.61,0,,2,nist,L562,A
Mn,1420.24,0,,2,nist,L562,A
Mn,1421.71,0,,2,nist,L562,A
Mn,1421.77,0,,2,nist,L562,A
Mn,1421.87,0,,2,nist,L562,A
Mn,1422.36,0,,2,nist,L562,A
Mn,1422.42,0,,2,nist,L562,A
Mn,1423.48,0,,2,nist,L562,A
Mn,1423.55,0,,2,nist,L562,A
Mn,1424.49,0,,2,nist,L562,A
Mn,1425.03,0,,2,nist,L562,A
Mn,1425.40,0,,2,nist,L562,A
Mn,1425.544,0,E,2,nist,L562,A
