element,wavelength,intensity,acc,state,source,reference,unit
Mo,10.197,0,,32,nist,L4257,A
Mo,10.241,0,,32,nist,L4257,A
Mo,10.272,0,,32,nist,L4257,A
Mo,10.323,0,,32,nist,L4257,A
Mo,10.767,0,,32,nist,L4109,A
Mo,100.099,0,,9,nist,L4577,A
Mo,100.246,0,,9,nist,L4577,A
Mo,100.246,0,,9,nist,L4577,A
Mo,100.370,0,,9,nist,L4577,A
Mo,100.430,0,,31,nist,L10678,A
Mo,100.437,0,,9,nist,L4577,A
Mo,100.620,0,,31,nist,L10678,A
Mo,100.742,0,,9,nist,L4577,A
Mo,100.967,0,,9,nist,L4577,A
Mo,1000.019,160,,7,nist,L10359,A
Mo,1001.237,0,,7,nist,L10359,A
Mo,1004.107,14000,E,5,nist,L19131,A
Mo,1009.344,2300,C,5,nist,L19131,A
Mo,101.004,0,,14,nist,L4593,A
Mo,101.069,0,,9,nist,L4577,A
Mo,101.081,0,,31,nist,L10678,A
Mo,101.164,0,,9,nist,L4577,A
Mo,101.543,0,,14,nist,L4593,A
Mo,101.675,0,,9,nist,L4577,A
Mo,101.699,0,,14,nist,L5247,A
Mo,101.744,0,,9,nist,L4577,A
Mo,101.823,0,,8,nist,L3646,A
Mo,1011.184,4000,,6,nist,L15083,A
Mo,1011.891,46000,C,5,nist,L19131,A
Mo,1013.547,2300,C,5,nist,L19131,A
Mo,1017.691,360,E,5,nist,L19131,A
Mo,1019.216,0,,7,nist,L10359,A
Mo,1019.257,100,,7,nist,L10359,A
Mo,1019.743,4000,,6,nist,L15083,A
Mo,1019.743,4000,,6,nist,L15083,A
Mo,102.056,0,,9,nist,L4577,A
Mo,102.152,0,,9,nist,L4577,A
Mo,102.985,0,,9,nist,L4577,A
Mo,1021.992,9000,D,5,nist,L19131,A
Mo,1024.741,36000,C,5,nist,L19131,A
Mo,1025.546,6700,E,5,nist,L19131,A
Mo,1029.565,2000,,6,nist,L15083,A
Mo,103.110,0,,9,nist,L4577,A
Mo,103.415,0,,9,nist,L4577,A
Mo,103.500,0,,14,nist,L4593,A
Mo,103.500,0,,14,nist,L4593,A
Mo,103.500,0,,14,nist,L4593,A
Mo,103.696,0,,38,nist,L11309,A
Mo,1030.221,6600,E,5,nist,L19131,A
Mo,1031.166,2200,E,5,nist,L19131,A
Mo,1032.851,2200,E,5,nist,L19131,A
Mo,1035.057,3200,E,5,nist,L19131,A
Mo,1037.905,0,,7,nist,L10359,A
Mo,1038.642,3000000,,6,nist,L15083,A
Mo,104.291,0,,32,nist,L6973,A
Mo,104.306,0,,8,nist,L3646,A
Mo,104.372,0,,30,nist,L10163,A
Mo,104.752,0,,9,nist,L4577,A
Mo,1047.184,600000,,6,nist,L15083,A
Mo,105.423,0,,8,nist,L3646,A
Mo,105.618,0,,30,nist,L10163,A
Mo,1050.580,16000,C,5,nist,L19131,A
Mo,1052.761,32000,C,5,nist,L19131,A
Mo,1056.994,12000,E,5,nist,L19131,A
Mo,1059.302,770,B,5,nist,L19131,A
Mo,1059.787,3100,C,5,nist,L19131,A
Mo,106.080,0,,9,nist,L4577,A
Mo,106.259,0,,8,nist,L3646,A
Mo,1063.570,2800,E,5,nist,L19131,A
Mo,1068.277,11000,E,5,nist,L19131,A
Mo,107.005,0,,7,nist,L1483,A
Mo,107.024,0,,8,nist,L3646,A
Mo,107.203,0,,8,nist,L3646,A
Mo,107.380,0,,8,nist,L3646,A
Mo,107.652,0,,8,nist,L3646,A
Mo,107.797,0,,8,nist,L3646,A
Mo,107.876,0,,9,nist,L4577,A
Mo,1072.806,25000,B,5,nist,L19131,A
Mo,1072.969,18000,C,5,nist,L19131,A
Mo,1075.561,6900,E,5,nist,L19131,A
Mo,1077.629,2600,C,5,nist,L19131,A
Mo,1078.062,6800,E,5,nist,L19131,A
Mo,1079.619,34000,C,5,nist,L19131,A
Mo,108.210,0,,8,nist,L3646,A
Mo,108.255,0,,8,nist,L3646,A
Mo,108.571,0,,8,nist,L3646,A
Mo,108.648,0,,8,nist,L3646,A
Mo,108.714,0,,29,nist,L10216,A
Mo,108.796,0,,8,nist,L3646,A
Mo,108.966,0,,9,nist,L4577,A
Mo,1083.098,1300,C,5,nist,L19131,A
Mo,1084.229,1600,C,5,nist,L19131,A
Mo,1089.825,15000,E,5,nist,L19131,A
Mo,109.095,0,,8,nist,L3646,A
Mo,109.227,0,,9,nist,L4577,A
Mo,109.287,0,,9,nist,L4577,A
Mo,109.444,0,,9,nist,L4577,A
Mo,109.552,0,,9,nist,L4577,A
Mo,109.600,0,,9,nist,L4577,A
Mo,109.650,0,,9,nist,L4577,A
Mo,109.760,0,,8,nist,L3646,A
Mo,109.790,0,,7,nist,L1483,A
Mo,109.864,0,,8,nist,L3646,A
Mo,109.904,0,,8,nist,L3646,A
Mo,1091.474,30000,C,5,nist,L19131,A
Mo,1095.198,5200,E,5,nist,L19131,A
Mo,1099.932,14000,E,5,nist,L19131,A
Mo,11.011,0,,32,nist,L4109,A
Mo,11.898,0,,32,nist,L4109,A
Mo,11.957,0,,32,nist,L4109,A
Mo,110.189,0,,8,nist,L3646,A
Mo,110.304,0,,8,nist,L3646,A
Mo,110.391,0,,9,nist,L4577,A
Mo,110.573,0,,8,nist,L3646,A
Mo,1101.529,42000,C,5,nist,L19131,A
Mo,1101.688,14000,E,5,nist,L19131,A
Mo,1101.909,22000,D,5,nist,L19131,A
Mo,1106.477,13000,C,5,nist,L19131,A
Mo,1108.151,260,E,5,nist,L19131,A
Mo,1109.222,13000,C,5,nist,L19131,A
Mo,111.012,0,,8,nist,L3646,A
Mo,111.286,0,,9,nist,L4577,A
Mo,111.347,0,,7,nist,L1483,A
Mo,111.383,0,,8,nist,L3646,A
Mo,111.461,0,,8,nist,L3646,A
Mo,111.739,0,,9,nist,L4577,A
