element,wavelength,intensity,acc,state,source,reference,unit
Mo,2015.76,19000,,2,nist,L3475,A
Mo,2020.95,40000,,2,nist,L3475,A
Mo,2039.09,21000,,2,nist,L3475,A
Mo,2046.64,17000,,2,nist,L3475,A
Mo,2082.34,4800,,2,nist,L3475,A
Mo,2090.18,2400,,2,nist,L3475,A
Mo,2093.17,2200,,2,nist,L3475,A
Mo,2093.78,4000,,2,nist,L3475,A
Mo,2101.51,2700,,2,nist,L3475,A
Mo,2104.96,1500,,2,nist,L3475,A
Mo,2108.69,1400,,2,nist,L3475,A
Mo,2270.39,400,,2,nist,L3475,A
Mo,2304.96,160,,2,nist,L3475,A
Mo,2307.68,160,,2,nist,L3475,A
Mo,2332.84,110,,2,nist,L3475,A
Mo,2342.31,190,,2,nist,L3475,A
Mo,2356.14,0,,2,nist,L3475,A
Mo,2366.81,0,,2,nist,L3475,A
Mo,2389.93,110,,2,nist,L3475,A
Mo,2404.34,140,,2,nist,L3475,A
Mo,2405.39,0,,2,nist,L3475,A
Mo,2413.57,0,,2,nist,L3475,A
Mo,2413.74,120,,2,nist,L3475,A
Mo,2418.69,0,,2,nist,L3475,A
Mo,2419.74,0,,2,nist,L3475,A
Mo,2420.92,0,,2,nist,L3475,A
Mo,2424.74,0,,2,nist,L3475,A
Mo,2436.70,0,,2,nist,L3475,A
Mo,2441.02,0,,2,nist,L3475,A
Mo,2462.55,0,,2,nist,L3475,A
Mo,2467.43,0,,2,nist,L3475,A
Mo,2467.72,0,,2,nist,L3475,A
Mo,2469.53,0,,2,nist,L3475,A
Mo,2470.79,0,,2,nist,L3475,A
Mo,2478.32,0,,2,nist,L3475,A
Mo,2483.32,0,,2,nist,L3475,A
Mo,2485.50,0,,2,nist,L3475,A
Mo,2496.99,0,,2,nist,L3475,A
Mo,2499.03,0,,2,nist,L3475,A
Mo,2501.19,0,,2,nist,L3475,A
Mo,2503.59,0,,2,nist,L3475,A
Mo,2512.56,0,,2,nist,L3475,A
Mo,2515.84,0,,2,nist,L3475,A
Mo,2527.90,0,,2,nist,L3475,A
Mo,2531.10,0,,2,nist,L3475,A
Mo,2533.07,0,,2,nist,L3475,A
Mo,2539.22,440,,2,nist,L3475,A
Mo,2540.20,0,,2,nist,L3475,A
Mo,2543.43,330,,2,nist,L3475,A
Mo,2544.37,0,,2,nist,L3475,A
Mo,2556.19,0,,2,nist,L3475,A
Mo,2557.52,0,,2,nist,L3475,A
Mo,2559.65,0,,2,nist,L3475,A
Mo,2562.85,0,,2,nist,L3475,A
Mo,2565.11,0,,2,nist,L3475,A
Mo,2567.03,0,,2,nist,L3475,A
Mo,2572.22,0,,2,nist,L3475,A
Mo,2575.19,0,,2,nist,L3475,A
Mo,2577.33,0,,2,nist,L3475,A
Mo,2579.13,0,,2,nist,L3475,A
Mo,2586.72,0,,2,nist,L3475,A
Mo,2589.55,0,,2,nist,L3475,A
Mo,2592.55,0,,2,nist,L3475,A
Mo,2594.48,250,,2,nist,L3475,A
Mo,2598.16,0,,2,nist,L3475,A
Mo,2603.58,250,,2,nist,L3475,A
Mo,2605.86,0,,2,nist,L3475,A
Mo,2606.71,0,,2,nist,L3475,A
Mo,2620.12,0,,2,nist,L3475,A
Mo,2637.46,330,,2,nist,L3475,A
Mo,2639.55,720,,2,nist,L3475,A
Mo,2645.14,600,,2,nist,L3475,A
Mo,2647.28,370,,2,nist,L3475,A
Mo,2654.14,480,,2,nist,L3475,A
Mo,2661.37,640,,2,nist,L3475,A
Mo,2672.62,0,,2,nist,L3475,A
Mo,2673.63,720,,2,nist,L3475,A
Mo,2674.06,250,,2,nist,L3475,A
Mo,2682.16,0,,2,nist,L3475,A
Mo,2684.03,640,,2,nist,L3475,A
Mo,2684.94,880,,2,nist,L3475,A
Mo,2688.79,560,,2,nist,L3475,A
Mo,2693.41,0,,2,nist,L3475,A
Mo,2696.02,0,,2,nist,L3475,A
Mo,2697.63,0,,2,nist,L3475,A
Mo,2700.21,0,,2,nist,L3475,A
Mo,2702.22,480,,2,nist,L3475,A
Mo,2702.67,0,,2,nist,L3475,A
Mo,2705.73,0,,2,nist,L3475,A
Mo,2710.99,0,,2,nist,L3475,A
Mo,2712.29,0,,2,nist,L3475,A
Mo,2713.15,0,,2,nist,L3475,A
Mo,2714.31,190,,2,nist,L3475,A
Mo,2718.16,290,,2,nist,L3475,A
Mo,2727.78,0,,2,nist,L3475,A
Mo,2730.49,140,,2,nist,L3475,A
Mo,2731.01,0,,2,nist,L3475,A
Mo,2733.69,330,,2,nist,L3475,A
Mo,2737.77,160,,2,nist,L3475,A
Mo,2738.69,0,,2,nist,L3475,A
Mo,2739.41,0,,2,nist,L3475,A
Mo,2742.13,0,,2,nist,L3475,A
Mo,2742.43,0,,2,nist,L3475,A
Mo,2747.11,290,,2,nist,L3475,A
Mo,2756.88,110,,2,nist,L3475,A
Mo,2759.45,0,,2,nist,L3475,A
Mo,2761.35,0,,2,nist,L3475,A
Mo,2764.44,220,,2,nist,L3475,A
Mo,2770.58,240,,2,nist,L3475,A
Mo,2774.60,160,,2,nist,L3475,A
Mo,2775.21,190,,2,nist,L3475,A
Mo,2776.22,1700,,2,nist,L3475,A
Mo,2778.68,0,,2,nist,L3475,A
Mo,2780.86,880,,2,nist,L3475,A
Mo,2785.81,400,,2,nist,L3475,A
Mo,2792.36,0,,2,nist,L3475,A
Mo,2808.59,400,,2,nist,L3475,A
Mo,2813.41,0,,2,nist,L3475,A
Mo,2815.50,0,,2,nist,L3475,A
Mo,2816.98,1700,,2,nist,L3475,A
Mo,2818.27,220,,2,nist,L3475,A
Mo,2822.86,0,,2,nist,L3475,A
Mo,2828.57,0,,2,nist,L3475,A
Mo,2832.27,0,,2,nist,L3475,A
Mo,2832.90,0,,2,nist,L3475,A
Mo,2835.22,0,,2,nist,L3475,A
Mo,2836.16,0,,2,nist,L3475,A
Mo,2842.99,160,,2,nist,L3475,A
Mo,2844.57,0,,2,nist,L3475,A
Mo,2849.07,1700,,2,nist,L3475,A
Mo,2854.07,370,,2,nist,L3475,A
Mo,2856.84,0,,2,nist,L3475,A
Mo,2864.04,0,,2,nist,L3475,A
Mo,2864.65,370,,2,nist,L3475,A
Mo,2866.46,0,,2,nist,L3475,A
Mo,2867.53,220,,2,nist,L3475,A
Mo,2868.95,0,,2,nist,L3475,A
Mo,2869.16,0,,2,nist,L3475,A
Mo,2872.35,1700,,2,nist,L3475,A
Mo,2873.72,0,,2,nist,L3475,A
Mo,2879.89,220,,2,nist,L3475,A
Mo,2889.00,0,,2,nist,L3475,A
Mo,2891.84,1300,,2,nist,L3475,A
Mo,2892.13,0,,2,nist,L3475,A
Mo,2893.66,190,,2,nist,L3475,A
Mo,2895.30,950,,2,nist,L3475,A
Mo,2898.48,140,,2,nist,L3475,A
Mo,2901.65,0,,2,nist,L3475,A
Mo,2903.92,290,,2,nist,L3475,A
Mo,2907.97,0,,2,nist,L3475,A
Mo,2909.97,600,,2,nist,L3475,A
Mo,2912.77,1100,,2,nist,L3475,A
Mo,2914.66,0,,2,nist,L3475,A
Mo,2919.68,120,,2,nist,L3475,A
Mo,2924.25,1300,,2,nist,L3475,A
Mo,2925.18,140,,2,nist,L3475,A
Mo,2928.40,0,,2,nist,L3475,A
Mo,2930.92,0,,2,nist,L3475,A
Mo,2931.36,1100,,2,nist,L3475,A
Mo,2931.63,0,,2,nist,L3475,A
Mo,2935.16,800,,2,nist,L3475,A
Mo,2936.06,0,,2,nist,L3475,A
Mo,2939.16,0,,2,nist,L3475,A
Mo,2940.96,0,,2,nist,L3475,A
Mo,2942.08,110,,2,nist,L3475,A
Mo,2945.68,150,,2,nist,L3475,A
Mo,2946.81,0,,2,nist,L3475,A
Mo,2947.55,140,,2,nist,L3475,A
Mo,2948.14,0,,2,nist,L3475,A
Mo,2956.70,0,,2,nist,L3475,A
Mo,2956.92,240,,2,nist,L3475,A
Mo,2957.76,0,,2,nist,L3475,A
Mo,2961.10,0,,2,nist,L3475,A
Mo,2964.66,250,,2,nist,L3475,A
Mo,2965.83,0,,2,nist,L3475,A
Mo,2966.14,210,,2,nist,L3475,A
Mo,2972.78,0,,2,nist,L3475,A
Mo,2973.48,250,,2,nist,L3475,A
Mo,2976.27,0,,2,nist,L3475,A
Mo,2993.71,0,,2,nist,L3475,A
Mo,2994.39,0,,2,nist,L3475,A
Mo,3005.34,0,,2,nist,L3475,A
Mo,3028.65,0,,2,nist,L3475,A
Mo,3061.67,100,,2,nist,L3475,A
Mo,3065.93,250,,2,nist,L3475,A
Mo,3078.55,0,,2,nist,L3475,A
Mo,3088.52,270,,2,nist,L3475,A
Mo,3092.97,190,,2,nist,L3475,A
Mo,3122.91,290,,2,nist,L3475,A
Mo,3139.63,110,,2,nist,L3475,A
Mo,3153.73,220,,2,nist,L3475,A
Mo,3156.55,0,,2,nist,L3475,A
Mo,3172.95,0,,2,nist,L3475,A
Mo,3173.66,160,,2,nist,L3475,A
Mo,3188.51,120,,2,nist,L3475,A
Mo,3202.43,0,,2,nist,L3475,A
Mo,3241.65,0,,2,nist,L3475,A
Mo,3293.26,190,,2,nist,L3475,A
Mo,3314.57,100,,2,nist,L3475,A
Mo,3321.86,190,,2,nist,L3475,A
Mo,3347.36,0,,2,nist,L3475,A
Mo,3396.33,130,,2,nist,L3475,A
Mo,3447.07,130,,2,nist,L3475,A
Mo,3636.18,0,,2,nist,L3475,A
Mo,3685.27,0,,2,nist,L3475,A
Mo,3689.36,0,,2,nist,L3475,A
Mo,3693.69,180,,2,nist,L3475,A
Mo,3745.43,0,,2,nist,L3475,A
Mo,3942.60,0,,2,nist,L3475,A
