element,wavelength,intensity,acc,state,source,reference,unit
Mo,1819.50,0,,4,nist,L3357,A
Mo,1821.59,0,,4,nist,L3357,A
Mo,1850.69,0,,4,nist,L3357,A
Mo,1877.88,0,,4,nist,L3357,A
Mo,1926.26,0,,4,nist,L3357,A
Mo,1929.24,100,,4,nist,L3357,A
Mo,1949.44,0,,4,nist,L3357,A
Mo,1971.06,0,,4,nist,L3357,A
Mo,1991.41,0,,4,nist,L3357,A
Mo,2011.57,0,,4,nist,L3357,A
Mo,2024.43,0,,4,nist,L3357,A
Mo,2056.30,0,,4,nist,L3357,A
Mo,2061.04,0,,4,nist,L3357,A
Mo,2092.56,0,,4,nist,L3357,A
Mo,2114.45,0,,4,nist,L3357,A
Mo,2141.00,0,,4,nist,L3357,A
Mo,857.75,0,,4,nist,L3357,A
Mo,859.72,0,,4,nist,L3357,A
Mo,863.63,0,,4,nist,L3357,A
Mo,865.24,0,,4,nist,L3357,A
Mo,865.53,0,,4,nist,L3357,A
Mo,867.92,0,,4,nist,L3357,A
Mo,878.43,0,,4,nist,L3357,A
Mo,884.19,100,,4,nist,L3357,A
Mo,884.82,0,,4,nist,L3357,A
Mo,886.05,0,,4,nist,L3357,A
Mo,891.74,0,,4,nist,L3357,A
Mo,894.80,0,,4,nist,L3357,A
Mo,895.41,0,,4,nist,L3357,A
