element,wavelength,intensity,acc,state,source,reference,unit
N,1183.031,500,B,3,nist,L3513,A
N,1184.550,570,,3,nist,L3513,A
N,1387.371,150,B,3,nist,L3513,A
N,1729.945,250,C+,3,nist,L3513,A
N,1747.848,570,B,3,nist,L3513,A
N,1751.218,350,B,3,nist,L3513,A
N,1751.657,650,B,3,nist,L3513,A
N,1804.486,150,B,3,nist,L3513,A
N,1805.669,200,B,3,nist,L3513,A
N,1846.42,150,C+,3,nist,L3513,A
N,1885.06,350,C+,3,nist,L3513,A
N,1885.22,400,C+,3,nist,L3513,A
N,1907.99,200,C+,3,nist,L3513,A
N,1919.55,150,C+,3,nist,L3513,A
N,1919.77,150,C+,3,nist,L3513,A
N,1920.65,300,C+,3,nist,L3513,A
N,1920.84,150,C+,3,nist,L3513,A
N,1921.30,200,C+,3,nist,L3513,A
N,2064.67,200,,3,nist,L3513,A
N,2065.08,250,,3,nist,L3513,A
N,2069.34,120,,3,nist,L3513,A
N,2071.75,0,,3,nist,L3513,A
N,2118.26,0,C+,3,nist,L3513,A
N,2122.17,0,C+,3,nist,L3513,A
N,2147.99,0,B,3,nist,L3513,A
N,2188.88,200,,3,nist,L3513,A
N,2189.06,150,,3,nist,L3513,A
N,257.95,500,,3,nist,L3513,A
N,258.50,650,,3,nist,L3513,A
N,259.19,700,,3,nist,L3513,A
N,260.09,800,,3,nist,L3513,A
N,261.28,800,,3,nist,L3513,A
N,262.91,500,,3,nist,L3513,A
N,265.23,500,C+,3,nist,L3513,A
N,265.23,500,B,3,nist,L3513,A
N,265.27,500,C,3,nist,L3513,A
N,265.27,500,B,3,nist,L3513,A
N,265.27,500,B,3,nist,L3513,A
N,268.70,500,C+,3,nist,L3513,A
N,268.70,500,B,3,nist,L3513,A
N,268.70,500,B,3,nist,L3513,A
N,2682.98,250,,3,nist,L3513,A
N,2690.00,0,C+,3,nist,L3513,A
N,2690.00,0,C+,3,nist,L3513,A
N,314.715,150,B,3,nist,L3492,A
N,314.850,200,B,3,nist,L3492,A
N,314.877,0,B,3,nist,L3492,A
N,323.26,600,,3,nist,L3513,A
N,3368.31,120,B,3,nist,L3513,A
N,338.35,500,B,3,nist,L3513,A
N,338.35,500,B,3,nist,L3513,A
N,340.20,500,,3,nist,L3513,A
N,351.98,500,B,3,nist,L3513,A
N,351.98,500,B,3,nist,L3513,A
N,362.833,120,B,3,nist,L3492,A
N,362.881,150,B,3,nist,L3492,A
N,362.946,150,B,3,nist,L3492,A
N,362.985,0,B,3,nist,L3492,A
N,374.204,300,B,3,nist,L3492,A
N,374.441,350,B,3,nist,L3492,A
N,3755.74,0,B,3,nist,L3513,A
N,3772.12,120,B,3,nist,L3513,A
N,387.48,500,,3,nist,L3513,A
N,3939.63,0,B,3,nist,L3513,A
N,3999.76,150,C+,3,nist,L3513,A
N,4004.71,200,C+,3,nist,L3513,A
N,4098.49,250,B,3,nist,L3513,A
N,4104.59,200,B,3,nist,L3513,A
N,4196.94,120,B,3,nist,L3513,A
N,4201.28,150,B,3,nist,L3513,A
N,4334.13,0,B,3,nist,L3513,A
N,4346.90,120,B,3,nist,L3513,A
N,4380.34,300,,3,nist,L3513,A
N,451.869,250,B,3,nist,L3492,A
N,4512.18,0,B,3,nist,L3513,A
N,4516.13,120,B,3,nist,L3513,A
N,452.226,300,B,3,nist,L3492,A
N,4635.44,0,B,3,nist,L3513,A
N,4641.94,120,B,3,nist,L3513,A
N,4860.18,0,B,3,nist,L3513,A
N,4868.51,150,B,3,nist,L3513,A
N,5315.83,0,B,3,nist,L3513,A
N,5322.30,200,B,3,nist,L3513,A
N,5328.66,150,B,3,nist,L3513,A
N,6455.89,0,B,3,nist,L3513,A
N,6468.81,120,B,3,nist,L3513,A
N,684.996,500,B,3,nist,L3513,A
N,685.513,570,B,3,nist,L3513,A
N,685.816,650,B,3,nist,L3513,A
N,686.335,500,B,3,nist,L3513,A
N,763.336,500,B,3,nist,L3513,A
N,764.359,570,B,3,nist,L3513,A
N,771.544,250,B,3,nist,L3513,A
N,771.901,300,B,3,nist,L3513,A
N,772.385,350,B,3,nist,L3513,A
N,772.891,200,B,3,nist,L3513,A
N,772.975,150,,3,nist,L3513,A
N,979.842,650,B,3,nist,L3513,A
N,979.919,700,B,3,nist,L3513,A
N,989.790,900,B,3,nist,L3513,A
N,991.514,700,B,3,nist,L3513,A
N,991.579,1000,B,3,nist,L3513,A
