element,wavelength,intensity,acc,state,source,reference,unit
N,1036.16,150,,4,nist,L4738,A
N,1078.71,0,B,4,nist,L4738,A
N,1188.01,0,B,4,nist,L4738,A
N,1718.55,1000,A+,4,nist,L4738,A
N,181.75,400,B,4,nist,L1356,A
N,191.7,400,B,4,nist,L1356,A
N,192.9,400,C+,4,nist,L1356,A
N,196.87,500,D,4,nist,L1356,A
N,196.87,500,B,4,nist,L1356,A
N,196.87,500,C+,4,nist,L1356,A
N,197.23,500,B,4,nist,L1356,A
N,202.60,500,B,4,nist,L1356,A
N,202.60,500,D,4,nist,L1356,A
N,202.60,500,B,4,nist,L1356,A
N,205.94,500,B,4,nist,L1356,A
N,205.97,500,B,4,nist,L1356,A
N,205.97,500,B,4,nist,L1356,A
N,206.03,500,B,4,nist,L1356,A
N,206.03,500,C,4,nist,L1356,A
N,206.03,500,B,4,nist,L1356,A
N,2081.00,0,B,4,nist,L4738,A
N,217.20,500,B,4,nist,L1356,A
N,217.90,500,,4,nist,L1356,A
N,223.4,500,,4,nist,L1356,A
N,225.12,800,B,4,nist,L1356,A
N,225.21,800,B,4,nist,L1356,A
N,225.21,800,B,4,nist,L1356,A
N,225.21,800,C+,4,nist,L1356,A
N,2318.80,0,,4,nist,L4738,A
N,234.12,600,B,4,nist,L1356,A
N,234.20,600,B,4,nist,L1356,A
N,234.20,600,B,4,nist,L1356,A
N,234.25,600,B,4,nist,L1356,A
N,236.07,550,B,4,nist,L1356,A
N,237.99,500,B,4,nist,L1356,A
N,238.7,500,B,4,nist,L1356,A
N,238.80,600,B,4,nist,L1356,A
N,239.62,500,B,4,nist,L1356,A
N,239.62,500,B,4,nist,L1356,A
N,247.20,900,B,4,nist,L1356,A
N,2478.44,150,B,4,nist,L4738,A
N,248.43,500,B,4,nist,L1356,A
N,248.46,500,B,4,nist,L1356,A
N,248.48,500,B,4,nist,L1356,A
N,260.45,600,B,4,nist,L1356,A
N,2646.44,250,C+,4,nist,L4738,A
N,2646.97,300,C+,4,nist,L4738,A
N,2646.97,300,C+,4,nist,L4738,A
N,2647.75,350,C+,4,nist,L4738,A
N,2647.75,350,C+,4,nist,L4738,A
N,2647.75,350,C+,4,nist,L4738,A
N,270.99,650,B,4,nist,L1356,A
N,283.42,250,B,4,nist,L1356,A
N,283.48,300,B,4,nist,L1356,A
N,283.48,300,B,4,nist,L1356,A
N,283.58,350,B,4,nist,L1356,A
N,283.58,350,B,4,nist,L1356,A
N,285.56,600,B,4,nist,L1356,A
N,297.7,600,B,4,nist,L1356,A
N,297.82,700,B,4,nist,L1356,A
N,300.32,650,B,4,nist,L1356,A
N,303.123,0,B,4,nist,L4738,A
N,303.28,500,B,4,nist,L1356,A
N,3079.14,0,B,4,nist,L4738,A
N,315.053,150,B,4,nist,L4738,A
N,322.503,120,B,4,nist,L4738,A
N,322.570,150,B,4,nist,L4738,A
N,322.724,200,B,4,nist,L4738,A
N,323.175,120,B,4,nist,L4738,A
N,335.050,300,A+,4,nist,L4738,A
N,3464.36,0,B,4,nist,L4738,A
N,3479.71,570,B,4,nist,L4738,A
N,3483.99,500,B,4,nist,L4738,A
N,3485.96,400,B,4,nist,L4738,A
N,351.93,500,B,4,nist,L1356,A
N,353.06,700,B,4,nist,L1356,A
N,3748.61,0,B,4,nist,L4738,A
N,4058.91,150,B,4,nist,L4738,A
N,420.77,500,B,4,nist,L1356,A
N,4607.62,0,,4,nist,L4738,A
N,463.74,650,B,4,nist,L1356,A
N,6382.53,150,B,4,nist,L4738,A
N,765.148,570,A+,4,nist,L4738,A
N,921.992,520,A+,4,nist,L4738,A
N,922.519,500,A+,4,nist,L4738,A
N,923.057,480,A+,4,nist,L4738,A
N,924.283,520,A+,4,nist,L4738,A
N,955.335,1000,A+,4,nist,L4738,A
