element,wavelength,intensity,acc,state,source,reference,unit
Na,10568.89,0,B+,1,nist,L6096,A
Na,10575.18,0,B+,1,nist,L6096,A
Na,10575.18,0,B+,1,nist,L6096,A
Na,10749.38,0,A,1,nist,L6096,A
Na,10752.23,0,A,1,nist,L6096,A
Na,10837.84,0,A,1,nist,L6096,A
Na,10837.84,0,A,1,nist,L6096,A
Na,11193.25,0,B+,1,nist,L6096,A
Na,11200.28,0,B+,1,nist,L6096,A
Na,11200.28,0,B+,1,nist,L6096,A
Na,11384.57,0,A,1,nist,L6096,A
Na,11406.90,0,A,1,nist,L6096,A
Na,12682.64,0,A,1,nist,L4740c73,A
Na,12682.64,0,A,1,nist,L4740c73,A
Na,14771.58,0,A,1,nist,L4740c73,A
Na,14783.79,0,A,1,nist,L4740c73,A
Na,157.10,0,,1,nist,L5279,A
Na,158.8,0,,1,nist,L5279,A
Na,161.60,0,,1,nist,L5279,A
Na,16378.34,0,A,1,nist,L4740c73,A
Na,166.70,0,,1,nist,L5279,A
Na,167.70,0,,1,nist,L5279,A
Na,168.20,0,,1,nist,L5279,A
Na,169.10,0,,1,nist,L5279,A
Na,170.60,0,,1,nist,L5279,A
Na,178.70,0,,1,nist,L5279,A
Na,182.90,0,,1,nist,L5279,A
Na,18470.43,0,A,1,nist,L4740c73,A
Na,18470.43,0,A,1,nist,L4740c73,A
Na,186.80,0,,1,nist,L5279,A
Na,22062.42,0,A+,1,nist,L4740c73,A
Na,22089.69,0,A+,1,nist,L4740c73,A
Na,23354.75,0,A+,1,nist,L4740c73,A
Na,23385.52,0,A+,1,nist,L4740c73,A
Na,2544.584,0,C+,1,nist,"L15055,L6096",A
Na,2544.644,0,C+,1,nist,"L15055,L6096",A
Na,2594.606,0,B,1,nist,"L15055,L6096",A
Na,2594.706,0,C+,1,nist,"L15055,L6096",A
Na,267.330,0,,1,nist,L12868,A
Na,267.380,0,,1,nist,L12868,A
Na,267.440,0,,1,nist,L12868,A
Na,267.540,0,,1,nist,L12868,A
Na,267.640,0,,1,nist,L12868,A
Na,267.660,0,,1,nist,L12868,A
Na,267.770,0,,1,nist,L12868,A
Na,267.830,0,,1,nist,L12868,A
Na,267.970,0,,1,nist,L12868,A
Na,268.060,0,,1,nist,L12868,A
Na,268.240,0,,1,nist,L12868,A
Na,268.270,0,,1,nist,L12868,A
Na,268.340,0,,1,nist,L12868,A
Na,268.380,0,,1,nist,L12868,A
Na,268.420,0,,1,nist,L12868,A
