element,wavelength,intensity,acc,state,source,reference,unit
Na,1325.700,0,B,3,nist,L1882,A
Na,1336.760,0,D,3,nist,L1882,A
Na,1337.358,0,B,3,nist,L1882,A
Na,1337.995,0,C+,3,nist,L1882,A
Na,1340.674,0,D,3,nist,L1882,A
Na,1342.390,0,E,3,nist,L1882,A
Na,1342.729,0,C+,3,nist,L1882,A
Na,1355.281,0,D+,3,nist,L1882,A
Na,1361.896,0,B,3,nist,L1882,A
Na,1361.896,0,D,3,nist,L1882,A
Na,1372.340,0,C+,3,nist,L1882,A
Na,1418.559,0,E,3,nist,L1882,A
Na,1418.559,0,D+,3,nist,L1882,A
Na,1420.885,0,C,3,nist,L1882,A
Na,1440.775,0,D,3,nist,L1882,A
Na,1444.194,0,D+,3,nist,L1882,A
Na,1445.731,0,D,3,nist,L1882,A
Na,1447.850,0,D,3,nist,L1882,A
Na,1448.730,0,D,3,nist,L1882,A
Na,1449.311,0,D+,3,nist,L1882,A
Na,1452.911,0,D,3,nist,L1882,A
Na,1457.939,0,E,3,nist,L1882,A
Na,1461.153,0,D,3,nist,L1882,A
Na,1465.926,0,D,3,nist,L1882,A
Na,1468.000,0,D+,3,nist,L1882,A
Na,1487.438,0,E,3,nist,L1882,A
Na,1523.548,0,E,3,nist,L1882,A
Na,1523.548,0,D,3,nist,L1882,A
Na,1525.301,0,D+,3,nist,L1882,A
Na,1525.301,0,E,3,nist,L1882,A
Na,1526.883,0,,3,nist,L1882,A
Na,1539.145,0,E,3,nist,L1882,A
Na,1542.460,0,D,3,nist,L1882,A
Na,1562.870,0,D+,3,nist,L1882,A
Na,1563.610,0,E,3,nist,L1882,A
Na,1565.294,0,D+,3,nist,L1882,A
Na,1565.294,0,E,3,nist,L1882,A
Na,1577.900,0,E,3,nist,L1882,A
Na,1579.117,0,D,3,nist,L1882,A
Na,1598.177,0,D,3,nist,L1882,A
Na,1688.942,0,,3,nist,L1882,A
Na,1699.293,0,,3,nist,L1882,A
Na,1701.970,0,B,3,nist,L1882,A
Na,1711.124,0,B,3,nist,L1882,A
Na,1712.482,0,B,3,nist,L1882,A
Na,1728.273,0,B+,3,nist,L1882,A
Na,1728.923,0,C,3,nist,L1882,A
Na,1730.710,0,D+,3,nist,L1882,A
Na,1731.113,0,B+,3,nist,L1882,A
Na,1737.711,0,B,3,nist,L1882,A
Na,1755.475,0,,3,nist,L2909,A
Na,1761.018,0,,3,nist,L2909,A
Na,1761.428,0,,3,nist,L2909,A
Na,1766.700,0,,3,nist,L2909,A
Na,1771.350,0,,3,nist,L2909,A
Na,1778.402,0,,3,nist,L2909,A
Na,1783.460,0,,3,nist,L2909,A
Na,1801.267,0,,3,nist,L2909,A
Na,1805.020,0,,3,nist,L2909,A
Na,1805.764,0,,3,nist,L2909,A
Na,1806.229,0,,3,nist,L2909,A
Na,1806.684,0,,3,nist,L2909,A
Na,1807.070,0,,3,nist,L2909,A
Na,181.023,0,,3,nist,L1883,A
Na,181.023,0,,3,nist,L1883,A
Na,181.476,0,,3,nist,L1883,A
Na,1810.071,0,,3,nist,L2909,A
Na,1810.767,0,,3,nist,L2909,A
Na,1810.767,0,,3,nist,L2909,A
Na,1811.671,0,,3,nist,L2909,A
Na,1812.555,0,,3,nist,L2909,A
Na,1816.812,0,,3,nist,L2909,A
Na,1817.617,0,,3,nist,L2909,A
