element,wavelength,intensity,acc,state,source,reference,unit
Nb,1314.56,0,,3,nist,L3603,A
Nb,1319.15,0,,3,nist,L3603,A
Nb,1431.92,0,,3,nist,L3603,A
Nb,1433.39,0,,3,nist,L3603,A
Nb,1435.26,0,,3,nist,L3603,A
Nb,1445.43,0,,3,nist,L3603,A
Nb,1445.98,0,,3,nist,L3603,A
Nb,1447.09,0,,3,nist,L3603,A
Nb,1448.50,0,,3,nist,L3603,A
Nb,1451.63,0,,3,nist,L3603,A
Nb,1456.68,100,,3,nist,L3603,A
Nb,1484.73,0,,3,nist,L3603,A
Nb,1486.79,0,,3,nist,L3603,A
Nb,1495.94,100,,3,nist,L3603,A
Nb,1498.02,0,,3,nist,L3603,A
Nb,1499.45,0,,3,nist,L3603,A
Nb,1501.53,0,,3,nist,L3603,A
Nb,1501.99,100,,3,nist,L3603,A
Nb,1505.03,0,,3,nist,L3603,A
Nb,1509.71,0,,3,nist,L3603,A
Nb,1512.34,0,,3,nist,L3603,A
Nb,1513.25,0,,3,nist,L3603,A
Nb,1513.81,0,,3,nist,L3603,A
Nb,1517.38,0,,3,nist,L3603,A
Nb,1524.91,100,,3,nist,L3603,A
Nb,1532.98,0,,3,nist,L3603,A
Nb,1537.50,0,,3,nist,L3603,A
Nb,1566.92,0,,3,nist,L3603,A
Nb,1570.19,0,,3,nist,L3603,A
Nb,1586.82,0,,3,nist,L3603,A
Nb,1590.21,100,,3,nist,L3603,A
Nb,1598.86,0,,3,nist,L3603,A
Nb,1604.72,0,,3,nist,L3603,A
Nb,1639.51,0,,3,nist,L3603,A
Nb,1682.77,100,,3,nist,L3603,A
Nb,1684.40,0,,3,nist,L3603,A
Nb,1705.44,100,,3,nist,L3603,A
Nb,1707.14,100,,3,nist,L3603,A
Nb,1739.30,0,,3,nist,L3603,A
Nb,1758.63,0,,3,nist,L3603,A
Nb,1763.72,0,,3,nist,L3603,A
Nb,1808.70,0,,3,nist,L3603,A
Nb,1863.13,0,,3,nist,L3603,A
Nb,1892.92,100,,3,nist,L3603,A
Nb,1938.84,100,,3,nist,L3603,A
Nb,1979.07,0,,3,nist,L3603,A
Nb,1985.15,0,,3,nist,L3603,A
Nb,1997.11,0,,3,nist,L3603,A
Nb,2007.93,0,,3,nist,L3603,A
Nb,2033.12,0,,3,nist,L3603,A
Nb,2060.95,0,,3,nist,L3603,A
Nb,2130.91,0,,3,nist,L3603,A
Nb,2206.70,0,,3,nist,L3603,A
Nb,2241.01,0,,3,nist,L3603,A
Nb,2244.89,0,,3,nist,L3603,A
Nb,2266.33,0,,3,nist,L3603,A
Nb,2274.62,0,,3,nist,L3603,A
Nb,2275.93,100,,3,nist,L3603,A
Nb,2280.06,0,,3,nist,L3603,A
Nb,2282.21,100,,3,nist,L3603,A
Nb,2285.10,0,,3,nist,L3603,A
Nb,2291.07,100,,3,nist,L3603,A
Nb,2305.49,0,,3,nist,L3603,A
Nb,2310.63,0,,3,nist,L3603,A
Nb,2314.01,100,,3,nist,L3603,A
Nb,2330.93,0,,3,nist,L3603,A
Nb,2338.81,100,,3,nist,L3603,A
Nb,2344.84,0,,3,nist,L3603,A
Nb,2349.93,0,,3,nist,L3603,A
Nb,2356.26,0,,3,nist,L3603,A
Nb,2362.78,100,,3,nist,L3603,A
Nb,2363.22,0,,3,nist,L3603,A
Nb,2366.42,0,,3,nist,L3603,A
Nb,2373.45,100,,3,nist,L3603,A
Nb,2388.14,100,,3,nist,L3603,A
Nb,2388.96,0,,3,nist,L3603,A
Nb,2404.96,0,,3,nist,L3603,A
Nb,2405.62,0,,3,nist,L3603,A
Nb,2414.67,100,,3,nist,L3603,A
Nb,2415.23,0,,3,nist,L3603,A
Nb,2422.65,100,,3,nist,L3603,A
Nb,2438.48,0,,3,nist,L3603,A
Nb,2447.19,0,,3,nist,L3603,A
Nb,2457.73,100,,3,nist,L3603,A
Nb,2461.08,0,,3,nist,L3603,A
Nb,2461.19,0,,3,nist,L3603,A
Nb,2464.47,0,,3,nist,L3603,A
Nb,2469.47,0,,3,nist,L3603,A
Nb,2470.14,0,,3,nist,L3603,A
Nb,2476.62,0,,3,nist,L3603,A
Nb,2486.77,0,,3,nist,L3603,A
Nb,2489.49,0,,3,nist,L3603,A
Nb,2493.77,0,,3,nist,L3603,A
Nb,2500.48,100,,3,nist,L3603,A
Nb,2509.29,0,,3,nist,L3603,A
Nb,2512.71,0,,3,nist,L3603,A
Nb,2546.40,100,,3,nist,L3603,A
Nb,2558.71,0,,3,nist,L3603,A
Nb,2568.21,0,,3,nist,L3603,A
Nb,2594.53,0,,3,nist,L3603,A
Nb,2599.64,0,,3,nist,L3603,A
Nb,2629.45,0,,3,nist,L3603,A
Nb,2633.95,0,,3,nist,L3603,A
Nb,2658.78,0,,3,nist,L3603,A
Nb,2938.57,0,,3,nist,L3603,A
Nb,3002.72,0,,3,nist,L3603,A
Nb,3143.17,0,,3,nist,L3603,A
Nb,3267.05,0,,3,nist,L3603,A
