element,wavelength,intensity,acc,state,source,reference,unit
Nd,2765.80,0,,1,nist,L3475,A
Nd,2786.61,0,,1,nist,L3475,A
Nd,2963.75,0,,2,nist,L3475,A
Nd,2964.45,0,,2,nist,L3475,A
Nd,2994.07,0,,2,nist,L3475,A
Nd,3008.85,0,,2,nist,L3475,A
Nd,3015.07,0,,2,nist,L3475,A
Nd,3019.23,0,,2,nist,L3475,A
Nd,3027.35,0,,2,nist,L3475,A
Nd,3039.86,0,,2,nist,L3475,A
Nd,3052.00,0,,2,nist,L3475,A
Nd,3053.04,0,,2,nist,L3475,A
Nd,3057.60,140,,2,nist,L3475,A
Nd,3070.62,130,,2,nist,L3475,A
Nd,3072.32,0,,2,nist,L3475,A
Nd,3072.39,0,,2,nist,L3475,A
Nd,3076.27,160,,2,nist,L3475,A
Nd,3080.27,0,,2,nist,L3475,A
Nd,3081.83,0,,2,nist,L3475,A
Nd,3093.82,240,,2,nist,L3475,A
Nd,3099.38,140,,2,nist,L3475,A
Nd,3100.42,0,,2,nist,L3475,A
Nd,3106.33,130,,2,nist,L3475,A
Nd,3107.08,0,,2,nist,L3475,A
Nd,3108.91,0,,2,nist,L3475,A
Nd,3116.08,260,,2,nist,L3475,A
Nd,3117.05,190,,2,nist,L3475,A
Nd,3120.65,0,,2,nist,L3475,A
Nd,3123.97,160,,2,nist,L3475,A
Nd,3125.49,190,,2,nist,L3475,A
Nd,3134.51,290,,2,nist,L3475,A
Nd,3135.81,220,,2,nist,L3475,A
Nd,3138.15,100,,2,nist,L3475,A
Nd,3142.37,170,,2,nist,L3475,A
Nd,3143.35,170,,2,nist,L3475,A
Nd,3145.46,100,,2,nist,L3475,A
Nd,3145.73,100,,2,nist,L3475,A
Nd,3149.42,100,,2,nist,L3475,A
Nd,3150.20,100,,2,nist,L3475,A
Nd,3150.42,100,,2,nist,L3475,A
Nd,3163.54,100,,2,nist,L3475,A
Nd,3176.91,100,,2,nist,L3475,A
Nd,3182.46,0,,2,nist,L3475,A
Nd,3189.65,0,,2,nist,L3475,A
Nd,3201.55,0,,2,nist,L3475,A
Nd,3204.40,150,,2,nist,L3475,A
Nd,3211.93,0,,2,nist,L3475,A
Nd,3211.93,0,,2,nist,L3475,A
Nd,3218.05,100,,2,nist,L3475,A
Nd,3223.55,0,,1,nist,L3475,A
Nd,3228.97,0,,2,nist,L3475,A
Nd,3238.84,0,,2,nist,L3475,A
Nd,3255.02,100,,2,nist,L3475,A
Nd,3257.85,0,,2,nist,L3475,A
Nd,3260.18,220,B,2,nist,L3475,A
Nd,3261.60,100,,2,nist,L3475,A
Nd,3266.06,220,,2,nist,L3475,A
Nd,3266.32,0,,2,nist,L3475,A
Nd,3268.19,170,,2,nist,L3475,A
Nd,3274.12,100,,2,nist,L3475,A
Nd,3276.16,320,,2,nist,L3475,A
Nd,3276.16,320,,2,nist,L3475,A
Nd,3282.44,0,,2,nist,L3475,A
Nd,3283.723,0,,2,nist,"L3260,L3475",A
Nd,3286.05,290,,2,nist,L3475,A
Nd,3287.57,100,,2,nist,L3475,A
Nd,3291.60,100,,2,nist,L3475,A
Nd,3294.79,0,,2,nist,L3475,A
Nd,3295.63,0,,2,nist,L3475,A
Nd,3301.11,300,,2,nist,L3475,A
Nd,3313.70,200,,2,nist,L3475,A
Nd,3326.86,200,,2,nist,L3475,A
Nd,3329.227,410,B+,2,nist,"L3260,L3475",A
Nd,3332.53,250,,2,nist,L3475,A
Nd,3335.430,290,B+,2,nist,"L3260,L3475",A
Nd,3340.023,290,B+,2,nist,"L3260,L3475",A
Nd,3354.55,320,,2,nist,L3475,A
Nd,3356.89,200,,2,nist,L3475,A
Nd,3365.93,270,B+,2,nist,L3475,A
Nd,3394.60,290,,2,nist,L3475,A
Nd,3485.88,120,,1,nist,L3475,A
Nd,3528.54,200,,2,nist,L3475,A
Nd,3528.54,200,,2,nist,L3475,A
Nd,3544.36,290,B,2,nist,L3475,A
Nd,3556.79,200,B+,2,nist,L3475,A
Nd,3561.77,410,C+,2,nist,L3475,A
Nd,3569.89,340,B+,2,nist,L3475,A
Nd,3588.53,470,B+,2,nist,L3475,A
Nd,3593.62,300,B+,2,nist,L3475,A
Nd,3599.05,340,B+,2,nist,L3475,A
Nd,3601.94,300,B+,2,nist,L3475,A
Nd,3610.82,320,B+,2,nist,L3475,A
Nd,3616.848,370,B+,2,nist,"L3260,L3475",A
Nd,3619.99,300,,2,nist,L3475,A
Nd,3632.06,300,,2,nist,L3475,A
Nd,3635.34,340,,2,nist,L3475,A
Nd,3638.04,240,,2,nist,L3475,A
Nd,3638.04,240,,2,nist,L3475,A
Nd,3638.27,240,,2,nist,L3475,A
Nd,3641.28,240,,2,nist,L3475,A
Nd,3646.82,240,B+,2,nist,L3475,A
Nd,3649.24,340,,2,nist,L3475,A
Nd,3651.46,240,B+,2,nist,L3475,A
Nd,3654.19,410,C+,2,nist,L3475,A
Nd,3663.30,470,,2,nist,L3475,A
Nd,3663.30,470,,2,nist,L3475,A
Nd,3666.22,540,B+,2,nist,L3475,A
Nd,3673.41,540,,2,nist,L3475,A
