element,wavelength,intensity,acc,state,source,reference,unit
Ne,10008.343,0,,1,nist,L9097,A
Ne,10010.129,0,,1,nist,L9097,A
Ne,10011.429,0,,1,nist,L9097,A
Ne,10039.85,0,,1,nist,L6099,A
Ne,10041.65,0,,1,nist,L6099,A
Ne,10213.634,0,,1,nist,L9097,A
Ne,10227.461,0,,1,nist,L9097,A
Ne,10248.5213,0,C+,1,nist,L9097,A
Ne,10298.2378,420,C+,1,nist,L9097,A
Ne,10435.4497,0,,1,nist,L9097,A
Ne,10435.4497,0,C+,1,nist,L9097,A
Ne,10565.3029,8000,B+,1,nist,L9097,A
Ne,10623.5735,780,C+,1,nist,L9097,A
Ne,10676.794,0,,1,nist,L9097,A
Ne,10693.386,0,,1,nist,L9097,A
Ne,10693.386,0,,1,nist,L9097,A
Ne,10761.151,0,,1,nist,L9097,A
Ne,10763.218,0,,1,nist,L9097,A
Ne,10763.218,0,,1,nist,L9097,A
Ne,10766.972,150,,1,nist,L9097,A
Ne,10769.036,110,,1,nist,L9097,A
Ne,10783.484,0,,1,nist,L9097,A
Ne,10789.241,0,,1,nist,L9097,A
Ne,10789.241,0,,1,nist,L9097,A
Ne,10793.818,0,,1,nist,L9097,A
Ne,10801.0009,6100,C+,1,nist,L7433,A
Ne,10809.318,0,,1,nist,L9097,A
Ne,10811.089,0,,1,nist,L9097,A
Ne,10817.717,0,,1,nist,L9097,A
Ne,10822.783,0,,1,nist,L9097,A
Ne,10841.1868,0,,1,nist,L9097,A
Ne,10847.4479,9400,C+,1,nist,L7433,A
Ne,10889.259,0,,1,nist,L9097,A
Ne,10891.374,0,,1,nist,L9097,A
Ne,10894.134,0,,1,nist,L9097,A
Ne,11023.8978,0,C+,1,nist,L9097,A
Ne,11047.0248,0,C+,1,nist,L9097,A
Ne,11052.7483,200,C+,1,nist,L9097,A
Ne,11063.837,0,C+,1,nist,L9097,A
Ne,11123.3233,0,C+,1,nist,L9097,A
Ne,11137.5587,0,C+,1,nist,L9097,A
Ne,11141.4832,0,C+,1,nist,L9097,A
Ne,11146.0715,26000,B+,1,nist,L7433,A
Ne,11163.2695,270,C+,1,nist,L9097,A
Ne,11180.5855,49000,B+,1,nist,L7433,A
Ne,11296.0569,0,C+,1,nist,L9097,A
Ne,11301.5353,0,C+,1,nist,L9097,A
Ne,11306.9830,140,C+,1,nist,L9097,A
Ne,11307.6410,100,C+,1,nist,L9097,A
Ne,11332.7280,0,C+,1,nist,L9097,A
Ne,11336.7905,0,C+,1,nist,L9097,A
Ne,11369.7838,110,C+,1,nist,L9097,A
Ne,11393.5519,15000,B,1,nist,L7433,A
Ne,11412.2575,8800,C+,1,nist,L7433,A
Ne,11525.8996,33000,B+,1,nist,L9097,A
Ne,11528.1755,17000,B,1,nist,L9097,A
Ne,11539.5028,9100,B+,1,nist,L9097,A
Ne,11604.7128,2600,C+,1,nist,L9097,A
Ne,11617.2599,13000,B,1,nist,L7433,A
Ne,11691.2022,2800,C+,1,nist,L9097,A
Ne,11770.0137,15000,B,1,nist,L7433,A
Ne,11792.2712,13000,B,1,nist,L9097,A
Ne,11793.1165,3200,C+,1,nist,L9097,A
