element,wavelength,intensity,acc,state,source,reference,unit
Ne,10018.3971,0,,2,nist,L5951,A
Ne,10020.54,0,,2,nist,L1406,A
Ne,10032.0079,0,,2,nist,L5951,A
Ne,10032.611,0,,2,nist,L5951,A
Ne,10051.212,0,,2,nist,L5951,A
Ne,10052.22,0,,2,nist,L1406,A
Ne,10066.2001,0,,2,nist,L5951,A
Ne,10067.01,100,,2,nist,L1406,A
Ne,10078.406,0,,2,nist,L5951,A
Ne,10079.485,0,,2,nist,L5951,A
Ne,10080.29,100,,2,nist,L1406,A
Ne,10080.8257,0,,2,nist,L5951,A
Ne,10102.927,140,,2,nist,L5951,A
Ne,10102.927,140,,2,nist,L5951,A
Ne,10121.1473,100,,2,nist,L5951,A
Ne,10121.783,100,,2,nist,L5951,A
Ne,10147.95,0,,2,nist,L1406,A
Ne,10148.866,0,,2,nist,L5951,A
Ne,10280.973,140,,2,nist,L5951,A
Ne,10330.00,0,,2,nist,L1406,A
Ne,10330.410,180,,2,nist,L5951,A
Ne,10330.410,180,,2,nist,L5951,A
Ne,10458.219,160,,2,nist,L5951,A
Ne,10458.58,0,,2,nist,L1406,A
Ne,10608.35,0,,2,nist,L1406,A
Ne,1066.764,0,,2,nist,L1406,A
Ne,1068.649,140,,2,nist,L1406,A
Ne,1073.781,100,,2,nist,L1406,A
Ne,1074.313,0,,2,nist,L1406,A
Ne,1075.688,0,,2,nist,L1406,A
Ne,10767.1747,0,,2,nist,L5951,A
Ne,10840.8666,0,,2,nist,L5951,A
Ne,10865.1412,0,,2,nist,L5951,A
Ne,1087.789,0,,2,nist,L1406,A
Ne,1090.628,100,,2,nist,L1406,A
Ne,10953.5911,0,,2,nist,L5951,A
Ne,10963.4335,0,,2,nist,L5951,A
Ne,10965.2579,0,,2,nist,L5951,A
Ne,11230.022,0,,2,nist,L5951,A
Ne,1131.724,180,,2,nist,L1406,A
Ne,1131.848,200,,2,nist,L1406,A
Ne,11368.9102,170,,2,nist,L11301,A
Ne,11388.317,0,,2,nist,L11301,A
Ne,11388.7816,126,,2,nist,L11301,A
Ne,11480.0093,190,,2,nist,L11301,A
Ne,11557.632,0,,2,nist,L11301,A
Ne,11648.3770,0,,2,nist,L11301,A
Ne,11685.8432,204,,2,nist,L11301,A
Ne,11864.5157,104,,2,nist,L11301,A
Ne,11942.2047,251,,2,nist,L11301,A
Ne,11991.334,0,,2,nist,L11301,A
Ne,12163.586,0,,2,nist,L11301,A
Ne,12183.464,0,,2,nist,L11301,A
Ne,12235.878,0,,2,nist,L11301,A
Ne,1229.688,140,,2,nist,L1406,A
Ne,1229.832,180,,2,nist,L1406,A
Ne,12310.465,0,,2,nist,L11301,A
Ne,12356.936,0,,2,nist,L11301,A
Ne,1239.018,160,,2,nist,L1406,A
Ne,1239.167,120,,2,nist,L1406,A
Ne,12505.2806,0,,2,nist,L11301,A
Ne,12654.1890,0,,2,nist,L11301,A
Ne,12666.7465,0,,2,nist,L11301,A
Ne,128135.48,0,B,2,nist,L6510,A
Ne,12868.5742,115,,2,nist,L11301,A
Ne,12874.146,0,,2,nist,L11301,A
Ne,1293.902,140,,2,nist,L1406,A
Ne,1298.046,160,,2,nist,L1406,A
Ne,1354.451,0,,2,nist,L11529,A
Ne,13545.369,0,,2,nist,L11301,A
Ne,1356.7905,0,,2,nist,L11529,A
Ne,1374.620,0,,2,nist,L11529c153,A
Ne,1376.080,0,,2,nist,L11529,A
Ne,1381.509,0,,2,nist,L1406,A
Ne,1381.894,0,,2,nist,L1406,A
Ne,1385.937,0,,2,nist,L1406,A
Ne,1387.515,160,,2,nist,L1406,A
Ne,1387.665,0,,2,nist,L1406,A
Ne,1388.491,100,,2,nist,L1406,A
Ne,1391.704,120,,2,nist,L1406,A
Ne,1391.854,140,,2,nist,L1406,A
Ne,1399.532,160,,2,nist,L1406,A
Ne,1399.956,0,,2,nist,L1406,A
Ne,1400.809,0,,2,nist,L1406,A
Ne,1400.868,0,,2,nist,L1406,A
Ne,1403.135,100,,2,nist,L1406,A
Ne,1403.202,0,,2,nist,L1406,A
Ne,1403.679,160,,2,nist,L1406,A
Ne,1405.373,160,,2,nist,L1406,A
Ne,1409.747,120,,2,nist,L1406,A
Ne,1411.306,0,,2,nist,L1406,A
Ne,1413.956,140,,2,nist,L1406,A
Ne,1415.716,140,,2,nist,L1406,A
Ne,1418.375,180,,2,nist,L1406,A
Ne,1418.687,0,,2,nist,L1406,A
Ne,1418.745,160,,2,nist,L1406,A
Ne,14193.457,0,,2,nist,L11301,A
Ne,1423.564,160,,2,nist,L1406,A
Ne,1427.910,0,,2,nist,L11529,A
Ne,1428.579,180,,2,nist,L1406,A
Ne,1436.086,180,,2,nist,L1406,A
Ne,1440.510,0,,2,nist,L11529,A
Ne,1441.188,0,,2,nist,L1406,A
Ne,1443.11,0,,2,nist,L11529c153,A
Ne,1446.183,0,,2,nist,L1406,A
Ne,1450.550,0,,2,nist,L11529,A
Ne,1454.390,0,,2,nist,L1406,A
Ne,1460.716,0,,2,nist,L1406,A
Ne,1462.744,0,,2,nist,L1406,A
Ne,1472.121,0,,2,nist,L1406,A
Ne,1472.46,0,,2,nist,L11529,A
Ne,1473.894,0,,2,nist,L1406,A
Ne,1475.959,160,,2,nist,L1406,A
Ne,1479.210,0,,2,nist,L11529c153,A
Ne,1482.3623,0,,2,nist,L11529c153,A
Ne,1483.502,120,,2,nist,L1406,A
Ne,1484.2254,0,,2,nist,L11529,A
Ne,1488.70,0,,2,nist,L11529c153,A
Ne,1490.270,0,,2,nist,L11529c153,A
Ne,1491.340,0,,2,nist,L11529c153,A
Ne,1499.006,0,,2,nist,L1406,A
Ne,1504.020,0,,2,nist,L11529c153,A
Ne,15082.281,0,,2,nist,L11301,A
Ne,1515.450,0,,2,nist,L11529c153,A
Ne,15264.7962,162,,2,nist,L11301,A
Ne,1545.650,0,,2,nist,L11529,A
Ne,1547.6250,0,,2,nist,L11529,A
Ne,1551.990,0,,2,nist,L11529,A
Ne,15511.571,0,,2,nist,L11301,A
Ne,1555.700,0,,2,nist,L11529,A
Ne,15551.4032,468,,2,nist,L11301,A
Ne,1557.487,0,,2,nist,L1406,A
Ne,1562.3865,0,,2,nist,L11529c153,A
Ne,1563.560,0,,2,nist,L11529c153,A
Ne,1565.910,0,,2,nist,L11529c153,A
Ne,1567.526,140,,2,nist,L1406,A
Ne,1568.72,0,,2,nist,L11529c153,A
Ne,1569.015,0,,2,nist,L1406,A
Ne,1570.300,0,,2,nist,L11529c153,A
Ne,1575.860,0,,2,nist,L11529c153,A
Ne,1576.480,0,,2,nist,L11529c153,A
Ne,15766.197,0,,2,nist,L11301,A
Ne,1578.750,0,,2,nist,L11529c153,A
Ne,1579.150,0,,2,nist,L11529c153,A
Ne,15842.3442,102,,2,nist,L11301,A
Ne,15921.216,0,,2,nist,L11301,A
Ne,15932.999,0,,2,nist,L11301,A
Ne,1596.397,0,,2,nist,L1406,A
Ne,1597.971,160,,2,nist,L1406,A
Ne,1600.080,0,,2,nist,L1406,A
Ne,16027.613,0,,2,nist,L11301,A
Ne,1604.004,160,,2,nist,L1406,A
Ne,1604.091,140,,2,nist,L1406,A
Ne,1608.300,0,,2,nist,L11529c153,A
Ne,1608.512,0,,2,nist,L1406,A
Ne,1609.8562,0,,2,nist,L11529c153,A
Ne,16234.0967,190,,2,nist,L11301,A
Ne,16273.207,0,,2,nist,L11301,A
Ne,1643.290,0,,2,nist,L11529c153,A
Ne,1647.490,0,,2,nist,L11529c153,A
Ne,16477.950,0,,2,nist,L11301,A
Ne,16633.219,0,,2,nist,L11301,A
Ne,16655.079,0,,2,nist,L11301,A
Ne,1668.057,0,,2,nist,L1406,A
Ne,1670.737,0,,2,nist,L1406,A
Ne,1674.290,120,,2,nist,L1406,A
Ne,1679.690,0,,2,nist,L11529c153,A
Ne,1681.035,100,,2,nist,L1406,A
Ne,1681.683,240,,2,nist,L1406,A
Ne,16815.652,0,,2,nist,L11301,A
Ne,1683.240,0,,2,nist,L11529c153,A
Ne,16842.229,0,,2,nist,L11301,A
Ne,16853.095,0,,2,nist,L11301,A
Ne,16856.196,0,,2,nist,L11301,A
Ne,16876.441,0,,2,nist,L11301,A
Ne,1688.356,360,,2,nist,L1406,A
Ne,16885.481,0,,2,nist,L11301,A
Ne,16888.8948,115,,2,nist,L11301,A
Ne,16894.707,0,,2,nist,L11301,A
Ne,16931.224,0,,2,nist,L11301,A
Ne,16939.866,0,,2,nist,L11301,A
Ne,1694.481,0,,2,nist,L1406,A
Ne,1694.600,160,,2,nist,L1406,A
Ne,1694.786,180,,2,nist,L1406,A
Ne,1694.878,120,,2,nist,L1406,A
Ne,16940.767,0,,2,nist,L11301,A
Ne,1695.970,0,,2,nist,L11529c153,A
Ne,16951.763,0,,2,nist,L11301,A
Ne,16952.7692,426,,2,nist,L11301,A
Ne,17014.165,0,,2,nist,L11301,A
Ne,17033.577,0,,2,nist,L11301,A
Ne,17037.338,0,,2,nist,L11301,A
Ne,17081.671,0,,2,nist,L11301,A
Ne,17101.4016,257,,2,nist,L11301,A
Ne,17118.221,0,,2,nist,L11301,A
Ne,1712.0665,160,,2,nist,L11529c153,A
Ne,17121.050,0,,2,nist,L11301,A
Ne,17122.139,0,,2,nist,L11301,A
Ne,17136.049,0,,2,nist,L11301,A
Ne,17141.904,0,,2,nist,L11301,A
Ne,17155.173,0,,2,nist,L11301,A
Ne,17162.344,0,,2,nist,L11301,A
Ne,17188.769,0,,2,nist,L11301,A
Ne,1723.389,0,,2,nist,L1406,A
Ne,17246.955,0,,2,nist,L11301,A
Ne,17291.152,0,,2,nist,L11301,A
Ne,1730.645,160,,2,nist,L1406,A
Ne,17305.5360,0,,2,nist,L11301,A
Ne,17310.1153,0,,2,nist,L11301,A
Ne,17346.247,0,,2,nist,L11301,A
Ne,17352.575,0,,2,nist,L11301,A
Ne,17362.949,0,,2,nist,L11301,A
Ne,17369.1833,110,,2,nist,L11301,A
Ne,1737.341,100,,2,nist,L1406,A
Ne,1738.736,160,,2,nist,L1406,A
Ne,17387.159,0,,2,nist,L11301,A
Ne,17393.0468,0,,2,nist,L11301,A
Ne,17396.054,0,,2,nist,L11301,A
Ne,17404.9150,100,,2,nist,L11301,A
Ne,1742.869,140,,2,nist,L1406,A
Ne,17420.248,0,,2,nist,L11301,A
Ne,17424.8195,871,,2,nist,L11301,A
Ne,1744.277,100,,2,nist,L1406,A
Ne,1744.416,160,,2,nist,L1406,A
Ne,17490.363,0,,2,nist,L11301,A
Ne,17493.264,0,,2,nist,L11301,A
Ne,17505.908,0,,2,nist,L11301,A
Ne,17509.898,0,,2,nist,L11301,A
Ne,1751.216,120,,2,nist,L1406,A
Ne,1751.698,160,,2,nist,L1406,A
Ne,17520.177,0,,2,nist,L11301,A
Ne,17523.568,0,,2,nist,L11301,A
Ne,17555.469,0,,2,nist,L11301,A
Ne,1756.835,160,,2,nist,L1406,A
Ne,17564.631,0,,2,nist,L11301,A
Ne,1758.105,140,,2,nist,L1406,A
Ne,1758.555,160,,2,nist,L1406,A
Ne,1758.590,0,,2,nist,L1406,A
Ne,17614.482,0,,2,nist,L11301,A
Ne,17616.202,0,,2,nist,L11301,A
Ne,17618.759,0,,2,nist,L11301,A
Ne,17622.765,0,,2,nist,L11301,A
Ne,1763.727,0,,2,nist,L1406,A
Ne,17635.749,0,,2,nist,L11301,A
Ne,17647.284,0,,2,nist,L11301,A
Ne,17648.4793,1000,,2,nist,L11301,A
Ne,1765.015,0,,2,nist,L1406,A
Ne,1765.898,140,,2,nist,L1406,A
