element,wavelength,intensity,acc,state,source,reference,unit
Ne,1014.512,0,D,3,nist,L10704,A
Ne,1015.145,0,D,3,nist,L10704,A
Ne,1015.392,120,C,3,nist,L10704,A
Ne,1020.602,140,D,3,nist,L10704,A
Ne,1020.944,160,D,3,nist,L10704,A
Ne,1021.511,180,D,3,nist,L10704,A
Ne,1027.047,140,C,3,nist,L10704,A
Ne,1027.521,100,C,3,nist,L10704,A
Ne,1027.832,0,C,3,nist,L10704,A
Ne,1034.89,0,D,3,nist,L10704,A
Ne,1034.89,0,D,3,nist,L10704,A
Ne,1034.89,0,D,3,nist,L10704,A
Ne,1034.89,0,D,3,nist,L10704,A
Ne,1035.695,0,D,3,nist,L10704,A
Ne,1036.574,0,D,3,nist,L10704,A
Ne,1049.933,0,D,3,nist,L10704,A
Ne,1073.750,0,D,3,nist,L10704,A
Ne,1083.130,0,D,3,nist,L10704,A
Ne,1093.030,0,D,3,nist,L10704,A
Ne,1093.106,0,D,3,nist,L10704,A
Ne,1119.60,160,D,3,nist,L10704,A
Ne,1119.60,160,D,3,nist,L10704,A
Ne,1119.60,160,D,3,nist,L10704,A
Ne,1119.60,160,D,3,nist,L10704,A
Ne,1164.97,0,D,3,nist,L10704,A
Ne,1165.014,0,D,3,nist,L10704,A
Ne,1165.181,100,D,3,nist,L10704,A
Ne,1200.489,0,C,3,nist,L10704,A
Ne,1200.638,100,C,3,nist,L10704,A
Ne,1204.883,0,C,3,nist,L10704,A
Ne,1205.81,120,C,3,nist,L10704,A
Ne,1205.81,120,C,3,nist,L10704,A
Ne,1207.431,100,C,3,nist,L10704,A
Ne,1207.575,160,C,3,nist,L10704,A
Ne,1231.645,180,,3,nist,L10704,A
Ne,1231.82,140,,3,nist,L10704,A
Ne,1231.87,120,,3,nist,L10704,A
Ne,1232.101,120,,3,nist,L10704,A
Ne,1236.73,0,,3,nist,L10704,A
Ne,1248.917,0,C,3,nist,L10704,A
Ne,1255.021,240,C,3,nist,L11529,A
Ne,1255.691,360,C,3,nist,L11529,A
Ne,1257.201,500,C,3,nist,L10704,A
Ne,1288.004,200,,3,nist,L10704,A
Ne,1289.569,200,D,3,nist,L10704,A
Ne,1295.57,500,D,3,nist,L10704,A
Ne,1295.57,500,D,3,nist,L10704,A
