element,wavelength,intensity,acc,state,source,reference,unit
Ni,1.303,0,,26,nist,L6483,A
Ni,1.367,0,,26,nist,L6483,A
Ni,10.109,0,D,19,nist,"L12195,L5090c164",A
Ni,10.155,0,E,19,nist,L5090c164,A
Ni,10.281,0,D,19,nist,L5090c164,A
Ni,10.431,0,D,19,nist,L5090c164,A
Ni,10.772,0,,20,nist,L5090,A
Ni,10.918,0,,20,nist,L5090,A
Ni,10.936,0,,20,nist,L5090,A
Ni,10.982,0,,20,nist,L5090,A
Ni,100.12,0,C,22,nist,L5205,A
Ni,100.241,0,C,21,nist,L10919,A
Ni,100.42,0,C,23,nist,L5205,A
Ni,100.50,0,E,23,nist,L5205,A
Ni,100.612,0,C,22,nist,L10919,A
Ni,1002.418,0,D+,5,nist,"L3912c164,L21210",A
Ni,1003.241,0,D+,5,nist,"L3912c164,L21210",A
Ni,1008.276,0,D+,5,nist,"L3912c164,L21210",A
Ni,101.13,0,C,24,nist,L5205,A
Ni,101.31,0,C,22,nist,L5205,A
Ni,101.657,0,,9,nist,L39,A
Ni,101.701,0,,9,nist,L39,A
Ni,101.846,0,,9,nist,L39,A
Ni,101.932,0,,9,nist,L39,A
Ni,1010.344,0,D+,5,nist,"L3912c164,L21210",A
Ni,102.041,0,C,23,nist,L10919,A
Ni,102.115,0,C,24,nist,L10919,A
Ni,102.283,0,,9,nist,L39,A
Ni,102.340,0,,9,nist,L39,A
Ni,102.364,0,,9,nist,L39,A
Ni,102.480,0,,9,nist,L39,A
Ni,102.50,0,E,23,nist,L5205,A
Ni,102.539,0,,9,nist,L39,A
Ni,102.602,0,,9,nist,L39,A
Ni,102.710,0,,9,nist,L39,A
Ni,1020.387,0,D+,5,nist,"L3912c164,L21210",A
Ni,1020.712,0,D+,5,nist,"L3912c164,L21210",A
Ni,1021.541,0,D+,5,nist,"L3912c164,L21210",A
Ni,1024.466,0,D+,5,nist,"L3912c164,L21210",A
Ni,1026.310,0,D+,5,nist,"L3912c164,L21210",A
Ni,1026.508,0,D+,5,nist,"L3912c164,L21210",A
Ni,103.07,0,C,23,nist,L5205,A
Ni,103.244,0,C,23,nist,L10919,A
Ni,103.326,0,C,22,nist,L10919,A
Ni,103.40,0,C,21,nist,L5205,A
Ni,103.428,0,,9,nist,L39,A
Ni,103.43,0,C,24,nist,L5205,A
Ni,103.546,0,C,24,nist,L10919,A
Ni,103.620,0,,9,nist,L39,A
Ni,103.67,0,C,23,nist,L5205,A
Ni,103.871,0,,9,nist,L39,A
Ni,103.926,0,,9,nist,L39,A
Ni,103.981,0,,9,nist,L39,A
Ni,103.993,0,,9,nist,L39,A
Ni,104.626,0,C,24,nist,L10919,A
Ni,104.70,0,C,23,nist,L5205,A
Ni,1043.233,0,D+,5,nist,"L3912c164,L21210",A
Ni,1044.637,0,D+,5,nist,"L3912c164,L21210",A
Ni,1047.433,0,D+,5,nist,"L3912c164,L21210",A
Ni,105.88,0,D,22,nist,L5205,A
Ni,1058.194,0,D+,5,nist,"L3912c164,L21210",A
Ni,106.064,0,C,22,nist,L10919,A
Ni,106.064,0,C,23,nist,L10919,A
Ni,106.16,0,C,22,nist,L5205,A
Ni,106.68,0,C,24,nist,L5205,A
Ni,1064.539,0,D+,5,nist,"L3912c164,L21210",A
Ni,107.00,0,C,23,nist,L5205,A
Ni,1074.653,0,D+,5,nist,"L3912c164,L21210",A
Ni,1075.189,0,D+,5,nist,"L3912c164,L21210",A
Ni,108.27,0,C,23,nist,L5205,A
Ni,1081.106,0,C,5,nist,"L3912c164,L21210",A
Ni,1089.492,0,D+,5,nist,"L3912c164,L21210",A
Ni,109.03,0,C,24,nist,L5205,A
Ni,109.06,0,D,23,nist,L5205,A
Ni,109.303,0,C,21,nist,L10919,A
Ni,109.44,0,E,21,nist,L5205,A
Ni,1094.780,0,D+,5,nist,"L3912c164,L21210",A
Ni,11.138,0,,20,nist,L5090,A
Ni,11.158,0,,20,nist,L5090,A
Ni,11.176,0,,20,nist,L5090,A
Ni,11.226,0,,20,nist,L5090,A
Ni,11.226,0,,20,nist,L5090,A
Ni,11.226,0,,20,nist,L5090,A
Ni,11.229,0,,21,nist,L5090,A
Ni,11.239,0,E,21,nist,L5090,A
Ni,11.272,0,,21,nist,L5090,A
Ni,11.282,0,,20,nist,L5090,A
Ni,11.302,0,,21,nist,L5090,A
Ni,11.318,0,,21,nist,L5090,A
Ni,11.318,0,D,21,nist,L5090,A
Ni,11.318,0,,21,nist,L5090,A
Ni,11.478,0,,21,nist,L5090,A
Ni,11.517,0,,21,nist,L5090,A
Ni,11.517,0,D,21,nist,L5090,A
Ni,11.517,0,,21,nist,L5090,A
Ni,11.517,0,E,21,nist,L5090,A
Ni,11.537,0,D,19,nist,"L12195,L5090c164",A
Ni,11.539,0,D,21,nist,L5090,A
Ni,11.597,0,E,19,nist,L5090c164,A
Ni,11.779,0,,20,nist,L5090,A
Ni,11.787,0,,20,nist,L5090,A
Ni,11.831,0,,20,nist,L12195,A
Ni,11.846,0,,20,nist,L5090,A
Ni,11.869,0,D,20,nist,L12195,A
Ni,11.960,0,,20,nist,L12195,A
Ni,11.974,0,,20,nist,L5090,A
Ni,11.991,0,,20,nist,L5090,A
Ni,1105.578,0,D+,5,nist,"L3912c164,L21210",A
Ni,111.23,0,C,23,nist,L5205,A
Ni,111.78,0,C,23,nist,L5205,A
Ni,111.86,0,C,23,nist,L5205,A
Ni,1115.279,0,D+,5,nist,"L3912c164,L21210",A
Ni,1119.326,0,D+,5,nist,"L3912c164,L21210",A
Ni,112.55,0,C,23,nist,L5205,A
Ni,1120.876,0,C,5,nist,"L3912c164,L21210",A
Ni,1124.293,0,C,5,nist,"L3912c164,L21210",A
Ni,1125.035,0,D+,5,nist,"L3912c164,L21210",A
Ni,113.14,0,C,24,nist,L5205,A
Ni,1135.004,0,D+,5,nist,"L3912c164,L21210",A
Ni,1137.814,0,D,5,nist,"L3912c164,L21210",A
Ni,1139.040,0,D+,5,nist,"L3912c164,L21210",A
Ni,114.45,0,C,22,nist,L5205,A
Ni,114.46,0,C,18,nist,L5205,A
Ni,114.74,0,C,18,nist,L5205,A
Ni,1141.125,0,D,5,nist,"L3912c164,L21210",A
Ni,1141.743,0,D+,5,nist,"L3912c164,L21210",A
Ni,1143.562,0,D+,5,nist,"L3912c164,L21210",A
Ni,1144.183,0,D+,5,nist,"L3912c164,L21210",A
Ni,1144.588,0,D+,5,nist,"L3912c164,L21210",A
Ni,1145.304,0,D+,5,nist,"L3912c164,L21210",A
Ni,1149.876,0,E,5,nist,"L3912c164,L21210",A
Ni,1150.083,0,D+,5,nist,"L3912c164,L21210",A
Ni,1150.469,0,D+,5,nist,"L3912c164,L21210",A
Ni,1151.053,0,D+,5,nist,"L3912c164,L21210",A
Ni,1151.053,0,D+,5,nist,"L3912c164,L21210",A
Ni,1151.959,0,D+,5,nist,"L3912c164,L21210",A
Ni,1152.166,0,D+,5,nist,"L3912c164,L21210",A
Ni,1152.390,0,D+,5,nist,"L3912c164,L21210",A
Ni,1152.520,0,D+,5,nist,"L3912c164,L21210",A
Ni,1152.674,0,C,5,nist,"L3912c164,L21210",A
Ni,1153.981,0,D+,5,nist,"L3912c164,L21210",A
Ni,1154.875,0,D+,5,nist,"L3912c164,L21210",A
Ni,1155.458,0,D+,5,nist,"L3912c164,L21210",A
Ni,1155.917,0,D+,5,nist,"L3912c164,L21210",A
Ni,1157.331,0,D+,5,nist,"L3912c164,L21210",A
Ni,1157.438,0,D+,5,nist,"L3912c164,L21210",A
Ni,1158.115,0,D+,5,nist,"L3912c164,L21210",A
Ni,1158.115,0,D+,5,nist,"L3912c164,L21210",A
Ni,1158.115,0,E,5,nist,"L3912c164,L21210",A
Ni,1159.009,0,D+,5,nist,"L3912c164,L21210",A
Ni,1159.009,0,D+,5,nist,"L3912c164,L21210",A
Ni,1159.509,0,D+,5,nist,"L3912c164,L21210",A
Ni,1160.108,0,D+,5,nist,"L3912c164,L21210",A
Ni,1163.351,0,D+,5,nist,"L3912c164,L21210",A
Ni,1163.512,0,E,5,nist,"L3912c164,L21210",A
Ni,1163.677,0,D+,5,nist,"L3912c164,L21210",A
Ni,1163.854,0,D+,5,nist,"L3912c164,L21210",A
Ni,1165.585,0,D+,5,nist,"L3912c164,L21210",A
Ni,1165.850,0,D+,5,nist,"L3912c164,L21210",A
Ni,1166.215,0,D+,5,nist,"L3912c164,L21210",A
Ni,1166.464,0,D,5,nist,"L3912c164,L21210",A
Ni,1166.672,0,E,5,nist,"L3912c164,L21210",A
Ni,1167.102,0,D+,5,nist,"L3912c164,L21210",A
Ni,1167.883,0,D+,5,nist,"L3912c164,L21210",A
Ni,1168.156,0,D+,5,nist,"L3912c164,L21210",A
Ni,1168.616,0,D+,5,nist,"L3912c164,L21210",A
Ni,117.933,0,C,22,nist,L10919,A
Ni,117.986,0,B,25,nist,L10919,A
Ni,1170.244,0,C,5,nist,"L3912c164,L21210",A
Ni,1171.128,0,D+,5,nist,"L3912c164,L21210",A
Ni,1171.128,0,D+,5,nist,"L3912c164,L21210",A
Ni,1171.440,0,D,5,nist,"L3912c164,L21210",A
Ni,1171.702,0,D+,5,nist,"L3912c164,L21210",A
Ni,1172.118,0,D+,5,nist,"L3912c164,L21210",A
Ni,1172.458,0,D+,5,nist,"L3912c164,L21210",A
Ni,1174.193,0,D+,5,nist,"L3912c164,L21210",A
Ni,1174.72,0,D,14,nist,L4779,A
Ni,1176.977,0,D+,5,nist,"L3912c164,L21210",A
Ni,1177.169,0,D+,5,nist,"L3912c164,L21210",A
Ni,1177.592,0,D+,5,nist,"L3912c164,L21210",A
Ni,1178.218,0,D+,5,nist,"L3912c164,L21210",A
Ni,1178.373,0,D+,5,nist,"L3912c164,L21210",A
Ni,1178.797,0,D+,5,nist,"L3912c164,L21210",A
Ni,1178.905,0,C,5,nist,"L3912c164,L21210",A
Ni,1179.225,0,E,5,nist,"L3912c164,L21210",A
Ni,1179.962,0,D+,5,nist,"L3912c164,L21210",A
Ni,118.21,0,C,22,nist,L5205,A
Ni,118.553,0,C,24,nist,L10919,A
Ni,1180.248,0,D+,5,nist,"L3912c164,L21210",A
Ni,1182.498,0,D+,5,nist,"L3912c164,L21210",A
Ni,1182.607,0,C,5,nist,"L3912c164,L21210",A
Ni,1182.716,0,D+,5,nist,"L3912c164,L21210",A
Ni,1183.759,0,D+,5,nist,"L3912c164,L21210",A
Ni,1185.228,0,D+,5,nist,"L3912c164,L21210",A
Ni,1185.941,0,C,5,nist,"L3912c164,L21210",A
Ni,1187.190,0,D,5,nist,"L3912c164,L21210",A
Ni,1187.314,0,D+,5,nist,"L3912c164,L21210",A
Ni,1187.774,0,D+,5,nist,"L3912c164,L21210",A
Ni,1189.537,0,C,5,nist,"L3912c164,L21210",A
Ni,1189.680,0,D+,5,nist,"L3912c164,L21210",A
Ni,1190.327,0,D+,5,nist,"L3912c164,L21210",A
Ni,1191.075,0,D+,5,nist,"L3912c164,L21210",A
Ni,1191.1,0,D,21,nist,L6339,A
Ni,1192.681,0,D+,5,nist,"L3912c164,L21210",A
Ni,1192.843,0,D+,5,nist,"L3912c164,L21210",A
Ni,1193.601,0,D+,5,nist,"L3912c164,L21210",A
