element,wavelength,intensity,acc,state,source,reference,unit
Ni,1002.418,0,D+,5,nist,"L3912c164,L21210",A
Ni,1003.241,0,D+,5,nist,"L3912c164,L21210",A
Ni,1008.276,0,D+,5,nist,"L3912c164,L21210",A
Ni,1010.344,0,D+,5,nist,"L3912c164,L21210",A
Ni,1020.387,0,D+,5,nist,"L3912c164,L21210",A
Ni,1020.712,0,D+,5,nist,"L3912c164,L21210",A
Ni,1021.541,0,D+,5,nist,"L3912c164,L21210",A
Ni,1024.466,0,D+,5,nist,"L3912c164,L21210",A
Ni,1026.310,0,D+,5,nist,"L3912c164,L21210",A
Ni,1026.508,0,D+,5,nist,"L3912c164,L21210",A
Ni,1043.233,0,D+,5,nist,"L3912c164,L21210",A
Ni,1044.637,0,D+,5,nist,"L3912c164,L21210",A
Ni,1047.433,0,D+,5,nist,"L3912c164,L21210",A
Ni,1058.194,0,D+,5,nist,"L3912c164,L21210",A
Ni,1064.539,0,D+,5,nist,"L3912c164,L21210",A
Ni,1074.653,0,D+,5,nist,"L3912c164,L21210",A
Ni,1075.189,0,D+,5,nist,"L3912c164,L21210",A
Ni,1081.106,0,C,5,nist,"L3912c164,L21210",A
Ni,1089.492,0,D+,5,nist,"L3912c164,L21210",A
Ni,1094.780,0,D+,5,nist,"L3912c164,L21210",A
Ni,1105.578,0,D+,5,nist,"L3912c164,L21210",A
Ni,1115.279,0,D+,5,nist,"L3912c164,L21210",A
Ni,1119.326,0,D+,5,nist,"L3912c164,L21210",A
Ni,1120.876,0,C,5,nist,"L3912c164,L21210",A
Ni,1124.293,0,C,5,nist,"L3912c164,L21210",A
Ni,1125.035,0,D+,5,nist,"L3912c164,L21210",A
Ni,1135.004,0,D+,5,nist,"L3912c164,L21210",A
Ni,1137.814,0,D,5,nist,"L3912c164,L21210",A
Ni,1139.040,0,D+,5,nist,"L3912c164,L21210",A
Ni,1141.125,0,D,5,nist,"L3912c164,L21210",A
Ni,1141.743,0,D+,5,nist,"L3912c164,L21210",A
Ni,1143.562,0,D+,5,nist,"L3912c164,L21210",A
Ni,1144.183,0,D+,5,nist,"L3912c164,L21210",A
Ni,1144.588,0,D+,5,nist,"L3912c164,L21210",A
Ni,1145.304,0,D+,5,nist,"L3912c164,L21210",A
Ni,1149.876,0,E,5,nist,"L3912c164,L21210",A
Ni,1150.083,0,D+,5,nist,"L3912c164,L21210",A
Ni,1150.469,0,D+,5,nist,"L3912c164,L21210",A
Ni,1151.053,0,D+,5,nist,"L3912c164,L21210",A
Ni,1151.053,0,D+,5,nist,"L3912c164,L21210",A
Ni,1151.959,0,D+,5,nist,"L3912c164,L21210",A
Ni,1152.166,0,D+,5,nist,"L3912c164,L21210",A
Ni,1152.390,0,D+,5,nist,"L3912c164,L21210",A
Ni,1152.520,0,D+,5,nist,"L3912c164,L21210",A
Ni,1152.674,0,C,5,nist,"L3912c164,L21210",A
Ni,1153.981,0,D+,5,nist,"L3912c164,L21210",A
Ni,1154.875,0,D+,5,nist,"L3912c164,L21210",A
Ni,1155.458,0,D+,5,nist,"L3912c164,L21210",A
Ni,1155.917,0,D+,5,nist,"L3912c164,L21210",A
Ni,1157.331,0,D+,5,nist,"L3912c164,L21210",A
Ni,1157.438,0,D+,5,nist,"L3912c164,L21210",A
Ni,1158.115,0,D+,5,nist,"L3912c164,L21210",A
Ni,1158.115,0,D+,5,nist,"L3912c164,L21210",A
Ni,1158.115,0,E,5,nist,"L3912c164,L21210",A
Ni,1159.009,0,D+,5,nist,"L3912c164,L21210",A
Ni,1159.009,0,D+,5,nist,"L3912c164,L21210",A
Ni,1159.509,0,D+,5,nist,"L3912c164,L21210",A
Ni,1160.108,0,D+,5,nist,"L3912c164,L21210",A
Ni,1163.351,0,D+,5,nist,"L3912c164,L21210",A
Ni,1163.512,0,E,5,nist,"L3912c164,L21210",A
Ni,1163.677,0,D+,5,nist,"L3912c164,L21210",A
Ni,1163.854,0,D+,5,nist,"L3912c164,L21210",A
Ni,1165.585,0,D+,5,nist,"L3912c164,L21210",A
Ni,1165.850,0,D+,5,nist,"L3912c164,L21210",A
Ni,1166.215,0,D+,5,nist,"L3912c164,L21210",A
Ni,1166.464,0,D,5,nist,"L3912c164,L21210",A
Ni,1166.672,0,E,5,nist,"L3912c164,L21210",A
Ni,1167.102,0,D+,5,nist,"L3912c164,L21210",A
Ni,1167.883,0,D+,5,nist,"L3912c164,L21210",A
Ni,1168.156,0,D+,5,nist,"L3912c164,L21210",A
Ni,1168.616,0,D+,5,nist,"L3912c164,L21210",A
Ni,1170.244,0,C,5,nist,"L3912c164,L21210",A
Ni,1171.128,0,D+,5,nist,"L3912c164,L21210",A
