element,wavelength,intensity,acc,state,source,reference,unit
O,1025.762,250,B,1,nist,L3760,A
O,1025.762,250,B,1,nist,L3760,A
O,1025.762,250,B,1,nist,L3760,A
O,1027.431,0,B,1,nist,L3760,A
O,1027.431,0,B,1,nist,L3760,A
O,1039.230,160,A,1,nist,L3760,A
O,1040.942,0,A,1,nist,L3760,A
O,10424.04,120,,1,nist,L3760,A
O,11289.43,590,A,1,nist,L3760,A
O,11290.00,640,A,1,nist,L3760,A
O,11290.11,490,A,1,nist,L3760,A
O,11290.41,490,A,1,nist,L3760,A
O,11298.19,490,A,1,nist,L3760,A
O,11300.77,540,A,1,nist,L3760,A
O,11305.47,590,A,1,nist,L3760,A
O,11361.80,265,,1,nist,L3760,A
O,1152.1512,0,B,1,nist,L3460,A
O,12467.43,490,C+,1,nist,L3760,A
O,12467.43,490,C+,1,nist,L3760,A
O,12467.43,490,C+,1,nist,L3760,A
O,12573.48,450,C+,1,nist,L3760,A
O,12573.48,450,C+,1,nist,L3760,A
O,12994.32,120,,1,nist,L3760,A
O,1302.168,900,A,1,nist,L3760,A
O,1304.858,600,A,1,nist,L3760,A
O,1306.029,300,A,1,nist,L3760,A
O,13080.49,160,C+,1,nist,L3760,A
O,13167.49,700,B+,1,nist,L3760,A
O,13168.45,750,B+,1,nist,L3760,A
O,13168.71,640,B+,1,nist,L3760,A
O,16216.49,160,,1,nist,L3760,A
O,17971.61,120,,1,nist,L3760,A
O,18026.13,590,C+,1,nist,L3760,A
O,18026.13,590,C+,1,nist,L3760,A
O,18026.13,590,C+,1,nist,L3760,A
O,18046.41,120,,1,nist,L3760,A
O,18047.12,120,,1,nist,L3760,A
O,18051.16,120,,1,nist,L3760,A
O,18234.21,140,C+,1,nist,L3760,A
O,18248.61,540,C+,1,nist,L3760,A
O,18248.61,540,C+,1,nist,L3760,A
O,26180.70,140,,1,nist,L3760,A
O,2973.16,265,B+,1,nist,L3760,A
O,3824.49,120,C+,1,nist,L3760,A
O,3948.41,185,B,1,nist,L3760,A
O,3948.60,160,B,1,nist,L3760,A
O,3948.71,140,B,1,nist,L3760,A
O,3955.73,100,C+,1,nist,L3760,A
O,4234.46,0,C+,1,nist,L3760,A
O,4369.48,100,B,1,nist,L3760,A
O,5330.58,135,C+,1,nist,L3760,A
O,5330.58,135,C+,1,nist,L3760,A
O,5331.16,160,C+,1,nist,L3760,A
O,5332.22,190,C+,1,nist,L3760,A
O,5436.69,0,C+,1,nist,L3760,A
O,5437.29,110,C+,1,nist,L3760,A
O,5438.37,135,C+,1,nist,L3760,A
O,5578.89,120,B+,1,nist,L3760,A
O,5960.04,160,C+,1,nist,L3760,A
O,5960.04,160,C+,1,nist,L3760,A
O,5960.23,190,C+,1,nist,L3760,A
O,5960.23,190,C+,1,nist,L3760,A
O,5960.23,190,C,1,nist,L3760,A
O,5996.94,0,,1,nist,L3760,A
O,6047.90,160,C+,1,nist,L3760,A
O,6048.11,190,C+,1,nist,L3760,A
O,6048.16,110,C+,1,nist,L3760,A
O,6107.96,100,,1,nist,L3760,A
O,6157.68,400,B+,1,nist,L3760,A
O,6158.47,450,B+,1,nist,L3760,A
O,6159.88,490,B+,1,nist,L3760,A
O,6258.56,0,,1,nist,L3760,A
O,6263.28,100,,1,nist,L3760,A
O,6368.10,100,,1,nist,L3760,A
O,6376.08,100,,1,nist,L3760,A
O,6455.38,320,C+,1,nist,L3760,A
O,6456.22,360,C+,1,nist,L3760,A
O,6457.76,400,C+,1,nist,L3760,A
O,6606.73,0,,1,nist,L3760,A
O,6655.67,100,,1,nist,L3760,A
O,685.544,0,,1,nist,L3760,A
O,7003.85,360,B,1,nist,L3760,A
O,7004.16,450,B,1,nist,L3760,A
O,7158.67,210,B,1,nist,L3760,A
O,7256.15,400,C+,1,nist,L3760,A
O,7256.45,450,C+,1,nist,L3760,A
O,7256.53,320,C+,1,nist,L3760,A
O,744.794,0,,1,nist,L3760,A
O,7478.50,210,,1,nist,L3760,A
O,7479.30,100,,1,nist,L3760,A
O,7481.14,120,,1,nist,L3760,A
O,7482.73,120,,1,nist,L3760,A
O,770.793,0,C,1,nist,L3760,A
O,7708.87,100,,1,nist,L3760,A
O,771.056,0,C+,1,nist,L3760,A
O,775.321,0,,1,nist,L3760,A
O,7774.08,870,A,1,nist,L3760,A
O,7776.31,810,A,1,nist,L3760,A
O,7777.53,750,A,1,nist,L3760,A
O,7888.44,0,,1,nist,L3760,A
O,791.973,0,B,1,nist,L3760,A
O,7945.33,100,,1,nist,L3760,A
O,7949.36,100,,1,nist,L3760,A
O,7949.74,235,,1,nist,L3760,A
O,7952.99,210,,1,nist,L3760,A
O,7954.35,185,,1,nist,L3760,A
O,7984.14,110,C,1,nist,L3760,A
O,7984.60,135,C,1,nist,L3760,A
O,7989.18,190,C,1,nist,L3760,A
O,7989.53,135,C,1,nist,L3760,A
O,7997.27,250,C,1,nist,L3760,A
O,804.267,0,C,1,nist,L3760,A
O,804.848,0,B,1,nist,L3760,A
O,805.295,0,C,1,nist,L3760,A
O,805.810,0,B,1,nist,L3760,A
O,8224.08,400,C+,1,nist,L3760,A
O,8229.91,265,C+,1,nist,L3760,A
O,8232.28,265,C+,1,nist,L3760,A
O,8235.26,325,C+,1,nist,L3760,A
O,8237.61,120,C+,1,nist,L3760,A
O,8428.48,120,,1,nist,L3760,A
O,8448.57,810,B,1,nist,L3760,A
O,8448.68,1000,B,1,nist,L3760,A
O,8449.08,935,B,1,nist,L3760,A
O,877.879,0,C+,1,nist,L3760,A
O,8822.85,325,B,1,nist,L3760,A
O,9059.50,160,,1,nist,L3760,A
O,9120.79,120,,1,nist,L3760,A
O,9137.22,0,,1,nist,L3760,A
O,9152.65,0,,1,nist,L3760,A
O,9153.99,0,,1,nist,L3760,A
O,9158.52,235,,1,nist,L3760,A
O,922.008,0,B,1,nist,L3760,A
O,9263.35,450,A,1,nist,L3760,A
O,9263.38,490,A,1,nist,L3760,A
O,9263.48,450,A,1,nist,L3760,A
O,9265.12,400,A,1,nist,L3760,A
O,9265.21,540,A,1,nist,L3760,A
O,9265.31,590,A,1,nist,L3760,A
O,9268.48,490,A,1,nist,L3760,A
O,9268.55,640,A,1,nist,L3760,A
