element,wavelength,intensity,acc,state,source,reference,unit
P,1000.38,150,C,5,nist,L2613,A
P,1003.598,250,,3,nist,L4134,A
P,10087.03,229,D,1,nist,L5148,A
P,1025.563,570,C+,4,nist,L4144,A
P,1028.096,500,C+,4,nist,L4144,A
P,1030.517,570,C+,4,nist,L4144,A
P,1030.517,570,C+,4,nist,L4144,A
P,1033.111,500,C+,4,nist,L4144,A
P,1035.517,500,C+,4,nist,L4144,A
P,10435.52,174,,1,nist,L5148,A
P,10458.74,132,,1,nist,L5148,A
P,10514.46,458,D,1,nist,L5148,A
P,10532.41,962,D,1,nist,L5148,A
P,10584.47,1235,,1,nist,L5148,A
P,10599.80,415,D,1,nist,L5148,A
P,10684.33,435,D,1,nist,L5148,A
P,10816.09,265,D,1,nist,L5148,A
P,10935.71,134,,1,nist,L5148,A
P,10970.37,103,,1,nist,L5148,A
P,11163.11,180,,1,nist,L5148,A
P,1117.98,900,C,5,nist,L2613,A
P,1118.551,570,C,4,nist,L4144,A
P,11186.29,764,,1,nist,L5148,A
P,11189.81,402,,1,nist,L5148,A
P,1128.01,700,C,5,nist,L2613,A
P,1206.422,200,,4,nist,L4144,A
P,1249.82,0,,2,nist,L3986,A
P,1301.87,0,C,2,nist,L3986,A
P,1304.47,0,C,2,nist,L3986,A
P,1304.68,0,C,2,nist,L3986,A
P,1305.48,0,C,2,nist,L3986,A
P,1309.87,0,C,2,nist,L3986,A
P,1310.70,0,C,2,nist,L3986,A
P,1334.808,500,D,3,nist,L4134,A
P,1335.705,200,,4,nist,L4144,A
P,1344.327,650,D,3,nist,L4134,A
P,1344.845,300,D,3,nist,L4134,A
P,13442.10,0,,1,nist,L5148,A
P,13488.88,0,,1,nist,L5148,A
P,1366.695,500,,4,nist,L4144,A
P,1372.033,0,,1,nist,L5148,A
P,1372.674,400,,4,nist,L4144,A
P,1373.500,0,,1,nist,L5148,A
P,1374.732,0,,1,nist,L5148,A
P,1377.080,0,,1,nist,L5148,A
P,1377.282,350,,4,nist,L4144,A
P,1377.937,0,,1,nist,L5148,A
P,1379.429,0,,1,nist,L5148,A
P,1379.62,150,C,5,nist,L2613,A
P,1380.463,250,,3,nist,L4134,A
P,1381.089,150,,3,nist,L4134,A
P,1381.469,0,,1,nist,L5148,A
P,1381.637,0,,1,nist,L5148,A
P,1385.05,250,C,5,nist,L2613,A
P,14245.53,479,,1,nist,L5148,A
P,14276.65,150,,1,nist,L5148,A
P,14311.74,256,,1,nist,L5148,A
P,14434.44,173,,1,nist,L5148,A
P,1447.83,375,,5,nist,L2613,A
P,14474.58,135,,1,nist,L5148,A
P,1452.89,0,,2,nist,L3986,A
P,14650.42,0,,1,nist,L5148,A
P,1484.507,500,,4,nist,L4144,A
P,1487.788,400,,4,nist,L4144,A
P,1489.098,300,,4,nist,L4144,A
P,1502.228,350,,3,nist,L4134,A
P,1504.663,250,,3,nist,L4134,A
P,1532.51,0,D,2,nist,L3986,A
P,1535.90,120,C+,2,nist,L3986,A
P,1536.39,0,D,2,nist,L3986,A
P,1542.29,120,C+,2,nist,L3986,A
P,15715.81,714,,1,nist,L5148,A
P,15966.89,228,,1,nist,L5148,A
P,1610.50,450,,5,nist,L2613,A
P,1618.632,150,,3,nist,L4134,A
P,1618.907,200,,3,nist,L4134,A
P,16259.21,296,,1,nist,L5148,A
P,16297.42,203,,1,nist,L5148,A
P,16487.42,1627,,1,nist,L5148,A
P,16594.60,588,,1,nist,L5148,A
P,16617.59,225,,1,nist,L5148,A
P,1671.070,140,,1,nist,L5148,A
P,1671.510,100,,1,nist,L5148,A
P,1671.680,180,D,1,nist,L5148,A
P,1672.035,140,,1,nist,L5148,A
P,1672.474,140,,1,nist,L5148,A
P,1674.591,600,D,1,nist,L5148,A
P,16743.25,221,,1,nist,L5148,A
P,1679.695,600,D,1,nist,L5148,A
P,16807.98,419,,1,nist,L5148,A
P,1685.976,140,,1,nist,L5148,A
P,1694.028,100,,1,nist,L5148,A
P,1694.486,100,,1,nist,L5148,A
P,1706.376,100,,1,nist,L5148,A
P,1707.553,100,,1,nist,L5148,A
P,17117.15,471,,1,nist,L5148,A
P,17227.98,104,,1,nist,L5148,A
P,17291.63,289,,1,nist,L5148,A
P,17363.74,145,,1,nist,L5148,A
P,17428.43,299,,1,nist,L5148,A
P,17670.50,0,,1,nist,L5148,A
P,1774.951,600,C,1,nist,L5148,A
P,1782.838,500,C,1,nist,L5148,A
P,1787.656,400,C,1,nist,L5148,A
P,18012.55,186,,1,nist,L5148,A
P,1834.801,140,,1,nist,L5148,A
P,1847.165,140,,1,nist,L5148,A
P,1849.820,100,,1,nist,L5148,A
P,1851.194,140,,1,nist,L5148,A
P,1852.069,100,,1,nist,L5148,A
P,18523.96,106,,1,nist,L5148,A
P,1858.886,500,C,1,nist,L5148,A
P,1859.393,400,C,1,nist,L5148,A
P,1862.762,250,,4,nist,L4144,A
P,1862.893,120,,4,nist,L4144,A
P,1863.580,200,,4,nist,L4144,A
P,1864.348,140,,1,nist,L5148,A
P,1888.523,650,E,4,nist,L4144,A
P,18886.32,0,,1,nist,L5148,A
P,1905.481,180,,1,nist,L5148,A
P,1906.403,140,,1,nist,L5148,A
P,1907.665,280,,1,nist,L5148,A
P,1910.183,200,,4,nist,L4144,A
P,1985.682,120,,4,nist,L4144,A
P,1985.851,150,,4,nist,L4144,A
P,1986.114,200,,4,nist,L4144,A
P,1987.022,150,,4,nist,L4144,A
P,2024.141,280,,1,nist,L5148,A
P,2025.168,180,,1,nist,L5148,A
P,2033.086,400,,1,nist,L5148,A
P,2034.131,400,,1,nist,L5148,A
P,20847.31,125,,1,nist,L5148,A
P,2136.139,400,C,1,nist,L5148,A
P,2136.856,400,C,1,nist,L5148,A
P,2149.821,400,C,1,nist,L5148,A
P,2153.617,280,C,1,nist,L5148,A
P,2154.757,500,C,1,nist,L5148,A
P,2180.97,200,,5,nist,L2613,A
P,2187.10,150,,5,nist,L2613,A
P,2236.426,180,E,1,nist,L5148,A
P,23045.12,124,,1,nist,L5148,A
P,23851.48,287,,1,nist,L5148,A
P,2425.14,375,C,5,nist,L2613,A
P,2441.67,450,C,5,nist,L2613,A
P,2441.98,200,C,5,nist,L2613,A
P,2478.571,200,,4,nist,L4144,A
P,2478.819,150,,4,nist,L4144,A
P,2479.005,250,,4,nist,L4144,A
P,2484.94,100,,2,nist,L3986,A
P,2534.738,750,C,1,nist,L5148,A
P,2536.365,950,C,1,nist,L5148,A
P,255.59,0,D,5,nist,L2613,A
P,255.67,0,D,5,nist,L2613,A
P,2554.028,750,C,1,nist,L5148,A
P,2555.681,500,C,1,nist,L5148,A
P,2606.284,250,,4,nist,L4144,A
P,2606.84,150,,2,nist,L3986,A
P,2611.927,200,,3,nist,L4134,A
P,26141.57,0,,1,nist,L5148,A
P,2626.96,100,,2,nist,L3986,A
P,2633.498,300,,3,nist,L4134,A
