element,wavelength,intensity,acc,state,source,reference,unit
P,1003.598,250,,3,nist,L4134,A
P,1334.808,500,D,3,nist,L4134,A
P,1344.327,650,D,3,nist,L4134,A
P,1344.845,300,D,3,nist,L4134,A
P,1380.463,250,,3,nist,L4134,A
P,1381.089,150,,3,nist,L4134,A
P,1502.228,350,,3,nist,L4134,A
P,1504.663,250,,3,nist,L4134,A
P,1618.632,150,,3,nist,L4134,A
P,1618.907,200,,3,nist,L4134,A
P,2611.927,200,,3,nist,L4134,A
P,2633.498,300,,3,nist,L4134,A
P,2680.929,200,,3,nist,L4134,A
P,2896.090,250,,3,nist,L4134,A
P,3187.107,250,,3,nist,L4134,A
P,3220.237,300,D,3,nist,L4134,A
P,3234.469,150,D,3,nist,L4134,A
P,3234.535,400,D,3,nist,L4134,A
P,3557.562,200,,3,nist,L4134,A
P,3578.547,200,,3,nist,L4134,A
P,3905.918,200,D,3,nist,L4134,A
P,3915.423,250,,3,nist,L4134,A
P,3958.761,300,D,3,nist,L4134,A
P,3979.432,350,,3,nist,L4134,A
P,4058.586,200,D,3,nist,L4134,A
P,4060.458,400,D,3,nist,L4134,A
P,4081.236,300,D,3,nist,L4134,A
P,4223.384,500,D,3,nist,L4134,A
P,4247.916,350,D,3,nist,L4134,A
P,4429.414,200,,3,nist,L4134,A
P,4464.921,200,,3,nist,L4134,A
P,4481.033,250,,3,nist,L4134,A
P,471.146,0,,3,nist,L4134,A
P,484.278,0,,3,nist,L4134,A
P,498.180,120,,3,nist,L4134,A
P,569.853,200,,3,nist,L4134,A
P,581.831,200,,3,nist,L4134,A
P,6085.093,150,,3,nist,L4134,A
P,6410.976,150,,3,nist,L4134,A
P,6486.232,150,,3,nist,L4134,A
P,6488.173,150,,3,nist,L4134,A
P,6994.619,150,,3,nist,L4134,A
P,8115.759,150,,3,nist,L4134,A
P,844.646,200,,3,nist,L4134,A
P,845.038,150,,3,nist,L4134,A
P,845.664,250,,3,nist,L4134,A
P,847.669,300,,3,nist,L4134,A
P,848.016,200,,3,nist,L4134,A
P,848.465,120,,3,nist,L4134,A
P,848.639,150,,3,nist,L4134,A
P,852.686,250,,3,nist,L4134,A
P,855.624,350,,3,nist,L4134,A
P,859.406,200,,3,nist,L4134,A
P,859.652,500,,3,nist,L4134,A
P,859.729,250,,3,nist,L4134,A
P,913.971,300,,3,nist,L4134,A
P,917.120,300,,3,nist,L4134,A
P,918.665,350,,3,nist,L4134,A
P,921.849,250,,3,nist,L4134,A
P,997.999,200,,3,nist,L4134,A
