element,wavelength,intensity,acc,state,source,reference,unit
Pb,1001.81,0,,2,nist,L3271,A
Pb,1005.42,0,,5,nist,L1202,A
Pb,10091.834,0,,1,nist,L50,A
Pb,1012.44,0,,4,nist,L1202,A
Pb,1016.61,0,,2,nist,L3271,A
Pb,1028.61,0,,4,nist,L1202,A
Pb,10293.2787,200,,1,nist,L50,A
Pb,1030.5,0,,3,nist,L3528,A
Pb,1032.05,0,,4,nist,L1202,A
Pb,1041.24,0,,4,nist,L1202,A
Pb,10437.18,0,,1,nist,L50,A
Pb,1044.14,0,,4,nist,L1202,A
Pb,1048.9,0,,3,nist,L3528,A
Pb,1049.82,0,,2,nist,L3271,A
Pb,1050.77,0,,2,nist,L3271,A
Pb,10501.8417,100,,1,nist,L50,A
Pb,1051.26,0,,5,nist,L1202,A
Pb,1056.53,0,,4,nist,L1202,A
Pb,1059.26,0,,5,nist,L1202,A
Pb,1060.66,0,,2,nist,L3271,A
Pb,1065.58,0,,2,nist,L3271,A
Pb,10652.1662,0,,1,nist,L50,A
Pb,1069.2,0,,3,nist,L3528,A
Pb,1072.09,0,,4,nist,L1202,A
Pb,1074.7,0,,3,nist,L3528,A
Pb,10762.357,0,,1,nist,L50,A
Pb,10762.691,0,,1,nist,L50,A
Pb,1079.88,0,,4,nist,L1202,A
Pb,1080.81,0,,4,nist,L1202,A
Pb,1084.17,0,,4,nist,L1202,A
Pb,1088.86,0,,5,nist,L1202,A
Pb,10889.6696,0,,1,nist,L50,A
Pb,1089.94,0,,4,nist,L1202,A
Pb,1096.52,0,,5,nist,L1202,A
Pb,10972.534,0,,1,nist,L50,A
Pb,1099.47,0,,4,nist,L1202,A
Pb,11022.873,0,,1,nist,L50,A
Pb,1103.94,0,,2,nist,L3271,A
Pb,1104.79,0,,5,nist,L1202,A
Pb,11062.248,0,,1,nist,L50,A
Pb,1108.43,0,,2,nist,L3271,A
Pb,11082.141,0,,1,nist,L50,A
Pb,1109.84,0,,2,nist,L3271,A
Pb,1115.30,0,,4,nist,L1202,A
Pb,1116.08,0,,4,nist,L1202,A
Pb,1118.67,0,,3,nist,L3318,A
Pb,1119.57,0,,2,nist,L3271,A
