element,wavelength,intensity,acc,state,source,reference,unit
Pb,1005.42,0,,5,nist,L1202,A
Pb,1051.26,0,,5,nist,L1202,A
Pb,1059.26,0,,5,nist,L1202,A
Pb,1088.86,0,,5,nist,L1202,A
Pb,1096.52,0,,5,nist,L1202,A
Pb,1104.79,0,,5,nist,L1202,A
Pb,1121.33,0,,5,nist,L1202,A
Pb,1137.50,0,,5,nist,L1202,A
Pb,1152.36,0,,5,nist,L1202,A
Pb,1157.88,0,,5,nist,L1202,A
Pb,1185.43,0,,5,nist,L1202,A
Pb,1233.50,0,,5,nist,L1202,A
Pb,1248.47,0,,5,nist,L1202,A
Pb,1635.75,0,,5,nist,L1202,A
Pb,1802.87,0,,5,nist,L1202,A
Pb,1843.00,0,,5,nist,L1202,A
Pb,1888.67,0,,5,nist,L1202,A
Pb,1897.02,0,,5,nist,L1202,A
Pb,1914.33,0,,5,nist,L1202,A
Pb,1919.74,0,,5,nist,L1202,A
Pb,1957.96,0,,5,nist,L1202,A
Pb,1998.58,0,,5,nist,L1202,A
Pb,1998.83,0,,5,nist,L1202,A
Pb,2079.11,0,,5,nist,L1202,A
Pb,2143.23,0,,5,nist,L1202,A
Pb,2168.65,0,,5,nist,L1202,A
Pb,2259.71,0,,5,nist,L1202,A
Pb,2277.36,0,,5,nist,L1202,A
Pb,2302.20,0,,5,nist,L1202,A
Pb,2425.55,0,,5,nist,L1202,A
Pb,367.40,0,,5,nist,L1202,A
Pb,372.53,0,,5,nist,L1202,A
Pb,387.87,0,,5,nist,L1202,A
Pb,394.38,0,,5,nist,L1202,A
Pb,424.64,0,,5,nist,L1202,A
Pb,431.03,0,,5,nist,L1202,A
Pb,436.60,0,,5,nist,L1202,A
Pb,438.47,0,,5,nist,L1202,A
Pb,438.91,0,,5,nist,L1202,A
Pb,453.45,0,,5,nist,L1202,A
Pb,461.70,0,,5,nist,L1202,A
Pb,4810.70,0,,5,nist,L1202,A
Pb,496.20,0,,5,nist,L1202,A
Pb,6652.83,0,,5,nist,L1202,A
Pb,6755.06,0,,5,nist,L1202,A
Pb,694.42,0,,5,nist,L1202,A
Pb,696.20,0,,5,nist,L1202,A
Pb,703.73,0,,5,nist,L1202,A
Pb,706.29,0,,5,nist,L1202,A
Pb,707.66,0,,5,nist,L1202,A
Pb,730.85,0,,5,nist,L1202,A
Pb,749.46,0,,5,nist,L1202,A
Pb,752.52,0,,5,nist,L1202,A
Pb,755.80,0,,5,nist,L1202,A
Pb,762.76,0,,5,nist,L1202,A
Pb,765.87,0,,5,nist,L1202,A
Pb,767.45,0,,5,nist,L1202,A
Pb,769.49,0,,5,nist,L1202,A
Pb,771.42,0,,5,nist,L1202,A
Pb,782.79,0,,5,nist,L1202,A
Pb,787.05,0,,5,nist,L1202,A
Pb,797.02,0,,5,nist,L1202,A
Pb,799.80,0,,5,nist,L1202,A
Pb,809.63,0,,5,nist,L1202,A
Pb,812.32,0,,5,nist,L1202,A
Pb,814.10,0,,5,nist,L1202,A
Pb,820.09,0,,5,nist,L1202,A
Pb,825.52,0,,5,nist,L1202,A
Pb,829.32,0,,5,nist,L1202,A
Pb,851.98,0,,5,nist,L1202,A
Pb,863.97,0,,5,nist,L1202,A
Pb,867.10,0,,5,nist,L1202,A
Pb,880.50,0,,5,nist,L1202,A
Pb,883.90,0,,5,nist,L1202,A
Pb,888.37,0,,5,nist,L1202,A
Pb,894.40,0,,5,nist,L1202,A
Pb,896.08,0,,5,nist,L1202,A
Pb,915.09,0,,5,nist,L1202,A
Pb,915.71,0,,5,nist,L1202,A
Pb,918.09,0,,5,nist,L1202,A
Pb,920.28,0,,5,nist,L1202,A
Pb,920.66,0,,5,nist,L1202,A
Pb,940.74,0,,5,nist,L1202,A
Pb,946.20,0,,5,nist,L1202,A
Pb,950.93,0,,5,nist,L1202,A
Pb,954.35,0,,5,nist,L1202,A
Pb,954.95,0,,5,nist,L1202,A
Pb,955.28,0,,5,nist,L1202,A
Pb,964.38,0,,5,nist,L1202,A
Pb,989.14,0,,5,nist,L1202,A
