element,wavelength,intensity,acc,state,source,reference,unit
Pd,2448.6474,1100,,1,nist,L9430,A
Pd,2477.1608,1700,,1,nist,L9430,A
Pd,2763.9062,1900,,1,nist,L9430,A
Pd,2923.3476,520,,1,nist,L9430,A
Pd,3003.5253,650,,1,nist,L9430,A
Pd,3010.6509,0,,1,nist,L9430,A
Pd,3028.7900,1500,,1,nist,L9430,A
Pd,3066.1895,1100,,1,nist,L9430,A
Pd,3114.9412,2600,,1,nist,L9430,A
Pd,3143.72,270,,1,nist,L3475,A
Pd,3243.6340,11000,,1,nist,L9430,A
Pd,3252.5740,2700,,1,nist,L9430,A
Pd,3259.7162,3500,,1,nist,L9430,A
Pd,3288.1950,460,,1,nist,L9430,A
Pd,3303.0770,3600,,1,nist,L9430,A
Pd,3373.9631,5000,,1,nist,L9430,A
Pd,3405.5533,24000,,1,nist,L9430,A
Pd,3422.2026,13000,,1,nist,L9430,A
Pd,3434.4121,5000,,1,nist,L9430,A
Pd,3442.3759,6400,,1,nist,L9430,A
Pd,3461.7294,7700,,1,nist,L9430,A
Pd,3482.1481,10000,,1,nist,L9430,A
Pd,3490.7687,2000,,1,nist,L9430,A
Pd,3517.9495,12000,,1,nist,L9430,A
Pd,3554.0953,12000,,1,nist,L9430,A
Pd,3572.1686,4500,,1,nist,L9430,A
Pd,3610.5753,20000,,1,nist,L9430,A
Pd,3635.7244,20000,,1,nist,L9430,A
Pd,3691.3872,5500,,1,nist,L9430,A
Pd,3719.9640,1400,,1,nist,L9430,A
Pd,3800.2654,1500,,1,nist,L9430,A
Pd,3833.3733,1500,,1,nist,L9430,A
Pd,3895.3022,2200,,1,nist,L9430,A
Pd,3959.7434,1500,,1,nist,L9430,A
Pd,4088.4972,290,,1,nist,L9430,A
Pd,4171.0142,0,,1,nist,L9430,A
Pd,4214.1404,2500,,1,nist,L9430,A
Pd,4474.8410,180,,1,nist,L9430,A
Pd,4789.5260,0,,1,nist,L9430,A
Pd,4818.8530,0,,1,nist,L9430,A
Pd,4876.7870,0,,1,nist,L9430,A
Pd,5112.2332,0,,1,nist,L9430,A
Pd,5118.4331,0,,1,nist,L9430,A
Pd,5165.2788,160,,1,nist,L9430,A
Pd,5236.3183,0,,1,nist,L9430,A
Pd,5297.1001,120,,1,nist,L9430,A
Pd,5314.0644,0,,1,nist,L9430,A
Pd,5346.5912,0,,1,nist,L9430,A
Pd,5396.7201,0,,1,nist,L9430,A
Pd,5544.3461,0,,1,nist,L9430,A
Pd,5548.5608,0,,1,nist,L9430,A
Pd,5621.0231,0,,1,nist,L9430,A
Pd,5644.2700,0,,1,nist,L9430,A
Pd,5657.0060,0,,1,nist,L9430,A
Pd,5671.6432,0,,1,nist,L9430,A
Pd,5691.7071,0,,1,nist,L9430,A
Pd,5696.6718,0,,1,nist,L9430,A
Pd,5738.2084,0,,1,nist,L9430,A
Pd,6776.3864,0,,1,nist,L9430,A
Pd,6786.3612,0,,1,nist,L9430,A
Pd,6835.3313,0,,1,nist,L9430,A
Pd,7018.381,0,,1,nist,L9430,A
Pd,7312.067,0,,1,nist,L9430,A
Pd,7370.125,0,,1,nist,L9430,A
Pd,7393.936,0,,1,nist,L9430,A
Pd,7488.970,0,,1,nist,L9430,A
Pd,7766.107,120,,1,nist,L9430,A
Pd,7788.735,0,,1,nist,L9430,A
Pd,7917.933,0,,1,nist,L9430,A
Pd,7963.214,0,,1,nist,L9430,A
Pd,8135.024,0,,1,nist,L9430,A
Pd,8303.055,0,,1,nist,L9430,A
Pd,8355.828,0,,1,nist,L9430,A
Pd,8535.038,0,,1,nist,L9430,A
Pd,8601.431,0,,1,nist,L9430,A
Pd,8763.741,0,,1,nist,L9430,A
