element,wavelength,intensity,acc,state,source,reference,unit
Pm,2502.87,0,,2,nist,L7345,A
Pm,2609.02,0,,2,nist,L7345,A
Pm,2632.78,150,,2,nist,L7345,A
Pm,2639.25,0,,2,nist,L7345,A
Pm,2671.84,100,,2,nist,L7345,A
Pm,2788.54,0,,2,nist,L7345,A
Pm,2808.88,0,,2,nist,L7345,A
Pm,2820.93,100,,2,nist,L7345,A
Pm,2841.66,100,,2,nist,L7345,A
Pm,2842.70,150,,2,nist,L7345,A
Pm,2858.30,200,,2,nist,L7345,A
Pm,3005.47,100,,2,nist,L7345,A
Pm,3009.73,100,,2,nist,L7345,A
Pm,3073.30,300,,2,nist,L7345,A
Pm,3086.92,150,,2,nist,L7345,A
Pm,3091.09,120,,2,nist,L7345,A
Pm,3092.76,150,,2,nist,L7345,A
Pm,3109.01,150,,2,nist,L7345,A
Pm,3116.26,100,,2,nist,L7345,A
Pm,3118.12,100,,2,nist,L7345,A
Pm,3119.66,100,,2,nist,L7345,A
Pm,3163.15,0,,1,nist,L4514c1,A
Pm,3169.74,0,,1,nist,L4514c1,A
Pm,3173.69,100,,2,nist,L7345,A
Pm,3222.97,0,,1,nist,L4514c1,A
Pm,3239.48,0,,1,nist,L4514c1,A
Pm,3240.55,0,,2,nist,L7345,A
Pm,3297.58,0,,1,nist,L4514c1,A
Pm,3312.71,0,,2,nist,L7345,A
Pm,3314.33,0,,1,nist,L4514c1,A
Pm,3330.18,0,,1,nist,L4514c1,A
Pm,3332.53,0,,1,nist,L4514c1,A
Pm,3355.41,100,,1,nist,L4514c1,A
Pm,3359.11,100,,2,nist,L7345,A
Pm,3361.18,0,,2,nist,L7345,A
Pm,3365.41,0,,2,nist,L7345,A
Pm,3367.00,300,,1,nist,L4514c1,A
Pm,3378.65,0,,2,nist,L7345,A
Pm,3392.25,100,,2,nist,L7345,A
Pm,3409.04,100,,2,nist,L7345,A
Pm,3428.38,500,,2,nist,u8,A
Pm,3442.14,120,,2,nist,u8,A
Pm,3450.79,400,,2,nist,u8,A
Pm,3461.24,250,,2,nist,u8,A
Pm,3463.90,200,,2,nist,u8,A
Pm,3481.61,200,,2,nist,u8,A
Pm,3498.13,150,,2,nist,u8,A
Pm,3515.86,100,,2,nist,u8,A
Pm,3547.82,200,,1,nist,L4514c1,A
Pm,3560.45,100,,2,nist,u8,A
Pm,3566.33,200,,2,nist,u8,A
Pm,3581.12,150,,2,nist,u8,A
Pm,3611.79,200,,2,nist,u8,A
Pm,3630.87,200,,2,nist,u8,A
Pm,3635.24,300,,2,nist,u8,A
Pm,3660.43,300,,2,nist,u8,A
Pm,3670.26,300,,1,nist,L4514c1,A
Pm,3675.90,200,,1,nist,L4514c1,A
Pm,3679.56,200,,2,nist,u8,A
Pm,3680.90,300,,1,nist,L4514c1,A
Pm,3688.70,200,,2,nist,u8,A
Pm,3690.84,400,,2,nist,u8,A
Pm,3693.55,300,,2,nist,u8,A
Pm,3698.55,300,,2,nist,u8,A
Pm,3698.68,300,,1,nist,L4514c1,A
Pm,3703.68,400,,2,nist,u8,A
Pm,3712.78,800,,2,nist,u8,A
Pm,3716.81,200,,2,nist,u8,A
Pm,3722.78,200,,2,nist,u8,A
Pm,3727.07,500,,1,nist,L4514c1,A
Pm,3739.49,200,,1,nist,L4514c1,A
Pm,3741.74,300,,1,nist,L4514c1,A
Pm,3743.58,300,,2,nist,u8,A
Pm,3744.03,300,,1,nist,L4514c1,A
Pm,3746.92,500,,2,nist,u8,A
Pm,3748.16,300,,2,nist,u8,A
Pm,3751.16,500,,2,nist,u8,A
Pm,3762.75,200,,1,nist,L4514c1,A
Pm,3766.82,300,,1,nist,L4514c1,A
Pm,3776.49,300,,1,nist,L4514c1,A
Pm,3781.84,300,,1,nist,L4514c1,A
Pm,3782.50,200,,1,nist,L4514c1,A
Pm,3796.74,400,,2,nist,u8,A
Pm,3807.14,250,,2,nist,u8,A
Pm,3810.28,300,,1,nist,L4514c1,A
Pm,3812.01,400,,1,nist,L4514c1,A
Pm,3820.34,200,,2,nist,u8,A
Pm,3821.61,300,,2,nist,u8,A
Pm,3840.61,300,,1,nist,L4514c1,A
Pm,3843.97,200,,2,nist,u8,A
Pm,3844.07,300,,2,nist,u8,A
Pm,3846.47,250,,2,nist,u8,A
Pm,3875.13,300,,1,nist,L4514c1,A
Pm,3878.72,800,,2,nist,u8,A
Pm,3886.89,300,,1,nist,L4514c1,A
Pm,3892.07,250,,1,nist,L4514c1,A
Pm,3893.25,1000,,2,nist,u8,A
Pm,3899.83,300,,1,nist,L4514c1,A
Pm,3900.88,400,,2,nist,u8,A
Pm,3910.61,250,,2,nist,u8,A
Pm,3911.37,1000,,2,nist,u8,A
Pm,3920.21,1000,,2,nist,u8,A
Pm,3937.59,800,,2,nist,u8,A
Pm,3945.33,300,,2,nist,u8,A
Pm,3955.88,300,,1,nist,L4514c1,A
Pm,3958.86,1000,,2,nist,u8,A
Pm,3981.87,500,,2,nist,u8,A
Pm,3996.18,300,,2,nist,u8,A
Pm,4000.09,1000,,2,nist,u8,A
Pm,4011.09,500,,2,nist,u8,A
Pm,4013.85,200,,2,nist,u8,A
Pm,4015.33,250,,2,nist,u8,A
Pm,4020.48,200,,2,nist,u8,A
Pm,4029.34,250,,2,nist,u8,A
Pm,4046.50,200,,2,nist,u8,A
Pm,4052.68,300,,2,nist,u8,A
Pm,4056.35,600,,2,nist,u8,A
Pm,4057.71,200,,1,nist,L4514c1,A
Pm,4076.99,600,,2,nist,u8,A
Pm,4086.46,200,,1,nist,L4514c1,A
Pm,4087.25,500,,2,nist,u8,A
Pm,4141.63,250,,2,nist,u8,A
Pm,4186.92,200,,2,nist,u8,A
Pm,4194.10,300,,2,nist,u8,A
Pm,4195.88,200,,2,nist,u8,A
Pm,4223.34,200,,2,nist,u8,A
Pm,4265.52,300,,1,nist,L4514c1,A
Pm,4285.58,300,,1,nist,L4514c1,A
Pm,4298.99,600,,2,nist,u8,A
Pm,4305.10,200,,2,nist,u8,A
Pm,4306.85,200,,1,nist,L4514c1,A
Pm,4320.01,400,,1,nist,L4514c1,A
Pm,4327.14,250,,2,nist,u8,A
Pm,4333.27,200,,2,nist,u8,A
Pm,4337.76,300,,2,nist,u8,A
Pm,4338.70,200,,2,nist,u8,A
Pm,4343.34,300,,2,nist,u8,A
Pm,4348.94,200,,1,nist,L4514c1,A
Pm,4365.15,350,,1,nist,L4514c1,A
Pm,4370.87,300,,1,nist,L4514c1,A
Pm,4383.11,200,,2,nist,u8,A
Pm,4389.72,400,,1,nist,L4514c1,A
Pm,4389.99,200,,2,nist,u8,A
Pm,4410.66,400,,1,nist,L4514c1,A
Pm,4413.71,500,,1,nist,L4514c1,A
Pm,4419.20,1000,,2,nist,u8,A
Pm,4433.75,400,,2,nist,u8,A
Pm,4437.11,250,,1,nist,L4514c1,A
Pm,4437.80,300,,1,nist,L4514c1,A
Pm,4439.93,300,,1,nist,L4514c1,A
Pm,4446.66,500,,2,nist,u8,A
Pm,4448.15,600,,2,nist,u8,A
Pm,4455.20,800,,2,nist,u8,A
Pm,4461.22,200,,2,nist,u8,A
Pm,4469.41,250,,1,nist,L4514c1,A
Pm,4472.73,200,,2,nist,u8,A
Pm,4474.49,300,,2,nist,u8,A
Pm,4478.72,200,,2,nist,u8,A
Pm,4479.84,350,,1,nist,L4514c1,A
Pm,4482.86,300,,1,nist,L4514c1,A
Pm,4486.31,300,,1,nist,L4514c1,A
Pm,4491.76,300,,1,nist,L4514c1,A
Pm,4493.31,250,,2,nist,u8,A
Pm,4501.41,600,,2,nist,u8,A
Pm,4501.59,350,,1,nist,L4514c1,A
Pm,4508.10,250,,1,nist,L4514c1,A
Pm,4510.64,100,,2,nist,u8,A
Pm,4514.83,100,,2,nist,u8,A
Pm,4518.58,200,,1,nist,L4514c1,A
Pm,4524.59,200,,1,nist,L4514c1,A
Pm,4526.47,600,,2,nist,u8,A
Pm,4527.39,250,,1,nist,L4514c1,A
Pm,4528.03,250,,1,nist,L4514c1,A
Pm,4528.97,400,,1,nist,L4514c1,A
Pm,4530.48,800,,2,nist,u8,A
Pm,4541.33,300,,1,nist,L4514c1,A
Pm,4542.69,300,,1,nist,L4514c1,A
Pm,4543.02,450,,1,nist,L4514c1,A
Pm,4545.35,500,,1,nist,L4514c1,A
Pm,4546.44,200,,1,nist,L4514c1,A
Pm,4551.06,400,,1,nist,L4514c1,A
Pm,4555.31,300,,1,nist,L4514c1,A
Pm,4555.91,200,,1,nist,L4514c1,A
Pm,4556.62,500,,1,nist,L4514c1,A
Pm,4557.34,200,,1,nist,L4514c1,A
Pm,4558.31,300,,1,nist,L4514c1,A
Pm,4560.49,300,,1,nist,L4514c1,A
Pm,4566.11,100,,2,nist,u8,A
Pm,4569.42,300,,1,nist,L4514c1,A
Pm,4571.65,200,,1,nist,L4514c1,A
