element,wavelength,intensity,acc,state,source,reference,unit
Po,2139.69,250,,1,nist,L3488,A
Po,2221.36,300,,1,nist,L3489,A
Po,2222.82,200,,1,nist,L3488,A
Po,2345.33,250,,1,nist,L3488,A
Po,2422.46,250,,1,nist,L3488,A
Po,2426.83,300,,1,nist,L3488,A
Po,2450.82,1500,,1,nist,L3488,A
Po,2484.69,700,,1,nist,L3488,A
Po,2491.28,700,,1,nist,L3488,A
Po,2535.71,300,,1,nist,L3489,A
Po,2558.10,300,,1,nist,L3489,A
Po,2558.78,1500,,1,nist,L3489,A
Po,2588.41,400,,1,nist,L3488,A
Po,2646.15,300,,1,nist,L3489,A
Po,2672.46,200,,1,nist,L3488,A
Po,2762.74,600,,1,nist,L3488,A
Po,2801.09,400,,1,nist,L3488,A
Po,2824.94,250,,1,nist,L3488,A
Po,2866.85,300,,1,nist,L3489,A
Po,2920.16,400,,1,nist,L3489,A
Po,2959.78,600,,1,nist,L3488,A
Po,3004.09,2500,,1,nist,L3488,A
Po,3070.20,450,,1,nist,L3488,A
Po,3189.94,400,,1,nist,L3488,A
Po,3241.18,600,,1,nist,L3488,A
Po,3287.33,250,,1,nist,L3488,A
Po,3329.56,600,,1,nist,L3488,A
Po,3863.02,500,,1,nist,L3489,A
Po,4171.70,1200,,1,nist,L3488,A
Po,4494.47,800,,1,nist,L3488,A
Po,4612.73,350,,1,nist,L3488,A
Po,4877.60,400,,1,nist,L3488,A
Po,5324.71,350,,1,nist,L3488,A
Po,5746.44,300,,1,nist,L3488,A
Po,7964.81,600,,1,nist,L3488,A
Po,8436.19,300,,1,nist,L3488,A
Po,8620.63,500,,1,nist,L3489,A
